date,open,high,low,close,volume
2020-07-27,182.56,183.61,182.56,183.54,8657
2020-07-28,182.57,182.9,180.43,180.43,8216
2020-07-29,181.56,185.34,181.56,184.37,10995
2020-07-30,181.43,182.99,180.4,182.03,11133
2020-07-31,181.54,181.54,178.37,180.27,4759
2020-08-03,182.59,185.61,182.59,184.51,7745
2020-08-04,184.36,184.36,181.52,182.11,20585
2020-08-05,183.05,186.73,183.05,185.48,16458
2020-08-06,185.82,185.82,183.54,184.17,6601
2020-08-07,184.5,188.66,184.5,187.09,18225
2020-08-10,186.76,190.13,186.71,189.23,6662
2020-08-11,190.46,194.81,190.46,192.04,16145
2020-08-12,193.39,195.59,193.17,194.47,7400
2020-08-13,192.26,194.98,192.26,193.87,8087
2020-08-14,193.91,194.4,192.79,193.63,19321
2020-08-17,194.09,195.49,193.99,194.24,8312
2020-08-18,194.76,195.31,192.69,192.98,15156
2020-08-19,194.08,194.16,191.33,191.86,30610
2020-08-20,179.45,182.02,175.56,179.21,27917
2020-08-21,178.89,179.74,177.13,177.37,7332
2020-08-24,179.19,179.54,176.06,176.59,10533
2020-08-25,177.8,177.8,175.2,177.55,16480
2020-08-26,178.22,180.9,176.93,180.9,20098
2020-08-27,181.33,182.52,177.44,177.78,10079
2020-08-28,178.39,178.66,176.33,176.9,18754
2020-08-31,175.98,176.98,175.36,175.39,10042
2020-09-01,175.25,178.84,174.91,178.36,11774
2020-09-02,179.16,186.11,179.16,185.51,9062
2020-09-03,184.18,184.18,176.52,177.45,9270
2020-09-04,176.91,176.91,173.91,176.11,7003
2020-09-08,172.19,176.28,171.78,174.94,11919
2020-09-09,179.59,180.48,178.39,178.59,10055
2020-09-10,179.5,181.03,178.25,180.0,7819
2020-09-11,180.76,181.0,178.3,180.31,10443
2020-09-14,181.63,184.79,181.63,183.66,6127
2020-09-15,185.0,187.7,185.0,186.62,8100
2020-09-16,187.81,189.44,186.2,186.54,4635
2020-09-17,185.93,185.93,182.27,183.8,13795
2020-09-18,183.73,183.74,178.47,180.71,16519
2020-09-21,178.06,178.06,174.17,176.54,7657
2020-09-22,175.9,176.7,174.09,175.06,9019
2020-09-23,176.23,176.23,172.1,172.1,8472
2020-09-24,170.65,172.64,169.81,170.61,4415
2020-09-25,169.74,173.39,169.49,172.78,14832
2020-09-28,175.93,180.64,175.93,178.67,7602
2020-09-29,179.26,180.85,178.68,180.1,9500
2020-09-30,181.38,183.62,179.49,180.48,12294
2020-10-01,180.49,181.86,179.77,180.24,13858
2020-10-02,177.51,180.29,177.23,179.19,12541
2020-10-05,182.27,184.82,181.99,184.82,13655
2020-10-06,185.9,189.66,184.57,186.28,5364
2020-10-07,188.96,190.13,186.93,188.6,17252
2020-10-08,190.05,190.71,188.5,188.58,17820
2020-10-09,189.07,190.64,188.27,189.28,10586
2020-10-12,189.73,192.49,189.73,191.94,7275
2020-10-13,192.2,192.75,190.41,191.37,8786
2020-10-14,190.57,193.48,190.42,190.42,10639
2020-10-15,187.73,194.88,187.73,194.61,10922
2020-10-16,195.59,197.39,195.59,196.26,7980
2020-10-19,196.03,197.06,194.57,194.93,33007
2020-10-20,196.41,198.27,195.49,196.49,16944
2020-10-21,197.83,197.83,195.72,196.12,12362
2020-10-22,197.03,198.94,196.03,198.88,12113
2020-10-23,200.26,200.26,194.83,194.96,13688
2020-10-26,191.81,192.13,189.69,191.14,17958
2020-10-27,190.07,190.98,185.79,186.04,10100
2020-10-28,182.75,183.61,179.84,179.84,11849
2020-10-29,180.61,184.13,177.99,184.13,16580
2020-10-30,184.15,184.19,180.93,181.65,8505
2020-11-02,184.81,186.41,183.26,185.21,12590
2020-11-03,188.47,189.64,187.97,188.25,26938
2020-11-04,189.03,191.64,189.03,190.6,8046
2020-11-05,194.75,197.33,194.75,196.22,12715
2020-11-06,196.66,199.06,196.24,197.67,3979
2020-11-09,202.87,203.99,189.31,189.42,48955
2020-11-10,190.53,190.53,183.71,185.4,46307
2020-11-11,186.05,190.42,184.36,190.09,26197
2020-11-12,188.67,188.67,185.54,187.34,9132
2020-11-13,189.39,191.58,189.37,189.52,16407
2020-11-16,190.15,194.2,189.35,192.95,21714
2020-11-17,191.37,193.05,190.81,191.72,28061
2020-11-18,191.77,192.76,189.43,189.43,12877
