date,open,high,low,close,volume
2020-07-27,60.54,60.9,59.75,60.1,320116
2020-07-28,60.34,61.3,60.27,60.62,201168
2020-07-29,60.77,61.65,60.6,60.84,208652
2020-07-30,60.59,61.09,60.45,61.08,120440
2020-07-31,60.74,61.17,59.78,60.67,227376
2020-08-03,60.7,60.71,59.85,60.1,461848
2020-08-04,60.17,61.7,60.09,61.7,405788
2020-08-05,61.56,61.79,61.04,61.46,296628
2020-08-06,61.33,61.61,60.84,61.2,253008
2020-08-07,61.13,62.61,61.13,62.25,131124
2020-08-10,62.3,62.57,61.23,61.37,339932
2020-08-11,61.31,61.42,59.84,60.14,332944
2020-08-12,60.59,61.85,60.37,61.58,205368
2020-08-13,61.19,61.75,61.19,61.57,75852
2020-08-14,60.83,61.39,60.61,60.72,126848
2020-08-17,60.92,61.66,60.76,61.24,130892
2020-08-18,61.21,61.65,61.09,61.26,136540
2020-08-19,61.48,61.48,61.04,61.08,110632
2020-08-20,61.17,61.36,60.83,61.09,107688
2020-08-21,61.12,61.24,60.71,61.16,111824
2020-08-24,61.18,61.23,60.66,61.18,148208
2020-08-25,61.32,61.32,60.42,60.9,161072
2020-08-26,60.42,60.89,60.2,60.31,170076
2020-08-27,60.51,60.99,60.17,60.62,215872
2020-08-28,60.71,60.86,60.32,60.83,149680
2020-08-31,60.76,61.68,60.61,60.73,150680
2020-09-01,60.73,60.79,59.67,60.27,214816
2020-09-02,60.14,62.99,59.96,62.7,219728
2020-09-03,62.87,63.28,60.49,61.04,172712
2020-09-04,61.78,62.1,59.35,60.37,228452
2020-09-08,60.4,61.01,60.0,60.42,192392
2020-09-09,60.89,62.36,60.89,61.4,139888
2020-09-10,61.04,61.25,60.15,60.21,159524
2020-09-11,60.51,60.71,59.92,60.5,105644
2020-09-14,60.82,61.74,60.73,61.31,106592
2020-09-15,64.18,65.07,63.4,64.33,413532
2020-09-16,61.97,62.39,60.73,60.98,1108032
2020-09-17,60.36,60.96,60.02,60.81,378940
2020-09-18,60.93,61.28,60.02,60.22,343396
2020-09-21,59.8,60.1,59.09,60.08,289812
2020-09-22,60.34,60.88,59.86,60.48,245016
2020-09-23,60.56,60.56,59.41,59.44,289672
2020-09-24,59.39,60.73,59.3,60.39,272756
2020-09-25,59.95,61.34,59.67,61.3,163112
2020-09-28,61.69,62.21,61.5,61.75,322296
2020-09-29,61.94,62.16,61.41,61.56,289640
2020-09-30,61.44,61.47,58.16,60.36,1034112
2020-10-01,60.66,61.78,60.61,61.49,762588
2020-10-02,60.65,62.45,60.59,61.16,565716
2020-10-05,61.67,62.83,61.57,62.59,302472
2020-10-06,62.78,63.62,62.08,63.13,359052
2020-10-07,63.73,64.76,62.98,64.63,747480
2020-10-08,64.98,65.67,64.68,65.5,388008
2020-10-09,66.02,66.02,65.33,65.88,382584
2020-10-12,65.93,66.98,65.7,66.51,434644
2020-10-13,66.04,66.04,65.04,65.59,586340
2020-10-14,65.67,65.96,64.99,65.38,301864
2020-10-15,64.68,65.21,64.35,64.94,331820
2020-10-16,65.17,66.59,64.97,66.5,344244
2020-10-19,66.49,66.86,64.89,65.14,445576
2020-10-20,65.53,66.13,65.15,65.49,322288
2020-10-21,65.14,65.79,64.28,64.79,793480
2020-10-22,65.16,66.16,65.16,65.73,392340
2020-10-23,65.99,66.44,65.64,65.91,193500
2020-10-26,65.54,65.88,64.73,65.85,331024
2020-10-27,66.04,66.49,65.3,65.98,159375
2020-10-28,64.87,66.16,64.66,64.78,209055
2020-10-29,64.55,65.26,63.5,64.4,156799
2020-10-30,64.27,64.67,63.07,63.7,256347
2020-11-02,64.42,65.6,64.2,65.32,269805
2020-11-03,66.23,66.92,65.6,66.13,272416
2020-11-04,64.89,65.07,63.55,63.86,653193
2020-11-05,65.47,66.29,64.82,65.03,325080
2020-11-06,65.36,66.14,64.49,65.86,192048
2020-11-09,72.18,72.21,65.56,65.67,753148
2020-11-10,66.24,67.39,65.54,66.11,336657
2020-11-11,66.67,68.18,66.34,67.46,277861
2020-11-12,67.47,67.48,66.15,66.72,206625
2020-11-13,67.1,67.61,66.83,67.18,134900
2020-11-16,68.05,68.05,66.47,67.65,184687
2020-11-17,67.49,68.22,66.47,66.61,182493
2020-11-18,67.28,67.28,65.93,65.93,210129
2020-11-19,66.08,66.1,65.09,65.37,217159
2020-11-20,65.47,66.38,65.47,65.69,227741
2020-11-23,66.12,66.12,64.5,64.92,324206
2020-11-24,65.43,65.73,64.84,65.21,245131
2020-11-25,65.2,66.45,65.14,66.43,319153
2020-11-27,66.53,66.54,65.36,65.68,82085
2020-11-30,65.85,65.85,64.03,64.3,458396
2020-12-01,64.79,66.04,64.68,64.79,228791
2020-12-02,64.79,65.0,63.74,65.0,211131
2020-12-03,64.82,65.13,63.85,64.09,200113
2020-12-04,63.99,64.27,62.88,63.4,262694
2020-12-07,63.38,64.45,63.3,64.16,275838
2020-12-08,63.63,64.86,63.05,64.37,292326
2020-12-09,64.31,64.59,63.34,64.49,281919
2020-12-10,64.37,64.76,63.8,64.03,168695
2020-12-11,63.94,64.58,63.82,64.47,180029
2020-12-14,64.98,65.73,64.3,64.3,189701
2020-12-15,64.51,65.81,64.06,65.49,217352
2020-12-16,65.73,66.17,64.87,65.05,158345
2020-12-17,65.61,66.43,65.43,65.58,243345
2020-12-18,65.69,65.99,64.62,65.14,253879
2020-12-21,64.64,65.15,63.71,65.05,176129
2020-12-22,64.97,65.74,64.68,65.3,122861
2020-12-23,65.71,66.02,65.02,65.04,164112
2020-12-24,65.1,65.66,64.85,65.55,53212
2020-12-28,66.0,66.32,65.59,65.98,98953
2020-12-29,66.16,66.28,65.69,65.83,111865
2020-12-30,66.11,66.66,66.07,66.36,104449
2020-12-31,66.33,67.46,66.17,67.46,116237
2021-01-04,67.57,67.58,64.34,64.85,262683
2021-01-05,65.07,65.69,64.74,65.37,183844
2021-01-06,66.88,69.34,66.08,68.58,563578
2021-01-07,69.93,70.48,68.96,69.28,173538
2021-01-08,69.45,70.97,69.45,70.9,242754
2021-01-11,70.74,70.74,69.06,69.62,167882
2021-01-12,69.64,70.36,68.67,69.68,300422
2021-01-13,70.44,71.87,70.11,71.52,434165
2021-01-14,71.57,72.32,70.94,72.16,347975
2021-01-15,71.99,72.74,71.69,71.69,304598
2021-01-19,72.21,72.71,71.47,72.36,200198
2021-01-20,72.35,74.32,72.09,73.5,324543
2021-01-21,73.47,74.07,73.13,73.21,274120
2021-01-22,73.37,73.89,73.06,73.58,243083
2021-01-25,73.62,76.64,73.54,76.1,762022
2021-01-26,75.59,76.23,74.09,74.52,653971
2021-01-27,74.01,74.01,69.59,70.09,931956
2021-01-28,70.56,73.29,70.02,72.09,314629
2021-01-29,71.53,72.08,70.12,70.69,479472
2021-02-01,71.92,72.65,70.7,71.42,170239
