date,open,high,low,close,volume
2020-07-27,57.86,59.06,57.31,58.11,165011
2020-07-28,56.77,58.24,56.65,57.73,212229
2020-07-29,57.79,57.79,56.32,57.12,77463
2020-07-30,55.62,57.08,54.29,55.23,154154
2020-07-31,56.09,58.22,55.4,58.22,202025
2020-08-03,58.23,58.23,56.8,57.34,66009
2020-08-04,57.34,59.28,56.62,59.1,86302
2020-08-05,60.25,60.73,58.77,59.22,109117
2020-08-06,59.84,60.0,58.36,59.01,116954
2020-08-07,58.07,58.43,57.55,57.98,114770
2020-08-10,58.39,59.18,56.81,57.12,87536
2020-08-11,54.19,54.62,52.72,52.91,261221
2020-08-12,54.32,54.36,52.75,53.01,153793
2020-08-13,53.54,54.43,53.3,53.95,109823
2020-08-14,54.03,54.03,53.32,53.7,82359
2020-08-17,55.56,57.51,55.21,57.51,187384
2020-08-18,58.68,58.69,56.24,56.99,66056
2020-08-19,56.85,57.37,55.16,55.54,77419
2020-08-20,55.5,56.78,55.32,56.64,69067
2020-08-21,56.02,56.11,54.93,55.16,91099
2020-08-24,55.73,55.74,54.55,54.86,70745
2020-08-25,54.53,54.68,53.24,54.59,85512
2020-08-26,53.92,55.32,53.89,55.27,67773
2020-08-27,56.06,56.07,53.64,54.46,93685
2020-08-28,55.29,56.43,55.01,56.13,92879
2020-08-31,56.16,57.37,56.15,56.62,154103
2020-09-01,57.22,57.32,55.43,56.39,122513
2020-09-02,55.73,56.83,54.56,56.82,101641
2020-09-03,55.61,56.4,54.6,55.67,95870
2020-09-04,55.29,55.35,53.31,55.01,183645
2020-09-08,54.38,56.29,53.44,55.35,151547
2020-09-09,56.11,57.78,56.11,57.59,85188
2020-09-10,58.05,58.05,56.06,56.16,76876
2020-09-11,56.7,57.1,55.59,55.93,38049
2020-09-14,56.28,57.07,56.23,56.95,198529
2020-09-15,57.37,57.89,56.67,57.07,121471
2020-09-16,57.46,57.74,56.78,56.83,82387
2020-09-17,55.83,56.22,55.24,55.94,192700
2020-09-18,56.06,56.4,54.58,54.58,147574
2020-09-21,53.23,54.28,53.01,53.75,92776
2020-09-22,53.89,54.31,52.81,53.6,113092
2020-09-23,52.96,53.12,50.51,50.85,173754
2020-09-24,50.23,52.5,50.15,51.89,100886
2020-09-25,51.4,52.03,51.13,51.89,64298
2020-09-28,52.25,53.06,51.79,52.46,55136
2020-09-29,52.96,53.55,52.77,53.01,71498
2020-09-30,52.47,53.97,52.35,53.64,126274
2020-10-01,54.04,54.11,52.92,53.07,281131
2020-10-02,52.9,53.52,52.51,52.59,169731
2020-10-05,52.65,53.99,52.65,53.33,104206
2020-10-06,53.53,53.8,51.33,51.39,162862
2020-10-07,51.82,52.15,51.45,51.65,136238
2020-10-08,51.96,52.48,51.7,52.14,120803
2020-10-09,53.01,53.13,52.27,53.07,228876
2020-10-12,53.15,53.59,52.8,53.12,116762
2020-10-13,52.7,53.07,52.07,53.01,180930
2020-10-14,53.39,54.32,53.14,54.06,161821
2020-10-15,53.34,53.73,52.8,53.21,154211
2020-10-16,53.34,53.5,52.81,52.93,147894
2020-10-19,53.3,53.45,52.02,52.09,158211
2020-10-20,52.14,52.45,51.43,51.67,160281
2020-10-21,52.05,52.68,51.74,51.92,173943
2020-10-22,51.21,51.37,50.54,51.11,144828
2020-10-23,51.13,51.5,50.73,51.07,115385
2020-10-26,50.6,51.55,50.51,50.9,166493
2020-10-27,51.13,52.19,50.92,52.0,320785
2020-10-28,50.98,51.1,49.23,49.58,1227149
2020-10-29,49.81,51.91,49.43,50.95,296968
2020-10-30,51.54,53.17,51.4,53.08,528450
2020-11-02,53.39,54.82,52.91,54.68,265810
2020-11-03,55.0,56.77,55.0,56.3,276034
2020-11-04,56.24,56.47,54.86,54.95,366976
2020-11-05,56.53,57.66,56.35,57.33,431519
2020-11-06,57.68,57.79,57.01,57.51,156794
2020-11-09,54.01,56.17,53.21,55.86,410311
2020-11-10,55.35,55.67,54.26,54.78,280184
2020-11-11,54.28,55.45,53.48,55.45,461513
2020-11-12,55.74,55.89,54.81,54.92,252614
2020-11-13,55.75,55.79,55.21,55.51,161545
2020-11-16,55.22,55.82,54.85,55.46,116244
2020-11-17,55.11,55.5,54.45,54.45,168935
2020-11-18,54.37,54.37,51.94,51.99,185349
2020-11-19,51.39,51.93,51.04,51.88,311261
2020-11-20,52.39,52.66,51.63,52.05,212176
2020-11-23,51.43,51.69,49.48,49.56,274433
2020-11-24,48.4,48.73,47.77,48.03,445478
2020-11-25,48.66,49.09,48.43,48.81,168489
2020-11-27,48.2,49.51,47.97,49.4,115445
2020-11-30,48.94,49.74,48.55,49.7,297061
2020-12-01,50.52,50.98,49.37,50.84,289830
2020-12-02,50.73,51.13,50.34,50.64,221146
2020-12-03,50.84,51.17,50.01,50.25,97380
2020-12-04,50.16,50.53,49.85,50.2,183116
2020-12-07,50.33,52.46,50.33,51.9,262577
2020-12-08,52.22,52.36,51.54,51.95,170266
2020-12-09,51.61,51.76,50.39,50.71,199421
2020-12-10,50.82,51.37,50.25,50.3,172597
2020-12-11,50.16,50.78,49.81,50.06,160563
2020-12-14,50.05,50.48,48.92,48.94,149426
2020-12-15,49.83,50.58,49.54,50.2,163130
2020-12-16,50.52,51.35,50.19,51.19,146329
2020-12-17,52.03,52.96,51.93,52.39,134169
2020-12-18,52.24,52.24,51.45,51.45,116244
