date,open,high,low,close,volume
2020-07-27,36.34,37.65,36.34,37.43,54884
2020-07-28,38.49,38.67,37.59,37.63,49641
2020-07-29,38.55,39.05,37.84,38.72,53471
2020-07-30,38.54,41.48,38.54,41.11,125926
2020-07-31,41.945,42.01,40.26,41.55,113981
2020-08-03,42.21,42.83,41.9,42.57,174832
2020-08-04,42.86,42.86,41.4,42.26,86036
2020-08-05,41.89,42.74,41.585,42.5,90227
2020-08-06,42.05,42.385,40.01,41.3,154855
2020-08-07,40.87,45.24,39.64,40.06,272510
2020-08-10,39.03,39.03,36.06,36.955,294048
2020-08-11,36.78,38.145,36.06,37.755,284133
2020-08-12,38.33,40.06,38.13,38.85,204450
2020-08-13,39.15,39.565,38.25,38.87,58860
2020-08-14,39.2,39.74,38.25,38.495,27241
2020-08-17,37.72,39.94,37.72,39.94,151777
2020-08-18,40.435,40.435,39.5,40.065,108178
2020-08-19,39.99,40.09,38.275,39.305,70932
2020-08-20,39.29,40.43,39.29,40.265,187537
2020-08-21,40.4,40.4,38.925,38.925,38001
2020-08-24,38.0,38.715,37.42,38.105,52829
2020-08-25,37.735,39.04,37.345,39.04,110724
2020-08-26,39.28,40.32,39.06,39.925,94412
2020-08-27,39.69,39.995,38.645,39.75,71789
2020-08-28,40.11,40.83,39.63,39.68,63904
2020-08-31,39.69,39.695,38.215,38.28,68002
2020-09-01,39.02,40.4,39.02,39.73,197261
2020-09-02,40.11,40.11,37.94,39.03,121771
2020-09-03,37.79,37.86,35.61,36.275,183402
2020-09-04,35.17,36.25,32.92,34.78,125808
2020-09-08,33.275,34.725,32.765,32.92,134378
2020-09-09,33.79,34.4,33.22,34.02,92826
2020-09-10,34.82,35.12,33.385,33.55,65555
2020-09-11,34.38,34.51,33.745,34.18,118018
2020-09-14,34.36,35.09,34.18,34.76,161467
2020-09-15,35.415,36.24,35.08,36.18,169589
2020-09-16,36.08,36.3,35.505,35.94,112976
2020-09-17,34.61,36.14,34.595,36.09,134049
2020-09-18,36.535,37.165,35.695,37.11,156827
2020-09-21,36.8,38.945,36.655,38.92,220023
2020-09-22,39.21,39.94,37.59,39.89,189821
2020-09-23,39.95,40.575,39.46,39.985,148776
2020-09-24,39.25,39.5,38.12,38.52,118523
2020-09-25,38.84,40.13,38.255,40.055,89963
2020-09-28,40.155,41.005,39.61,40.905,59016
2020-09-29,41.01,41.49,40.49,40.67,89521
2020-09-30,40.43,41.755,40.205,41.09,82414
2020-10-01,41.67,42.54,41.47,42.025,253672
2020-10-02,41.01,42.55,40.96,41.77,114148
2020-10-05,42.0,43.14,41.81,42.91,94576
2020-10-06,42.77,43.085,41.705,42.22,326997
2020-10-07,42.92,43.42,42.62,43.35,186587
2020-10-08,44.4,44.56,42.98,43.41,142745
2020-10-09,43.66,46.37,43.56,46.36,184653
2020-10-12,47.05,57.3,47.05,57.04,1403382
2020-10-13,55.43,60.1,54.83,59.79,637437
2020-10-14,59.49,61.645,58.19,61.51,614686
2020-10-15,55.92,60.04,54.855,58.8,621317
2020-10-16,60.2,61.86,58.065,58.3,237735
2020-10-19,58.685,60.09,57.83,58.32,165980
2020-10-20,57.78,58.44,56.92,57.06,100885
2020-10-21,57.675,58.29,54.64,55.0,202186
2020-10-22,55.07,56.61,54.31,55.82,108517
2020-10-23,55.645,56.3,54.96,55.84,122276
2020-10-26,55.28,56.48,53.71,54.74,164066
2020-10-27,55.99,57.7,55.34,55.95,173206
2020-10-28,55.35,55.795,54.1,54.7,132806
2020-10-29,55.19,55.49,53.545,53.945,156597
2020-10-30,53.25,53.69,50.57,51.98,216836
2020-11-02,52.53,53.07,50.95,51.97,146879
2020-11-03,52.0,53.14,51.6,53.08,66146
2020-11-04,55.66,57.0,54.35,56.09,156249
2020-11-05,57.88,58.415,56.3,58.07,252014
2020-11-06,63.61,71.76,61.885,64.03,992009
2020-11-09,62.745,66.07,60.615,64.63,541739
2020-11-10,61.595,64.635,58.35,61.19,381623
2020-11-11,61.985,66.08,61.985,65.47,188472
2020-11-12,64.0,65.08,62.74,64.05,660245
2020-11-13,64.55,64.66,63.11,63.75,336744
2020-11-16,60.28,64.86,60.01,64.52,193299
2020-11-17,63.99,66.58,63.07,66.03,457343
2020-11-18,66.61,66.86,64.06,64.45,136055
2020-11-19,64.76,66.25,64.375,65.855,238611
2020-11-20,66.03,68.16,65.56,66.51,184346
2020-11-23,67.06,67.21,64.64,66.12,239701
2020-11-24,66.2,68.85,65.2,66.7,190987
2020-11-25,66.73,70.0,66.73,70.0,168748
2020-11-27,71.01,74.91,71.01,74.74,204137
2020-11-30,74.5,76.67,70.11,75.21,385188
2020-12-01,76.455,76.49,71.22,72.24,146384
2020-12-02,71.5,71.98,68.9,71.83,112044
2020-12-03,72.96,75.115,72.55,74.0,157368
2020-12-04,74.4,77.75,74.155,77.39,214226
2020-12-07,77.66,82.52,77.66,81.97,271453
2020-12-08,82.25,84.335,80.9,83.5,242925
2020-12-09,82.1,82.34,75.8,77.34,193829
2020-12-10,76.45,86.09,76.45,84.19,457844
2020-12-11,82.98,82.98,78.82,82.45,239694
2020-12-14,83.26,84.2,80.97,81.525,141352
2020-12-15,81.89,83.27,80.45,81.44,274897
2020-12-16,81.7,81.9,79.84,81.81,154988
2020-12-17,82.335,82.335,79.655,81.82,147982
2020-12-18,82.04,84.11,81.22,83.81,280999
2020-12-21,85.16,87.2,83.02,86.22,276282
2020-12-22,87.0,88.755,84.45,86.64,192731
2020-12-23,86.14,86.17,81.42,82.01,130620
2020-12-24,83.96,87.265,82.66,84.91,94281
2020-12-28,86.395,86.48,77.52,77.52,220683
2020-12-29,79.51,80.03,76.0,76.29,228234
2020-12-30,77.155,78.31,74.62,77.54,168888
2020-12-31,77.5,77.7,75.09,76.04,102102
2021-01-04,77.305,77.305,72.29,74.44,115310
2021-01-05,73.79,75.57,73.72,75.14,102628
2021-01-06,72.77,75.22,71.15,73.22,138281
2021-01-07,74.44,79.17,74.44,79.06,189146
2021-01-08,80.08,81.94,77.68,79.12,167281
2021-01-11,77.87,79.87,76.29,76.52,109550
2021-01-12,76.89,78.18,75.72,77.88,166754
2021-01-13,78.69,82.7,78.02,82.41,243547
2021-01-14,83.01,84.78,79.84,80.49,172894
