date,open,high,low,close,volume
2020-07-27,19.98,19.98,19.78,19.87,16058
2020-07-28,19.88,20.31,19.85,20.2,126672
2020-07-29,20.14,20.29,20.07,20.28,22334
2020-07-30,20.02,20.21,19.89,20.2,60198
2020-07-31,20.19,20.27,19.84,20.18,63258
2020-08-03,19.98,19.98,19.64,19.82,56511
2020-08-04,19.8,20.09,19.72,19.9,87259
2020-08-05,20.23,20.72,19.8,20.1,179261
2020-08-06,20.04,20.15,19.74,20.08,97974
2020-08-07,20.03,20.7,20.03,20.43,275628
2020-08-10,20.53,20.58,20.27,20.48,74448
2020-08-11,20.52,20.56,19.97,20.06,78175
2020-08-12,20.26,20.44,20.07,20.43,56420
2020-08-13,20.35,20.38,20.02,20.11,66221
2020-08-14,19.95,20.07,19.86,19.91,25242
2020-08-17,19.91,20.05,19.77,19.78,68119
2020-08-18,19.78,19.78,19.35,19.46,90008
2020-08-19,19.4,19.49,19.26,19.35,74397
2020-08-20,19.13,19.29,18.9,18.96,66041
2020-08-21,19.03,19.03,18.66,18.76,55118
2020-08-24,18.79,19.02,18.58,19.0,127085
2020-08-25,18.97,18.97,18.71,18.78,84722
2020-08-26,18.53,18.65,18.23,18.32,62830
2020-08-27,18.32,18.51,18.12,18.32,59728
2020-08-28,18.38,18.48,18.05,18.48,284589
2020-08-31,18.44,18.46,18.16,18.29,56810
2020-09-01,18.06,18.2,17.59,17.66,109818
2020-09-02,17.67,18.46,17.67,18.41,108724
2020-09-03,18.6,18.87,18.29,18.52,65385
2020-09-04,18.6,18.77,18.31,18.4,52686
2020-09-08,18.34,18.35,17.98,18.12,60375
2020-09-09,18.23,18.51,18.16,18.26,150228
2020-09-10,18.09,18.25,18.04,18.08,112522
2020-09-11,18.07,18.26,17.98,18.2,64859
2020-09-14,18.28,18.62,18.28,18.48,180683
2020-09-15,18.63,18.67,18.16,18.26,122897
2020-09-16,18.29,18.58,18.26,18.37,503872
2020-09-17,18.32,18.52,18.24,18.5,87623
2020-09-18,18.42,18.69,18.09,18.16,121594
2020-09-21,18.0,18.43,17.74,18.33,63353
2020-09-22,18.37,18.43,18.09,18.23,65658
2020-09-23,18.39,18.55,17.82,17.82,113871
2020-09-24,17.87,18.0,17.57,17.85,64769
2020-09-25,17.83,18.32,17.83,18.29,100368
2020-09-28,18.31,18.38,18.03,18.03,205217
2020-09-29,18.08,18.25,17.83,18.15,106786
2020-09-30,18.27,18.39,18.13,18.16,113130
2020-10-01,18.09,18.22,17.87,18.14,510429
2020-10-02,17.98,18.4,17.89,18.28,611691
2020-10-05,18.28,18.32,18.04,18.15,710934
2020-10-06,18.17,18.81,18.12,18.51,121790
2020-10-07,18.54,18.58,18.15,18.22,287580
2020-10-08,18.26,18.56,18.25,18.46,304474
2020-10-09,18.59,18.65,18.34,18.57,113104
2020-10-12,18.53,19.11,18.53,19.03,76499
2020-10-13,18.91,19.09,18.79,19.07,139824
2020-10-14,19.08,19.26,19.03,19.23,137443
2020-10-15,19.01,19.4,18.93,19.3,122059
2020-10-16,19.28,19.55,19.18,19.42,135212
2020-10-19,19.62,19.67,19.28,19.39,145470
2020-10-20,19.49,19.54,19.16,19.5,118251
2020-10-21,19.4,19.64,19.26,19.47,182024
2020-10-22,19.45,19.9,19.34,19.85,157528
2020-10-23,20.07,20.1,19.92,20.07,130938
2020-10-26,19.95,20.04,19.76,20.02,213434
2020-10-27,19.99,20.24,19.93,20.02,164085
2020-10-28,19.84,20.03,19.09,19.12,186704
2020-10-29,19.02,19.34,18.72,19.13,196866
2020-10-30,18.98,19.26,18.87,19.14,88136
2020-11-02,19.29,19.64,19.12,19.54,151671
2020-11-03,19.69,20.2,19.69,20.03,92185
2020-11-04,19.86,20.28,19.62,19.69,283472
2020-11-05,19.87,20.15,19.7,19.71,95530
2020-11-06,19.73,19.84,19.31,19.34,248712
2020-11-09,20.12,20.81,20.07,20.08,217553
2020-11-10,20.09,20.92,20.09,20.87,149450
2020-11-11,20.9,20.9,20.44,20.52,90997
2020-11-12,20.27,20.34,19.74,19.87,115324
2020-11-13,19.98,20.41,19.9,20.39,107658
2020-11-16,20.66,20.75,20.34,20.5,225933
2020-11-17,20.27,20.86,20.27,20.6,123936
2020-11-18,20.86,20.86,19.94,19.95,115962
2020-11-19,19.84,19.92,19.54,19.67,54815
2020-11-20,19.72,19.98,19.57,19.92,123012
2020-11-23,19.89,20.38,19.89,20.27,118135
2020-11-24,20.44,21.06,20.31,20.78,173041
2020-11-25,20.81,20.81,20.46,20.73,99475
2020-11-27,20.55,20.56,20.28,20.42,27106
2020-11-30,20.23,20.41,20.02,20.17,81465
2020-12-01,20.25,20.56,20.23,20.4,80103
2020-12-02,20.27,20.57,20.26,20.49,80282
2020-12-03,20.39,20.65,20.27,20.28,107357
2020-12-04,20.29,20.37,19.96,19.99,113700
2020-12-07,19.91,20.04,19.8,19.93,90430
2020-12-08,19.88,19.89,19.32,19.33,171165
2020-12-09,19.37,19.53,19.23,19.32,127447
2020-12-10,19.29,19.29,18.71,18.8,225086
2020-12-11,18.83,19.09,18.78,19.07,188870
2020-12-14,19.27,19.47,18.87,18.88,99870
2020-12-15,18.91,19.36,18.82,19.32,77318
2020-12-16,19.43,19.49,18.97,18.99,59503
2020-12-17,19.22,19.24,19.0,19.0,76772
2020-12-18,19.01,19.07,18.58,18.64,96371
2020-12-21,18.4,18.4,17.84,17.94,182286
2020-12-22,17.93,18.1,17.65,18.07,90126
2020-12-23,18.15,18.45,18.15,18.24,122159
2020-12-24,18.27,18.43,18.02,18.41,52341
2020-12-28,18.44,18.72,18.41,18.57,90450
2020-12-29,18.55,18.8,18.55,18.61,163761
2020-12-30,18.5,18.83,18.48,18.78,135408
2020-12-31,18.78,19.11,18.75,19.11,50555
2021-01-04,19.11,19.11,18.75,18.82,71784
2021-01-05,18.9,18.9,18.6,18.75,79415
2021-01-06,18.87,19.29,18.83,19.17,125750
2021-01-07,19.11,19.15,18.39,18.44,108562
2021-01-08,18.38,18.42,18.04,18.17,162491
2021-01-11,18.12,18.29,18.04,18.21,166641
2021-01-12,18.17,18.37,17.88,18.22,159703
2021-01-13,18.22,18.48,18.02,18.32,81877
2021-01-14,18.3,18.31,18.0,18.21,52169
2021-01-15,18.24,19.19,18.12,19.1,242917
2021-01-19,19.16,19.16,18.6,18.71,120649
2021-01-20,18.56,18.79,18.55,18.65,114794
2021-01-21,18.47,18.51,18.14,18.27,63091
2021-01-22,18.16,18.32,18.03,18.29,108902
2021-01-25,18.27,18.53,18.11,18.41,148612
2021-01-26,18.41,18.41,18.05,18.08,107681
2021-01-27,17.98,18.16,17.57,17.7,158786
2021-01-28,17.78,18.87,17.76,18.48,187626
2021-01-29,18.09,18.55,17.92,18.43,136169
2021-02-01,18.45,18.57,18.34,18.52,107200
2021-02-02,18.57,18.93,18.4,18.72,93034
2021-02-03,18.71,18.73,18.42,18.55,100360
2021-02-04,18.5,18.96,18.34,18.96,122191
2021-02-05,19.0,19.11,18.86,18.99,114720
2021-02-08,19.01,19.07,18.68,18.76,59912
2021-02-09,18.85,18.86,18.54,18.81,41805
2021-02-10,18.93,19.0,18.76,18.89,84195
2021-02-11,18.86,19.13,18.85,19.12,154624
2021-02-12,19.1,19.25,18.85,18.94,144667
2021-02-16,18.91,19.07,18.78,18.81,134535
2021-02-17,19.04,19.14,18.6,19.06,84956
2021-02-18,19.17,19.38,18.94,19.2,114795
2021-02-19,19.24,19.53,19.09,19.2,186489
2021-02-22,19.2,19.2,18.53,18.82,82915
2021-02-23,19.0,19.17,18.73,19.03,65314
2021-02-24,18.99,19.01,18.67,18.68,313181
2021-02-25,18.66,18.86,18.54,18.6,214122
2021-02-26,18.6,18.7,18.14,18.15,279165
2021-03-01,18.42,18.7,18.39,18.5,310453
2021-03-02,18.47,18.52,18.21,18.31,155967
2021-03-03,18.16,18.26,17.76,18.13,158752
2021-03-04,18.22,18.46,17.96,18.09,271891
2021-03-05,18.14,18.49,18.09,18.38,364324
2021-03-08,18.45,18.63,18.36,18.54,442710
2021-03-09,18.56,18.58,18.39,18.53,285917
2021-03-10,18.52,18.75,18.46,18.62,310510
2021-03-11,18.65,18.9,18.55,18.67,331970
2021-03-12,18.87,19.12,18.74,18.96,310206
2021-03-15,19.05,19.58,19.01,19.37,346152
2021-03-16,19.32,19.76,19.32,19.72,364377
2021-03-17,19.67,20.03,19.61,19.73,523458
2021-03-18,19.72,20.03,19.58,19.82,266652
2021-03-19,19.88,20.18,19.73,19.92,253926
2021-03-22,20.14,20.14,19.47,19.69,420757
2021-03-23,19.64,19.92,19.5,19.79,202913
2021-03-24,19.68,20.25,19.67,20.13,299783
2021-03-25,20.23,20.57,20.08,20.5,172394
2021-03-26,20.43,20.45,19.81,20.02,206300
2021-03-29,20.08,20.42,19.95,20.31,187890
2021-03-30,20.24,20.24,19.98,20.18,125987
2021-03-31,20.11,20.33,20.08,20.29,80028
2021-04-01,20.25,20.26,20.03,20.24,60323
2021-04-05,20.28,20.62,20.28,20.54,72949
2021-04-06,20.49,20.63,20.37,20.62,127536
2021-04-07,20.69,20.74,20.58,20.72,51423
2021-04-08,20.76,20.84,20.61,20.73,200297
2021-04-09,20.85,20.97,20.66,20.77,70886
2021-04-12,20.82,20.89,20.73,20.81,72036
2021-04-13,19.89,20.87,19.76,20.61,505115
2021-04-14,20.67,21.36,20.65,21.24,348925
2021-04-15,21.15,21.61,21.12,21.51,193765
2021-04-16,21.61,21.79,21.54,21.55,107865
2021-04-20,21.7,22.09,21.66,22.02,99050
2021-04-21,22.01,22.07,21.66,21.91,217296
2021-04-22,21.95,22.04,21.78,21.79,124767
2021-04-23,21.58,21.94,21.54,21.63,118687
2021-04-26,21.67,21.67,21.53,21.59,109432
2021-04-27,21.53,21.56,21.38,21.5,168873
2021-04-28,21.56,21.67,21.37,21.54,190897
2021-04-29,21.63,21.99,21.62,21.85,265311
2021-04-30,21.98,22.07,21.81,22.05,311572
2021-05-03,22.06,22.21,21.88,21.98,172969
2021-05-04,22.07,22.13,21.75,21.98,151204
2021-05-05,21.84,21.94,21.69,21.89,226374
2021-05-06,21.96,22.05,21.81,21.86,120663
2021-05-07,21.79,22.17,21.74,22.05,178811
2021-05-10,22.14,22.57,22.07,22.46,204868
2021-05-11,22.39,22.39,21.74,21.91,155921
2021-05-12,21.95,21.96,21.51,21.56,51260
2021-05-13,21.51,21.97,21.47,21.86,78953
2021-05-14,21.84,22.04,21.84,21.84,62690
2021-05-17,21.87,21.87,21.57,21.59,84889
2021-05-18,21.58,21.58,21.38,21.41,63659
2021-05-19,21.32,21.4,21.09,21.36,99317
2021-05-20,21.39,21.58,21.34,21.47,186902
2021-05-21,21.49,21.59,21.34,21.57,80849
2021-05-24,21.63,21.79,21.56,21.69,163691
2021-05-25,21.67,21.67,21.39,21.5,103378
2021-05-26,21.52,21.65,21.48,21.6,139378
2021-05-27,21.76,21.76,21.59,21.65,142510
2021-05-28,21.79,21.83,21.59,21.63,232438
2021-06-01,21.65,21.67,21.5,21.58,146617
2021-06-02,21.57,21.78,21.53,21.68,474463
2021-06-03,21.65,21.7,21.51,21.61,423950
2021-06-04,21.63,21.68,21.56,21.61,233423
2021-06-07,21.66,21.67,21.56,21.65,107637
2021-06-08,21.63,21.63,21.38,21.56,141111
2021-06-09,21.58,21.8,21.55,21.73,138123
2021-06-10,21.75,21.94,21.69,21.85,246403
2021-06-11,21.87,22.07,21.8,22.06,342537
2021-06-14,22.06,22.17,21.91,22.08,187574
2021-06-15,22.16,22.37,22.14,22.19,202018
2021-06-16,22.3,22.33,21.87,21.9,121283
2021-06-17,21.88,22.06,21.81,21.93,67349
2021-06-18,21.75,21.75,21.17,21.23,150732
2021-06-21,21.23,21.58,21.14,21.55,153442
2021-06-22,21.59,21.59,21.31,21.34,69582
2021-06-23,21.38,21.38,21.08,21.09,67306
2021-06-24,21.13,21.17,20.92,21.07,83363
2021-06-25,21.15,21.29,21.05,21.29,59509
2021-06-28,21.35,21.45,21.26,21.35,104323
2021-06-29,21.34,21.39,20.81,20.92,86504
2021-06-30,20.88,20.94,20.65,20.79,128716
2021-07-01,20.84,21.18,20.74,21.03,83497
2021-07-02,21.05,21.09,20.86,21.07,102338
2021-07-06,20.99,21.14,20.71,21.11,69084
2021-07-07,20.95,21.25,20.95,21.23,44609
2021-07-08,21.06,21.26,21.06,21.17,83332
2021-07-09,21.29,21.35,21.07,21.34,60030
2021-07-12,21.15,21.45,21.15,21.41,88741
2021-07-13,21.41,21.42,21.18,21.19,56321
2021-07-14,21.12,21.42,21.05,21.36,56370
2021-07-15,21.35,21.71,21.29,21.69,82522
2021-07-16,21.68,21.99,21.68,21.84,158154
2021-07-19,21.72,21.84,20.89,21.17,137399
2021-07-20,21.24,21.58,21.23,21.35,122231
2021-07-21,21.36,21.44,21.03,21.04,83964
2021-07-22,21.11,21.18,21.0,21.11,99071
2021-07-23,21.17,21.44,21.16,21.39,92370
2021-07-26,21.39,21.47,21.28,21.41,90520
2021-07-27,21.39,21.78,21.29,21.74,69553
2021-07-28,21.67,21.71,21.44,21.63,44717
2021-07-29,21.68,21.74,21.51,21.57,49628
2021-07-30,21.57,21.69,21.07,21.2,236092
2021-08-02,21.23,21.6,21.21,21.5,82507
2021-08-03,21.62,21.8,21.44,21.65,82398
2021-08-04,21.62,21.64,21.26,21.6,67902
2021-08-05,21.53,21.8,21.52,21.77,86904
2021-08-06,21.8,21.99,21.73,21.73,70362
2021-08-09,21.81,21.81,21.46,21.6,67253
2021-08-10,21.6,21.6,21.41,21.46,105509
2021-08-11,21.47,21.75,21.46,21.72,91566
2021-08-12,21.72,21.79,21.57,21.64,90214
2021-08-13,21.69,21.86,21.62,21.8,74155
2021-08-16,21.83,22.03,21.73,21.94,123443
2021-08-17,21.83,22.05,21.83,21.98,114547
2021-08-18,22.0,22.0,21.74,21.81,187405
2021-08-19,21.8,22.12,21.79,21.82,205490
2021-08-20,21.83,22.04,21.8,22.0,86788
2021-08-23,21.96,22.02,21.68,21.68,105135
2021-08-24,21.57,21.63,21.32,21.55,229858
2021-08-25,21.39,21.52,21.3,21.41,198624
2021-08-26,21.32,21.38,21.11,21.2,127415
2021-08-27,21.21,21.33,21.19,21.23,86720
2021-08-30,21.21,21.29,21.17,21.19,104540
2021-08-31,21.19,21.29,21.0,21.08,209470
2021-09-01,21.17,21.57,21.12,21.56,105726
2021-09-02,21.67,21.74,21.6,21.72,129340
2021-09-03,21.64,21.66,21.44,21.45,38802
2021-09-07,21.38,21.41,21.1,21.12,113055
2021-09-08,21.14,21.58,21.14,21.51,124816
2021-09-09,21.5,21.54,21.41,21.42,205316
2021-09-10,21.45,21.47,21.05,21.05,133644
2021-09-13,21.22,21.44,21.05,21.14,198005
2021-09-14,21.24,21.29,20.71,20.8,154905
2021-09-15,20.8,20.97,20.69,20.7,166097
2021-09-16,20.93,20.93,20.58,20.58,121017
2021-09-17,20.64,20.7,20.52,20.57,152310
2021-09-20,20.51,20.72,20.25,20.47,145972
2021-09-21,20.51,20.72,20.46,20.54,79837
2021-09-22,20.57,20.79,20.49,20.64,194686
2021-09-23,20.59,20.79,20.44,20.46,156341
2021-09-24,20.48,20.65,20.38,20.55,113965
2021-09-27,20.65,20.88,20.38,20.44,244600
2021-09-28,20.43,20.56,20.24,20.41,119915
2021-09-29,20.45,20.82,20.34,20.73,129922
2021-09-30,20.75,20.85,20.6,20.73,118078
2021-10-01,20.74,20.95,20.7,20.79,137614
2021-10-04,20.89,21.16,20.86,21.04,189485
2021-10-05,20.99,21.05,20.76,20.86,195386
2021-10-06,20.8,21.12,20.55,21.08,115597
2021-10-07,21.08,21.24,20.97,21.02,95123
2021-10-08,20.91,21.08,20.89,20.91,98871
2021-10-11,20.91,20.98,20.77,20.82,93557
2021-10-12,20.85,20.97,20.76,20.84,111358
2021-10-13,21.0,21.22,20.98,21.13,111155
2021-10-14,21.19,21.43,21.15,21.31,126604
2021-10-15,21.31,21.4,21.18,21.29,92912
2021-10-18,21.15,21.15,20.93,20.99,63384
2021-10-19,21.03,21.1,20.95,21.07,70648
2021-10-20,21.18,21.42,21.14,21.32,108008
2021-10-21,21.34,21.39,21.25,21.31,85137
2021-10-22,21.31,21.51,21.3,21.44,119904
2021-10-26,21.39,21.5,21.31,21.36,99554
2021-10-27,21.4,21.43,21.2,21.25,93938
2021-10-28,21.22,21.32,21.21,21.3,100045
2021-10-29,21.29,21.41,21.19,21.3,129876
2021-11-01,21.28,21.49,21.25,21.44,126973
2021-11-02,21.48,21.48,21.26,21.36,135900
2021-11-03,21.51,22.09,21.48,21.84,387550
2021-11-04,21.88,21.88,21.39,21.65,281508
2021-11-05,21.79,21.98,21.72,21.86,192740
2021-11-08,21.8,21.8,21.48,21.65,75965
2021-11-09,21.67,21.77,21.57,21.61,112478
2021-11-10,21.68,21.92,21.67,21.85,189674
2021-11-11,21.84,21.84,21.53,21.65,137495
2021-11-12,21.65,21.77,21.58,21.65,124411
2021-11-15,21.8,22.07,21.74,22.05,139543
2021-11-16,22.07,22.16,21.81,21.83,88016
2021-11-17,21.73,21.86,21.68,21.84,161373
2021-11-18,21.89,21.91,21.63,21.68,107546
2021-11-19,21.67,21.79,21.55,21.79,274314
2021-11-22,21.75,22.09,21.67,22.0,113305
2021-11-23,22.0,22.27,21.94,22.05,95273
2021-11-24,22.12,22.12,21.95,21.99,46601
2021-11-26,21.76,21.86,21.54,21.6,44752
2021-11-29,21.69,21.87,21.44,21.81,253291
2021-11-30,21.64,21.67,21.15,21.16,281231
2021-12-01,21.33,21.7,21.05,21.05,272378
2021-12-02,21.13,21.62,21.13,21.42,200762
2021-12-03,21.59,21.7,21.4,21.67,162975
2021-12-06,21.82,22.29,21.82,22.18,140891
2021-12-07,22.15,22.44,22.06,22.3,166098
2021-12-08,22.34,22.45,22.26,22.29,137841
2021-12-09,22.27,22.44,22.2,22.31,103722
2021-12-10,22.43,22.49,22.31,22.39,180760
2021-12-13,22.37,22.77,22.37,22.69,121801
2021-12-14,22.75,22.84,22.57,22.63,190435
2021-12-15,22.67,22.97,22.63,22.97,148913
2021-12-16,23.0,23.41,22.98,23.23,330465
2021-12-17,23.18,23.35,23.09,23.19,200771
2021-12-20,23.04,23.37,22.9,23.35,164578
2021-12-21,23.41,23.56,23.11,23.16,95470
2021-12-22,23.13,23.28,23.06,23.23,70886
2021-12-23,23.28,23.38,23.17,23.2,61882
2021-12-27,23.15,23.4,23.15,23.38,92275
2021-12-28,23.51,23.62,23.45,23.62,61326
2021-12-29,23.59,23.91,23.57,23.91,130260
2021-12-30,23.99,24.0,23.68,23.79,99029
2021-12-31,23.81,23.96,23.72,23.84,93247
2022-01-03,23.84,23.84,23.5,23.77,79322
2022-01-04,23.85,24.07,23.77,23.85,113586
2022-01-05,24.0,24.14,23.86,23.97,267183
2022-01-06,24.01,24.07,23.84,23.88,104488
2022-01-07,23.84,24.14,23.7,24.06,162719
2022-01-10,24.09,24.19,23.87,23.98,130690
2022-01-11,23.94,24.04,23.62,24.02,133119
2022-01-12,23.95,24.18,23.87,24.13,135015
2022-01-13,24.13,24.55,24.1,24.47,231497
2022-01-14,24.38,24.52,24.29,24.46,205361
2022-01-18,24.37,24.42,24.02,24.33,227279
2022-01-19,24.24,24.39,23.98,24.12,253287
2022-01-20,24.07,24.35,23.99,24.04,176425
2022-01-21,24.11,24.19,23.7,23.75,196894
2022-01-24,23.64,23.74,23.31,23.41,58600
2022-01-25,23.22,23.57,23.15,23.43,263484
2022-01-26,23.37,23.86,23.36,23.61,262575
2022-01-27,23.84,24.27,23.81,24.15,267242
2022-01-28,24.39,25.27,24.39,25.27,684824
2022-01-31,25.13,25.23,24.78,25.19,311334
2022-02-01,24.99,25.33,24.68,24.89,259500
2022-02-02,25.05,25.6,25.05,25.55,395916
2022-02-03,25.63,26.03,25.41,25.68,309509
2022-02-04,25.38,25.63,25.01,25.34,182079
2022-02-07,25.27,25.27,24.96,25.07,234873
2022-02-08,25.21,25.44,25.05,25.14,116094
2022-02-09,25.34,25.36,25.02,25.25,264470
2022-02-10,25.04,25.23,24.67,24.8,170132
2022-02-11,24.85,25.17,24.71,25.02,232345
2022-02-14,25.06,25.13,24.47,24.74,161388
2022-02-15,24.6,25.01,24.5,24.6,165199
2022-02-16,24.58,24.85,24.4,24.72,162210
2022-02-17,24.64,24.89,24.45,24.87,149391
2022-02-18,24.83,25.06,24.58,24.76,264722
2022-02-22,24.86,24.9,24.47,24.68,158680
