date,open,high,low,close,volume
2020-07-27,85.78,87.21,85.78,86.78,136695
2020-07-28,87.0,88.45,86.22,86.95,177375
2020-07-29,88.6,89.28,87.62,89.15,469330
2020-07-30,86.52,87.6,84.27,86.26,657525
2020-07-31,87.1,87.8,85.85,87.8,309775
2020-08-03,88.78,88.89,86.47,88.04,555420
2020-08-04,88.13,88.46,86.84,87.56,196465
2020-08-05,88.07,88.17,87.09,87.14,277660
2020-08-06,87.58,87.76,85.15,86.0,1342010
2020-08-07,86.2,87.84,84.78,86.24,886440
2020-08-10,86.2,87.83,84.5,87.76,1108750
2020-08-11,86.47,86.78,83.81,84.25,247095
2020-08-12,84.82,86.22,84.73,85.42,331990
2020-08-13,85.54,87.94,85.43,87.75,192035
2020-08-14,87.66,88.34,86.88,87.14,141805
2020-08-17,87.53,89.01,87.53,88.5,246195
2020-08-18,88.51,88.87,87.16,87.47,366625
2020-08-19,87.85,88.71,86.51,87.45,248420
2020-08-20,87.16,90.93,86.82,90.68,391155
2020-08-21,90.46,90.7,89.4,89.93,191940
2020-08-24,90.79,91.7,89.01,89.47,275215
2020-08-25,89.8,91.75,89.38,91.59,216240
2020-08-26,93.71,97.68,93.51,97.59,303295
2020-08-27,96.98,96.98,94.95,96.46,262040
2020-08-28,97.01,98.7,96.94,97.62,168025
2020-08-31,97.74,97.77,96.21,96.52,390170
2020-09-01,97.08,99.32,96.92,99.32,471770
2020-09-02,100.07,100.36,96.69,99.92,359225
2020-09-03,96.9,97.25,92.65,93.72,618895
2020-09-04,93.0,94.0,87.07,90.03,840180
2020-09-08,87.32,90.46,86.65,88.55,526750
2020-09-09,90.54,92.56,88.61,91.7,510045
2020-09-10,92.8,93.58,90.27,90.6,311370
2020-09-11,91.31,91.5,88.05,89.19,190595
2020-09-14,90.74,92.44,90.34,91.61,100200
2020-09-15,92.82,94.82,92.66,94.82,217835
2020-09-16,95.36,95.48,91.19,91.19,293245
2020-09-17,88.92,90.83,88.66,90.57,341890
2020-09-18,90.98,91.33,88.65,90.74,168650
2020-09-21,90.29,92.46,89.46,92.36,195835
2020-09-22,93.29,94.2,91.1,94.2,164740
2020-09-23,94.05,94.58,91.94,92.16,143390
2020-09-24,91.18,93.03,91.06,92.11,138495
2020-09-25,93.62,96.29,93.01,95.99,253245
2020-09-28,97.05,97.64,95.94,96.78,272070
2020-09-29,97.06,97.85,96.85,97.58,118780
2020-09-30,97.48,98.62,96.28,97.08,210450
2020-10-01,98.32,98.98,97.53,98.51,281065
2020-10-02,96.17,100.49,95.8,98.73,544935
2020-10-05,99.41,100.4,98.37,100.36,537220
2020-10-06,99.76,100.48,98.07,98.2,239360
2020-10-07,99.71,100.8,98.87,100.13,176340
2020-10-08,100.37,100.43,98.45,99.31,258930
2020-10-09,100.5,102.05,100.5,101.67,503210
2020-10-12,102.66,103.04,100.41,101.87,100510
2020-10-13,102.81,104.53,102.56,103.78,524320
2020-10-14,104.3,104.3,102.02,103.37,278335
2020-10-15,102.42,104.57,101.51,104.23,324945
2020-10-16,104.5,106.14,104.35,105.02,426210
2020-10-19,105.5,106.66,103.99,104.38,184180
2020-10-20,104.7,105.45,103.19,103.7,223800
2020-10-21,103.76,103.76,101.47,101.99,225725
2020-10-22,102.56,102.56,99.17,101.19,210015
2020-10-23,101.7,102.8,101.27,102.78,150855
2020-10-26,103.21,104.37,98.66,100.32,427660
2020-10-27,101.77,101.93,99.73,99.96,364105
2020-10-28,97.3,97.91,96.07,96.66,674400
2020-10-29,100.32,103.55,98.77,102.12,1013275
2020-10-30,101.0,101.51,97.17,99.61,672840
2020-11-02,99.99,101.21,94.86,95.33,622540
2020-11-03,95.1,96.88,94.61,96.05,736950
2020-11-04,101.32,103.58,100.3,102.69,546655
2020-11-05,104.62,106.66,104.32,106.38,243575
2020-11-06,105.8,107.48,103.88,106.99,184890
2020-11-09,102.44,105.6,100.22,100.22,616515
2020-11-10,99.19,99.83,94.49,96.21,642775
2020-11-11,98.6,101.5,97.96,100.69,442535
2020-11-12,103.86,105.0,101.36,101.96,400165
2020-11-13,102.15,102.17,99.2,101.7,233590
2020-11-16,99.67,100.99,99.07,100.47,474075
2020-11-17,101.17,102.93,100.93,102.6,204440
2020-11-18,102.15,102.66,100.6,101.43,168930
2020-11-19,101.88,103.96,101.15,102.98,177440
