date,open,high,low,close,volume
2020-07-27,165.3,168.7,164.03,168.19,78388
2020-07-28,167.93,167.93,163.08,163.87,122538
2020-07-29,165.95,171.46,165.19,170.75,152435
2020-07-30,168.62,169.12,164.81,167.14,45590
2020-07-31,166.41,170.93,163.81,170.18,139180
2020-08-03,170.34,170.86,166.93,168.74,53211
2020-08-04,168.17,170.45,167.36,170.25,58706
2020-08-05,172.11,172.18,170.46,170.89,66448
2020-08-06,170.56,174.72,170.56,174.28,92985
2020-08-07,173.59,177.31,173.58,176.93,41730
2020-08-10,178.99,181.94,178.73,181.54,65540
2020-08-11,183.83,188.25,183.09,183.27,78207
2020-08-12,184.14,185.24,182.21,182.36,69663
2020-08-13,180.98,182.48,180.98,181.98,47858
2020-08-14,181.69,185.25,181.49,183.81,35131
2020-08-17,183.96,186.78,183.96,185.22,27644
2020-08-18,185.34,186.0,183.1,183.65,33538
2020-08-19,184.12,184.86,182.68,182.85,31112
2020-08-20,181.45,184.54,181.25,183.55,35364
2020-08-21,182.9,186.47,182.9,185.79,31353
2020-08-24,188.33,188.86,186.67,188.86,28777
2020-08-25,188.91,190.62,188.86,190.01,40332
2020-08-26,189.26,190.64,187.95,189.51,43595
2020-08-27,189.89,190.83,188.79,189.67,45210
2020-08-28,189.74,191.6,189.22,191.2,31125
2020-08-31,190.77,192.46,188.95,188.98,59504
2020-09-01,188.88,191.87,187.76,191.53,48490
2020-09-02,191.85,192.63,189.56,190.78,76891
2020-09-03,192.2,192.35,186.06,187.34,84796
2020-09-04,189.35,189.91,184.21,185.99,79813
2020-09-08,185.38,186.23,182.85,184.01,65628
2020-09-09,185.18,191.61,185.18,188.71,169867
2020-09-10,188.58,191.23,188.4,189.59,63042
2020-09-11,190.66,194.91,190.4,193.61,44817
2020-09-14,195.49,196.92,195.01,196.12,57626
2020-09-15,196.1,198.37,195.23,197.56,55040
2020-09-16,199.18,199.87,196.33,196.45,57128
2020-09-17,194.0,199.67,192.31,198.38,73162
2020-09-18,198.32,199.53,195.87,196.6,39760
2020-09-21,193.39,193.65,187.67,190.59,33235
2020-09-22,191.67,193.06,190.86,192.7,42569
2020-09-23,193.43,195.78,188.64,189.98,32412
2020-09-24,189.26,193.14,188.13,190.6,34274
2020-09-25,191.42,195.42,191.42,194.84,34741
2020-09-28,197.89,198.22,195.82,196.58,94410
2020-09-29,196.45,196.64,192.01,192.01,78117
2020-09-30,192.86,194.71,189.49,190.46,99906
2020-10-01,191.61,192.01,187.27,188.49,139422
2020-10-02,186.01,192.17,185.6,189.19,259186
2020-10-05,191.28,192.68,190.72,191.4,47124
2020-10-06,192.38,194.03,189.83,189.86,40097
2020-10-07,191.38,194.3,191.32,193.06,67722
2020-10-08,194.79,196.19,190.06,192.49,114114
2020-10-09,195.34,195.34,192.45,194.3,60929
2020-10-12,195.64,196.9,193.06,193.22,87155
2020-10-13,193.04,194.87,190.84,191.27,56045
2020-10-14,192.36,194.92,192.36,193.27,46222
2020-10-15,190.9,195.51,190.2,195.19,66219
2020-10-16,196.1,196.94,194.08,194.71,73211
2020-10-19,194.66,195.44,189.84,189.84,71389
2020-10-20,190.85,194.61,190.8,192.04,39330
2020-10-21,190.6,192.23,189.06,189.06,68445
2020-10-22,190.16,192.67,188.35,189.7,97303
2020-10-23,191.23,192.35,190.47,191.41,76697
2020-10-26,188.98,188.99,185.95,187.24,81574
2020-10-27,187.38,187.38,180.96,181.17,97624
2020-10-28,176.71,179.14,174.52,176.13,151965
2020-10-29,177.03,185.44,177.0,183.03,170361
2020-10-30,182.01,186.08,182.01,186.08,273472
2020-11-02,188.37,191.39,185.83,191.31,497830
2020-11-03,194.19,200.06,193.25,199.14,377117
2020-11-04,201.06,203.58,196.43,196.43,122273
2020-11-05,199.59,203.8,199.59,201.68,174753
2020-11-06,201.15,201.47,198.92,199.24,51183
2020-11-09,211.14,216.58,204.75,205.83,196783
2020-11-10,207.18,211.24,205.01,211.14,269919
2020-11-11,212.13,212.13,206.32,208.27,110428
2020-11-12,207.49,208.63,204.46,206.11,90565
2020-11-13,207.72,214.38,207.59,213.81,142752
2020-11-16,216.21,220.78,215.51,220.47,99639
2020-11-17,218.77,219.52,215.89,219.5,78920
