date,open,high,low,close,volume
2019-01-10,49.39,49.39,49.39,49.39,100
2020-07-27,37.55,38.48,37.14,38.27,33342
2020-07-28,38.22,38.23,37.17,37.28,38561
2020-07-29,37.03,37.18,35.93,36.81,211983
2020-07-30,36.53,37.57,35.99,37.21,156709
2020-07-31,37.18,38.49,36.53,38.49,107043
2020-08-03,38.34,38.34,36.89,37.12,84789
2020-08-04,37.18,38.2,37.11,37.49,56937
2020-08-05,37.71,37.8,37.16,37.44,85710
2020-08-06,36.75,37.21,36.38,36.64,101666
2020-08-07,36.53,37.18,36.03,37.17,99090
2020-08-10,37.24,38.43,37.24,38.39,66498
2020-08-11,38.72,39.35,37.65,37.8,48493
2020-08-12,38.04,38.04,37.28,37.54,361570
2020-08-13,37.14,37.21,35.98,36.21,157517
2020-08-14,36.26,36.48,35.88,36.03,95598
2020-08-17,35.96,36.32,35.55,35.83,80848
2020-08-18,35.73,35.74,34.79,35.59,228374
2020-08-19,35.64,36.66,35.64,36.01,81280
2020-08-20,35.67,35.99,35.43,35.96,53560
2020-08-21,35.91,36.05,35.52,35.87,114068
2020-08-24,36.28,37.0,35.91,36.67,109899
2020-08-25,36.97,37.26,35.86,36.29,80539
2020-08-26,36.23,36.9,35.87,36.61,110764
2020-08-27,40.05,40.46,37.86,38.1,287307
2020-08-28,38.04,39.81,37.67,39.69,247056
2020-08-31,40.02,41.23,39.69,41.19,103481
2020-09-01,40.91,40.91,40.09,40.54,107454
2020-09-02,40.51,42.06,40.51,41.8,50919
2020-09-03,41.81,41.81,39.94,40.44,123636
2020-09-04,40.69,41.23,39.88,40.27,74807
2020-09-08,39.47,39.9,39.23,39.25,40763
2020-09-09,39.71,40.56,39.33,40.44,25858
2020-09-10,40.34,40.62,38.56,38.56,41140
2020-09-11,39.04,39.04,37.75,38.28,96724
2020-09-14,38.57,39.64,38.57,39.4,78270
2020-09-15,39.75,39.93,39.24,39.46,38427
2020-09-16,39.58,40.37,39.11,39.11,44866
2020-09-17,38.09,38.4,37.21,37.46,66178
2020-09-18,37.72,37.72,36.56,37.01,88543
2020-09-21,36.09,36.2,35.34,35.91,45015
2020-09-22,36.1,36.43,35.62,36.35,59953
2020-09-23,36.47,36.99,35.66,35.78,56721
2020-09-24,35.64,36.23,35.15,35.98,36353
2020-09-25,35.77,36.5,35.67,36.43,76580
