date,open,high,low,close,volume
2020-07-27,63.12,64.2,62.42,64.09,32477
2020-07-28,63.89,64.7,63.49,64.52,61876
2020-07-29,64.28,66.54,64.28,66.26,42641
2020-07-30,65.12,65.36,64.19,65.14,34580
2020-07-31,64.6,65.49,64.6,65.46,36293
2020-08-03,65.45,66.93,65.26,66.3,27646
2020-08-04,66.39,66.64,65.73,66.31,49742
2020-08-05,66.82,67.28,66.47,67.28,21099
2020-08-06,67.38,67.61,66.89,66.9,15219
2020-08-07,66.8,69.68,66.8,69.59,18859
2020-08-10,69.58,70.38,69.11,70.02,48836
2020-08-11,72.11,72.22,70.21,70.41,48344
2020-08-12,71.15,71.82,69.99,70.32,36584
2020-08-13,69.36,70.01,68.86,69.12,21396
2020-08-14,69.32,70.18,69.02,69.79,25304
2020-08-17,69.36,69.36,68.85,69.04,13656
2020-08-18,68.98,69.0,68.29,68.71,14676
2020-08-19,69.48,70.0,69.15,69.48,18553
2020-08-20,68.6,68.65,67.83,68.13,20765
2020-08-21,67.98,68.39,67.87,68.38,16847
2020-08-24,68.46,70.55,68.26,70.5,22002
2020-08-25,70.94,71.05,70.21,70.31,18727
2020-08-26,69.75,70.04,69.17,69.25,12444
2020-08-27,69.91,70.87,69.91,70.47,21211
2020-08-28,70.34,70.44,69.87,70.21,18283
2020-08-31,69.74,69.91,68.24,68.51,32708
2020-09-01,68.1,69.57,67.83,68.61,28466
2020-09-02,67.97,70.49,67.97,70.24,18274
2020-09-03,71.28,71.88,69.56,69.99,23682
2020-09-04,70.87,71.93,70.04,70.61,33356
2020-09-08,69.69,69.69,67.92,68.3,105688
2020-09-09,68.88,68.88,67.8,67.82,63839
2020-09-10,68.05,68.7,66.3,66.36,108890
2020-09-11,65.99,67.81,65.96,67.39,26587
2020-09-14,67.82,69.14,67.7,67.99,39198
2020-09-15,68.14,68.14,66.09,66.49,81057
2020-09-16,66.9,71.38,66.9,70.15,145615
2020-09-17,69.34,70.43,69.19,69.97,64587
2020-09-18,69.96,70.52,68.93,68.96,51088
2020-09-21,68.47,68.47,65.58,67.11,45839
2020-09-22,66.93,67.53,64.95,65.68,46129
2020-09-23,66.25,66.64,64.0,64.14,40552
2020-09-24,63.87,64.62,63.13,63.5,19227
2020-09-25,62.66,64.54,62.56,64.51,20574
2020-09-28,66.12,67.14,65.67,66.24,32398
2020-09-29,65.59,66.35,65.04,65.44,45629
2020-09-30,65.76,66.66,65.36,65.83,32679
2020-10-01,65.5,66.48,64.58,64.96,62613
2020-10-02,64.16,66.67,63.88,66.24,28060
2020-10-05,66.89,68.36,66.89,68.19,33649
2020-10-06,68.45,69.39,67.45,67.74,49932
2020-10-07,69.28,70.37,68.76,69.4,57959
2020-10-08,69.24,71.23,69.24,71.1,33540
2020-10-09,71.39,72.19,70.47,71.93,48157
2020-10-12,71.79,73.11,71.4,72.79,37974
2020-10-13,71.97,72.68,70.6,70.89,40865
2020-10-14,71.41,72.12,70.91,71.17,47994
2020-10-15,70.67,73.61,70.56,73.4,67230
2020-10-16,73.65,74.21,72.83,73.76,40677
2020-10-19,74.21,74.21,71.91,72.03,33389
2020-10-20,73.11,73.65,72.22,72.36,60264
2020-10-21,72.43,76.25,71.83,72.44,190441
2020-10-22,72.36,72.79,70.83,72.29,54811
2020-10-23,73.15,73.4,70.97,71.24,67894
2020-10-26,70.36,70.36,68.32,69.39,51403
2020-10-27,68.91,68.96,67.78,68.1,56836
2020-10-28,66.93,67.02,65.29,65.6,35792
2020-10-29,64.71,66.56,64.36,66.04,60848
2020-10-30,65.76,66.09,64.33,66.08,87234
2020-11-02,66.7,67.55,66.15,66.67,58394
2020-11-03,68.21,70.37,67.84,69.62,47846
2020-11-04,67.95,69.34,66.43,66.57,61070
2020-11-05,67.26,69.47,67.25,68.82,47371
2020-11-06,69.15,69.44,68.44,68.93,93140
2020-11-09,74.88,77.71,74.85,76.5,144914
2020-11-10,76.69,78.13,75.73,77.43,71023
2020-11-11,78.24,78.28,74.81,75.27,37492
2020-11-12,73.96,74.74,73.08,73.82,34328
2020-11-13,74.33,77.06,74.02,76.63,38048
2020-11-16,78.86,79.43,77.63,78.53,38241
2020-11-17,77.57,79.2,76.64,79.13,54123
2020-11-18,79.87,80.13,78.23,78.23,33315
2020-11-19,77.47,79.02,77.26,78.8,46175
2020-11-20,77.59,78.29,77.03,77.05,24394
2020-11-23,77.65,79.11,77.63,78.98,33133
2020-11-24,80.32,83.09,80.25,82.23,61243
2020-11-25,80.88,82.21,80.49,81.75,37969
2020-11-27,82.17,82.34,80.65,81.07,33733
2020-11-30,80.86,80.86,78.26,78.6,35136
2020-12-01,79.06,80.14,78.46,78.78,59010
2020-12-02,78.33,79.32,77.75,79.21,65432
2020-12-03,79.07,79.36,78.09,78.46,56836
2020-12-04,79.65,80.44,79.22,79.99,83156
2020-12-07,79.32,79.71,78.42,79.63,30132
2020-12-08,79.19,80.01,79.07,79.82,25863
2020-12-09,79.91,80.64,78.09,78.84,79128
2020-12-10,77.95,78.14,76.88,78.0,60402
2020-12-11,76.58,76.81,75.41,76.58,62135
2020-12-14,77.54,77.7,75.21,75.39,47743
2020-12-15,76.31,77.69,75.39,77.1,48307
2020-12-16,77.13,77.42,76.5,77.2,20123
2020-12-17,76.99,78.31,76.63,78.24,36333
2020-12-18,78.23,78.79,77.61,78.12,49707
2020-12-21,78.46,78.68,75.55,77.41,53224
2020-12-22,77.31,77.71,76.87,77.0,39340
2020-12-23,78.11,79.05,78.11,78.34,19718
2020-12-24,77.26,77.85,76.7,77.84,12947
2020-12-28,78.62,79.53,78.12,78.68,22206
2020-12-29,78.8,78.81,77.75,78.08,34776
2020-12-30,78.14,78.86,77.99,78.1,14374
2020-12-31,78.28,79.23,78.05,79.16,32413
2021-01-04,79.25,79.73,77.6,78.59,29484
2021-01-05,77.43,78.74,77.24,78.03,46747
2021-01-06,79.53,83.39,79.53,82.67,70294
2021-01-07,83.53,84.35,82.94,82.94,43124
2021-01-08,82.75,83.14,81.15,82.38,24620
2021-01-11,81.61,83.2,81.4,83.15,30322
2021-01-12,82.9,84.55,82.88,84.39,40557
2021-01-13,84.4,84.4,83.26,83.62,46281
2021-01-14,84.37,84.83,83.38,84.83,23307
2021-01-15,83.11,83.59,81.41,81.87,40219
2021-01-19,81.79,83.26,81.31,82.82,58760
2021-01-20,81.74,81.87,80.15,80.68,117286
2021-01-21,80.94,81.68,80.03,80.15,94079
2021-01-22,80.08,81.08,78.56,80.43,73034
2021-01-25,79.41,81.03,79.41,80.15,60387
2021-01-26,80.27,80.6,79.55,79.56,69559
2021-01-27,77.97,79.73,76.46,76.58,69983
2021-01-28,77.83,78.57,77.48,77.51,56432
2021-01-29,77.13,77.5,75.04,75.78,34507
2021-02-01,76.76,77.48,76.36,76.92,35310
2021-02-02,77.95,79.13,77.48,78.32,33281
2021-02-03,78.28,79.84,77.75,79.47,44597
2021-02-04,80.09,82.05,80.09,82.05,38396
2021-02-05,82.48,82.92,81.67,82.61,29951
2021-02-08,83.04,83.24,82.37,82.98,61591
2021-02-09,82.53,83.6,81.83,83.07,40806
2021-02-10,83.09,83.81,82.19,82.25,50870
2021-02-11,82.17,83.34,81.53,82.46,44519
2021-02-12,82.46,83.46,82.41,83.46,49699
2021-02-16,84.24,84.93,84.0,84.1,36822
2021-02-17,83.84,83.92,82.64,82.81,59379
2021-02-18,82.21,82.56,80.99,81.53,30040
2021-02-19,81.86,82.52,81.34,81.89,60420
2021-02-22,81.4,83.39,81.4,83.04,85079
2021-02-23,83.34,84.4,82.81,82.95,54579
2021-02-24,82.81,85.36,82.81,85.21,35100
2021-02-25,85.43,86.55,82.83,83.14,67953
2021-02-26,82.39,82.73,80.76,80.97,37730
2021-03-01,82.62,85.01,82.56,84.07,33176
2021-03-02,83.8,84.2,82.67,82.75,63295
2021-03-03,83.65,85.26,83.37,83.77,51131
2021-03-04,83.74,83.98,81.62,82.94,50495
2021-03-05,84.59,85.2,82.47,85.0,46199
2021-03-08,85.93,87.59,85.16,86.34,50904
2021-03-09,85.39,87.51,84.27,85.33,40849
2021-03-10,86.3,87.68,86.13,86.16,92537
