date,open,high,low,close,volume
2020-07-27,26.445,26.79,26.205,26.735,166060
2020-07-28,26.72,27.0,26.625,26.7,69915
2020-07-29,26.84,27.645,26.84,27.555,292424
2020-07-30,27.33,27.67,26.83,27.61,73822
2020-07-31,27.5,27.57,27.09,27.345,121121
2020-08-03,27.39,28.42,27.0,28.33,313323
2020-08-04,28.3,28.49,27.995,28.265,43988
2020-08-05,28.43,29.05,28.165,28.685,199602
2020-08-06,28.57,30.0,28.45,29.605,241821
2020-08-07,29.455,29.82,28.73,29.415,136117
2020-08-10,29.27,29.61,28.325,29.085,59639
2020-08-11,29.03,29.03,28.425,28.535,192740
2020-08-12,28.68,28.93,28.49,28.665,56414
2020-08-13,28.96,29.175,28.515,28.685,71362
2020-08-14,28.7,29.215,28.65,29.08,106653
2020-08-17,29.055,29.45,29.055,29.45,228307
2020-08-18,29.35,29.645,28.84,29.055,24708
2020-08-19,29.08,29.08,28.49,28.49,30280
2020-08-20,28.695,29.41,28.625,29.24,30448
2020-08-21,29.325,29.325,28.845,28.845,62855
2020-08-24,29.32,29.52,29.13,29.255,40849
2020-08-25,29.11,29.3,29.05,29.245,17771
2020-08-26,29.525,30.2,29.46,30.085,162148
2020-08-27,30.08,30.085,29.51,29.665,69392
2020-08-28,29.685,29.885,29.63,29.68,280569
2020-08-31,29.66,30.025,29.57,29.965,50589
2020-09-01,30.14,31.55,30.125,31.29,98894
2020-09-02,31.73,31.82,30.855,31.7,62656
2020-09-03,31.15,31.15,30.27,30.55,412908
2020-09-04,30.1,30.52,28.67,30.04,157305
2020-09-08,29.04,29.36,28.595,28.935,200723
2020-09-09,29.36,30.24,29.295,30.195,82466
2020-09-10,30.49,31.15,30.49,30.695,273761
2020-09-11,30.965,30.965,30.34,30.835,299872
2020-09-14,31.29,31.69,31.095,31.425,142918
2020-09-15,31.755,33.02,31.68,32.985,274778
2020-09-16,33.095,34.085,32.685,33.24,276315
2020-09-17,32.7,33.03,32.18,32.995,90779
2020-09-18,33.145,33.86,33.025,33.135,159634
2020-09-21,32.61,33.19,32.185,32.865,75138
2020-09-22,32.82,33.715,32.59,33.525,59351
2020-09-23,33.56,34.34,32.565,32.695,163004
2020-09-24,32.42,32.75,32.085,32.185,115325
2020-09-25,32.535,33.18,32.035,33.16,80583
2020-09-28,33.59,33.59,33.06,33.28,53184
2020-09-29,33.39,33.6,32.995,33.08,96939
2020-09-30,33.08,33.52,32.825,33.245,145188
2020-10-01,33.51,34.14,33.33,33.83,196006
2020-10-02,33.23,33.72,32.39,32.65,138162
2020-10-05,33.13,33.59,33.04,33.455,113795
2020-10-06,33.47,33.98,33.16,33.47,73237
2020-10-07,33.74,34.43,33.735,34.045,74902
2020-10-08,34.23,34.27,33.39,33.8,87089
2020-10-09,33.98,34.655,33.91,34.315,106190
2020-10-12,34.87,35.08,34.23,34.425,90561
2020-10-13,34.525,35.375,34.215,35.21,147724
2020-10-14,35.32,35.32,34.1,34.79,137539
2020-10-15,34.75,34.92,34.21,34.84,53268
2020-10-16,34.95,35.2,34.59,34.945,102484
2020-10-19,35.06,35.61,34.16,34.29,166057
2020-10-20,34.545,34.685,34.055,34.065,361752
2020-10-21,34.11,34.5,33.375,33.515,118865
2020-10-22,33.52,33.89,33.13,33.565,146141
2020-10-23,33.615,34.31,33.29,34.285,64873
2020-10-26,34.02,34.16,32.53,33.025,74061
2020-10-27,33.35,33.585,33.09,33.36,83737
2020-10-28,32.82,32.82,32.01,32.27,74391
2020-10-29,32.125,32.72,32.085,32.585,102177
2020-10-30,32.54,32.59,31.59,31.92,105133
2020-11-02,31.8,32.44,31.05,31.485,285046
2020-11-03,31.795,32.67,31.55,32.575,147894
2020-11-04,33.14,34.32,33.06,33.815,199369
2020-11-05,34.25,34.84,34.25,34.3,93333
2020-11-06,34.2,34.665,34.16,34.455,101694
2020-11-09,34.63,35.0,33.39,33.995,227891
2020-11-10,33.6,33.64,32.06,33.455,153488
2020-11-11,33.825,34.95,33.7,34.73,134994
2020-11-12,34.8,36.22,34.07,34.595,191791
2020-11-13,34.865,35.44,34.51,34.59,251803
2020-11-16,34.27,34.9,34.14,34.68,204190
2020-11-17,34.9,34.99,34.19,34.445,156862
2020-11-18,34.35,34.84,33.73,33.98,331119
2020-11-19,36.875,40.08,36.75,39.73,1092599
2020-11-20,39.01,41.57,38.62,41.33,740222
2020-11-23,41.43,42.45,41.24,42.42,259468
2020-11-24,42.46,42.46,41.28,41.635,279702
2020-11-25,41.41,42.97,40.79,42.92,232511
2020-11-27,42.69,43.08,42.32,42.73,98107
2020-11-30,43.255,43.89,42.17,43.17,245833
2020-12-01,43.255,43.5,41.73,42.28,103263
2020-12-02,41.19,42.485,41.17,42.2,136435
2020-12-03,41.85,42.97,41.85,41.995,211777
2020-12-04,42.4,42.4,41.39,42.04,132227
2020-12-07,42.325,42.37,41.385,41.46,74566
2020-12-08,41.47,42.425,41.19,42.425,102923
2020-12-09,42.375,42.86,42.24,42.785,165684
2020-12-10,42.34,43.01,41.98,42.695,78097
2020-12-11,42.39,43.75,42.255,43.66,240886
2020-12-14,43.64,43.91,42.01,42.2,273999
2020-12-15,42.655,42.97,42.02,42.83,208292
2020-12-16,42.87,43.55,42.84,43.245,72001
2020-12-17,43.56,43.76,43.07,43.175,76580
2020-12-18,43.5,43.89,43.015,43.36,107213
2020-12-21,42.86,44.49,42.77,44.4,121307
2020-12-22,44.86,44.86,43.95,43.98,92068
2020-12-23,44.36,44.36,43.33,43.56,62619
2020-12-24,43.81,44.15,43.7,43.75,25868
2020-12-28,44.32,44.32,43.39,43.89,114544
2020-12-29,43.9,44.03,43.09,43.665,108788
2020-12-30,44.11,44.345,43.53,43.975,162838
2020-12-31,43.76,44.47,43.43,44.075,114291
2021-01-04,44.25,44.42,42.43,43.725,185897
2021-01-05,43.935,43.98,43.17,43.45,44123
2021-01-06,42.85,45.47,42.7,44.22,142318
2021-01-07,44.99,46.48,44.99,46.1,134090
2021-01-08,46.175,47.53,46.17,47.42,222798
2021-01-11,46.695,48.15,46.57,48.1,144060
2021-01-12,47.94,48.72,47.57,47.94,163545
2021-01-13,49.135,49.63,48.48,48.635,88418
2021-01-14,48.775,50.59,48.45,50.25,141701
2021-01-15,50.44,50.8,48.34,48.81,89177
2021-01-19,49.99,50.0,49.055,49.995,141045
2021-01-20,50.0,50.93,49.74,49.88,92225
2021-01-21,50.25,50.84,49.63,49.97,60292
2021-01-22,50.07,50.07,48.3,48.845,139634
2021-01-25,49.6,49.85,47.83,48.31,96567
2021-01-26,48.58,48.69,46.77,47.78,191914
2021-01-27,46.84,46.84,42.195,42.82,420884
2021-01-28,43.5,46.415,43.5,46.03,370161
2021-01-29,45.58,46.28,44.5,45.65,138120
2021-02-01,46.275,46.855,45.59,46.435,152237
2021-02-02,47.24,47.92,46.2,47.35,90322
2021-02-03,47.32,48.055,46.4,48.05,71840
