date,open,high,low,close,volume
2020-07-27,10.2,10.4,10.18,10.39,2614960
2020-07-28,10.33,10.34,10.18,10.19,2673720
2020-07-29,10.35,10.48,10.32,10.44,3269760
2020-07-30,10.37,10.59,10.26,10.57,3056560
2020-07-31,10.54,10.68,10.4,10.56,6343120
2020-08-03,10.72,11.06,10.69,10.97,5984200
2020-08-04,11.01,11.18,10.87,11.18,3125680
2020-08-05,11.2,11.32,11.14,11.25,2197080
2020-08-06,11.3,11.32,11.14,11.3,2181560
2020-08-07,11.29,11.46,11.0,11.16,3246200
2020-08-10,11.29,11.35,10.82,11.13,3143640
2020-08-11,11.0,11.09,10.76,10.8,5387440
2020-08-12,10.95,11.43,10.93,11.4,4115200
2020-08-13,11.49,11.67,11.32,11.39,4147560
2020-08-14,11.48,11.65,11.4,11.52,5116480
2020-08-17,11.82,12.36,11.78,12.3,5840560
2020-08-18,12.41,12.43,12.05,12.22,4186240
2020-08-19,12.25,12.25,12.06,12.11,4436960
2020-08-20,11.93,12.33,11.84,12.1,12111040
2020-08-21,12.19,12.76,12.17,12.64,7314560
2020-08-24,12.85,12.87,12.48,12.66,6724960
2020-08-25,12.62,12.71,12.55,12.71,1983840
2020-08-26,12.75,12.82,12.64,12.73,3940960
2020-08-27,12.76,12.78,12.53,12.58,3846160
2020-08-28,12.61,13.1,12.61,13.1,4827520
2020-08-31,13.15,13.52,13.0,13.33,8648040
2020-09-01,13.45,13.95,13.42,13.78,5809920
2020-09-02,14.66,14.66,13.93,14.3,8747080
2020-09-03,13.77,13.83,12.86,12.98,9723400
2020-09-04,12.69,13.11,11.68,12.58,22315040
2020-09-08,11.68,12.51,11.67,11.86,7888880
2020-09-09,12.38,12.77,12.2,12.68,6683640
2020-09-10,12.95,13.02,12.13,12.29,7257920
2020-09-11,12.47,12.61,11.87,12.14,8475680
2020-09-14,13.05,13.27,12.6,12.83,9345760
2020-09-15,13.25,13.25,12.79,12.95,7929840
2020-09-16,12.94,13.04,12.48,12.48,4409080
2020-09-17,12.1,12.54,12.0,12.42,5378920
