date,open,high,low,close,volume
2020-07-27,106.73,109.84,106.45,109.76,110075
2020-07-28,107.28,108.71,105.08,105.3,485705
2020-07-29,106.75,109.4,106.75,108.73,142922
2020-07-30,107.03,107.65,105.91,107.22,157585
2020-07-31,107.93,108.2,104.89,107.36,150103
2020-08-03,108.02,109.38,107.87,109.01,44601
2020-08-04,109.45,111.07,109.19,110.39,56442
2020-08-05,108.13,109.67,107.18,109.47,106502
2020-08-06,109.24,111.96,108.83,111.95,65231
2020-08-07,111.49,111.88,109.18,110.19,40251
2020-08-10,110.32,111.19,109.67,110.87,51230
2020-08-11,111.76,113.55,110.83,110.92,60076
2020-08-12,111.77,114.53,111.59,114.06,30482
2020-08-13,113.54,113.63,112.08,112.28,39858
2020-08-14,111.79,112.99,111.65,112.43,20146
2020-08-17,113.4,114.19,113.1,114.07,30381
2020-08-18,114.73,115.17,112.33,113.66,59434
2020-08-19,113.81,114.63,112.53,113.05,26618
2020-08-20,110.93,112.05,110.24,110.91,36109
2020-08-21,109.82,110.96,109.55,110.96,30039
2020-08-24,112.14,113.09,111.99,113.09,32754
2020-08-25,114.58,116.59,114.35,116.31,68886
2020-08-26,116.18,117.28,115.36,116.6,34673
2020-08-27,117.13,117.27,114.63,115.22,36072
2020-08-28,115.25,116.45,114.49,116.32,58996
2020-08-31,116.44,116.56,114.19,114.91,117392
2020-09-01,115.13,117.8,115.13,117.15,86028
2020-09-02,118.23,121.47,117.9,120.76,72633
2020-09-03,119.57,119.57,114.31,115.19,54053
2020-09-04,115.54,116.03,112.25,115.41,44527
2020-09-08,111.57,112.02,109.05,109.52,115183
2020-09-09,111.78,114.77,111.69,113.53,96317
2020-09-10,114.69,116.69,112.09,112.56,46463
2020-09-11,114.42,115.68,112.58,114.1,43131
2020-09-14,115.68,116.82,114.44,115.26,57863
2020-09-15,116.9,117.89,116.33,116.82,49082
2020-09-16,117.71,120.31,117.71,117.94,154423
2020-09-17,112.92,117.37,112.92,117.09,60305
2020-09-18,117.94,117.94,113.16,115.52,121942
2020-09-21,112.69,112.69,109.35,111.22,126629
2020-09-22,112.33,113.1,110.66,112.32,51150
2020-09-23,112.73,113.19,109.49,109.93,65832
2020-09-24,108.67,111.08,108.49,109.18,74451
2020-09-25,108.61,110.06,107.53,109.76,74904
2020-09-28,112.48,113.78,111.76,113.43,71045
2020-09-29,114.36,115.33,112.89,112.96,57743
2020-09-30,113.29,116.12,113.29,114.32,76530
2020-10-01,118.29,121.13,118.1,119.99,380251
2020-10-02,116.57,119.57,116.19,116.75,212319
2020-10-05,118.5,121.04,118.33,121.03,245181
2020-10-06,120.92,123.72,119.5,120.14,223097
2020-10-07,122.17,123.45,122.03,122.41,129603
2020-10-08,123.71,124.54,123.03,123.59,134888
2020-10-09,130.14,133.02,127.21,129.73,337715
2020-10-12,131.07,131.21,128.68,130.15,242611
2020-10-13,129.78,129.84,125.19,125.37,138880
2020-10-14,125.34,126.56,124.51,125.64,145957
2020-10-15,123.44,126.0,122.71,125.49,82052
2020-10-16,126.82,126.82,125.52,125.69,109214
2020-10-19,126.35,127.16,124.33,124.96,79845
2020-10-20,125.68,126.17,123.72,123.92,86753
2020-10-21,126.34,126.5,124.09,124.41,106755
2020-10-22,124.82,124.99,122.2,123.66,106520
2020-10-23,123.97,126.22,123.21,125.65,64288
2020-10-26,123.88,124.71,121.62,123.67,163243
2020-10-27,124.65,125.1,120.65,122.1,210047
2020-10-28,119.37,119.97,116.3,118.88,286825
2020-10-29,118.44,126.01,118.44,124.79,326034
2020-10-30,122.63,124.29,121.96,123.9,166058
2020-11-02,125.32,126.78,124.66,125.78,134861
2020-11-03,126.85,129.52,126.36,127.31,124499
2020-11-04,129.23,129.23,125.46,127.76,177154
2020-11-05,130.13,133.01,130.13,132.37,149431
2020-11-06,132.11,135.13,131.72,134.4,168699
2020-11-09,137.25,139.74,132.55,132.75,237269
2020-11-10,130.61,132.03,128.31,128.5,157775
2020-11-11,130.78,133.72,130.78,132.9,108072
2020-11-12,133.87,134.34,131.69,132.22,89038
2020-11-13,134.15,135.25,133.69,134.3,89901
2020-11-16,137.03,138.59,135.96,137.48,154971
2020-11-17,137.4,138.67,135.61,136.92,178970
2020-11-18,136.82,138.02,135.52,135.88,108038
2020-11-19,135.86,139.12,134.92,138.72,105402
2020-11-20,139.3,140.19,137.97,138.04,74376
2020-11-23,139.44,143.29,139.44,142.79,164067
2020-11-24,144.8,145.34,142.05,145.15,130079
2020-11-25,145.81,145.81,143.65,144.44,92307
2020-11-27,145.55,148.26,145.55,145.71,82653
2020-11-30,145.85,147.48,143.77,145.29,88911
2020-12-01,147.65,148.2,145.43,145.89,132121
2020-12-02,145.66,147.29,144.43,147.13,68687
2020-12-03,146.84,148.56,145.53,145.59,89563
2020-12-04,146.49,150.39,145.93,150.24,255129
2020-12-07,151.85,153.29,150.67,151.23,129117
2020-12-08,151.03,153.15,150.2,152.4,61085
2020-12-09,150.29,150.99,142.94,144.16,291188
2020-12-10,143.91,146.9,143.44,145.01,169446
2020-12-11,144.65,145.41,141.69,143.95,76462
2020-12-14,145.53,146.62,142.87,145.58,119598
2020-12-15,144.89,147.56,143.42,146.92,142636
2020-12-16,147.97,147.97,143.89,144.4,116823
2020-12-17,145.52,145.76,143.71,145.25,85845
2020-12-18,145.37,145.96,142.19,143.14,123138
2020-12-21,141.03,144.38,140.66,144.24,60115
2020-12-22,144.64,146.6,143.16,143.67,88445
2020-12-23,145.53,145.53,144.11,144.11,80120
2020-12-24,144.93,144.93,143.88,144.48,19564
2020-12-28,146.53,148.42,145.07,145.23,74770
2020-12-29,146.27,146.39,142.46,143.38,48505
2020-12-30,144.37,146.72,144.37,146.46,48578
2020-12-31,146.73,147.03,145.83,146.2,59642
2021-01-04,147.33,152.21,145.74,148.88,153682
2021-01-05,148.35,152.4,148.33,152.1,112373
2021-01-06,151.51,157.83,151.51,154.9,166000
2021-01-07,157.95,162.12,157.95,160.76,128843
2021-01-08,167.23,167.65,157.76,160.8,173422
2021-01-11,160.29,161.91,157.98,159.25,111184
2021-01-12,160.26,164.39,159.88,161.92,178865
2021-01-13,162.97,163.34,161.87,162.92,80809
2021-01-14,164.29,166.34,164.29,165.31,144314
2021-01-15,163.54,163.54,154.8,158.26,339218
2021-01-19,162.85,163.87,160.35,160.67,197396
2021-01-20,164.02,165.53,159.61,160.3,157889
2021-01-21,161.88,162.15,157.9,159.45,183572
2021-01-22,158.47,160.87,158.01,158.56,160712
2021-01-25,161.99,162.13,157.2,160.31,125857
2021-01-26,160.0,160.11,154.96,155.21,194396
2021-01-27,150.68,151.04,143.35,147.6,244019
2021-01-28,152.35,152.87,149.17,150.8,171637
2021-01-29,150.95,153.86,146.81,147.22,316191
2021-02-01,153.03,158.4,152.96,157.58,373160
2021-02-02,164.9,168.0,157.12,162.9,372959
2021-02-03,165.46,166.74,159.04,159.98,173269
2021-02-04,161.14,166.65,161.14,166.65,154430
2021-02-05,168.22,168.98,166.43,167.19,174839
2021-02-08,169.68,172.85,169.3,172.85,217798
2021-02-09,172.01,173.08,169.52,172.67,152589
2021-02-10,176.22,176.22,168.47,172.5,172916
2021-02-11,173.2,178.69,173.2,178.16,161423
2021-02-12,177.49,179.82,175.9,178.66,125272
2021-02-16,183.24,183.72,178.03,179.49,136095
2021-02-17,176.38,179.0,172.71,174.32,175999
