date,open,high,low,close,volume
2020-07-27,88.9,90.37,88.65,90.06,66856
2020-07-28,90.05,90.49,88.5,88.68,50190
2020-07-29,90.03,90.33,88.55,88.77,113012
2020-07-30,88.09,88.15,86.05,87.57,75234
2020-07-31,88.63,89.8,86.82,88.83,46544
2020-08-03,89.8,90.59,88.39,88.69,40222
2020-08-04,88.83,89.97,88.76,89.94,33214
2020-08-05,90.5,90.5,88.78,90.15,49462
2020-08-06,90.41,91.29,90.14,91.02,44142
2020-08-07,91.53,92.06,89.98,90.34,60838
2020-08-10,90.68,91.15,89.83,90.96,60876
2020-08-11,91.41,92.41,91.05,91.38,78232
2020-08-12,92.51,95.01,92.29,93.43,162616
2020-08-13,93.44,94.6,93.1,93.6,78318
2020-08-14,94.77,94.77,92.94,93.09,29344
2020-08-17,93.63,94.23,93.63,94.02,96662
2020-08-18,94.38,95.57,94.21,95.0,159642
2020-08-19,95.88,95.88,95.19,95.3,44682
2020-08-20,95.0,96.02,94.72,95.26,64540
2020-08-21,94.84,96.26,94.84,95.94,84428
2020-08-24,96.79,97.31,96.08,96.65,41398
2020-08-25,95.83,96.11,95.4,96.11,44094
2020-08-26,96.27,97.05,95.43,96.76,55138
2020-08-27,97.05,97.52,95.64,96.76,92604
2020-08-28,97.7,97.7,96.61,97.4,66296
2020-08-31,99.11,99.26,98.26,98.27,64094
2020-09-01,97.93,99.65,97.8,99.3,68784
2020-09-02,100.93,100.93,98.81,99.08,42484
2020-09-03,98.37,98.37,94.97,96.72,63274
2020-09-04,97.7,97.7,92.76,95.46,103174
2020-09-08,94.59,96.04,93.66,94.51,113740
2020-09-09,95.68,98.13,95.51,96.82,59404
2020-09-10,96.79,96.89,94.1,94.64,45798
2020-09-11,95.43,96.14,94.03,95.21,26624
2020-09-14,95.65,96.12,93.54,94.01,57024
2020-09-15,93.9,96.21,93.87,96.07,95156
2020-09-16,96.32,96.37,92.34,92.43,59944
2020-09-17,91.35,93.47,90.37,92.62,84822
2020-09-18,91.8,92.28,88.84,89.63,75094
2020-09-21,88.68,88.68,85.95,86.9,120634
2020-09-22,87.71,88.32,85.84,87.92,77812
2020-09-23,88.19,90.2,87.63,88.65,135424
2020-09-24,88.28,90.27,87.74,89.42,75160
2020-09-25,88.59,89.79,88.36,88.78,49156
2020-09-28,90.25,91.35,89.81,91.13,70130
2020-09-29,90.81,91.5,89.96,90.07,61728
2020-09-30,90.39,90.93,87.54,87.97,108494
2020-10-01,88.65,89.93,87.82,88.96,112444
2020-10-02,87.92,91.06,87.92,89.76,60242
2020-10-05,90.61,92.22,90.6,91.59,118432
2020-10-06,91.04,93.43,90.66,92.07,86552
2020-10-07,92.68,94.39,92.68,93.89,89916
2020-10-08,94.44,95.96,93.9,95.91,85770
2020-10-09,96.56,97.47,95.81,97.19,89048
2020-10-12,97.97,99.0,97.55,97.67,101880
2020-10-13,97.52,98.49,97.32,97.59,70634
2020-10-14,98.25,99.73,98.25,98.53,70984
2020-10-15,97.68,99.78,97.68,99.2,43774
2020-10-16,98.97,99.35,97.58,97.67,121396
2020-10-19,97.88,98.26,95.31,95.81,83880
2020-10-20,96.56,98.09,96.35,97.0,45358
2020-10-21,97.13,98.04,95.5,95.5,71574
2020-10-22,95.92,96.28,94.25,95.42,109272
2020-10-23,95.91,97.77,95.84,97.53,93816
2020-10-26,96.4,97.01,95.41,96.52,150654
2020-10-27,95.4,98.18,91.96,92.2,200152
2020-10-28,90.5,92.2,90.18,90.81,155964
2020-10-29,90.98,92.8,90.2,92.72,129820
2020-10-30,91.9,94.1,91.76,92.53,122070
2020-11-02,94.34,94.82,93.19,94.27,115428
2020-11-03,95.6,97.26,94.82,96.43,93660
2020-11-04,98.28,99.33,97.32,97.59,100620
2020-11-05,98.69,100.87,98.69,100.33,88320
2020-11-06,100.09,101.45,99.97,100.84,49714
2020-11-09,103.41,103.96,96.82,96.95,141736
2020-11-10,96.18,96.76,94.51,95.94,141964
2020-11-11,97.27,97.7,95.5,96.34,76794
2020-11-12,96.35,97.09,94.87,96.05,132178
2020-11-13,96.69,99.11,96.69,98.67,99146
2020-11-16,99.13,100.9,98.21,100.31,122804
2020-11-17,99.03,100.57,98.27,100.19,105268
2020-11-18,99.77,101.04,99.51,99.51,56296
2020-11-19,98.83,100.24,98.55,99.99,51776
2020-11-20,100.82,100.84,99.46,100.06,47796
2020-11-23,100.0,101.84,98.2,98.22,93752
2020-11-24,98.53,99.97,98.08,98.99,95426
2020-11-25,99.7,99.7,97.5,98.67,56492
2020-11-27,98.16,98.63,97.84,98.33,16458
2020-11-30,98.2,99.41,97.22,98.82,72166
2020-12-01,98.68,102.93,98.68,102.71,253442
2020-12-02,102.4,102.4,99.23,99.81,69462
2020-12-03,99.78,101.25,99.09,100.8,61610
2020-12-04,101.79,103.49,101.66,101.8,79880
2020-12-07,101.54,101.87,100.57,101.35,41858
2020-12-08,101.18,102.36,100.75,102.31,42766
2020-12-09,102.53,102.59,98.41,98.67,119698
2020-12-10,97.75,97.93,95.69,96.71,81554
2020-12-11,96.56,98.78,96.56,97.79,117158
2020-12-14,97.85,98.1,94.95,95.14,99046
2020-12-15,96.0,97.48,95.36,96.55,69038
2020-12-16,96.45,96.45,94.97,94.99,67318
2020-12-17,95.68,95.8,94.74,95.43,75090
2020-12-18,95.24,97.18,94.27,97.13,87528
2020-12-21,95.94,97.16,95.49,96.24,52188
2020-12-22,96.49,97.22,96.43,96.73,40786
2020-12-23,97.57,97.57,95.81,95.95,33582
2020-12-24,96.3,96.88,95.72,96.56,21990
2020-12-28,97.3,97.3,94.87,94.96,28904
2020-12-29,95.61,95.61,93.69,94.6,49790
2020-12-30,95.07,95.07,93.51,94.21,58200
2020-12-31,94.24,95.19,93.97,95.15,52682
2021-01-04,94.95,95.62,92.7,92.83,85876
2021-01-05,92.83,94.14,92.43,93.36,161198
2021-01-06,93.03,95.25,93.03,94.01,128632
2021-01-07,95.16,98.91,95.13,98.37,128466
2021-01-08,98.78,100.71,98.77,100.05,62946
2021-01-11,98.95,100.28,98.39,98.52,66202
2021-01-12,99.03,99.58,97.78,99.08,47254
2021-01-13,98.58,98.59,97.48,97.82,55112
2021-01-14,99.86,102.14,99.08,101.3,124060
2021-01-15,100.19,101.56,98.91,101.06,93724
2021-01-19,101.53,103.73,101.06,101.06,48378
2021-01-20,100.81,102.13,99.75,101.81,66398
2021-01-21,102.29,103.22,101.17,101.26,50792
2021-01-22,100.69,100.69,99.51,99.61,36284
2021-01-25,99.41,102.94,99.29,102.82,141094
2021-01-26,103.07,103.33,100.66,101.18,68712
2021-01-27,99.47,99.47,93.86,94.53,143002
2021-01-28,95.91,97.6,94.83,96.85,97872
2021-01-29,96.6,96.66,94.34,94.39,125660
2021-02-01,95.77,97.24,94.69,96.97,105266
2021-02-02,97.75,100.41,97.55,99.61,106762
2021-02-03,99.32,99.98,96.32,96.32,115050
2021-02-04,96.9,100.25,96.1,99.65,270868
2021-02-05,100.38,103.12,100.38,101.98,126152
2021-02-08,101.64,104.14,101.57,103.24,80874
2021-02-09,103.9,105.31,103.09,105.02,66902
2021-02-10,105.26,105.37,101.28,101.76,67046
2021-02-11,102.2,102.27,99.79,101.25,70412
2021-02-12,101.33,103.54,100.91,103.36,32970
2021-02-16,103.29,103.44,101.94,102.33,45646
2021-02-17,101.24,101.82,99.27,101.28,56774
2021-02-18,100.58,103.95,100.58,103.18,63876
2021-02-19,103.96,105.55,103.8,105.01,61222
2021-02-22,104.13,104.46,102.56,103.08,80078
2021-02-23,102.25,103.53,100.98,103.11,50918
2021-02-24,102.59,106.37,102.53,105.89,107714
2021-02-25,106.39,107.43,104.62,105.12,77108
2021-02-26,105.68,106.43,104.38,104.91,57176
2021-03-01,105.93,108.06,105.88,107.48,70548
2021-03-02,107.28,108.79,106.65,108.34,68192
2021-03-03,109.64,110.59,107.19,108.61,109788
2021-03-04,107.97,108.97,104.57,104.78,145524
2021-03-05,105.67,108.57,103.38,107.16,162406
2021-03-08,107.4,109.11,106.5,106.6,150088
2021-03-09,108.3,110.35,108.19,109.1,110642
2021-03-10,109.94,111.52,109.58,110.15,158360
2021-03-11,111.19,112.34,110.03,111.96,88612
2021-03-12,112.45,114.56,111.83,113.98,102040
2021-03-15,113.19,113.8,111.71,113.11,52500
2021-03-16,113.44,113.69,111.33,111.57,63860
2021-03-17,112.92,113.06,109.97,111.08,116406
2021-03-18,110.92,113.54,110.9,112.17,135496
2021-03-19,111.82,113.45,110.32,112.31,153218
2021-03-22,111.85,113.52,111.7,112.68,113078
2021-03-23,112.44,114.3,112.44,112.93,193942
2021-03-24,113.71,115.09,113.03,114.06,71968
2021-03-25,113.76,113.76,111.31,112.98,204018
2021-03-26,113.81,115.43,112.91,114.84,113862
2021-03-29,115.94,115.99,113.64,114.62,108520
2021-03-30,115.17,117.82,114.72,117.18,128786
2021-03-31,117.27,118.62,116.01,117.16,75472
2021-04-01,117.69,118.79,117.28,118.77,62106
2021-04-05,120.3,121.08,119.19,120.07,150994
2021-04-06,120.65,121.26,119.11,119.18,64248
2021-04-07,118.97,119.66,118.63,118.75,104426
2021-04-08,119.27,119.98,118.24,119.63,100872
2021-04-09,120.62,122.38,120.57,121.5,111112
2021-04-12,121.73,122.05,120.53,121.4,85530
2021-04-13,121.6,121.61,119.8,121.05,42686
2021-04-14,121.15,121.5,120.28,120.79,85690
2021-04-15,121.24,122.5,120.65,121.9,118586
2021-04-16,122.76,123.38,122.42,122.57,100988
2021-04-19,121.7,121.7,120.4,120.73,110542
2021-04-20,121.62,122.37,119.74,120.7,140006
2021-04-21,121.64,121.89,119.45,120.02,195608
2021-04-22,120.82,124.24,120.76,122.23,138698
2021-04-23,123.63,126.21,123.63,125.66,166372
2021-04-26,125.81,126.33,122.97,123.52,79642
2021-04-27,124.56,126.0,124.06,125.96,65550
2021-04-28,125.34,126.04,124.51,125.4,66128
2021-04-29,125.43,126.62,125.01,126.31,40086
2021-04-30,126.23,126.35,125.19,125.69,59220
2021-05-03,126.61,128.06,125.92,127.48,54830
2021-05-04,127.1,129.29,127.1,129.11,114912
2021-05-05,129.27,129.59,128.07,128.74,49042
2021-05-06,128.53,129.12,127.53,129.12,52818
2021-05-07,129.5,131.49,129.06,131.48,34788
2021-05-10,132.3,134.49,131.48,131.59,105144
2021-05-11,129.73,130.03,127.44,128.74,159750
2021-05-12,128.13,128.34,124.91,124.96,130040
2021-05-13,125.95,128.91,125.55,128.7,97634
2021-05-14,130.18,131.88,129.05,131.46,48560
2021-05-17,131.68,132.3,131.0,131.69,61710
2021-05-18,131.96,132.18,129.22,129.22,93220
2021-05-19,126.69,128.97,126.0,128.68,192642
2021-05-20,129.84,130.26,128.91,128.94,65374
2021-05-21,129.25,130.24,128.01,128.01,87666
2021-05-24,129.02,129.18,127.79,128.98,102686
2021-05-25,129.3,130.85,127.25,127.36,60456
2021-05-26,127.82,128.19,126.12,127.98,85798
2021-05-27,128.07,130.82,128.07,128.95,236288
2021-05-28,129.5,129.54,127.65,129.31,77860
2021-06-01,130.77,131.29,130.2,130.59,94204
2021-06-02,131.01,131.24,127.84,128.48,94108
2021-06-03,128.27,129.69,126.69,128.83,103196
2021-06-04,128.8,128.8,124.88,126.89,86066
2021-06-07,127.49,127.49,123.14,124.02,174490
2021-06-08,124.22,125.03,123.04,124.6,104966
2021-06-09,124.5,124.5,121.55,121.81,159096
2021-06-10,122.42,122.6,120.79,121.13,105628
2021-06-11,121.53,123.02,121.53,122.43,64970
2021-06-14,123.0,123.32,121.49,121.95,61340
2021-06-15,122.41,124.04,121.84,123.53,73448
2021-06-16,122.89,123.59,122.02,123.13,38722
2021-06-17,123.24,123.24,119.96,121.52,60716
2021-06-18,120.38,121.32,120.11,120.16,53392
2021-06-21,120.99,122.83,120.99,122.71,48868
2021-06-22,123.27,124.57,122.42,123.34,62922
2021-06-23,123.29,124.33,122.51,123.5,40882
2021-06-24,123.91,124.42,122.58,122.93,102140
2021-06-25,122.95,124.83,122.95,123.72,390154
2021-06-28,122.85,124.67,122.64,124.62,93166
2021-06-29,124.49,125.08,123.95,124.37,57384
2021-06-30,124.07,124.77,123.44,123.72,112720
2021-07-01,123.75,126.12,123.67,125.82,81320
2021-07-02,126.37,126.62,125.53,125.86,47278
2021-07-06,125.71,125.71,122.7,124.02,71388
2021-07-07,124.48,126.56,124.14,126.37,67126
2021-07-08,124.25,126.28,122.77,125.18,133894
2021-07-09,126.39,127.32,125.82,127.09,105874
2021-07-12,126.24,127.04,124.92,125.62,56276
2021-07-13,126.38,126.48,124.84,125.68,72138
2021-07-14,125.78,126.75,124.89,126.13,52416
2021-07-15,125.2,127.46,125.2,126.22,38818
2021-07-16,126.41,126.41,123.68,123.87,56686
2021-07-19,121.99,122.32,120.62,121.97,65448
2021-07-20,122.26,124.39,122.09,123.38,73764
2021-07-21,123.5,124.32,122.41,124.08,81784
2021-07-22,124.92,125.0,124.22,124.48,29190
2021-07-23,124.35,127.47,124.12,127.47,45458
2021-07-26,127.37,128.3,125.92,126.3,66244
2021-07-27,126.26,128.0,125.7,126.49,134768
2021-07-28,122.27,126.49,122.12,126.39,126252
2021-07-29,127.84,131.97,127.84,130.87,121246
2021-07-30,130.7,131.59,129.73,131.3,73066
2021-08-02,131.88,131.88,129.89,130.09,118350
2021-08-03,129.96,133.5,129.51,133.48,82754
2021-08-04,133.19,133.53,131.64,131.89,109940
2021-08-05,132.67,134.02,132.19,132.72,57920
2021-08-06,133.35,133.47,132.3,133.05,23652
2021-08-09,132.95,133.22,131.65,132.73,36610
2021-08-10,133.16,134.29,132.67,132.79,78602
2021-08-11,133.11,134.87,132.67,134.7,70016
2021-08-12,135.07,136.63,135.07,136.19,43852
2021-08-13,136.16,137.38,135.37,137.13,74694
