date,open,high,low,close,volume
2020-07-27,45.25,46.18,44.88,45.89,165078
2020-07-28,42.51,44.39,42.05,43.97,228817
2020-07-29,43.95,44.61,43.26,43.42,234577
2020-07-30,42.75,43.13,42.13,42.79,143466
2020-07-31,42.47,43.24,42.07,43.24,42702
2020-08-03,43.16,43.84,42.84,43.18,73283
2020-08-04,43.05,43.48,42.6,42.73,96555
2020-08-05,42.97,43.1,42.27,42.43,49888
2020-08-06,42.24,43.36,42.24,43.16,52605
2020-08-07,42.67,42.86,42.2,42.84,73831
2020-08-10,42.92,44.43,42.88,44.22,99789
2020-08-11,45.03,46.06,44.73,44.8,56022
2020-08-12,45.18,45.18,43.49,43.57,42000
2020-08-13,43.16,43.96,43.09,43.67,23999
2020-08-14,43.39,44.46,43.39,44.1,52014
2020-08-17,44.02,44.02,43.04,43.3,33354
2020-08-18,43.37,43.83,43.37,43.48,55073
2020-08-19,43.33,43.91,43.08,43.17,35167
2020-08-20,42.81,43.07,42.52,42.53,33116
2020-08-21,42.26,42.6,41.75,42.26,50310
2020-08-24,42.3,43.95,42.16,43.8,82438
2020-08-25,43.86,43.93,42.87,43.26,13016
2020-08-26,42.96,43.35,42.47,43.14,57044
2020-08-27,43.76,44.7,43.66,44.2,34279
2020-08-28,44.18,44.42,43.68,44.34,78554
2020-08-31,44.14,44.14,43.43,43.53,33330
2020-09-01,42.94,43.25,42.61,42.64,31870
2020-09-02,42.44,43.61,42.44,43.35,50129
2020-09-03,44.1,44.91,43.14,43.66,74383
2020-09-04,44.02,44.32,43.28,43.52,26723
2020-09-08,43.36,43.69,42.91,43.33,55655
2020-09-09,43.35,43.35,42.61,42.61,36757
2020-09-10,42.7,43.09,41.52,41.64,42588
2020-09-11,41.66,42.23,41.42,42.08,58661
2020-09-14,42.85,43.82,42.67,43.3,58350
2020-09-15,43.22,44.02,42.79,43.21,55358
2020-09-16,43.69,44.37,43.21,43.33,100247
2020-09-17,42.74,43.51,42.64,43.04,66273
2020-09-18,42.88,43.39,41.85,41.95,79605
2020-09-21,41.05,41.38,39.85,40.07,76663
2020-09-22,40.27,40.65,40.05,40.46,79624
2020-09-23,40.63,41.34,39.66,39.74,67552
2020-09-24,39.68,40.33,39.23,39.82,77687
2020-09-25,39.46,40.06,39.22,40.0,41730
2020-09-28,40.7,40.89,40.24,40.36,49464
2020-09-29,40.39,40.39,39.55,39.76,61088
2020-09-30,39.96,40.67,39.82,40.31,91622
2020-10-01,40.34,40.62,39.93,40.33,130720
2020-10-02,39.89,41.97,39.75,41.81,100541
2020-10-05,42.08,42.59,41.64,42.07,127745
2020-10-06,42.4,42.94,41.56,41.7,92149
2020-10-07,41.97,42.73,41.97,42.45,108384
2020-10-08,42.75,43.31,42.75,43.25,104322
2020-10-09,43.48,43.75,42.65,42.72,126516
2020-10-12,43.43,43.76,43.0,43.49,169675
2020-10-13,43.56,43.85,42.92,43.0,135867
2020-10-14,43.17,43.58,43.06,43.28,129743
2020-10-15,42.77,43.15,41.46,42.91,157803
2020-10-16,42.93,42.98,42.07,42.75,125078
2020-10-19,42.72,42.79,41.25,41.39,93165
2020-10-20,41.68,41.94,41.38,41.66,93007
2020-10-21,41.67,42.44,41.15,41.92,200028
2020-10-22,42.13,42.29,41.32,41.94,121759
2020-10-23,42.42,42.95,42.2,42.9,223388
2020-10-26,42.45,42.49,41.42,41.66,147138
2020-10-27,43.13,43.13,39.46,39.78,490764
2020-10-28,39.19,39.56,37.43,37.5,277036
2020-10-29,37.12,37.76,36.22,37.29,334726
2020-10-30,37.19,38.58,37.19,38.42,187849
2020-11-02,38.94,40.06,38.84,39.65,193996
2020-11-03,40.21,41.45,40.14,40.74,217004
2020-11-04,40.32,40.4,38.77,38.95,360187
2020-11-05,39.32,40.67,39.32,40.13,179262
2020-11-06,40.17,40.39,39.12,39.36,171079
2020-11-09,42.73,46.32,42.7,45.14,371879
2020-11-10,45.7,46.74,45.27,46.4,316764
2020-11-11,46.47,47.04,45.89,46.6,335793
2020-11-12,45.78,46.58,45.4,45.77,429215
2020-11-13,46.15,47.53,46.14,47.5,241446
2020-11-16,49.44,50.43,48.9,50.34,349286
2020-11-17,49.77,50.7,49.47,50.34,211232
2020-11-18,50.08,50.25,48.61,48.61,199122
2020-11-19,47.98,48.39,47.31,48.34,83229
2020-11-20,48.2,48.66,47.94,48.56,61526
2020-11-23,49.05,50.03,48.61,49.73,83339
2020-11-24,50.63,52.98,50.63,52.48,421963
2020-11-25,51.87,52.51,51.65,52.24,130638
2020-11-27,51.98,52.29,51.3,51.31,130150
2020-11-30,51.28,52.04,50.93,51.29,198095
2020-12-01,52.01,52.16,51.18,51.59,115462
2020-12-02,51.48,52.25,51.4,51.79,111690
2020-12-03,52.31,53.3,52.01,52.89,95479
2020-12-04,52.97,53.55,52.73,52.9,79615
2020-12-07,52.63,52.79,52.13,52.36,80746
2020-12-08,52.02,52.66,51.84,52.65,62378
2020-12-09,52.77,53.07,52.16,52.48,87639
2020-12-10,51.99,52.38,51.63,52.08,69361
2020-12-11,51.71,53.09,51.71,52.58,61918
2020-12-14,52.68,52.85,51.77,51.77,45201
2020-12-15,52.24,52.6,51.53,52.38,58139
2020-12-16,52.27,52.87,52.09,52.69,75550
2020-12-17,52.91,53.16,51.4,51.53,71111
2020-12-18,51.44,51.6,50.39,50.69,71102
2020-12-21,49.85,50.07,48.59,49.78,121521
2020-12-22,50.09,50.13,48.93,49.17,59970
2020-12-23,49.49,51.0,49.38,50.4,59174
2020-12-24,50.47,50.49,50.03,50.46,15768
2020-12-28,50.74,51.98,50.73,51.3,49214
2020-12-29,51.22,51.4,50.75,51.04,45347
2020-12-30,51.22,51.4,50.77,50.92,21780
2020-12-31,50.81,51.43,50.52,51.32,51820
2021-01-04,51.24,51.31,49.66,50.06,81897
2021-01-05,50.27,51.39,49.98,50.85,66298
2021-01-06,52.03,55.6,52.03,55.1,184113
2021-01-07,54.86,55.48,52.5,52.62,140994
