date,open,high,low,close,volume
2020-07-27,15.53,15.74,15.34,15.55,356163
2020-07-28,15.39,15.64,15.21,15.25,109140
2020-07-29,15.37,15.88,15.34,15.88,133500
2020-07-30,15.43,15.48,14.69,14.7,265914
2020-07-31,14.64,14.77,14.37,14.69,240014
2020-08-03,14.63,14.64,14.08,14.22,427414
2020-08-04,14.11,14.91,14.11,14.66,244720
2020-08-05,15.31,15.36,14.78,14.86,690588
2020-08-06,14.78,14.92,14.35,14.41,319596
2020-08-07,14.41,14.5,13.95,14.4,355640
2020-08-10,14.57,15.33,14.57,15.33,441617
2020-08-11,15.32,15.59,14.08,14.13,975640
2020-08-12,14.49,14.49,13.85,13.9,688053
2020-08-13,13.94,14.19,13.56,13.6,575752
2020-08-14,13.47,13.72,13.39,13.63,491891
2020-08-17,13.5,13.5,12.8,12.96,636788
2020-08-18,12.98,13.22,12.9,13.01,212661
2020-08-19,12.97,13.16,12.82,12.88,421207
2020-08-20,12.6,12.76,12.36,12.49,431575
2020-08-21,12.47,12.5,12.06,12.27,210947
2020-08-24,12.31,12.78,12.15,12.69,261515
2020-08-25,12.86,13.07,12.42,12.59,235365
2020-08-26,12.47,12.56,12.08,12.09,307306
2020-08-27,12.13,12.24,11.86,12.16,348999
2020-08-28,12.09,12.31,12.02,12.23,134721
2020-08-31,12.21,12.21,11.87,11.88,269336
2020-09-01,11.7,11.76,11.5,11.64,407144
2020-09-02,11.48,11.8,11.47,11.57,217215
2020-09-03,11.58,12.02,11.56,11.75,364759
2020-09-04,11.85,11.96,11.31,11.41,291061
2020-09-08,11.06,11.15,10.28,10.31,425333
2020-09-09,10.45,10.45,10.16,10.32,451883
2020-09-10,10.31,10.32,9.489,9.494,635704
2020-09-11,9.461,9.657,9.172,9.522,424067
2020-09-14,9.517,9.68,9.27,9.485,260375
2020-09-15,9.54,10.15,9.536,9.998,700354
2020-09-16,10.13,11.22,9.946,10.86,629807
2020-09-17,10.46,11.2,10.44,11.08,383384
2020-09-18,10.96,11.28,10.71,10.88,357564
2020-09-21,10.33,10.56,10.17,10.52,235019
2020-09-22,10.57,10.8,10.29,10.34,365755
2020-09-23,10.38,10.5,9.704,9.704,162492
2020-09-24,9.648,10.14,9.489,9.918,336927
2020-09-25,9.774,9.862,9.438,9.54,660014
2020-09-28,9.722,9.932,9.629,9.648,540657
2020-09-29,9.554,9.62,9.214,9.321,706018
2020-09-30,9.354,9.578,9.284,9.34,398347
2020-10-01,9.275,9.312,8.929,9.037,602133
2020-10-02,8.621,9.237,8.612,9.195,583397
2020-10-05,9.34,9.811,9.34,9.802,1340818
2020-10-06,9.965,10.05,9.373,9.447,556128
2020-10-07,9.545,9.615,9.443,9.578,304783
2020-10-08,9.685,10.45,9.666,10.45,459382
2020-10-09,10.45,10.57,10.02,10.09,960125
2020-10-12,9.918,10.1,9.722,10.07,266217
2020-10-13,10.09,10.22,9.736,9.82,326404
2020-10-14,9.825,10.21,9.746,9.746,454555
2020-10-15,9.601,9.9,9.34,9.9,246238
2020-10-16,9.825,9.825,9.396,9.419,312637
2020-10-19,9.499,9.499,9.153,9.172,534039
2020-10-20,9.265,9.508,9.181,9.41,328208
2020-10-21,9.2,9.289,9.018,9.018,286330
2020-10-22,9.051,9.513,9.018,9.489,364456
2020-10-23,9.587,9.666,9.242,9.349,214428
2020-10-26,9.135,9.144,8.715,8.827,244423
2020-10-27,8.808,8.855,8.649,8.654,213448
2020-10-28,8.374,8.542,8.192,8.29,658482
2020-10-29,8.155,8.561,7.95,8.509,551914
2020-10-30,8.379,8.565,8.267,8.533,373510
2020-11-02,8.659,9.135,8.425,9.009,556406
2020-11-03,9.228,9.331,8.948,9.037,327603
2020-11-04,9.051,9.321,8.705,9.158,780811
2020-11-05,9.116,9.904,9.116,9.769,959378
2020-11-06,9.676,9.764,9.279,9.335,389145
2020-11-09,10.77,11.84,10.67,11.41,1196606
2020-11-10,11.29,11.61,10.87,11.55,808016
2020-11-11,11.81,11.82,10.96,11.1,595117
2020-11-12,10.81,11.15,10.44,10.55,323102
2020-11-13,10.64,11.12,10.64,11.02,274719
2020-11-16,11.67,11.85,11.46,11.85,421325
2020-11-17,11.53,12.12,11.43,12.12,329310
2020-11-18,12.2,12.79,12.01,12.01,546382
2020-11-19,11.84,12.52,11.74,12.47,249294
2020-11-20,12.77,12.78,12.41,12.58,335262
2020-11-23,12.92,14.75,12.92,14.72,659678
2020-11-24,15.83,16.11,15.24,15.66,1050493
2020-11-25,15.52,15.94,14.89,15.62,412166
2020-11-27,15.59,15.81,15.26,15.49,232972
2020-11-30,15.22,15.43,14.67,14.69,668464
2020-12-01,14.85,15.06,13.97,14.11,529711
2020-12-02,13.89,15.4,13.79,14.82,434747
2020-12-03,14.98,15.6,14.62,15.3,444509
2020-12-04,15.79,17.36,15.79,17.35,881765
2020-12-07,16.7,17.42,16.38,16.97,544440
2020-12-08,16.64,18.01,16.64,17.87,599013
2020-12-09,18.39,19.03,17.58,18.13,849374
2020-12-10,18.19,20.16,18.02,19.88,908795
2020-12-11,19.83,19.92,19.0,19.51,511888
2020-12-14,20.02,20.21,17.81,17.89,504269
2020-12-15,18.28,18.81,17.57,18.51,429680
2020-12-16,18.46,18.55,17.96,18.17,410189
2020-12-17,18.43,18.46,17.84,17.9,530078
2020-12-18,17.77,18.17,17.22,17.3,632904
2020-12-21,15.88,16.83,15.82,16.3,562141
2020-12-22,16.34,16.4,15.75,15.79,382120
2020-12-23,16.02,17.15,15.94,16.7,349777
2020-12-24,16.93,16.93,16.27,16.51,104541
2020-12-28,16.56,16.9,16.2,16.24,297966
2020-12-29,16.39,16.6,15.96,16.09,282411
2020-12-30,16.07,16.93,16.0,16.72,323072
2020-12-31,16.65,16.72,16.15,16.16,236399
2021-01-04,16.57,16.78,16.17,16.28,258566
2021-01-05,16.58,18.61,16.49,17.93,791346
2021-01-06,18.23,18.93,17.71,18.67,637123
2021-01-07,18.9,19.74,18.7,19.2,421017
2021-01-08,19.46,19.6,18.56,18.74,278175
2021-01-11,17.94,18.84,17.75,18.75,282677
2021-01-12,19.19,21.27,18.96,21.12,868439
2021-01-13,21.17,21.26,20.66,20.86,367247
2021-01-14,21.19,22.97,21.13,22.64,549369
2021-01-15,21.93,22.11,20.87,20.9,388252
2021-01-19,21.49,22.17,21.37,21.53,453174
2021-01-20,21.71,21.97,21.24,21.49,311908
2021-01-21,21.33,21.45,20.02,20.12,410229
2021-01-22,19.25,20.16,18.91,20.09,319183
2021-01-25,19.6,20.18,19.31,20.09,298777
2021-01-26,20.44,20.92,19.0,19.0,405822
2021-01-27,18.66,20.2,18.18,19.18,436673
2021-01-28,19.34,19.97,18.91,19.59,349922
2021-01-29,19.33,19.92,18.42,18.74,354412
2021-02-01,19.24,19.34,18.49,19.03,195278
2021-02-02,20.06,20.29,19.25,19.35,284859
2021-02-03,19.6,20.68,19.57,20.57,364285
2021-02-04,20.81,21.09,20.22,20.82,283327
2021-02-05,21.3,21.58,20.74,21.06,180024
2021-02-08,21.52,23.8,21.51,23.77,602417
2021-02-09,23.0,23.46,22.51,23.0,362850
2021-02-10,23.18,24.06,23.15,23.89,385096
2021-02-11,23.55,23.68,22.48,23.32,328815
2021-02-12,23.06,24.0,23.02,23.72,297538
2021-02-16,24.92,25.14,24.17,24.68,426574
2021-02-17,25.05,25.36,24.19,24.95,350129
2021-02-18,24.58,24.93,23.54,23.6,332565
2021-02-19,23.64,24.17,23.39,23.74,310933
2021-02-22,24.23,25.62,24.16,24.71,494646
2021-02-23,24.57,24.79,22.83,24.36,877692
2021-02-24,24.57,26.77,24.23,26.3,522418
