date,open,high,low,close,volume
2020-07-27,280.73,284.24,279.23,282.82,10260
2020-07-28,282.21,284.97,279.4,279.81,10002
2020-07-29,285.57,287.45,283.09,286.64,18216
2020-07-30,280.98,280.98,271.48,279.21,25387
2020-07-31,281.93,281.93,270.6,276.82,29470
2020-08-03,278.44,282.92,276.46,280.94,39973
2020-08-04,280.15,280.98,274.52,278.17,37644
2020-08-05,277.09,296.8,276.06,294.76,53897
2020-08-06,289.9,294.38,282.06,291.22,34541
2020-08-07,290.3,293.54,285.66,288.94,60292
2020-08-10,287.57,287.57,275.23,281.95,26119
2020-08-11,279.48,287.31,275.78,278.19,28816
2020-08-12,280.74,282.98,278.59,280.49,29504
2020-08-13,287.78,298.0,287.78,294.04,23304
2020-08-14,295.08,301.1,293.26,295.47,52066
2020-08-17,298.71,299.53,291.3,291.47,39917
2020-08-18,291.91,291.91,284.1,284.69,17632
2020-08-19,284.76,287.51,280.68,285.38,22636
2020-08-20,283.43,289.97,283.43,286.46,29050
2020-08-21,282.36,283.77,279.29,279.82,16738
2020-08-24,280.53,281.26,276.23,277.33,16777
2020-08-25,279.2,280.6,277.74,280.1,19518
2020-08-26,282.52,292.47,282.32,288.66,21587
2020-08-27,286.15,290.86,283.85,285.55,17531
2020-08-28,291.67,293.4,289.89,292.57,11382
2020-08-31,292.3,297.18,292.16,292.35,19399
2020-09-01,297.8,303.55,296.32,299.73,30231
2020-09-02,301.68,302.47,294.3,297.47,11940
2020-09-03,292.95,292.95,273.36,276.82,38381
2020-09-04,274.02,274.02,259.58,264.43,22105
2020-09-08,253.27,273.12,253.27,266.15,40310
2020-09-09,274.47,278.58,272.24,272.85,26772
2020-09-10,279.2,281.2,267.71,268.4,21192
2020-09-11,270.01,270.01,257.01,257.48,12503
2020-09-14,263.46,267.29,261.96,266.12,17717
2020-09-15,268.63,273.42,267.37,273.23,19257
2020-09-16,283.44,283.44,273.46,273.62,18803
2020-09-17,265.83,271.7,264.45,271.7,41280
2020-09-18,274.11,275.22,263.39,266.85,23801
2020-09-21,260.54,267.37,258.43,267.37,20186
2020-09-22,269.06,273.11,265.55,272.9,21107
2020-09-23,271.43,276.09,266.94,268.91,13230
2020-09-24,263.53,271.82,260.69,267.06,20152
2020-09-25,266.42,278.07,265.54,276.53,18587
2020-09-28,281.49,284.07,279.03,283.72,21875
2020-09-29,289.43,296.88,289.03,296.52,27781
2020-09-30,295.07,304.69,293.82,303.55,80955
2020-10-01,307.18,313.2,305.64,313.17,80172
2020-10-02,317.79,326.62,312.87,323.18,93089
2020-10-05,324.06,335.76,319.56,334.1,55749
2020-10-06,334.37,337.33,326.97,330.88,60913
2020-10-07,334.5,344.08,327.7,342.83,54448
2020-10-08,349.55,351.42,345.84,350.73,52175
2020-10-09,353.98,358.75,353.98,356.57,43073
2020-10-12,359.88,361.0,349.21,357.53,20887
2020-10-13,357.0,366.73,356.39,365.55,22021
2020-10-14,368.83,369.05,359.95,364.31,14237
2020-10-15,356.59,368.38,356.28,366.33,12227
2020-10-16,368.13,375.23,368.02,372.57,12992
2020-10-19,378.16,378.93,369.33,372.74,11466
2020-10-20,377.3,382.47,374.72,374.72,9886
2020-10-21,381.82,381.82,366.45,367.33,24916
2020-10-22,369.4,370.72,357.37,367.77,34304
2020-10-23,370.68,379.18,368.25,379.0,25928
2020-10-26,373.22,373.22,362.72,369.31,18122
2020-10-27,372.38,376.9,371.21,373.46,23881
2020-10-28,363.63,366.12,359.6,362.08,8416
2020-10-29,363.54,367.82,363.54,364.83,10325
2020-10-30,358.5,360.05,348.27,353.79,18333
2020-11-02,356.58,360.91,347.1,351.08,27209
2020-11-03,354.33,362.58,354.33,360.04,12159
2020-11-04,374.04,387.75,373.11,387.75,22811
2020-11-05,384.71,389.08,359.61,364.26,66896
2020-11-06,360.62,380.64,356.97,378.59,33736
2020-11-09,388.01,407.64,386.58,395.18,30811
2020-11-10,390.19,391.35,364.78,368.01,46810
2020-11-11,382.13,383.72,371.13,372.34,19831
2020-11-12,374.0,382.37,369.03,370.07,15042
2020-11-13,374.06,376.36,367.16,372.09,16676
2020-11-16,370.93,375.48,367.21,368.38,13881
2020-11-17,368.75,374.06,365.93,371.89,11114
2020-11-18,371.26,377.67,368.58,370.43,13057
2020-11-19,371.39,383.2,371.39,383.2,13681
2020-11-20,382.23,390.56,377.07,383.95,19414
2020-11-23,385.69,394.79,383.63,391.82,11054
2020-11-24,396.03,396.4,386.26,390.22,8437
2020-11-25,393.69,398.34,389.25,397.81,17867
2020-11-27,400.46,407.22,400.46,406.11,7092
2020-11-30,408.88,410.73,396.3,406.57,15546
2020-12-01,407.41,410.69,401.63,405.23,12627
2020-12-02,396.48,410.31,395.42,409.18,23316
2020-12-03,415.32,425.35,415.32,417.72,23914
2020-12-04,422.2,428.22,420.86,426.6,22039
2020-12-07,426.05,428.32,422.23,425.87,21542
2020-12-08,425.72,430.36,422.47,428.69,21906
2020-12-09,427.64,428.93,409.65,411.04,30051
2020-12-10,408.03,418.54,406.28,416.31,43281
2020-12-11,412.83,418.91,409.84,413.35,19977
2020-12-14,414.0,419.03,408.63,415.12,26338
2020-12-15,417.45,423.11,413.77,414.08,48319
2020-12-16,416.67,419.29,413.02,413.24,25603
2020-12-17,413.71,431.04,413.71,431.04,37487
2020-12-18,429.08,431.21,422.8,428.08,25276
2020-12-21,426.39,438.45,420.36,433.07,25269
2020-12-22,436.69,454.45,436.69,454.19,34649
2020-12-23,456.87,457.22,450.41,453.52,21253
2020-12-24,452.78,452.87,446.54,450.73,7309
2020-12-28,455.89,456.17,445.34,451.84,18564
2020-12-29,452.47,452.47,434.56,436.23,25289
2020-12-30,438.92,440.52,435.07,436.73,36952
2020-12-31,434.73,441.79,433.89,440.48,22710
2021-01-04,435.89,435.89,411.51,416.56,43271
2021-01-05,412.92,420.96,411.53,415.95,41011
2021-01-06,410.52,413.68,401.16,403.28,33600
2021-01-07,414.9,422.33,411.74,420.74,26682
2021-01-08,429.48,437.41,425.88,430.09,27351
2021-01-11,422.24,425.01,416.39,416.61,14695
2021-01-12,416.56,416.9,405.48,410.67,36544
2021-01-13,411.97,413.21,403.6,404.97,26055
2021-01-14,407.27,412.79,400.65,402.05,43400
2021-01-15,404.01,405.2,389.29,389.37,35699
2021-01-19,392.03,392.03,384.36,387.23,52631
2021-01-20,388.87,399.7,386.39,398.84,59656
2021-01-21,401.14,401.26,393.16,394.82,23329
2021-01-22,396.46,400.51,392.77,400.19,15665
2021-01-25,403.07,405.38,389.15,399.82,25426
2021-01-26,399.63,399.82,381.4,381.69,28198
2021-01-27,368.64,377.65,365.37,367.04,46573
2021-01-28,371.92,384.98,371.92,376.56,30597
2021-01-29,373.4,376.76,365.23,370.98,30403
2021-02-01,376.13,387.2,375.05,386.8,24793
2021-02-02,390.25,405.68,385.64,402.36,23754
2021-02-03,401.94,408.55,400.07,405.82,21143
2021-02-04,409.91,418.16,404.29,417.52,31550
2021-02-05,420.9,427.61,420.9,423.32,34804
2021-02-08,425.37,430.1,416.51,418.45,27671
2021-02-09,418.78,424.54,414.61,422.87,21799
2021-02-10,423.09,423.09,409.07,414.29,26163
2021-02-11,419.18,431.11,392.25,395.8,55123
2021-02-12,394.76,403.15,394.06,402.16,29528
2021-02-16,403.27,403.27,379.49,380.35,38900
2021-02-17,374.38,382.37,367.98,382.37,54970
2021-02-18,375.68,395.67,375.68,391.86,34639
2021-02-19,393.43,401.62,389.71,390.45,39533
2021-02-22,380.68,384.82,370.3,371.15,28699
2021-02-23,355.66,371.2,347.67,367.78,56190
2021-02-24,364.17,377.4,357.81,377.4,64232
2021-02-25,375.15,375.18,355.38,359.28,24114
2021-02-26,366.36,369.41,358.6,365.14,39346
2021-03-01,374.02,380.99,372.3,376.13,26808
2021-03-02,374.7,377.18,370.65,370.81,17300
2021-03-03,365.92,365.92,352.41,354.15,33100
2021-03-04,349.84,352.75,334.32,340.08,27578
2021-03-05,355.86,371.29,344.77,367.14,48188
2021-03-08,366.06,370.75,357.11,357.11,31715
2021-03-09,373.69,381.29,366.39,370.07,29723
2021-03-10,380.38,386.32,368.32,369.24,33314
2021-03-11,378.09,385.37,375.95,379.99,18211
