date,open,high,low,close,volume
2020-07-27,60.05,60.69,59.96,60.59,41987
2020-07-28,60.54,61.38,60.54,61.11,59886
2020-07-29,60.72,61.44,60.31,61.41,85711
2020-07-30,60.53,60.62,59.88,60.43,90302
2020-07-31,60.4,60.54,59.29,60.54,84109
2020-08-03,60.54,61.52,60.2,61.28,77688
2020-08-04,61.1,61.52,60.93,61.1,62216
2020-08-05,61.78,61.82,61.13,61.22,58219
2020-08-06,61.06,61.4,60.62,61.11,72421
2020-08-07,61.14,61.99,60.99,61.86,61871
2020-08-10,61.66,62.68,61.56,62.68,38642
2020-08-11,63.06,63.7,62.12,62.29,69386
2020-08-12,62.86,62.88,62.21,62.46,26822
2020-08-13,62.25,63.17,62.25,62.68,28886
2020-08-14,62.38,62.91,62.28,62.56,21806
2020-08-17,62.49,63.54,62.46,62.68,29040
2020-08-18,62.92,63.13,62.36,62.73,34934
2020-08-19,62.96,63.0,62.38,62.4,32301
2020-08-20,62.21,62.54,62.01,62.4,10598
2020-08-21,62.03,62.3,61.59,62.25,35287
2020-08-24,62.32,63.54,62.25,63.54,21962
2020-08-25,63.8,64.14,63.72,63.88,38262
2020-08-26,63.25,64.17,63.25,63.89,28338
2020-08-27,64.41,64.83,63.98,64.5,32501
2020-08-28,64.64,65.2,64.12,65.12,64916
2020-08-31,64.66,64.91,64.24,64.54,12520
2020-09-01,64.28,64.28,63.62,64.17,43080
2020-09-02,64.44,65.9,64.44,65.73,45404
2020-09-03,65.77,65.89,63.81,64.33,100799
2020-09-04,64.43,64.94,63.37,64.07,49868
2020-09-08,62.94,63.42,62.41,62.58,92425
2020-09-09,63.02,64.4,62.48,63.9,31886
2020-09-10,63.98,64.64,63.19,63.46,57696
2020-09-11,63.74,63.93,62.74,63.16,36966
2020-09-14,63.84,65.65,63.83,65.45,52712
2020-09-15,66.01,66.83,66.01,66.47,74458
2020-09-16,66.74,67.81,66.68,67.05,98206
2020-09-17,66.09,67.17,65.91,66.95,106021
2020-09-18,66.89,67.23,65.64,66.19,48060
2020-09-21,64.61,64.76,63.71,64.6,41956
2020-09-22,64.88,65.47,64.5,65.36,35285
2020-09-23,65.46,65.67,63.74,64.12,86265
2020-09-24,63.93,64.7,63.28,63.93,31159
2020-09-25,63.72,65.63,63.53,65.44,61894
2020-09-28,66.41,67.22,66.41,66.93,62634
2020-09-29,67.01,67.39,66.46,66.73,132682
2020-09-30,66.84,67.74,66.57,67.23,106332
2020-10-01,67.54,68.17,66.28,66.84,88508
2020-10-02,65.96,67.35,65.87,66.9,67536
2020-10-05,67.43,68.85,67.37,68.6,107960
2020-10-06,68.28,69.73,66.62,66.9,159316
2020-10-07,67.93,68.33,67.59,67.87,83334
2020-10-08,69.45,70.23,68.69,69.08,71486
2020-10-09,69.56,69.83,68.79,69.38,84809
2020-10-12,70.12,70.44,69.42,69.91,135992
2020-10-13,70.11,70.41,69.65,69.89,75728
2020-10-14,70.1,71.36,70.01,70.95,108937
2020-10-15,70.44,70.71,69.66,70.15,61772
2020-10-16,70.35,71.24,70.23,70.49,81167
2020-10-19,70.64,70.97,68.79,68.97,80184
2020-10-20,69.38,70.18,68.81,69.4,79968
2020-10-21,69.25,70.05,69.08,69.64,90693
2020-10-22,69.78,70.9,69.3,70.71,63389
2020-10-23,71.08,71.68,70.91,71.58,83287
2020-10-26,70.64,70.73,68.92,69.4,86387
2020-10-27,69.6,70.04,68.87,68.98,50949
2020-10-28,67.86,68.86,67.37,67.48,81592
2020-10-29,67.11,70.06,67.06,69.43,72323
2020-10-30,69.29,69.85,68.81,69.85,118296
2020-11-02,70.59,71.36,69.96,70.66,108847
2020-11-03,71.85,73.88,71.71,73.52,85552
2020-11-04,75.51,75.51,72.42,72.57,162377
2020-11-05,73.74,74.51,73.09,73.43,63211
2020-11-06,73.63,74.95,73.63,74.61,66568
2020-11-09,79.76,80.53,76.89,76.9,137780
2020-11-10,76.18,78.6,76.02,77.47,90908
2020-11-11,77.88,78.19,77.13,77.69,40394
2020-11-12,77.53,77.59,76.28,76.66,63185
2020-11-13,77.32,78.06,76.81,78.03,48354
2020-11-16,78.69,79.18,78.1,79.03,51781
2020-11-17,78.07,78.58,77.71,78.48,104668
2020-11-18,78.22,78.99,77.92,78.14,107270
2020-11-19,77.52,78.24,77.16,78.18,34085
2020-11-20,77.99,77.99,76.87,76.89,52983
