date,open,high,low,close,volume
2020-07-27,46.58,47.06,46.39,46.58,37036
2020-07-28,46.71,46.94,46.17,46.3,104166
2020-07-29,46.07,46.72,46.07,46.6,79465
2020-07-30,45.95,46.08,45.55,45.85,98770
2020-07-31,45.52,46.1,45.38,46.1,74301
2020-08-03,46.12,46.69,46.06,46.41,49911
2020-08-04,45.92,46.2,45.8,45.99,58090
2020-08-05,46.28,47.12,46.28,47.12,53304
2020-08-06,47.0,47.36,47.0,47.36,57975
2020-08-07,47.24,48.01,47.24,47.98,40074
2020-08-10,48.19,49.28,48.14,48.88,59812
2020-08-11,49.24,49.52,49.04,49.15,88254
2020-08-12,49.25,49.48,48.88,49.14,82720
2020-08-13,48.79,48.81,48.02,48.11,88540
2020-08-14,47.87,48.64,47.87,48.36,53487
2020-08-17,48.47,48.58,48.15,48.22,16374
2020-08-18,48.43,48.51,48.08,48.16,45015
2020-08-19,48.17,48.32,47.8,47.92,65311
2020-08-20,47.58,47.66,47.28,47.43,18798
2020-08-21,47.13,47.5,47.13,47.33,53073
2020-08-24,47.62,47.78,47.17,47.25,67323
2020-08-25,47.7,47.73,46.89,46.98,41940
2020-08-26,46.77,47.39,46.49,47.23,24822
2020-08-27,47.54,47.58,46.76,46.96,44545
2020-08-28,46.84,47.04,46.54,47.04,38926
2020-08-31,47.14,47.14,46.62,46.75,43381
2020-09-01,46.7,47.38,46.26,47.38,69735
2020-09-02,47.42,47.98,47.42,47.82,83824
2020-09-03,48.05,48.05,46.16,46.5,33129
2020-09-04,47.02,47.16,46.27,46.58,82902
2020-09-08,46.11,46.31,45.35,45.39,77068
2020-09-09,45.74,46.47,45.53,46.15,69165
2020-09-10,46.01,46.54,44.83,45.08,53929
2020-09-11,45.22,45.82,45.2,45.63,77257
2020-09-14,45.98,47.05,45.85,46.97,84604
2020-09-15,47.05,47.29,46.6,46.68,57183
2020-09-16,46.95,47.48,46.7,46.99,83071
2020-09-17,46.23,47.26,46.2,46.67,95740
2020-09-18,46.77,46.88,45.72,45.8,61495
2020-09-21,45.46,45.46,43.74,44.52,87186
2020-09-22,44.32,45.19,44.32,44.8,61684
2020-09-23,44.95,45.41,44.15,44.41,90178
2020-09-24,43.95,45.23,43.89,44.68,77968
2020-09-25,44.56,45.74,44.56,45.44,73216
2020-09-28,46.06,47.12,46.06,47.09,151029
2020-09-29,46.93,47.42,46.71,46.89,68061
2020-09-30,46.98,47.66,46.15,46.41,42925
2020-10-01,46.87,46.89,45.46,45.97,124536
2020-10-02,45.43,46.69,45.43,46.24,74050
2020-10-05,46.74,48.1,46.74,47.93,69942
2020-10-06,47.86,48.81,47.57,47.71,85111
2020-10-07,48.2,48.94,48.2,48.9,60448
2020-10-08,48.64,48.92,48.2,48.92,45678
2020-10-09,48.86,49.45,48.35,48.54,174477
2020-10-12,49.1,49.1,48.5,48.85,119851
2020-10-13,48.46,48.87,47.67,48.18,121468
2020-10-14,48.36,48.89,48.16,48.37,76159
2020-10-15,47.95,48.54,47.88,48.48,68484
2020-10-16,48.29,49.64,48.29,48.94,151735
2020-10-19,49.09,49.8,49.03,49.55,267222
2020-10-20,49.93,49.93,48.44,49.15,681462
2020-10-21,49.06,49.92,49.02,49.44,245308
2020-10-22,50.08,50.27,49.29,49.88,155659
2020-10-23,50.11,50.55,50.03,50.36,141625
2020-10-26,49.63,49.63,48.68,49.28,157777
2020-10-27,49.53,49.61,48.07,48.1,104740
2020-10-28,47.16,47.59,46.18,46.23,146443
2020-10-29,46.12,47.08,45.93,46.6,95244
2020-10-30,46.46,46.71,45.92,46.46,125395
2020-11-02,47.13,48.36,47.05,48.26,129630
2020-11-03,49.34,50.22,48.8,49.98,127216
2020-11-04,50.39,50.39,48.2,48.28,152344
2020-11-05,48.65,49.65,48.65,49.27,105381
2020-11-06,49.42,49.68,48.78,48.95,88362
2020-11-09,51.8,52.23,49.4,49.4,178281
2020-11-10,49.07,50.53,49.05,49.71,231726
2020-11-11,49.97,49.97,48.94,49.16,66565
2020-11-12,49.06,49.07,48.27,48.56,115539
2020-11-13,48.98,49.2,48.61,49.07,119031
2020-11-16,49.52,49.82,48.14,49.09,117903
2020-11-17,48.62,48.74,48.06,48.45,124875
2020-11-18,48.84,49.62,48.52,49.04,112588
2020-11-19,48.72,49.24,48.21,49.18,77724
2020-11-20,48.11,49.01,47.91,48.5,126219
2020-11-23,48.6,49.35,48.31,48.86,107886
2020-11-24,48.78,49.54,48.59,49.35,115560
2020-11-25,49.28,49.53,48.36,48.46,72376
2020-11-27,48.8,48.81,47.8,47.89,61981
2020-11-30,47.85,47.94,47.16,47.49,93894
