date,open,high,low,close,volume
2020-07-27,42.6,42.6,41.7,42.46,33211
2020-07-28,42.75,42.95,42.5,42.85,38676
2020-07-29,42.97,42.97,42.39,42.97,39345
2020-07-30,42.42,42.92,42.15,42.81,66905
2020-07-31,43.12,45.86,42.83,45.73,253501
2020-08-03,45.34,45.44,44.09,44.52,122779
2020-08-04,44.65,45.89,44.52,45.45,69891
2020-08-05,45.45,45.49,44.45,44.58,92200
2020-08-06,44.07,44.66,43.62,44.65,52074
2020-08-07,44.38,45.69,44.38,45.41,40259
2020-08-10,45.49,45.8,45.13,45.21,35149
2020-08-11,45.75,45.75,44.47,44.51,47637
2020-08-12,44.79,45.6,44.79,45.4,49859
2020-08-13,44.87,45.47,44.87,45.32,46652
2020-08-14,45.19,45.42,44.77,45.06,31920
2020-08-17,44.75,45.06,44.49,44.71,42919
2020-08-18,44.78,44.81,44.09,44.56,77478
2020-08-19,44.3,44.7,44.23,44.42,51156
2020-08-20,43.81,44.25,43.79,44.04,30375
2020-08-21,43.99,44.07,43.19,43.52,56478
2020-08-24,43.67,44.05,43.31,44.03,42400
2020-08-25,44.01,44.01,43.36,43.79,44348
2020-08-26,42.96,43.32,42.66,42.86,45648
2020-08-27,43.11,43.28,42.41,42.71,106073
2020-08-28,42.55,42.77,42.12,42.6,455617
2020-08-31,42.7,42.87,42.41,42.64,25676
2020-09-01,42.14,42.28,41.46,41.68,56993
2020-09-02,41.41,43.36,41.41,43.25,89980
2020-09-03,43.46,43.85,42.12,42.53,28487
2020-09-04,42.69,42.99,42.06,42.93,37739
2020-09-08,42.86,43.03,42.19,42.89,77069
2020-09-09,43.03,44.58,43.03,44.07,112966
2020-09-10,43.6,43.98,43.11,43.11,66467
2020-09-11,43.19,43.34,42.5,43.23,50512
2020-09-14,43.39,43.51,43.01,43.31,57349
2020-09-15,43.36,43.42,42.46,42.61,90287
2020-09-16,42.64,43.83,42.6,43.66,104930
2020-09-17,43.05,43.79,42.83,43.05,71533
2020-09-18,43.0,43.15,42.1,42.39,84196
2020-09-21,41.84,42.47,41.53,42.19,41820
2020-09-22,42.61,43.49,42.5,43.24,103318
2020-09-23,43.31,43.45,42.76,42.82,39777
2020-09-24,42.77,44.46,42.63,44.09,88259
2020-09-25,43.65,44.8,43.62,44.66,100060
2020-09-28,45.09,45.49,44.77,44.83,56702
2020-09-29,44.89,45.63,44.88,45.24,84012
2020-09-30,45.43,45.66,45.02,45.29,88734
2020-10-01,45.26,45.65,44.93,45.44,157762
2020-10-02,45.1,46.51,44.68,46.13,250723
2020-10-05,46.2,46.89,45.83,46.41,117442
2020-10-06,46.53,46.95,45.86,46.09,113299
2020-10-07,46.56,47.28,46.56,47.05,79768
2020-10-08,47.16,48.23,47.16,48.16,52464
2020-10-09,48.37,48.37,47.3,47.5,117584
2020-10-12,47.31,47.83,47.22,47.64,86650
2020-10-13,47.14,47.8,46.87,47.77,177209
2020-10-14,47.73,48.37,47.73,47.84,112771
2020-10-15,47.46,48.55,47.36,48.22,82516
2020-10-16,48.38,49.34,48.04,49.09,166225
2020-10-19,49.2,49.34,48.71,49.05,145317
2020-10-20,49.25,49.54,49.07,49.42,101631
2020-10-21,49.35,49.6,49.04,49.1,143773
2020-10-22,49.1,50.2,48.81,50.18,110364
2020-10-23,50.13,50.34,49.89,50.25,136759
2020-10-26,49.8,50.29,49.46,50.28,113008
2020-10-27,50.15,50.99,50.15,50.3,100233
2020-10-28,49.56,50.06,48.26,48.37,141057
2020-10-29,48.14,49.72,47.98,49.21,118005
2020-10-30,49.09,49.19,47.43,47.97,186999
2020-11-02,48.45,48.76,47.85,48.26,227401
2020-11-03,49.03,49.44,48.56,48.94,100861
2020-11-04,48.96,49.58,48.04,48.15,124323
2020-11-05,48.51,49.16,48.12,48.51,94543
2020-11-06,48.45,48.74,48.15,48.18,102871
2020-11-09,50.29,51.11,49.75,49.77,168987
2020-11-10,49.96,50.08,49.45,50.08,206653
2020-11-11,50.38,50.49,49.6,50.19,71819
2020-11-12,49.67,49.67,48.5,48.88,115511
2020-11-13,49.0,49.42,48.79,48.97,209312
2020-11-16,49.8,49.87,48.88,49.21,328795
2020-11-17,49.02,49.02,48.65,48.67,260866
2020-11-18,48.86,48.86,47.66,47.69,157071
2020-11-19,47.66,47.66,46.88,47.53,93334
2020-11-20,47.48,48.18,47.31,48.02,161237
2020-11-23,47.95,48.55,47.83,48.17,114729
2020-11-24,48.43,49.38,48.2,49.21,95575
2020-11-25,49.15,49.47,49.01,49.45,108465
2020-11-27,49.35,49.4,48.55,48.95,58513
2020-11-30,48.72,48.72,47.99,48.08,138577
2020-12-01,48.51,48.85,47.29,47.38,151484
2020-12-02,47.24,47.83,47.02,47.58,127360
2020-12-03,47.28,47.72,46.91,47.52,88296
2020-12-04,47.61,47.73,47.26,47.53,125984
2020-12-07,47.28,47.75,47.17,47.45,75495
2020-12-08,47.24,47.31,46.74,47.19,160236
2020-12-09,47.39,47.58,46.99,47.37,60372
2020-12-10,47.41,47.42,46.44,47.09,38731
2020-12-11,46.79,47.23,46.79,46.99,40089
2020-12-14,47.37,47.7,46.78,46.97,78287
2020-12-15,47.13,48.13,46.9,48.08,59791
2020-12-16,48.12,48.37,47.47,47.53,66282
2020-12-17,47.98,48.2,47.56,47.56,78760
2020-12-18,47.61,47.62,46.93,47.28,131121
2020-12-21,46.83,47.33,46.51,47.0,89869
2020-12-22,46.77,47.15,46.73,46.92,71049
2020-12-23,47.2,47.6,47.02,47.02,87507
2020-12-24,47.09,47.55,47.02,47.54,79130
2020-12-28,47.58,47.97,47.57,47.68,51911
2020-12-29,48.15,48.15,47.36,47.46,58187
2020-12-30,47.45,47.95,47.45,47.69,36106
2020-12-31,47.71,48.52,47.57,48.52,51223
2021-01-04,48.19,48.82,46.2,46.35,106829
2021-01-05,46.34,46.53,45.72,46.37,91614
2021-01-06,46.61,47.45,46.61,47.34,120279
2021-01-07,47.4,47.4,46.43,46.63,68324
2021-01-08,46.81,47.82,46.7,47.68,134865
2021-01-11,47.74,47.78,47.09,47.43,80997
2021-01-12,47.2,47.85,46.89,47.71,107102
2021-01-13,47.83,48.97,47.77,48.83,92651
2021-01-14,48.81,48.81,48.03,48.06,78407
2021-01-15,48.08,49.54,47.69,49.4,68888
2021-01-19,49.44,49.44,48.34,48.38,62525
2021-01-20,48.25,49.44,47.89,49.34,125263
2021-01-21,49.17,49.17,48.49,48.49,83987
2021-01-22,48.14,48.72,47.97,48.56,45620
2021-01-25,48.51,48.98,48.11,48.67,80120
2021-01-26,48.56,48.77,48.06,48.54,63526
2021-01-27,47.82,48.4,46.56,46.82,113209
