date,open,high,low,close,volume
2020-07-27,113.59,115.35,113.01,115.31,123060
2020-07-28,115.55,116.03,114.92,115.01,123073
2020-07-29,115.27,116.39,114.87,115.55,113213
2020-07-30,115.07,115.69,114.37,115.24,78608
2020-07-31,114.74,115.25,113.3,115.25,67080
2020-08-03,114.74,115.03,113.97,114.51,56255
2020-08-04,114.65,115.21,113.93,114.98,38305
2020-08-05,115.28,115.6,113.76,114.13,95419
2020-08-06,113.64,114.11,113.4,113.81,70599
2020-08-07,113.62,114.52,113.38,114.48,116838
2020-08-10,113.94,114.59,113.46,113.97,38295
2020-08-11,114.74,115.0,112.8,113.17,54974
2020-08-12,113.68,116.12,113.68,115.4,57681
2020-08-13,115.4,116.08,115.02,115.62,72261
2020-08-14,115.56,115.71,114.92,115.05,42041
2020-08-17,115.09,116.24,114.79,115.54,55187
2020-08-18,115.93,115.94,114.79,115.66,71648
2020-08-19,115.9,116.23,114.05,114.29,72799
2020-08-20,113.74,114.85,113.74,114.49,44708
2020-08-21,114.18,114.45,113.28,114.3,257860
2020-08-24,114.37,115.24,114.0,115.22,101116
2020-08-25,115.69,115.85,114.5,114.99,63259
2020-08-26,114.45,116.09,114.23,116.03,62427
2020-08-27,116.23,117.18,115.51,115.86,102543
2020-08-28,115.74,117.2,114.98,117.2,48668
2020-08-31,116.75,118.07,116.75,117.5,49827
2020-09-01,117.43,117.43,116.01,116.58,110451
2020-09-02,116.85,120.44,116.85,120.06,100832
2020-09-03,120.42,121.33,116.6,117.67,76203
2020-09-04,117.83,118.27,115.54,117.14,32297
2020-09-08,116.74,116.77,113.45,114.31,89956
2020-09-09,114.21,116.73,114.21,115.63,44181
2020-09-10,115.32,116.01,113.16,113.76,84547
2020-09-11,113.97,115.03,113.3,114.62,65270
2020-09-14,115.34,115.9,114.63,115.32,72132
2020-09-15,115.2,115.73,114.24,114.44,84142
2020-09-16,114.7,115.1,113.7,113.86,78845
2020-09-17,112.43,113.47,111.15,112.39,69963
2020-09-18,112.42,113.64,109.71,110.9,70779
2020-09-21,110.13,110.74,109.13,110.7,161206
2020-09-22,110.47,112.04,110.36,111.43,72981
2020-09-23,111.9,111.98,109.55,110.5,82600
2020-09-24,110.69,111.61,109.67,110.98,88849
2020-09-25,110.4,112.86,110.12,112.65,93947
2020-09-28,114.79,116.88,114.52,116.32,108169
2020-09-29,116.95,117.67,115.68,115.71,77723
2020-09-30,116.48,117.38,115.62,116.91,96845
2020-10-01,117.73,118.81,115.99,118.81,345135
2020-10-02,117.52,118.0,115.03,116.49,210953
2020-10-05,116.59,116.59,115.59,116.35,142563
2020-10-06,116.24,117.08,114.04,114.61,245013
2020-10-07,115.05,116.0,114.54,115.65,182141
2020-10-08,115.71,116.48,115.44,116.29,115238
2020-10-09,116.74,117.46,116.32,116.83,197066
2020-10-12,118.65,120.97,117.91,119.93,410509
2020-10-13,119.78,121.46,119.78,121.11,240290
2020-10-14,120.95,121.54,119.48,120.25,136159
2020-10-15,119.38,119.73,118.64,119.37,186469
2020-10-16,119.61,120.45,119.05,119.54,193310
2020-10-19,119.27,120.19,117.47,117.82,140034
2020-10-20,118.89,119.05,117.61,117.97,148492
2020-10-21,117.64,118.45,117.34,117.73,88399
2020-10-22,117.97,118.18,117.36,117.74,123613
2020-10-23,118.35,118.52,117.29,117.64,96872
2020-10-26,117.02,117.23,115.13,116.4,180292
2020-10-27,116.67,117.96,116.67,117.39,130373
2020-10-28,115.6,116.08,113.01,113.13,218562
2020-10-29,112.76,114.41,111.6,113.03,187827
2020-10-30,112.2,112.84,111.14,112.6,149830
2020-11-02,114.01,114.85,112.87,113.96,117723
2020-11-03,115.25,116.9,114.97,115.66,128240
2020-11-04,116.89,119.48,116.12,116.22,182760
2020-11-05,117.48,118.27,116.02,116.4,175199
2020-11-06,116.59,117.85,115.89,116.66,114619
2020-11-09,119.63,121.16,116.57,116.67,195363
2020-11-10,115.28,120.13,115.28,119.47,211661
2020-11-11,120.19,121.66,119.45,121.44,135916
2020-11-12,121.1,122.08,120.45,121.26,99228
2020-11-13,121.14,122.18,120.87,122.13,96253
2020-11-16,122.26,123.37,122.05,122.85,148633
2020-11-17,122.04,123.22,121.58,122.49,143260
2020-11-18,122.61,123.6,120.88,120.97,152629
2020-11-19,120.52,121.17,120.07,120.97,202511
2020-11-20,121.15,121.98,120.67,120.88,103827
2020-11-23,120.93,121.16,119.69,120.66,148920
2020-11-24,120.88,121.73,120.48,121.47,132503
2020-11-25,121.87,122.23,121.3,121.58,77080
2020-11-27,122.01,122.48,121.63,122.01,54902
2020-11-30,121.67,121.97,120.52,121.73,138729
2020-12-01,122.21,123.68,121.97,123.2,146868
2020-12-02,122.89,123.93,121.38,122.01,181174
2020-12-03,121.57,123.11,121.57,122.7,204822
2020-12-04,122.35,123.99,122.35,123.88,103430
2020-12-07,123.61,124.51,122.9,123.5,130194
2020-12-08,123.34,124.14,122.62,123.55,119858
2020-12-09,123.85,124.08,122.56,123.72,134790
2020-12-10,124.05,124.1,122.71,122.91,227065
2020-12-11,122.02,123.24,121.85,123.13,150277
2020-12-14,123.56,124.42,122.41,122.54,78915
2020-12-15,122.97,123.32,122.27,122.86,101326
2020-12-16,122.6,123.52,122.29,123.05,114918
2020-12-17,123.42,124.2,123.34,123.81,82179
2020-12-18,124.12,124.88,123.61,124.85,120105
2020-12-21,123.15,123.73,121.9,123.62,111357
2020-12-22,122.53,123.15,121.88,122.26,105350
2020-12-23,122.92,123.66,122.41,122.66,123386
2020-12-24,123.04,123.24,122.5,123.24,37743
2020-12-28,123.76,125.37,123.75,124.85,73920
2020-12-29,125.43,126.34,124.76,125.26,116882
2020-12-30,125.09,125.69,124.92,125.11,54087
2020-12-31,125.03,126.09,124.62,126.09,44478
2021-01-04,124.89,125.41,120.61,122.53,248983
2021-01-05,122.29,123.31,121.42,122.99,134686
2021-01-06,120.44,121.99,120.35,121.47,267812
2021-01-07,121.24,121.6,119.92,120.96,194634
2021-01-08,120.92,122.67,120.5,122.59,117771
2021-01-11,122.12,122.57,120.42,120.74,113452
2021-01-12,120.3,120.61,118.51,120.18,204767
2021-01-13,120.16,121.59,119.99,121.19,150039
2021-01-14,120.56,121.01,119.91,120.53,232891
2021-01-15,120.16,121.07,119.44,120.11,129128
2021-01-19,120.95,121.11,120.25,120.73,201856
2021-01-20,119.78,120.43,118.9,120.21,199632
2021-01-21,119.38,119.38,117.88,118.6,210741
2021-01-22,118.41,118.52,117.43,117.78,140018
2021-01-25,117.31,119.18,116.94,119.05,163522
2021-01-26,119.86,120.7,118.75,120.5,212608
2021-01-27,119.23,120.84,116.89,117.22,262807
2021-01-28,117.8,119.6,117.05,118.15,183862
2021-01-29,117.33,117.6,115.58,116.08,235266
2021-02-01,116.26,117.2,115.47,116.42,202555
2021-02-02,116.65,118.51,116.15,117.65,134068
2021-02-03,117.28,118.03,116.45,117.29,202598
2021-02-04,117.28,118.73,117.11,118.72,158732
2021-02-05,119.24,120.71,119.01,119.76,134140
2021-02-08,120.02,120.46,118.56,119.32,179060
2021-02-09,119.23,119.37,118.51,118.61,103326
2021-02-10,119.41,119.41,116.19,116.85,229453
2021-02-11,117.41,117.41,114.14,114.7,356500
2021-02-12,114.8,115.18,113.37,113.73,242124
2021-02-16,114.01,114.5,113.35,114.24,158358
2021-02-17,113.95,114.74,113.73,114.18,196649
2021-02-18,113.96,115.25,113.78,114.95,137656
2021-02-19,114.78,114.79,112.4,112.54,144632
2021-02-22,112.44,112.64,111.1,112.1,157483
2021-02-23,112.66,114.12,111.58,112.81,258714
2021-02-24,111.73,112.35,111.49,112.24,139139
2021-02-25,111.58,112.15,110.27,110.44,243792
