date,open,high,low,close,volume
2020-07-27,27.82,28.05,27.7,27.94,426738
2020-07-28,28.66,29.23,28.29,28.99,963075
2020-07-29,29.17,29.32,28.58,29.19,534983
2020-07-30,28.79,29.21,28.68,29.06,715784
2020-07-31,28.95,29.08,28.41,28.87,301616
2020-08-03,28.98,29.0,28.68,28.78,251889
2020-08-04,28.68,29.03,28.6,28.77,374911
2020-08-05,28.88,28.9,28.62,28.86,291964
2020-08-06,29.03,29.33,28.63,28.7,220312
2020-08-07,28.74,28.97,28.64,28.83,393608
2020-08-10,28.91,29.01,28.72,28.81,242098
2020-08-11,28.95,28.95,28.27,28.37,267461
2020-08-12,28.4,28.93,28.39,28.78,333135
2020-08-13,28.56,28.65,28.43,28.65,268241
2020-08-14,28.53,28.8,28.46,28.56,154716
2020-08-17,28.56,28.82,28.47,28.77,164412
2020-08-18,28.82,28.86,28.65,28.79,287496
2020-08-19,28.86,28.96,28.61,28.71,361050
2020-08-20,28.67,29.11,28.62,29.06,765586
2020-08-21,29.13,29.26,28.94,29.18,250751
2020-08-24,29.25,29.27,28.93,29.15,369241
2020-08-25,28.88,28.93,28.48,28.81,338423
2020-08-26,28.69,28.71,28.27,28.56,358912
2020-08-27,28.49,28.52,28.28,28.41,672547
2020-08-28,28.41,28.56,28.07,28.42,756928
2020-08-31,28.4,28.53,28.24,28.37,729769
2020-09-01,28.35,28.35,27.41,27.69,827471
2020-09-02,27.53,27.99,27.32,27.91,602679
2020-09-03,28.07,28.13,27.09,27.3,481556
2020-09-04,27.33,27.49,26.92,27.27,434894
2020-09-08,27.45,27.45,26.78,26.95,622193
2020-09-09,27.17,27.5,27.15,27.16,399503
2020-09-10,27.17,27.24,26.72,26.76,282052
2020-09-11,26.82,27.09,26.61,27.08,471103
2020-09-14,27.28,28.16,27.25,27.78,589789
2020-09-15,27.96,28.02,27.63,27.74,320270
2020-09-16,27.92,27.99,27.56,27.61,357012
2020-09-17,27.58,27.73,27.43,27.63,250616
2020-09-18,27.59,27.82,27.45,27.5,294751
2020-09-21,27.35,27.37,26.55,27.03,364100
2020-09-22,26.84,27.26,26.82,27.21,754551
2020-09-23,27.26,27.3,26.99,27.02,339716
2020-09-24,26.94,26.99,26.68,26.85,345973
2020-09-25,26.69,27.12,26.68,27.06,180388
2020-09-28,27.14,27.44,27.14,27.32,408364
2020-09-29,27.29,27.42,27.05,27.14,192513
2020-09-30,27.24,27.73,27.21,27.57,375401
2020-10-01,27.7,27.83,27.14,27.29,498442
2020-10-02,27.07,27.5,27.07,27.3,377442
2020-10-05,27.39,27.68,27.27,27.57,365593
2020-10-06,27.74,27.77,27.09,27.14,505100
2020-10-07,27.2,27.46,27.04,27.37,574685
2020-10-08,27.47,27.89,27.4,27.69,498027
2020-10-09,27.67,27.84,27.46,27.6,355596
2020-10-12,27.56,27.9,27.37,27.65,424311
2020-10-13,27.52,27.86,27.51,27.7,891826
2020-10-14,27.77,27.99,27.45,27.66,660563
2020-10-15,27.48,27.56,27.32,27.43,418824
2020-10-16,27.81,28.61,27.79,28.48,936439
2020-10-19,28.87,29.15,28.25,28.35,672615
2020-10-20,28.4,28.42,28.03,28.14,505033
2020-10-21,28.08,28.09,27.81,27.81,483253
2020-10-22,27.83,28.19,27.8,28.08,351627
2020-10-23,28.45,28.73,28.25,28.66,736893
2020-10-26,28.52,28.53,28.13,28.49,849331
2020-10-27,27.89,28.6,27.67,28.1,1031046
2020-10-28,27.58,27.85,26.5,26.59,856446
2020-10-29,26.58,26.74,25.96,26.49,990529
2020-10-30,26.44,26.66,26.15,26.61,579023
2020-11-02,27.0,27.2,26.67,27.18,663363
2020-11-03,27.43,27.47,27.08,27.19,578928
2020-11-04,27.8,28.6,27.74,28.02,929761
2020-11-05,28.23,28.23,27.59,27.59,608370
2020-11-06,27.57,27.84,27.37,27.6,647571
2020-11-09,31.75,31.78,29.11,29.68,5595562
2020-11-10,30.67,30.73,29.17,29.31,1473902
2020-11-11,29.55,30.48,28.74,29.2,878649
2020-11-12,29.02,29.02,28.23,28.47,1043418
2020-11-13,28.7,29.3,28.6,29.28,607164
2020-11-16,28.7,28.76,27.94,28.31,1436532
2020-11-17,27.63,27.67,27.16,27.33,884409
2020-11-18,27.94,28.37,27.52,27.54,1116016
2020-11-19,27.75,27.76,27.19,27.46,781220
2020-11-20,27.81,28.28,27.63,27.8,870598
2020-11-23,28.05,28.11,27.45,27.71,844597
2020-11-24,27.44,27.85,27.32,27.74,688471
2020-11-25,27.7,27.7,27.48,27.68,459790
2020-11-27,27.88,28.25,27.87,28.21,388657
2020-11-30,28.76,29.34,28.51,29.03,1024524
2020-12-01,29.86,30.7,29.58,29.87,1123187
2020-12-02,30.79,31.39,30.56,30.93,1437925
2020-12-03,31.05,31.05,29.98,30.39,933539
2020-12-04,30.28,30.67,30.28,30.6,659556
2020-12-07,30.79,31.38,30.61,31.28,801889
2020-12-08,31.46,32.42,31.35,32.26,1460004
2020-12-09,32.62,32.62,31.19,31.73,1112027
2020-12-10,31.71,32.0,31.42,31.64,1582391
2020-12-11,31.83,31.88,30.87,31.14,857417
2020-12-14,31.55,31.58,29.62,29.74,1377506
2020-12-15,29.62,29.69,28.97,29.36,950587
2020-12-16,28.96,29.17,28.62,28.69,1031404
2020-12-17,28.72,28.9,28.29,28.82,714626
2020-12-18,28.8,28.82,28.43,28.57,554731
2020-12-21,28.26,28.35,27.99,28.35,546002
2020-12-22,28.23,28.29,27.75,27.85,392882
2020-12-23,28.06,28.54,27.96,28.4,767858
2020-12-24,28.35,28.47,28.2,28.27,374204
2020-12-28,28.34,28.46,27.81,27.91,394094
2020-12-29,27.98,28.2,27.91,28.07,425345
2020-12-30,28.07,28.22,27.82,27.86,462844
2020-12-31,27.8,27.98,27.52,27.89,343978
2021-01-04,27.96,28.0,27.51,27.9,436106
2021-01-05,27.87,28.33,27.76,28.2,562601
2021-01-06,27.93,28.41,27.88,27.95,953713
2021-01-07,28.07,28.16,27.8,28.09,692481
2021-01-08,28.19,28.43,27.98,28.14,741246
2021-01-11,28.22,28.65,28.18,28.65,1040568
2021-01-12,28.58,28.64,27.92,28.2,1123932
2021-01-13,28.07,28.17,27.78,27.95,857106
2021-01-14,27.9,28.02,27.76,27.89,627767
2021-01-15,27.83,27.88,27.6,27.84,492323
2021-01-19,27.9,28.05,27.77,27.86,793419
2021-01-20,27.9,27.9,27.64,27.68,834956
2021-01-21,27.63,27.73,27.41,27.66,902788
2021-01-22,27.54,27.92,27.48,27.71,621028
2021-01-25,27.72,28.26,27.54,28.26,780071
2021-01-26,28.28,28.49,28.18,28.28,755727
2021-01-27,28.01,28.08,27.43,27.5,1187253
2021-01-28,27.55,27.84,27.48,27.49,887321
2021-01-29,28.23,28.23,27.3,27.51,1699468
2021-02-01,27.54,27.72,27.38,27.44,2452140
2021-02-02,27.38,27.42,26.26,26.82,4542584
2021-02-03,26.83,27.04,26.66,26.7,998098
2021-02-04,26.7,26.88,26.62,26.75,923033
2021-02-05,26.76,26.87,26.66,26.75,636187
2021-02-08,26.82,26.83,26.62,26.69,714052
2021-02-09,26.64,26.87,26.64,26.8,632122
2021-02-10,26.83,26.88,26.59,26.62,697048
2021-02-11,26.67,26.67,26.27,26.39,602258
2021-02-12,26.39,26.79,26.36,26.61,768745
2021-02-16,26.69,26.7,26.49,26.59,810415
2021-02-17,26.49,26.82,26.41,26.75,666577
2021-02-18,26.65,26.72,26.46,26.47,692150
2021-02-19,26.55,26.58,26.36,26.37,505841
2021-02-22,26.32,26.32,26.1,26.26,918628
2021-02-23,26.03,26.19,25.81,25.99,902751
2021-02-24,25.96,26.1,25.81,25.86,1014642
2021-02-25,25.92,26.14,25.71,25.92,867234
2021-02-26,25.92,25.98,25.57,25.7,742841
2021-03-01,25.74,26.0,25.68,25.81,622777
2021-03-02,25.8,25.97,25.68,25.68,688112
2021-03-03,25.68,26.4,25.63,26.35,2438201
2021-03-04,26.26,26.88,25.94,26.2,1408721
2021-03-05,26.28,26.47,26.03,26.36,684002
2021-03-08,26.44,26.72,26.32,26.33,819639
2021-03-09,26.47,26.71,26.39,26.39,582296
2021-03-10,26.49,26.93,26.47,26.77,697826
2021-03-11,26.86,26.92,26.56,26.59,702852
2021-03-12,26.46,26.8,26.45,26.78,539245
2021-03-15,26.85,27.15,26.8,27.14,776044
2021-03-16,27.19,27.48,27.07,27.46,657436
2021-03-17,27.41,27.56,26.92,27.42,1143536
2021-03-18,27.24,27.57,27.22,27.41,830035
2021-03-19,27.4,27.45,27.19,27.26,721313
2021-03-22,27.18,27.59,27.1,27.59,601062
2021-03-23,27.47,27.52,27.07,27.11,857624
2021-03-24,27.18,27.54,27.11,27.3,685869
2021-03-25,27.32,27.43,27.02,27.34,558962
2021-03-26,27.34,27.81,27.32,27.78,833222
2021-03-29,27.57,28.15,27.52,28.07,758376
2021-03-30,28.03,28.07,27.61,27.67,1159773
2021-03-31,27.67,27.92,27.62,27.76,606526
2021-04-01,27.81,27.93,27.62,27.82,550597
2021-04-05,27.94,28.02,27.67,27.8,517026
2021-04-06,27.78,27.89,27.59,27.62,447583
2021-04-07,27.6,27.77,27.41,27.52,503180
2021-04-08,27.55,27.7,27.49,27.53,523401
2021-04-09,27.52,28.21,27.51,28.05,707384
2021-04-12,27.97,28.38,27.84,28.34,598610
2021-04-13,28.65,28.85,28.33,28.46,593342
2021-04-14,28.46,28.65,28.33,28.49,536940
2021-04-15,28.56,28.92,28.56,28.82,585033
2021-04-16,29.07,29.66,28.98,29.56,959255
2021-04-20,29.71,30.07,29.71,29.92,1207917
2021-04-21,30.01,30.4,30.0,30.3,698849
2021-04-22,30.27,30.27,29.52,29.62,729787
2021-04-23,29.61,29.75,29.45,29.65,775385
2021-04-26,29.67,29.68,29.51,29.65,533076
2021-04-27,29.52,29.58,29.39,29.45,537725
2021-04-28,29.55,29.84,29.53,29.74,515513
2021-04-29,29.86,29.86,29.36,29.59,553928
2021-04-30,29.51,29.8,29.5,29.64,540371
2021-05-03,29.92,30.53,29.86,30.51,1596950
2021-05-04,30.63,30.79,30.23,30.62,1345510
2021-05-05,30.8,31.48,29.84,30.64,2173302
2021-05-06,29.69,30.35,29.39,30.33,1642726
2021-05-07,30.32,30.84,30.25,30.64,1655730
2021-05-10,30.86,31.17,30.85,30.86,888288
2021-05-11,30.78,31.01,30.37,30.45,940891
2021-05-12,30.47,30.89,30.42,30.72,987741
2021-05-13,30.64,31.17,30.6,31.03,838134
2021-05-14,31.14,31.21,30.9,30.97,391853
2021-05-17,31.05,31.26,30.97,31.05,442057
2021-05-18,31.1,31.21,30.83,30.98,544704
2021-05-19,30.88,30.88,30.52,30.83,654783
2021-05-20,30.75,31.15,30.74,31.05,920738
2021-05-21,31.15,31.41,30.89,30.93,597036
2021-05-24,31.01,31.06,30.79,30.81,458794
2021-05-25,30.82,30.84,30.37,30.44,578805
2021-05-26,30.4,30.42,30.02,30.13,966576
2021-05-27,30.17,30.32,29.87,29.87,630316
2021-05-28,29.97,30.2,29.94,29.98,383340
2021-06-01,30.12,30.18,29.79,29.8,623124
2021-06-02,29.86,30.13,29.83,30.03,573702
2021-06-03,30.0,30.21,29.9,30.16,344837
2021-06-04,30.29,30.56,30.2,30.29,480462
2021-06-07,30.3,30.65,30.17,30.18,783397
2021-06-08,30.24,30.26,29.78,30.07,598622
2021-06-09,30.17,30.83,30.17,30.81,910796
2021-06-10,30.94,31.51,30.93,31.49,896433
2021-06-11,31.47,31.47,30.92,31.07,611384
2021-06-14,30.97,31.01,30.48,30.66,777075
2021-06-15,30.71,30.83,30.49,30.62,790389
2021-06-16,30.68,30.83,30.4,30.42,692594
2021-06-17,30.37,30.64,30.25,30.56,828665
2021-06-18,30.44,30.51,29.95,30.04,1007391
2021-06-21,30.13,30.55,30.11,30.5,502158
2021-06-22,30.47,30.71,30.39,30.66,483555
2021-06-23,30.68,30.69,30.17,30.23,635991
2021-06-24,30.29,30.44,30.25,30.33,434448
2021-06-25,30.28,30.49,30.11,30.14,513969
2021-06-28,30.24,30.34,30.11,30.26,423122
2021-06-29,30.3,30.4,30.18,30.26,499276
2021-06-30,30.3,30.38,30.04,30.31,492303
2021-07-01,30.31,30.67,30.28,30.62,417297
2021-07-02,30.55,30.83,30.48,30.74,377580
2021-07-06,30.55,30.68,30.22,30.4,479228
2021-07-07,30.35,30.46,30.16,30.45,692562
2021-07-08,30.2,30.42,30.14,30.38,438483
2021-07-09,30.59,31.03,30.55,30.66,569647
2021-07-12,30.69,31.15,30.67,30.77,625044
2021-07-13,30.8,30.8,30.6,30.69,328113
2021-07-14,30.74,30.97,30.7,30.93,493168
2021-07-15,30.9,31.1,30.85,31.02,449000
2021-07-16,31.07,31.23,30.9,31.22,672619
2021-07-19,31.1,31.19,30.71,31.08,835895
2021-07-20,31.17,32.28,31.17,31.77,1923714
2021-07-21,31.86,31.89,31.36,31.75,1054571
2021-07-22,31.76,32.15,31.65,32.1,557306
2021-07-23,32.09,32.37,32.07,32.27,586318
2021-07-26,32.22,32.46,32.04,32.37,743950
2021-07-27,32.37,32.66,32.19,32.58,1186181
2021-07-28,32.74,33.85,32.74,33.63,1663152
2021-07-29,33.78,33.79,33.3,33.44,733904
2021-07-30,33.46,33.72,33.35,33.44,799907
2021-08-02,33.87,34.47,33.79,34.33,2940437
2021-08-03,34.5,35.78,34.43,35.77,1322374
2021-08-04,35.6,35.77,35.15,35.29,1684861
2021-08-05,35.13,35.24,34.91,35.19,646088
2021-08-06,35.18,35.23,34.86,35.19,717224
2021-08-09,35.31,35.95,35.3,35.93,869489
2021-08-10,35.97,37.93,35.85,37.64,2865469
2021-08-11,37.34,37.54,36.14,36.16,1436224
2021-08-12,36.28,37.01,36.21,36.89,787237
2021-08-13,37.0,37.88,36.95,37.87,1147298
2021-08-16,37.74,38.24,37.14,38.2,886681
2021-08-17,38.09,39.43,38.06,39.39,2618730
2021-08-18,39.2,40.49,38.41,38.49,1720441
2021-08-19,37.9,39.0,37.73,38.11,1449808
2021-08-20,38.25,38.82,38.02,38.05,547386
2021-08-23,39.36,40.1,38.76,38.98,1515168
2021-08-24,39.02,39.02,37.68,37.78,868171
2021-08-25,37.56,37.56,36.67,37.09,1100699
2021-08-26,37.28,37.61,36.94,37.0,444199
2021-08-27,36.99,37.04,36.34,36.39,1185670
2021-08-30,36.07,36.82,36.07,36.52,526850
2021-08-31,36.51,36.81,35.88,35.97,730291
2021-09-01,36.06,36.06,35.48,35.95,600741
2021-09-02,36.3,36.6,36.03,36.56,630550
2021-09-03,36.61,36.73,36.2,36.58,410084
2021-09-07,36.61,37.1,36.35,36.5,484688
2021-09-08,36.42,36.51,36.12,36.32,378237
2021-09-09,36.31,36.48,35.81,35.94,461239
2021-09-10,36.16,36.17,35.54,35.61,394029
2021-09-13,35.64,35.68,34.52,34.81,569020
2021-09-14,34.91,35.34,34.79,34.91,476975
2021-09-15,34.81,35.42,34.74,34.95,671927
2021-09-16,35.05,35.1,34.39,34.74,698212
2021-09-17,34.49,34.71,33.9,34.28,621258
2021-09-20,33.89,34.87,33.89,34.52,788137
2021-09-21,34.6,34.92,34.25,34.28,417683
2021-09-22,34.34,34.66,34.25,34.32,585560
