date,open,high,low,close,volume
2020-07-27,35.69,35.96,35.1,35.86,63989
2020-07-28,36.79,37.18,34.71,34.8,95041
2020-07-29,34.71,35.24,34.27,35.13,63922
2020-07-30,34.11,34.13,33.37,33.99,82173
2020-07-31,33.75,34.0,33.31,33.96,55648
2020-08-03,34.23,35.01,33.88,34.44,67264
2020-08-04,34.2,34.82,34.2,34.62,60187
2020-08-05,34.71,36.05,34.71,35.78,94863
2020-08-06,35.2,35.5,34.4,34.44,43235
2020-08-07,34.14,35.52,34.14,35.52,98805
2020-08-10,35.83,36.69,35.83,36.5,29678
2020-08-11,37.35,37.97,36.97,36.99,75720
2020-08-12,37.52,37.52,36.16,36.42,18325
2020-08-13,36.01,36.39,35.75,35.99,17101
2020-08-14,35.77,36.46,35.73,36.25,62001
2020-08-17,36.17,36.23,35.54,35.57,12182
2020-08-18,35.79,35.88,34.98,35.08,28271
2020-08-19,35.15,35.58,34.87,35.02,30594
2020-08-20,34.57,34.83,34.42,34.64,32043
2020-08-21,34.46,34.84,33.96,34.16,26912
2020-08-24,34.52,35.75,34.52,35.74,19596
2020-08-25,36.33,36.33,35.41,35.5,22575
2020-08-26,34.99,35.33,34.96,35.02,9248
2020-08-27,35.26,35.82,35.26,35.53,26992
2020-08-28,35.66,35.66,35.12,35.54,20960
2020-08-31,35.49,35.49,34.16,34.2,67360
2020-09-01,33.92,35.13,33.78,34.75,38726
2020-09-02,34.63,35.26,34.37,35.17,20570
2020-09-03,35.56,36.12,34.23,34.51,35009
2020-09-04,35.11,35.53,34.6,35.23,43586
2020-09-08,35.18,35.18,33.99,34.15,36173
2020-09-09,34.58,34.68,33.84,33.97,31979
2020-09-10,34.2,34.67,33.0,33.13,53602
2020-09-11,33.19,33.74,33.02,33.35,57478
2020-09-14,33.67,33.9,33.28,33.57,27299
2020-09-15,33.52,33.71,32.41,32.44,20368
2020-09-16,32.53,34.05,32.46,33.73,45075
2020-09-17,33.28,33.67,33.0,33.5,40106
2020-09-18,33.39,33.42,32.59,32.61,25770
2020-09-21,31.59,32.04,31.12,31.66,26025
2020-09-22,32.05,32.11,31.12,31.51,43028
2020-09-23,31.81,32.3,30.63,30.69,21607
2020-09-24,30.79,31.37,30.11,31.03,36711
2020-09-25,30.53,31.58,30.53,31.34,43052
2020-09-28,32.1,32.76,32.03,32.55,34689
2020-09-29,32.25,32.55,31.8,32.48,59791
2020-09-30,32.78,33.16,32.38,32.73,54384
2020-10-01,32.86,33.04,32.44,32.78,74298
2020-10-02,32.31,33.5,32.25,33.31,27778
2020-10-05,33.79,34.37,33.79,34.0,49910
2020-10-06,34.24,35.02,33.77,33.89,49126
2020-10-07,34.66,35.05,34.44,34.99,25387
2020-10-08,35.09,35.48,34.9,35.26,50948
2020-10-09,35.56,35.56,34.42,34.47,56192
2020-10-12,34.51,34.89,34.4,34.72,40191
2020-10-13,34.35,34.49,33.36,33.47,41576
2020-10-14,33.58,33.94,33.45,33.46,56661
2020-10-15,33.17,33.73,32.91,33.72,41721
2020-10-16,33.71,33.98,33.16,33.44,54663
2020-10-19,33.53,34.02,33.12,33.17,63311
2020-10-20,33.58,34.08,33.41,33.48,53841
2020-10-21,33.45,33.6,33.26,33.37,42271
2020-10-22,33.19,35.0,33.19,34.85,58507
2020-10-23,35.19,35.7,35.02,35.29,77088
2020-10-26,34.76,34.76,33.7,34.1,53704
2020-10-27,33.16,33.25,31.91,31.96,171239
2020-10-28,30.98,31.69,30.68,31.04,156400
2020-10-29,30.87,32.03,30.45,31.78,101218
2020-10-30,31.86,32.05,31.3,31.85,40226
2020-11-02,32.51,32.51,31.88,32.2,53543
2020-11-03,33.11,34.06,33.0,33.93,99086
2020-11-04,33.14,34.53,32.45,33.87,178820
2020-11-05,33.84,35.0,33.84,34.94,103014
2020-11-06,35.3,35.3,33.39,33.6,140558
2020-11-09,36.3,39.74,36.29,38.63,230438
2020-11-10,38.33,38.59,37.7,38.33,174364
2020-11-11,38.36,38.36,36.47,36.98,150825
2020-11-12,36.28,36.55,35.69,36.21,253738
2020-11-13,36.36,37.73,36.3,37.6,31418
2020-11-16,38.88,39.29,38.38,39.24,76989
2020-11-17,38.73,39.81,38.51,39.75,89580
2020-11-18,39.85,40.74,39.76,39.76,71533
2020-11-19,39.16,39.77,38.97,39.75,37709
2020-11-20,39.4,39.81,39.38,39.77,41605
2020-11-23,40.3,41.24,40.14,41.08,61412
2020-11-24,41.61,42.72,41.61,42.63,71850
2020-11-25,42.11,42.36,41.5,42.23,26106
2020-11-27,42.2,42.33,41.74,41.74,17549
2020-11-30,41.53,41.81,40.27,40.39,113507
2020-12-01,40.73,41.14,40.33,40.72,100784
2020-12-02,40.39,41.92,40.39,41.75,78877
2020-12-03,41.71,42.53,41.66,42.08,129685
2020-12-04,42.61,43.25,42.57,42.89,75343
2020-12-07,42.38,42.38,41.34,41.62,51392
2020-12-08,41.4,41.89,41.1,41.7,61291
2020-12-09,41.96,42.08,41.07,41.09,95582
2020-12-10,40.44,41.1,40.24,40.91,85502
2020-12-11,40.16,40.63,39.71,39.98,89327
2020-12-14,40.36,40.67,39.09,39.3,74844
2020-12-15,39.8,39.94,39.2,39.65,73687
2020-12-16,39.58,39.66,39.02,39.59,42496
2020-12-17,39.83,39.88,39.22,39.74,51393
2020-12-18,39.6,40.04,38.89,39.39,62566
2020-12-21,39.37,39.37,38.45,39.01,63734
2020-12-22,39.17,39.49,38.86,38.9,33266
2020-12-23,39.75,40.16,39.75,39.84,35597
2020-12-24,39.93,39.93,39.29,39.79,18913
2020-12-28,40.25,40.63,39.91,39.99,25038
2020-12-29,40.11,40.26,39.67,39.7,55770
2020-12-30,39.86,40.4,39.86,40.05,28202
2020-12-31,39.89,40.75,39.89,40.69,31537
2021-01-04,40.8,40.96,39.47,39.65,61385
2021-01-05,39.7,40.23,39.02,40.03,97632
2021-01-06,41.05,42.27,40.87,41.88,89014
2021-01-07,42.22,42.73,42.16,42.47,88862
2021-01-08,42.77,42.93,41.99,42.59,43823
2021-01-11,41.88,42.63,41.88,42.52,30762
2021-01-12,42.64,43.46,42.63,43.18,45216
2021-01-13,42.91,43.55,42.78,43.27,67981
2021-01-14,43.63,44.34,43.35,44.07,79036
2021-01-15,43.24,44.22,43.11,43.74,48110
2021-01-19,43.87,44.94,43.77,44.58,53228
2021-01-20,44.59,44.59,43.96,44.1,37838
2021-01-21,43.92,44.0,43.35,43.94,47495
2021-01-22,43.39,44.07,43.17,43.9,38896
2021-01-25,43.07,43.9,43.03,43.55,46473
2021-01-26,43.92,43.97,42.97,42.97,26329
2021-01-27,42.08,42.37,41.75,42.03,65170
2021-01-28,42.89,43.57,42.61,43.22,93438
2021-01-29,41.95,42.22,40.14,40.43,102439
2021-02-01,40.94,41.21,40.37,41.15,96461
2021-02-02,41.37,42.13,41.37,41.53,46493
2021-02-03,41.49,42.02,41.49,42.01,45538
2021-02-04,42.19,43.48,42.19,43.39,57772
2021-02-05,43.54,43.57,43.09,43.18,44179
2021-02-08,43.5,44.4,43.49,44.4,39879
2021-02-09,44.27,44.83,44.1,44.61,38873
2021-02-10,44.86,44.92,44.2,44.49,34597
2021-02-11,44.56,44.94,43.96,44.39,58750
2021-02-12,44.3,44.83,44.01,44.47,37712
2021-02-16,44.72,45.01,44.24,44.73,37063
2021-02-17,44.67,45.06,44.2,44.58,56146
2021-02-18,44.15,44.57,43.39,43.84,84177
2021-02-19,44.29,45.33,44.29,45.24,78779
2021-02-22,47.59,49.65,47.56,48.93,202356
2021-02-23,48.88,48.88,47.69,48.18,117194
2021-02-24,48.46,49.85,47.75,49.66,96314
2021-02-25,50.38,50.54,47.84,47.95,81356
2021-02-26,47.54,47.74,46.38,46.95,55128
2021-03-01,47.61,48.92,47.51,48.26,48069
2021-03-02,48.07,48.34,47.71,47.89,54804
2021-03-03,47.8,48.8,47.8,47.96,57725
2021-03-04,48.0,48.16,45.82,46.94,72243
2021-03-05,47.95,48.8,46.72,48.63,58978
2021-03-08,49.34,50.78,49.11,49.82,46572
2021-03-09,49.3,50.44,48.77,49.59,56219
2021-03-10,49.77,51.16,49.77,50.78,46647
2021-03-11,50.51,51.2,49.95,50.65,28376
2021-03-12,51.03,51.32,50.76,51.02,41209
2021-03-15,50.96,50.96,49.64,50.78,37897
2021-03-16,50.26,50.26,49.12,49.51,57032
2021-03-17,49.96,50.22,49.11,49.96,64049
2021-03-18,50.43,51.28,50.0,50.2,123394
2021-03-19,49.77,50.4,49.19,50.03,78979
2021-03-22,49.02,49.66,48.87,49.39,48459
2021-03-23,48.77,49.29,47.85,48.0,41126
2021-03-24,48.68,49.31,47.97,48.03,54404
2021-03-25,48.2,49.67,47.67,49.49,30405
2021-03-26,50.16,50.61,49.4,50.26,46882
2021-03-29,49.14,50.02,49.06,49.55,78473
2021-03-30,50.21,50.49,49.69,50.27,44575
2021-03-31,50.12,50.4,49.65,49.7,101806
2021-04-01,49.59,50.45,49.57,50.43,32033
2021-04-05,50.91,51.4,50.71,50.9,31990
2021-04-06,50.84,51.36,50.74,51.17,39805
2021-04-07,51.21,51.55,51.01,51.36,25959
2021-04-08,50.91,51.14,50.64,50.9,42649
2021-04-09,51.51,51.57,50.93,51.3,39682
2021-04-12,51.34,52.23,51.34,52.15,35572
2021-04-13,52.01,52.02,51.36,51.61,15684
2021-04-14,51.26,52.53,51.26,52.26,46298
2021-04-15,52.26,52.58,52.03,52.31,28754
2021-04-16,52.69,53.16,52.32,52.39,44733
2021-04-19,52.61,52.77,52.04,52.4,36941
2021-04-20,52.05,52.14,50.59,50.96,70832
2021-04-21,50.81,52.12,50.62,52.09,18158
2021-04-22,51.82,51.94,50.96,51.13,45052
2021-04-23,51.48,52.25,51.33,51.95,42299
2021-04-26,52.26,52.68,51.58,51.65,38572
2021-04-27,51.92,52.12,51.65,52.11,59374
2021-04-28,52.74,53.71,52.54,52.84,93852
2021-04-29,53.37,53.5,52.65,53.23,46488
2021-04-30,53.15,53.23,52.53,52.95,40096
2021-05-03,53.6,54.05,53.22,53.43,38332
2021-05-04,53.39,53.68,52.69,53.57,43308
2021-05-05,53.73,54.61,53.49,54.4,58228
2021-05-06,54.64,55.19,53.87,55.16,34785
2021-05-07,53.69,55.28,53.69,55.26,34736
2021-05-10,55.77,56.31,55.32,55.37,49232
2021-05-11,55.03,55.03,53.52,53.72,47484
2021-05-12,54.25,54.42,52.4,52.56,39502
2021-05-13,52.37,54.4,52.34,54.11,39648
2021-05-14,54.43,55.57,54.34,55.41,38804
2021-05-17,54.9,55.54,54.64,55.42,20806
2021-05-18,55.2,55.53,54.43,54.43,41871
2021-05-19,53.9,54.22,52.74,53.92,60746
2021-05-20,53.9,54.2,53.42,53.81,31833
2021-05-21,54.05,54.89,54.05,54.39,34543
2021-05-24,54.41,54.68,54.17,54.49,38706
2021-05-25,54.56,55.0,53.01,53.01,31530
2021-05-26,53.32,53.82,52.98,53.64,36501
2021-05-27,54.15,54.74,53.71,54.14,82744
2021-05-28,54.49,54.49,53.38,54.23,42031
2021-06-01,54.83,55.38,54.66,54.87,51031
2021-06-02,55.03,55.31,54.67,54.75,48510
2021-06-03,54.54,55.28,54.39,54.97,20754
2021-06-04,54.89,55.19,54.37,55.18,13947
2021-06-07,55.23,55.23,54.72,54.8,25579
2021-06-08,54.5,55.38,54.13,55.34,24656
2021-06-09,54.84,55.03,54.45,54.45,42872
2021-06-10,54.76,55.2,53.84,53.86,22160
2021-06-11,54.32,54.38,54.02,54.26,19944
2021-06-14,54.21,54.26,53.57,53.73,32102
2021-06-15,52.81,54.35,52.81,53.96,59827
2021-06-16,53.68,54.36,53.33,53.91,73421
2021-06-17,54.4,54.4,51.48,51.73,24618
2021-06-18,50.52,51.24,49.97,49.97,32908
2021-06-21,50.57,51.59,50.5,51.52,25996
2021-06-22,51.33,51.94,50.8,51.66,36780
2021-06-23,51.88,52.46,51.56,52.09,47482
2021-06-24,52.18,52.9,51.95,52.6,30800
2021-06-25,52.96,54.13,52.87,53.84,44001
2021-06-28,53.52,53.8,52.76,52.8,59763
2021-06-29,53.08,53.46,52.57,52.67,32111
2021-06-30,52.61,52.9,52.47,52.88,42176
2021-07-01,53.45,53.52,52.85,53.15,35771
2021-07-02,52.86,53.04,52.72,52.88,15339
2021-07-06,53.96,53.96,51.44,51.73,33839
2021-07-07,50.76,51.89,50.76,51.71,24518
2021-07-08,50.6,50.85,49.85,50.13,43386
2021-07-09,51.37,51.95,51.06,51.85,42424
2021-07-12,51.26,52.46,51.26,52.24,36907
2021-07-13,52.0,52.29,51.42,51.46,30405
2021-07-14,51.7,52.18,50.87,51.35,18837
2021-07-15,50.63,51.89,50.63,51.55,27129
2021-07-16,51.8,51.8,50.87,51.04,32544
2021-07-19,50.0,50.11,49.09,49.52,63614
2021-07-20,49.24,51.78,49.24,51.51,49511
2021-07-21,52.01,53.43,52.01,52.74,33456
2021-07-22,52.59,52.61,51.72,51.86,38014
2021-07-23,52.62,52.68,51.88,52.02,32413
2021-07-26,52.26,52.79,52.2,52.36,44736
2021-07-27,51.7,52.83,51.38,52.31,38731
2021-07-28,52.59,53.41,51.36,52.23,82293
2021-07-29,53.07,53.07,52.23,52.6,40932
2021-07-30,52.24,52.77,51.72,51.99,58061
2021-08-02,52.16,53.09,51.75,51.87,30814
2021-08-03,52.06,52.76,50.71,52.67,61273
2021-08-04,52.31,52.72,51.67,51.72,40451
2021-08-05,52.38,53.18,52.38,53.18,34896
2021-08-06,54.08,54.55,53.99,54.21,31659
2021-08-09,54.13,54.76,53.75,54.31,34434
2021-08-10,54.27,55.52,54.19,54.93,56242
2021-08-11,55.41,56.1,54.87,56.01,24429
2021-08-12,56.25,56.36,55.84,56.19,21697
2021-08-13,56.38,56.38,55.92,56.0,27550
2021-08-16,55.62,55.98,55.19,55.74,41199
2021-08-17,55.18,55.64,54.74,55.28,19431
2021-08-18,55.06,55.79,54.79,54.79,23547
2021-08-19,54.14,54.6,53.64,54.01,21432
2021-08-20,53.97,54.56,53.79,54.4,38632
2021-08-23,54.69,55.58,54.69,55.18,37578
2021-08-24,55.09,56.05,55.09,55.93,21474
2021-08-25,56.13,57.18,56.04,56.67,36215
2021-08-26,56.67,56.75,55.74,55.76,21929
2021-08-27,56.04,57.03,56.04,56.98,39258
2021-08-30,57.1,57.1,56.06,56.2,16433
2021-08-31,56.22,56.71,56.13,56.4,16265
2021-09-01,56.36,56.36,55.6,55.63,40231
2021-09-02,55.78,56.26,55.77,56.05,23868
2021-09-03,56.01,56.04,55.34,55.71,21569
2021-09-07,55.49,55.99,55.1,55.15,24190
2021-09-08,54.94,55.12,54.64,54.82,14943
2021-09-09,54.71,55.8,54.71,55.12,28137
2021-09-10,55.34,55.46,54.54,54.79,69308
2021-09-13,55.39,56.05,54.95,55.68,39130
2021-09-14,55.96,55.96,54.79,55.02,43374
2021-09-15,55.31,56.09,55.06,55.79,53815
2021-09-16,56.19,56.19,55.26,55.51,59522
2021-09-17,55.24,55.9,54.66,55.01,36659
2021-09-20,53.6,53.6,51.49,52.38,26399
2021-09-21,52.7,52.7,51.6,52.1,34388
2021-09-22,53.11,53.33,52.61,52.82,41886
2021-09-23,53.35,54.61,53.27,54.22,23770
2021-09-24,54.19,55.23,54.19,54.4,32379
2021-09-27,55.09,56.64,55.09,56.18,26563
2021-09-28,56.21,56.47,55.29,55.39,29536
2021-09-29,55.6,55.6,54.82,55.17,30078
2021-09-30,55.59,55.59,54.13,54.39,32415
2021-10-01,54.75,55.79,54.29,55.39,18072
2021-10-04,55.37,56.26,54.86,54.99,41012
2021-10-05,54.87,56.37,54.87,56.3,40230
2021-10-06,56.2,56.85,55.53,56.75,34279
2021-10-07,57.73,58.04,57.24,57.39,24391
2021-10-08,57.74,58.54,57.58,58.21,58221
2021-10-11,58.64,58.82,57.5,57.52,31286
2021-10-12,57.54,57.89,56.97,57.06,18837
2021-10-13,56.76,56.89,55.51,56.6,44836
2021-10-14,57.3,57.88,57.09,57.79,29658
2021-10-15,58.36,58.61,57.68,57.96,74416
2021-10-18,57.78,58.37,57.59,57.94,32619
2021-10-19,58.37,58.62,58.25,58.27,24412
2021-10-20,58.17,59.06,57.94,58.92,41253
2021-10-21,58.9,58.98,57.99,58.27,33529
2021-10-22,58.65,59.03,58.21,58.63,41804
2021-10-25,58.68,59.13,58.5,58.8,26888
2021-10-26,59.04,59.21,58.61,58.86,65031
2021-10-27,58.7,58.7,55.98,56.09,96344
2021-10-28,56.42,56.51,55.66,56.51,39528
2021-10-29,56.52,56.93,56.21,56.64,68242
2021-11-01,57.24,57.38,56.95,57.29,42141
2021-11-02,57.4,57.83,57.08,57.66,35734
2021-11-03,57.34,59.39,57.34,58.36,49432
2021-11-04,58.1,58.23,56.89,57.83,38076
2021-11-05,58.47,59.06,57.99,58.24,41991
2021-11-08,58.63,58.95,57.99,58.05,18279
2021-11-09,57.96,57.97,57.25,57.68,42835
2021-11-10,57.84,58.27,57.36,57.82,30556
2021-11-11,57.93,58.64,57.81,58.43,20734
2021-11-12,58.19,58.8,58.05,58.77,21772
2021-11-15,59.18,60.61,59.1,60.56,186036
2021-11-16,61.09,61.53,60.59,60.87,52535
2021-11-17,60.8,60.81,59.76,60.46,66924
2021-11-18,60.33,60.55,59.72,60.14,42771
2021-11-19,59.58,59.95,58.72,59.85,44405
2021-11-22,60.08,61.73,59.8,61.08,81784
2021-11-23,61.43,62.29,60.8,62.1,104814
2021-11-24,61.88,62.72,61.58,62.43,71598
2021-11-26,60.03,60.54,59.03,59.89,85618
2021-11-29,60.68,60.74,59.32,59.91,69495
2021-11-30,59.07,59.4,58.24,58.43,92981
2021-12-01,59.52,59.97,57.7,57.73,143515
2021-12-02,58.1,60.11,57.94,59.72,71627
2021-12-03,59.17,59.81,58.52,58.98,122095
2021-12-06,59.84,60.48,59.32,59.58,93909
2021-12-07,60.08,61.25,60.08,60.67,42902
2021-12-08,60.98,61.4,60.83,61.04,44313
2021-12-09,60.59,61.31,60.4,60.93,33318
2021-12-10,61.36,61.55,60.85,61.33,58448
2021-12-13,61.29,61.39,60.61,60.72,83859
2021-12-14,60.85,61.73,60.84,61.36,111702
2021-12-15,61.48,61.8,61.01,61.68,62332
2021-12-16,62.42,62.98,61.97,62.36,55563
2021-12-17,62.46,62.46,60.99,60.99,86184
2021-12-20,59.76,59.81,56.24,57.05,115544
2021-12-21,57.62,60.24,57.62,59.93,65353
2021-12-22,59.66,60.1,59.28,59.77,72187
2021-12-23,60.26,61.35,60.26,60.97,33199
2021-12-27,60.83,62.16,60.83,62.16,23212
2021-12-28,62.13,62.59,61.57,61.6,40540
2021-12-29,60.8,61.86,60.8,61.59,16760
2021-12-30,61.89,61.89,61.4,61.45,14212
2021-12-31,61.52,61.85,61.33,61.64,19954
2022-01-03,62.43,63.12,62.21,62.31,37925
2022-01-04,63.55,64.68,63.54,64.45,49159
2022-01-05,64.52,64.97,63.1,63.26,61292
2022-01-06,63.89,64.16,63.07,63.91,64672
2022-01-07,64.21,65.31,63.99,64.98,56105
2022-01-10,65.37,65.39,64.04,64.61,80782
2022-01-11,64.92,65.56,64.33,65.47,47698
2022-01-12,65.82,66.17,64.85,65.2,47846
2022-01-13,65.96,66.06,64.96,65.22,57188
2022-01-14,64.28,65.51,63.93,65.47,38521
2022-01-18,65.11,65.28,64.23,64.58,30870
2022-01-19,64.68,64.68,63.44,63.58,32993
2022-01-20,63.62,64.41,62.66,62.72,39708
2022-01-21,62.06,62.88,61.1,61.38,49127
2022-01-24,60.12,61.67,58.41,61.51,65767
2022-01-25,61.02,62.22,59.12,61.91,55642
2022-01-26,62.29,63.6,61.45,62.25,42966
2022-01-27,63.44,64.3,61.22,61.68,51590
2022-01-28,61.21,61.47,59.78,61.45,38786
2022-01-31,60.99,62.31,60.3,62.25,81895
2022-02-01,61.95,63.33,61.95,63.21,51251
2022-02-02,63.03,63.61,62.65,63.06,37366
2022-02-03,62.58,63.13,61.86,61.97,33406
2022-02-04,61.73,64.42,61.73,63.72,62700
2022-02-07,64.14,64.98,63.81,63.87,82997
2022-02-08,64.76,66.68,64.27,66.64,109078
2022-02-09,67.18,67.39,66.46,67.29,58722
2022-02-10,67.12,68.45,66.62,66.95,72852
2022-02-11,66.54,67.22,64.46,64.76,65800
2022-02-14,64.9,65.02,62.59,63.22,53038
2022-02-15,63.96,64.83,63.96,64.57,43652
2022-02-16,64.22,64.92,63.9,64.46,54656
2022-02-17,63.88,63.98,61.93,62.08,39934
2022-02-18,62.24,62.56,61.68,61.76,44001
2022-02-22,61.26,61.79,60.17,60.58,42831
2022-02-23,61.07,61.45,59.13,59.28,79948
2022-02-24,57.3,58.63,56.48,58.32,50930
2022-02-25,58.91,61.12,58.91,61.07,78294
2022-02-28,59.63,60.64,59.6,60.18,78295
2022-03-01,59.32,59.44,57.0,57.5,138197
2022-03-02,58.45,59.88,58.05,59.09,82439
2022-03-03,59.49,59.66,57.84,58.81,55500
2022-03-04,57.15,57.57,56.55,57.14,33190
2022-03-07,56.43,56.53,54.84,54.84,67756
2022-03-08,55.06,56.96,55.01,55.27,84303
2022-03-09,57.24,57.73,56.89,56.95,37173
2022-03-10,56.42,56.78,55.77,56.4,25508
2022-03-11,57.4,57.48,55.93,55.99,33519
2022-03-14,57.09,57.89,56.83,56.95,46687
2022-03-15,57.41,58.17,57.12,58.06,107126
2022-03-16,58.99,60.14,58.78,59.87,45843
2022-03-17,59.47,60.38,58.89,60.27,68508
2022-03-18,59.95,60.28,59.16,60.24,83296
2022-03-21,60.9,60.9,59.66,60.11,82400
2022-03-22,61.08,61.89,60.96,61.11,70775
2022-03-23,61.03,61.52,60.7,60.91,34423
2022-03-24,60.75,62.09,60.75,61.82,35566
2022-03-25,62.07,63.36,62.07,63.34,30440
2022-03-28,63.43,63.43,62.58,63.11,29196
2022-03-29,63.98,64.36,63.49,64.18,33432
2022-03-30,64.36,64.74,63.86,64.17,41093
2022-03-31,64.06,64.77,63.18,63.18,73061
2022-04-01,63.85,64.34,63.07,63.64,37901
2022-04-04,63.19,63.45,62.53,63.2,35905
2022-04-05,63.19,64.54,63.19,64.04,48767
2022-04-06,63.71,64.16,63.3,63.69,44815
2022-04-07,63.36,63.36,61.5,62.89,38294
2022-04-08,63.15,63.77,62.98,63.37,43083
2022-04-11,63.26,64.14,63.02,63.08,72901
2022-04-12,63.21,64.38,62.58,62.88,40452
2022-04-13,62.7,63.68,62.58,63.68,59038
2022-04-14,64.12,64.35,63.62,63.62,50591
2022-04-18,63.89,63.95,63.3,63.64,43124
2022-04-19,63.71,64.82,63.71,64.67,42181
2022-04-20,65.15,65.94,65.09,65.61,38032
2022-04-21,66.11,66.27,64.48,64.58,31614
2022-04-22,63.97,64.03,62.19,62.2,47265
2022-04-25,61.68,62.01,59.67,61.82,77435
2022-04-26,61.14,61.82,60.11,60.12,40794
2022-04-27,60.04,60.78,59.6,60.17,53965
2022-04-28,60.47,61.04,59.39,60.79,92067
2022-04-29,60.33,60.86,58.44,58.63,95258
2022-05-02,58.8,59.21,57.99,59.19,135937
2022-05-03,59.26,60.71,59.21,60.12,70198
2022-05-04,60.19,63.25,60.19,63.18,125485
2022-05-05,62.34,62.79,60.71,61.54,120312
2022-05-06,61.49,61.49,59.83,60.47,80637
2022-05-09,59.85,60.47,58.9,59.37,79291
2022-05-10,59.84,60.57,58.18,59.48,77639
2022-05-11,59.6,60.55,58.51,58.52,60612
2022-05-12,58.53,58.8,56.82,58.21,78640
2022-05-13,58.55,60.8,58.55,60.26,127237
2022-05-16,60.51,60.79,59.76,60.35,80633
2022-05-17,60.97,62.95,60.97,62.63,123489
2022-05-18,61.97,62.2,61.32,61.5,210856
2022-05-19,60.63,61.98,59.9,60.04,197545
2022-05-20,60.8,60.81,58.31,59.55,232577
2022-05-23,60.84,61.02,59.87,60.71,74688
2022-05-24,60.44,60.7,58.58,60.53,61842
2022-05-25,60.64,61.43,60.29,61.07,62971
2022-05-26,61.75,62.16,61.5,61.95,57706
2022-05-27,62.38,62.78,61.8,62.78,47389
2022-05-31,62.23,63.31,61.76,62.73,62968
2022-06-01,62.82,62.96,60.86,62.16,54527
2022-06-02,62.16,62.68,61.56,62.68,52696
2022-06-03,62.51,62.54,61.45,61.52,54451
2022-06-06,61.74,62.77,61.51,62.27,40546
2022-06-07,61.71,62.78,61.45,62.69,26556
2022-06-08,62.16,62.81,62.0,62.17,41973
2022-06-09,62.29,62.49,61.04,61.06,41649
2022-06-10,59.68,59.8,57.57,57.61,60403
2022-06-13,56.11,56.3,54.89,55.22,71620
2022-06-14,55.65,56.34,55.05,55.52,69484
2022-06-15,56.4,57.3,55.72,56.4,49319
2022-06-16,55.21,55.21,53.81,54.59,106029
2022-06-17,54.54,55.61,54.21,55.42,116902
2022-06-21,56.73,57.1,55.68,56.82,78710
2022-06-22,55.74,57.24,55.74,56.89,46965
2022-06-23,56.82,56.97,55.77,56.63,82010
2022-06-24,57.13,59.59,57.13,59.53,43862
2022-06-27,59.95,59.95,58.47,58.81,67558
2022-06-28,59.54,60.35,58.9,59.16,42353
2022-06-29,58.8,59.23,58.42,58.45,40381
2022-06-30,57.3,58.64,56.93,58.01,53705
2022-07-01,57.89,59.0,57.68,58.85,29261
2022-07-05,58.0,58.0,56.3,57.81,47749
2022-07-06,57.53,58.18,56.79,57.6,58040
2022-07-07,58.49,58.78,58.05,58.21,42810
2022-07-08,58.28,58.81,58.01,58.1,46008
2022-07-11,57.74,58.2,57.36,57.48,51802
2022-07-12,57.04,58.03,56.83,57.05,106545
2022-07-13,56.29,56.33,54.6,55.12,99436
2022-07-14,53.91,53.99,53.0,53.07,79262
2022-07-15,53.34,54.53,53.1,54.42,42419
2022-07-18,55.21,55.29,54.01,54.29,39344
2022-07-19,55.03,55.88,54.82,55.43,104652
2022-07-20,55.02,56.0,54.74,55.8,74738
2022-07-21,55.65,56.17,54.93,56.16,35521
2022-07-22,56.15,56.31,54.98,55.5,34548
2022-07-25,55.81,56.37,55.79,56.35,54351
2022-07-26,55.88,56.23,55.37,55.52,34128
2022-07-27,55.95,56.77,55.56,56.36,56815
