date,open,high,low,close,volume
2020-07-27,74.71,75.07,73.89,74.34,81540
2020-07-28,74.16,74.7,73.76,74.39,61415
2020-07-29,74.22,75.93,74.14,75.65,118727
2020-07-30,74.9,75.96,74.75,75.3,86494
2020-07-31,75.07,76.89,75.07,76.85,64836
2020-08-03,77.29,77.58,76.27,76.48,89149
2020-08-04,76.33,76.95,76.09,76.76,61638
2020-08-05,77.3,78.09,77.04,77.13,87487
2020-08-06,77.22,77.72,75.65,76.21,92839
2020-08-07,76.1,77.21,76.1,77.21,49510
2020-08-10,77.43,77.5,76.34,76.69,95177
2020-08-11,77.27,77.44,75.61,75.68,56549
2020-08-12,76.35,76.94,75.49,75.72,87392
2020-08-13,75.3,75.74,74.87,75.74,70360
2020-08-14,75.45,76.18,75.42,75.69,72655
2020-08-17,75.58,76.37,75.33,75.57,68506
2020-08-18,75.9,76.52,75.73,76.33,80727
2020-08-19,76.81,77.42,76.53,76.85,62128
2020-08-20,76.64,77.46,76.64,77.27,42948
2020-08-21,77.55,78.26,77.41,78.13,80011
2020-08-24,78.55,78.55,77.81,78.32,78934
2020-08-25,78.46,79.13,78.04,78.96,83421
2020-08-26,78.49,78.89,77.86,78.36,36804
2020-08-27,79.06,79.86,79.06,79.42,17437
2020-08-28,79.63,79.81,79.28,79.74,55268
2020-08-31,79.73,81.12,79.26,80.96,82245
2020-09-01,80.6,80.99,79.19,79.81,123492
2020-09-02,79.51,81.12,79.51,80.86,40465
2020-09-03,80.99,81.81,78.88,79.36,65845
2020-09-04,79.89,80.8,78.7,79.16,60346
2020-09-08,78.92,78.92,77.13,78.08,74783
2020-09-09,79.09,81.15,78.94,80.55,104832
2020-09-10,80.6,81.29,80.16,80.31,70956
2020-09-11,80.47,81.39,80.15,80.8,58625
2020-09-14,81.29,82.17,81.25,81.99,67508
2020-09-15,82.09,82.26,80.78,80.92,120805
2020-09-16,81.5,81.89,80.89,80.89,87487
2020-09-17,80.01,81.66,80.01,81.18,73192
2020-09-18,81.41,82.94,81.41,82.4,105685
2020-09-21,81.36,82.83,81.16,82.83,126705
2020-09-22,81.43,83.05,79.54,80.32,185595
2020-09-23,80.4,80.4,77.56,77.57,83700
2020-09-24,78.1,79.04,77.36,78.46,102980
2020-09-25,77.89,78.95,77.59,78.8,59297
2020-09-28,79.63,80.77,79.46,79.81,62606
2020-09-29,79.8,80.63,79.62,80.11,80400
2020-09-30,80.08,80.8,79.54,80.67,100039
2020-10-01,80.92,81.19,78.89,79.49,122894
2020-10-02,78.96,81.03,78.96,80.17,92993
2020-10-05,80.8,81.7,80.24,81.64,86823
2020-10-06,81.74,82.06,80.45,81.08,77865
2020-10-07,81.43,82.58,81.25,82.14,113937
2020-10-08,82.5,83.47,82.07,83.45,65760
2020-10-09,83.5,85.07,83.23,85.07,134045
2020-10-12,85.09,86.43,84.81,86.36,118694
2020-10-13,86.5,86.88,85.14,85.39,118809
2020-10-14,85.49,86.83,84.82,84.84,124440
2020-10-15,82.42,84.35,81.97,83.04,173609
2020-10-16,83.38,83.38,81.91,82.16,182098
2020-10-19,82.81,83.29,81.32,81.48,89531
2020-10-20,82.0,82.3,80.27,80.59,95297
2020-10-21,80.85,81.57,79.5,79.71,115279
2020-10-22,79.59,81.08,79.17,80.34,101785
2020-10-23,80.41,81.03,80.32,80.47,94402
2020-10-26,80.26,80.27,78.86,79.91,70487
2020-10-27,79.95,80.67,79.72,79.86,109395
2020-10-28,78.76,79.49,77.63,77.92,116913
2020-10-29,77.94,78.28,76.77,77.65,116458
2020-10-30,77.7,78.36,76.76,78.22,160619
2020-11-02,79.44,80.61,78.9,80.39,112218
2020-11-03,80.86,81.82,80.19,80.42,130839
2020-11-04,80.34,83.05,80.27,81.72,271268
2020-11-05,82.42,83.5,81.77,82.89,101455
2020-11-06,82.98,83.86,82.28,83.2,108905
2020-11-09,85.03,85.15,76.97,76.98,515220
2020-11-10,77.35,79.49,75.56,78.92,313220
2020-11-11,79.22,80.18,78.44,78.94,219223
2020-11-12,79.13,80.74,78.85,80.61,219959
2020-11-13,81.09,81.7,80.56,81.52,113362
2020-11-16,81.33,81.96,80.95,81.68,118354
2020-11-17,81.22,81.25,79.84,80.8,123074
2020-11-18,80.62,81.27,79.99,80.46,117336
2020-11-19,79.45,80.77,79.3,80.35,130375
2020-11-20,80.56,80.93,79.07,79.35,143600
2020-11-23,78.96,79.62,78.47,79.11,121929
2020-11-24,77.54,77.85,74.58,75.48,355172
2020-11-25,75.63,76.19,74.98,76.11,133346
2020-11-27,76.04,76.04,74.53,75.36,50888
2020-11-30,75.42,75.51,73.47,74.19,133138
2020-12-01,75.01,75.96,74.64,75.93,147865
2020-12-02,76.55,77.43,75.66,76.0,111469
2020-12-03,75.7,75.99,74.77,75.23,145464
2020-12-04,75.37,76.29,74.58,76.23,137742
2020-12-07,77.01,77.76,76.17,76.87,167095
2020-12-08,75.97,80.36,75.54,79.07,281343
2020-12-09,78.9,79.99,78.61,79.75,132158
2020-12-10,79.48,80.57,78.98,80.3,158557
2020-12-11,80.03,80.95,79.94,80.4,86285
2020-12-14,80.62,81.81,80.14,80.14,66332
2020-12-15,80.58,82.35,80.48,82.35,78882
2020-12-16,82.9,83.48,81.52,82.04,100143
2020-12-17,82.4,83.89,81.86,82.02,251174
2020-12-18,81.84,82.76,81.51,82.57,202101
2020-12-21,82.36,83.5,81.51,83.41,108507
2020-12-22,83.09,83.97,83.07,83.44,50278
2020-12-23,83.93,84.18,82.89,83.15,47296
2020-12-24,83.04,83.81,82.86,83.76,32584
2020-12-28,84.17,84.24,82.82,83.55,113361
2020-12-29,83.99,84.24,83.12,83.15,40580
2020-12-30,83.53,83.82,82.88,82.96,57324
2020-12-31,82.98,84.24,82.86,84.24,150079
2021-01-04,83.41,83.55,81.72,82.73,107942
2021-01-05,83.06,83.08,81.11,82.55,229074
2021-01-06,82.17,84.2,81.81,84.17,184167
2021-01-07,84.54,85.13,84.08,84.63,108738
2021-01-08,83.59,84.55,83.42,84.45,65191
2021-01-11,84.1,84.95,83.9,84.94,105645
2021-01-12,84.8,85.77,84.5,84.93,104031
2021-01-13,84.83,85.25,84.37,84.84,102567
2021-01-14,85.13,85.27,83.43,83.47,89650
2021-01-15,83.56,84.87,83.2,84.7,180507
2021-01-19,84.89,86.77,84.19,85.93,159255
2021-01-20,85.71,86.51,85.34,85.84,73098
2021-01-21,85.82,86.32,84.21,84.21,92531
2021-01-22,84.15,84.18,82.47,82.47,131133
2021-01-25,82.3,83.56,81.7,82.64,129611
2021-01-26,82.66,82.66,81.41,81.95,121305
2021-01-27,81.58,81.58,77.46,77.68,342864
2021-01-28,78.35,80.09,77.55,79.04,491047
2021-01-29,78.75,79.55,77.49,77.85,219581
2021-02-01,78.35,78.68,76.38,76.99,183247
2021-02-02,77.56,78.84,77.42,77.5,179805
2021-02-03,76.94,77.79,76.72,77.68,126090
2021-02-04,77.6,78.75,77.18,78.69,169205
2021-02-05,79.12,79.36,78.14,78.14,89295
2021-02-08,78.52,78.54,76.75,76.97,125487
2021-02-09,77.26,77.43,76.25,77.03,157005
2021-02-10,77.39,77.39,75.97,76.37,175978
2021-02-11,76.43,77.45,76.21,77.15,104297
2021-02-12,77.01,77.3,76.6,77.09,91061
2021-02-16,77.27,77.42,75.84,76.11,158876
2021-02-17,76.18,77.2,76.06,77.09,201381
2021-02-18,77.14,79.06,76.91,78.65,162610
2021-02-19,79.15,79.19,77.77,77.78,115980
2021-02-22,77.6,78.64,77.22,78.4,188877
2021-02-23,78.87,80.82,78.86,80.19,244387
2021-02-24,80.1,81.24,78.37,78.37,157515
2021-02-25,78.66,79.17,77.39,77.85,249014
2021-02-26,78.2,78.2,76.41,76.86,199028
2021-03-01,77.36,78.83,77.36,78.31,124480
2021-03-02,78.6,79.66,78.05,79.27,143441
2021-03-03,79.1,80.73,78.63,79.38,235335
2021-03-04,79.31,79.71,77.51,77.68,238580
2021-03-05,78.53,80.21,77.62,80.02,183812
2021-03-08,79.83,82.71,79.23,81.28,210091
2021-03-09,80.94,81.49,80.56,80.6,116182
2021-03-10,80.78,82.92,80.58,82.35,171747
2021-03-11,82.29,83.57,81.58,82.88,146506
2021-03-12,83.06,83.45,82.68,83.09,93022
2021-03-15,83.48,83.6,82.85,83.38,75448
2021-03-16,83.09,83.53,82.25,83.4,54242
2021-03-17,82.61,82.78,80.7,81.35,185464
2021-03-18,81.66,81.68,80.4,80.7,133194
2021-03-19,80.96,81.8,79.97,81.2,99839
2021-03-22,80.79,81.48,80.24,80.49,84472
2021-03-23,80.91,81.6,80.6,81.07,93503
2021-03-24,81.01,83.84,80.64,82.62,151422
2021-03-25,83.24,84.39,83.12,84.21,158665
2021-03-26,84.06,85.24,83.82,85.23,111456
2021-03-29,84.54,86.6,84.31,85.91,118919
2021-03-30,85.93,86.05,84.71,85.23,120725
2021-03-31,85.09,85.4,84.59,85.32,156991
2021-04-01,85.16,85.6,84.7,85.35,123029
2021-04-05,85.58,86.88,85.58,86.38,67559
2021-04-06,86.45,86.56,85.16,85.28,122608
2021-04-07,85.42,85.92,85.19,85.69,110358
2021-04-08,85.71,85.77,84.26,84.94,150131
