date,open,high,low,close,volume
2020-07-27,167.7,171.8,167.06,171.45,19399
2020-07-28,168.53,169.18,166.84,166.84,16618
2020-07-29,169.2,169.56,167.14,169.53,53400
2020-07-30,166.03,166.91,161.88,166.76,59139
2020-07-31,165.44,165.93,162.3,165.25,49584
2020-08-03,165.99,169.41,165.09,168.17,23740
2020-08-04,168.41,168.59,166.48,167.36,48715
2020-08-05,170.56,172.5,170.38,171.49,73301
2020-08-06,173.45,179.57,173.45,178.3,119083
2020-08-07,180.03,182.96,178.37,182.51,52494
2020-08-10,184.15,189.06,183.95,189.02,39063
2020-08-11,192.41,197.59,191.4,192.66,53032
2020-08-12,194.72,194.72,191.31,193.77,28650
2020-08-13,191.66,193.23,191.47,192.17,15935
2020-08-14,190.39,194.67,190.39,193.62,14984
2020-08-17,194.44,194.8,192.6,192.7,15099
2020-08-18,192.59,192.93,190.71,190.91,24044
2020-08-19,190.36,192.24,189.81,190.37,26095
2020-08-20,188.21,190.18,188.21,189.33,13605
2020-08-21,189.52,191.78,189.52,190.64,21818
2020-08-24,192.47,193.99,192.25,193.83,21349
2020-08-25,193.97,195.12,192.27,193.57,21769
2020-08-26,192.2,194.54,191.84,193.8,11786
2020-08-27,194.9,196.31,192.76,192.84,39223
2020-08-28,193.76,195.23,193.35,195.13,37416
2020-08-31,194.18,194.18,191.17,191.17,53609
2020-09-01,189.74,196.61,189.64,196.48,39928
2020-09-02,197.04,199.65,195.89,199.13,33171
2020-09-03,198.98,198.98,189.68,191.39,34259
2020-09-04,194.19,195.28,190.21,192.3,29364
2020-09-08,189.33,192.38,188.4,188.62,29242
2020-09-09,191.63,193.67,190.97,192.22,26330
2020-09-10,193.0,193.99,188.88,189.93,24000
2020-09-11,190.89,194.64,190.89,194.04,44603
2020-09-14,195.92,196.92,194.34,196.17,53759
2020-09-15,196.87,198.79,194.67,194.76,15207
2020-09-16,196.69,201.83,196.52,199.02,37079
2020-09-17,193.58,200.27,193.58,198.64,37142
2020-09-18,199.23,199.23,192.84,193.61,26360
2020-09-21,188.65,188.85,180.45,184.52,48353
2020-09-22,186.58,186.58,183.16,186.21,22181
2020-09-23,186.8,187.98,181.16,181.29,39822
2020-09-24,178.64,184.16,178.58,181.51,43643
2020-09-25,180.67,186.74,180.67,185.41,21061
2020-09-28,188.84,191.72,188.03,188.03,25468
2020-09-29,188.32,189.79,186.13,187.71,12914
2020-09-30,189.61,191.81,185.52,187.8,47914
2020-10-01,188.55,190.29,184.55,186.35,72083
2020-10-02,183.37,195.6,182.97,192.4,61597
2020-10-05,195.39,198.59,195.22,197.92,67195
2020-10-06,197.89,201.31,194.54,194.81,34794
2020-10-07,197.69,202.12,197.44,201.77,33495
2020-10-08,202.41,202.98,199.91,202.06,50184
2020-10-09,204.05,204.98,202.04,202.4,54074
2020-10-12,202.74,203.61,201.0,202.4,53561
2020-10-13,200.74,202.14,198.97,199.97,31796
2020-10-14,202.15,203.22,200.1,200.1,31744
2020-10-15,197.17,206.58,197.17,206.58,64790
2020-10-16,207.68,210.19,206.29,206.85,185515
2020-10-19,207.36,209.47,204.88,205.76,59407
2020-10-20,206.52,210.18,206.52,207.38,51825
2020-10-21,207.22,208.89,205.84,206.56,72845
2020-10-22,208.4,209.41,206.79,209.1,76850
2020-10-23,211.47,211.47,208.07,209.63,53739
2020-10-26,206.0,206.0,201.13,202.76,50221
2020-10-27,202.44,202.44,196.4,196.44,48582
2020-10-28,191.76,194.06,188.43,188.47,55860
2020-10-29,188.35,195.16,187.45,193.07,90583
2020-10-30,193.77,194.25,190.2,193.13,47384
2020-11-02,196.18,203.29,196.18,202.3,76409
2020-11-03,206.05,211.24,205.25,210.18,62241
2020-11-04,207.46,208.18,201.78,202.56,88427
2020-11-05,212.4,223.03,212.22,221.48,243421
2020-11-06,220.62,221.98,220.19,221.26,72997
2020-11-09,243.85,250.03,235.03,235.44,106717
2020-11-10,237.26,244.36,237.16,243.49,115934
2020-11-11,242.8,244.88,240.15,243.1,193865
2020-11-12,240.74,242.98,237.68,239.55,168156
2020-11-13,241.41,243.61,238.89,241.23,50866
2020-11-16,246.69,251.32,243.25,248.84,49006
2020-11-17,246.41,247.1,241.75,245.05,43453
2020-11-18,246.46,249.69,245.16,247.15,47276
2020-11-19,244.68,250.38,244.68,250.09,57537
2020-11-20,249.88,250.16,248.08,249.11,67944
2020-11-23,251.45,254.64,251.45,253.09,34392
2020-11-24,256.59,261.11,255.79,260.97,55660
2020-11-25,259.23,259.23,253.66,255.5,49341
2020-11-27,257.75,257.75,252.95,253.93,16394
2020-11-30,252.38,252.44,247.19,249.05,40030
2020-12-01,252.26,254.38,250.88,251.88,34025
2020-12-02,248.98,252.49,247.63,251.48,29188
2020-12-03,251.25,253.86,250.08,250.34,37558
2020-12-04,252.71,257.9,252.71,256.83,26958
2020-12-07,253.87,254.86,250.51,252.78,46223
2020-12-08,252.55,255.9,252.55,255.42,23099
2020-12-09,256.69,257.93,253.8,257.49,34687
2020-12-10,254.06,257.14,254.06,255.57,61016
2020-12-11,253.43,257.49,253.01,255.91,38612
2020-12-14,258.95,259.53,251.58,251.62,45151
2020-12-15,255.78,258.13,252.06,256.84,30599
2020-12-16,257.32,257.32,253.08,254.1,24332
2020-12-17,255.58,255.81,252.77,254.59,55682
2020-12-18,255.08,256.19,252.14,253.86,43627
2020-12-21,246.71,254.34,246.21,254.05,40359
2020-12-22,251.32,251.72,248.92,249.0,31194
2020-12-23,251.53,252.41,249.54,250.94,37037
2020-12-24,251.65,252.23,249.22,251.03,8685
2020-12-28,252.49,253.22,249.35,249.35,21159
2020-12-29,252.06,252.06,245.28,247.74,21563
2020-12-30,251.19,252.66,250.23,251.68,28352
