date,open,high,low,close,volume
2020-07-27,40.97,41.94,40.35,41.79,171100
2020-07-28,42.03,42.47,41.04,41.14,113335
2020-07-29,41.39,42.26,41.37,42.22,66979
2020-07-30,41.34,41.9,41.13,41.45,102961
2020-07-31,41.18,41.2,40.18,41.2,118888
2020-08-03,41.38,42.1,41.24,41.6,76550
2020-08-04,41.38,41.88,41.26,41.68,86607
2020-08-05,41.58,42.27,41.42,42.07,59506
2020-08-06,42.06,42.44,41.84,42.26,76875
2020-08-07,41.96,42.14,41.16,41.81,77138
2020-08-10,42.02,43.59,41.83,42.67,65735
2020-08-11,43.03,43.03,41.72,41.92,185538
2020-08-12,42.2,43.19,42.03,42.93,114983
2020-08-13,42.61,43.3,42.18,43.0,54801
2020-08-14,42.58,42.71,42.34,42.55,46964
2020-08-17,42.9,44.05,42.8,43.88,81164
2020-08-18,44.67,44.67,43.92,44.04,91229
2020-08-19,43.86,43.97,43.28,43.63,96800
2020-08-20,43.11,44.28,43.11,43.82,76193
2020-08-21,43.81,44.99,43.64,44.84,43662
2020-08-24,44.76,45.24,44.38,44.97,105647
2020-08-25,45.26,45.26,43.98,44.56,69706
2020-08-26,44.64,44.76,43.69,43.73,65374
2020-08-27,44.02,44.36,43.24,43.24,102074
2020-08-28,43.41,43.83,42.7,42.81,27017
2020-08-31,42.78,42.85,41.82,42.1,76809
2020-09-01,41.89,43.49,41.88,43.49,87378
2020-09-02,43.54,43.74,42.3,43.63,62788
2020-09-03,43.26,43.26,41.29,41.74,160971
2020-09-04,42.17,42.39,39.97,40.81,71132
2020-09-08,40.04,41.82,40.04,40.78,122151
2020-09-09,41.26,42.51,41.1,42.14,104441
2020-09-10,42.33,42.96,41.78,42.03,49237
2020-09-11,42.78,42.98,42.25,42.8,39360
2020-09-14,43.27,43.29,42.47,43.13,75824
2020-09-15,43.09,43.76,42.5,42.57,88142
2020-09-16,43.09,44.53,42.91,44.1,104144
2020-09-17,43.39,43.74,42.58,42.84,83160
2020-09-18,43.03,43.42,42.17,42.62,73848
2020-09-21,41.68,42.33,41.06,42.24,113864
2020-09-22,42.45,43.5,42.15,43.48,185703
2020-09-23,43.42,43.69,41.51,41.52,61975
2020-09-24,41.16,42.62,40.73,41.93,81390
2020-09-25,41.57,41.97,41.08,41.67,34335
2020-09-28,42.48,43.39,42.24,43.31,47170
2020-09-29,43.68,43.74,42.69,42.88,48206
2020-09-30,43.31,44.57,43.31,43.86,63484
2020-10-01,44.35,44.98,43.55,44.94,164504
2020-10-02,44.09,45.28,44.06,45.02,70493
2020-10-05,45.32,45.75,44.13,45.19,118190
2020-10-06,45.29,45.48,43.97,44.16,133206
2020-10-07,44.79,45.42,44.41,44.66,86690
2020-10-08,45.7,46.68,45.55,46.4,127024
2020-10-09,46.72,47.08,46.11,46.39,88396
2020-10-12,46.43,46.93,46.1,46.89,94041
2020-10-13,46.17,46.36,45.3,45.83,118726
2020-10-14,46.0,46.31,45.51,45.7,123066
2020-10-15,45.08,46.47,45.02,46.31,103050
2020-10-16,46.55,46.96,45.12,45.16,139923
2020-10-19,45.44,45.77,43.56,43.93,161267
2020-10-20,44.56,45.06,44.01,44.53,179517
2020-10-21,44.46,44.46,42.46,42.86,240271
2020-10-22,42.02,42.8,39.85,40.4,465454
2020-10-23,40.94,41.73,40.55,41.66,284246
2020-10-26,41.77,41.86,39.71,40.17,156950
2020-10-27,40.11,40.32,38.81,39.12,243848
2020-10-28,38.31,40.19,37.83,39.71,267595
2020-10-29,39.83,40.23,38.83,39.21,108706
2020-10-30,39.38,39.65,38.37,38.63,180967
2020-11-02,39.44,40.16,38.98,39.88,155737
2020-11-03,40.5,41.14,39.94,40.92,150016
2020-11-04,42.0,44.6,41.95,43.89,314743
2020-11-05,44.14,44.66,43.29,43.67,189914
2020-11-06,43.4,43.4,41.57,41.78,147003
2020-11-09,42.17,42.47,38.43,38.45,312726
2020-11-10,39.18,40.52,38.47,40.32,253096
2020-11-11,40.56,40.62,39.91,40.55,129131
2020-11-12,40.39,41.31,39.15,39.52,184745
2020-11-13,39.82,41.03,39.58,40.63,123801
2020-11-16,40.8,40.84,39.7,40.59,148587
2020-11-17,40.63,41.47,40.18,40.71,130012
2020-11-18,40.69,42.04,40.58,41.41,167416
2020-11-19,41.74,42.34,40.78,41.33,235857
2020-11-20,41.65,41.76,41.09,41.35,123329
2020-11-23,41.99,42.96,41.45,42.79,105811
2020-11-24,42.76,42.76,41.45,41.65,104649
2020-11-25,41.9,42.55,41.6,42.25,108942
2020-11-27,42.15,42.6,41.79,41.96,45328
2020-11-30,42.05,42.23,40.57,41.33,178161
2020-12-01,41.55,41.64,40.13,40.44,249379
2020-12-02,40.28,40.28,39.08,39.37,334713
2020-12-03,39.45,40.99,39.45,40.82,113366
2020-12-04,40.91,40.92,39.76,39.83,258166
2020-12-07,39.95,41.35,39.57,41.32,117276
2020-12-08,40.49,40.49,39.32,39.81,117427
2020-12-09,40.23,40.36,39.27,39.88,149375
2020-12-10,39.57,40.06,39.33,39.94,136219
2020-12-11,39.91,40.37,39.75,40.1,133102
2020-12-14,40.52,40.93,39.89,39.89,135365
2020-12-15,40.07,40.74,39.98,40.3,166680
2020-12-16,40.58,40.68,39.92,40.39,164066
2020-12-17,41.23,42.83,41.14,42.56,237948
2020-12-18,42.96,43.49,42.66,42.8,137017
2020-12-21,41.91,42.97,41.53,42.58,112787
2020-12-22,42.87,43.31,42.36,43.12,53051
2020-12-23,43.3,43.3,41.93,42.11,83424
2020-12-24,42.21,42.99,41.81,42.98,50964
2020-12-28,42.66,42.93,42.12,42.26,79534
2020-12-29,42.45,42.55,41.62,42.01,74540
2020-12-30,42.12,42.59,41.8,41.89,64863
2020-12-31,41.96,41.96,40.88,41.0,114139
2021-01-04,41.2,41.2,39.3,40.09,149146
2021-01-05,38.86,39.62,38.86,39.05,178876
2021-01-06,38.49,39.13,37.98,38.8,245768
2021-01-07,38.87,40.57,38.58,40.39,161981
2021-01-08,40.65,40.92,39.26,39.47,93542
2021-01-11,39.42,40.78,39.28,39.98,75006
2021-01-12,40.13,40.57,39.6,40.57,80478
2021-01-13,41.01,41.69,40.09,40.42,271728
2021-01-14,40.48,40.74,40.13,40.3,124552
2021-01-15,40.08,40.98,40.08,40.57,106991
2021-01-19,40.89,41.86,40.69,41.84,143360
2021-01-20,42.24,44.75,42.02,44.38,272286
2021-01-21,44.87,45.75,44.5,45.21,193644
2021-01-22,45.55,46.61,44.65,46.49,176753
2021-01-25,46.99,47.74,46.2,46.52,172282
2021-01-26,46.78,47.62,45.0,45.28,279927
2021-01-27,44.73,45.79,43.99,44.85,201487
2021-01-28,42.15,43.29,40.58,42.42,349362
2021-01-29,42.78,42.89,40.96,41.35,143875
2021-02-01,41.76,42.66,40.98,42.59,105146
2021-02-02,42.9,44.02,42.14,43.69,182265
2021-02-03,43.51,44.35,43.32,44.08,187574
2021-02-04,44.07,45.28,43.39,44.82,132764
2021-02-05,45.27,45.73,44.49,45.71,115298
2021-02-08,45.92,46.94,45.68,46.82,79257
2021-02-09,46.84,46.91,45.83,46.73,86778
2021-02-10,46.82,47.38,45.9,46.89,115223
2021-02-11,47.01,47.58,46.86,47.06,90564
2021-02-12,46.8,47.17,45.79,46.08,156171
2021-02-16,46.14,46.14,44.14,44.36,127583
2021-02-17,43.88,44.52,43.17,43.86,103095
2021-02-18,43.84,44.23,43.06,43.21,104846
2021-02-19,43.65,44.3,43.61,44.08,77806
2021-02-22,43.78,44.23,43.17,43.19,59546
2021-02-23,42.7,43.71,42.01,43.67,101532
2021-02-24,43.41,44.67,42.24,44.66,115193
2021-02-25,44.19,44.19,41.46,41.77,100650
2021-02-26,42.29,43.45,41.65,42.88,101754
2021-03-01,43.62,44.08,43.15,43.22,118006
2021-03-02,43.53,44.15,42.81,43.9,78861
2021-03-03,43.25,43.67,42.07,42.09,152981
2021-03-04,42.1,43.17,40.22,41.61,247340
2021-03-05,42.01,43.65,40.84,43.52,122817
2021-03-08,43.81,45.73,43.77,45.03,129216
2021-03-09,45.75,46.32,44.77,44.98,187565
2021-03-10,44.98,46.93,44.8,46.43,143315
2021-03-11,46.86,47.02,45.6,46.02,89792
2021-03-12,44.77,46.02,44.02,45.65,160453
2021-03-15,45.82,47.39,45.53,47.38,73902
2021-03-16,47.64,47.97,46.66,46.86,115714
2021-03-17,46.33,48.6,45.91,48.6,354933
2021-03-18,47.97,48.25,45.69,45.99,212023
2021-03-19,46.06,47.03,45.6,46.69,116846
2021-03-22,46.88,47.13,46.02,46.78,166884
2021-03-23,46.93,47.28,45.72,46.08,88885
2021-03-24,46.45,47.4,45.96,45.96,93542
2021-03-25,45.18,48.03,45.13,47.79,181269
2021-03-26,48.2,50.18,47.83,50.14,158932
2021-03-29,50.56,51.05,49.04,49.14,174354
2021-03-30,49.04,50.47,48.73,50.26,154624
2021-03-31,50.57,50.57,49.82,49.99,116741
2021-04-01,50.49,51.0,50.08,50.99,143362
2021-04-05,51.32,51.34,50.59,51.31,80323
2021-04-06,51.27,51.57,50.94,51.43,244270
2021-04-07,51.68,51.68,50.75,51.01,109905
2021-04-08,51.22,51.25,50.38,50.64,168818
2021-04-09,50.67,52.12,50.16,51.99,130333
2021-04-12,52.05,52.07,51.03,51.54,85059
2021-04-13,51.21,51.62,50.49,51.5,60694
2021-04-14,51.42,51.82,50.92,50.94,100383
2021-04-15,51.53,51.56,50.89,50.89,161607
2021-04-16,51.23,51.93,51.03,51.65,196616
2021-04-20,51.31,51.76,49.14,50.08,345425
2021-04-21,50.04,50.88,49.97,50.63,96127
2021-04-22,50.57,50.94,50.02,50.68,118548
2021-04-23,50.91,51.61,50.56,51.39,113595
2021-04-26,51.83,52.49,51.61,52.22,128368
2021-04-27,53.84,55.32,53.75,54.51,254004
2021-04-28,54.78,56.1,54.47,55.95,160508
2021-04-29,56.3,57.25,55.98,57.0,223206
2021-04-30,56.84,56.84,55.64,56.33,189698
2021-05-03,56.98,57.79,56.94,57.49,122484
2021-05-04,57.34,58.32,56.94,58.02,199657
2021-05-05,58.4,58.65,57.54,58.24,140399
2021-05-06,58.56,58.68,57.26,57.78,139333
2021-05-07,57.68,59.1,57.09,58.87,113117
2021-05-10,59.49,60.88,58.73,59.42,156394
2021-05-11,58.97,58.97,56.38,56.73,182309
2021-05-12,56.4,56.4,52.6,52.81,233300
2021-05-13,53.23,55.7,53.21,55.28,131172
2021-05-14,55.72,56.51,55.38,55.71,74028
2021-05-17,55.53,55.53,54.18,55.28,62712
2021-05-18,55.52,55.52,53.47,53.5,94533
2021-05-19,52.4,53.6,51.75,52.97,162670
2021-05-20,53.04,53.75,52.86,53.39,54389
2021-05-21,53.82,54.45,53.13,53.16,81343
2021-05-24,53.55,53.79,53.33,53.41,38039
2021-05-25,53.93,54.69,53.8,53.86,58948
2021-05-26,54.22,55.52,54.0,54.92,114259
2021-05-27,55.23,55.66,54.73,55.16,112697
2021-05-28,55.6,55.84,54.74,55.01,68643
2021-06-01,55.7,56.01,54.95,55.45,68694
2021-06-02,55.62,55.66,54.14,54.66,139049
2021-06-03,54.26,54.5,53.02,53.69,58551
2021-06-04,53.83,54.34,53.14,54.28,65035
2021-06-07,54.36,54.36,53.55,54.06,59145
2021-06-08,54.38,54.54,53.91,54.29,53452
2021-06-09,54.89,54.89,53.01,53.21,64083
2021-06-10,53.09,53.15,51.28,51.61,125456
2021-06-11,51.76,52.4,51.67,51.93,64926
2021-06-14,51.95,52.31,50.74,51.11,101654
2021-06-15,51.09,52.06,51.09,51.8,60220
2021-06-16,51.59,51.8,50.72,50.76,110541
2021-06-17,50.72,51.96,50.5,51.32,187112
2021-06-18,50.63,52.23,50.63,51.3,156794
2021-06-21,51.45,52.02,51.22,51.78,53574
2021-06-22,51.86,52.13,51.4,51.99,77486
2021-06-23,52.08,52.08,50.85,51.12,55976
2021-06-24,51.4,51.4,50.41,51.06,148896
2021-06-25,51.1,51.56,50.82,51.22,65569
2021-06-28,51.52,52.18,51.02,52.04,88270
2021-06-29,52.1,53.63,52.1,53.06,102999
2021-06-30,51.82,52.72,51.82,52.16,107214
2021-07-01,52.38,53.68,52.06,53.38,53721
2021-07-02,53.64,53.64,52.66,52.74,66534
2021-07-06,52.54,52.71,50.86,51.53,96647
2021-07-07,51.91,53.21,51.91,52.65,80973
2021-07-08,51.38,51.72,50.13,50.32,108389
2021-07-09,50.83,51.44,50.46,50.85,138113
2021-07-12,50.34,50.97,50.26,50.75,57636
2021-07-13,50.47,50.51,49.04,49.37,84650
2021-07-14,49.79,50.1,49.3,49.42,67532
2021-07-15,49.25,49.67,48.71,49.22,86805
2021-07-16,49.48,50.21,48.63,48.72,111401
2021-07-19,47.89,49.06,47.89,48.65,65387
2021-07-20,48.88,50.02,48.56,49.89,55977
2021-07-21,50.15,50.82,49.95,50.5,105884
2021-07-22,49.97,50.32,49.12,50.15,99612
2021-07-23,50.85,51.94,50.54,51.65,76325
2021-07-26,51.87,52.33,50.8,50.97,135906
2021-07-27,49.79,51.11,49.3,50.98,151333
2021-07-28,51.27,51.64,50.14,50.27,108541
2021-07-29,51.01,53.11,50.86,52.6,102874
2021-07-30,52.36,53.18,52.22,52.43,82076
2021-08-02,52.84,53.09,52.36,52.5,76790
2021-08-03,52.74,52.92,52.02,52.91,57916
2021-08-04,52.41,52.99,50.94,50.94,90616
2021-08-05,51.06,51.68,50.77,51.12,76455
2021-08-06,51.47,51.64,50.46,50.58,71248
2021-08-09,50.35,50.85,50.12,50.23,15792
2021-08-10,50.15,51.68,50.05,51.05,64189
2021-08-11,50.92,52.9,50.59,52.9,70074
2021-08-12,53.14,53.3,51.86,52.07,39950
2021-08-13,52.26,52.43,51.51,51.91,51875
2021-08-16,51.92,52.68,51.39,52.2,30474
2021-08-17,51.47,51.64,49.75,50.11,55420
2021-08-18,49.43,50.97,49.37,50.0,80995
2021-08-19,49.42,49.96,49.09,49.41,49888
2021-08-20,49.49,50.64,49.44,50.37,45102
2021-08-23,50.05,50.37,49.21,50.1,38238
2021-08-24,50.42,51.99,50.31,51.21,52196
2021-08-25,51.38,52.1,51.19,51.82,58538
2021-08-26,51.8,51.84,50.94,51.42,57119
2021-08-27,51.57,52.87,51.56,52.43,76795
2021-08-30,52.44,52.54,51.77,51.77,41384
2021-08-31,51.79,51.9,50.98,51.48,46077
2021-09-01,51.61,52.26,51.35,52.26,47209
2021-09-02,52.47,52.52,51.64,51.78,62505
2021-09-03,51.67,51.84,50.47,51.02,53220
2021-09-07,50.82,51.17,50.24,50.36,87517
2021-09-08,47.53,48.57,47.32,47.34,250093
2021-09-09,47.18,47.34,46.28,46.33,159865
2021-09-10,46.7,46.88,45.72,45.81,77471
2021-09-13,46.09,46.29,45.37,46.14,168223
2021-09-14,46.45,46.7,44.83,45.06,121402
2021-09-15,44.81,45.49,44.62,45.45,81284
2021-09-16,45.38,46.77,45.37,46.08,70824
2021-09-17,46.05,46.86,45.9,46.61,82733
2021-09-20,45.6,46.11,44.82,45.41,62491
2021-09-21,45.49,45.64,44.71,45.13,48717
2021-09-22,45.6,46.57,45.6,45.88,172544
2021-09-23,46.25,46.4,45.34,45.35,142952
2021-09-24,45.28,45.76,44.83,45.49,96035
2021-09-27,45.21,46.45,45.0,46.32,140230
2021-09-28,45.8,46.39,44.94,45.22,150064
2021-09-29,45.41,46.28,45.41,45.94,57209
2021-09-30,46.14,46.14,43.98,44.0,71424
2021-10-01,44.38,44.6,43.71,44.17,33760
2021-10-04,43.91,44.94,43.91,44.32,56471
2021-10-05,44.65,44.96,44.11,44.58,43315
2021-10-06,44.53,45.38,44.26,45.03,69696
2021-10-07,45.51,46.27,45.47,45.67,58952
2021-10-08,45.67,45.96,45.17,45.37,65884
2021-10-11,45.26,45.75,45.22,45.27,35768
2021-10-12,45.52,46.03,45.21,45.87,69245
2021-10-13,46.11,46.43,45.62,45.8,103138
2021-10-14,46.23,47.24,46.09,47.22,109924
2021-10-15,47.76,47.76,46.35,46.39,108445
2021-10-18,46.32,47.35,45.95,47.33,48653
2021-10-19,47.43,47.48,47.03,47.18,29206
2021-10-20,47.52,48.43,47.44,48.1,40616
2021-10-21,48.11,48.32,47.54,48.03,45543
2021-10-22,48.26,48.72,47.58,47.63,48712
2021-10-26,47.28,47.85,45.88,46.65,162920
2021-10-27,47.47,49.18,46.72,46.72,239083
2021-10-28,46.95,46.95,46.25,46.6,173048
2021-10-29,46.7,47.47,46.0,46.09,103567
2021-11-01,46.03,46.91,45.74,46.64,84175
2021-11-02,46.58,46.58,45.38,45.79,78818
2021-11-03,45.63,47.1,45.63,46.37,53597
2021-11-04,46.84,47.68,46.76,47.04,80649
2021-11-05,47.41,48.58,47.38,48.31,117562
2021-11-08,48.38,48.48,47.79,48.16,109061
2021-11-09,48.56,50.09,48.56,49.75,97351
2021-11-10,49.16,49.86,48.46,48.51,155072
2021-11-11,48.89,49.21,48.58,48.58,55377
2021-11-12,48.63,49.4,48.63,49.22,78077
2021-11-15,49.2,49.26,48.38,48.44,59851
2021-11-16,48.75,49.83,48.43,49.37,39492
2021-11-17,49.22,50.24,49.0,50.2,110740
2021-11-18,50.0,50.37,49.47,49.58,73277
2021-11-19,49.83,51.46,49.81,50.08,176543
2021-11-22,50.44,50.72,49.61,50.24,48430
2021-11-23,49.83,50.82,49.79,50.69,52272
2021-11-24,50.51,50.91,50.38,50.45,34435
2021-11-26,49.35,50.3,48.77,49.43,50688
2021-11-29,49.61,50.0,48.92,49.39,55029
2021-11-30,48.97,49.97,47.76,47.96,84215
2021-12-01,48.37,49.44,47.98,47.98,73895
2021-12-02,49.17,50.51,48.27,50.31,129278
2021-12-03,50.43,50.81,49.58,49.91,101764
2021-12-06,50.55,51.86,50.25,51.73,135450
2021-12-07,52.14,52.96,51.64,52.4,105659
2021-12-08,52.88,53.22,52.4,53.08,73337
2021-12-09,53.11,54.1,52.84,53.05,103197
2021-12-10,53.44,53.92,53.17,53.88,59071
2021-12-13,54.04,54.32,52.37,52.69,95086
2021-12-14,51.81,52.17,51.16,51.75,67738
2021-12-15,52.02,53.21,51.69,53.17,118389
2021-12-16,52.5,52.93,51.75,51.86,105043
2021-12-17,51.62,51.67,50.35,50.89,83281
2021-12-20,50.35,50.38,48.89,49.48,85175
2021-12-21,49.57,50.94,49.57,50.92,46624
2021-12-22,50.92,52.43,50.92,52.42,40771
2021-12-23,52.66,52.89,52.45,52.51,43090
2021-12-27,52.74,53.22,52.38,53.22,88403
2021-12-28,53.21,54.21,53.21,54.09,88761
2021-12-29,54.04,55.51,54.01,55.4,90733
2021-12-30,55.37,55.69,54.33,54.42,59002
2021-12-31,54.64,55.14,54.21,54.92,45232
2022-01-03,55.2,55.2,53.65,53.91,58028
2022-01-04,54.27,54.81,54.27,54.67,64033
2022-01-05,54.46,55.67,53.85,53.92,78227
2022-01-06,53.59,53.67,52.64,52.89,78814
2022-01-07,52.77,52.77,50.22,50.22,106500
2022-01-10,49.35,50.97,49.05,50.92,88055
2022-01-11,50.97,52.81,50.8,52.77,100421
2022-01-12,52.65,53.19,52.33,52.88,67513
2022-01-13,55.26,55.82,54.15,54.69,210261
2022-01-14,54.21,55.1,53.67,54.86,154734
2022-01-18,53.9,53.9,51.91,52.38,145158
2022-01-19,52.19,52.65,50.88,51.04,210190
2022-01-20,51.47,51.92,50.23,50.32,212683
2022-01-21,50.21,51.27,49.4,49.5,153128
2022-01-24,48.62,49.49,48.61,49.47,40178
2022-01-25,51.08,51.43,49.85,50.95,124789
2022-01-26,51.37,52.01,48.41,49.05,132865
2022-01-27,49.11,49.77,47.65,48.04,166326
2022-01-28,48.19,49.26,46.93,49.26,243654
2022-01-31,48.85,50.65,48.82,50.6,213795
2022-02-01,51.52,51.84,48.7,51.12,316255
2022-02-02,51.59,52.56,50.94,52.27,179343
2022-02-03,51.84,51.88,50.67,50.73,134644
2022-02-04,50.03,50.18,46.84,46.84,256971
2022-02-07,47.28,47.47,46.43,46.97,242051
2022-02-08,46.98,48.26,46.91,48.21,208596
2022-02-09,48.74,49.95,48.74,49.42,185531
2022-02-10,48.0,49.1,46.56,46.64,225586
2022-02-11,47.07,47.74,45.76,45.98,204953
2022-02-14,46.29,46.58,45.46,45.94,261633
2022-02-15,46.53,47.14,46.43,46.98,147099
2022-02-16,46.68,47.63,46.51,47.36,182870
2022-02-17,47.18,47.6,45.95,46.06,197349
2022-02-18,46.07,46.76,45.8,46.25,190698
2022-02-22,45.61,46.02,44.01,44.41,191572
2022-02-23,44.89,44.89,42.96,43.11,172451
2022-02-24,41.81,45.0,41.57,44.79,243448
2022-02-25,44.66,46.96,44.66,46.76,197798
2022-02-28,47.73,47.99,46.85,47.72,265770
2022-03-01,48.02,48.32,46.88,47.18,237051
2022-03-02,47.56,48.62,47.33,48.07,225422
2022-03-03,48.54,48.66,47.04,47.31,145711
2022-03-04,46.96,47.48,46.42,47.44,146888
