date,open,high,low,close,volume
2020-07-27,58.0,59.42,57.93,59.33,487057
2020-07-28,59.4,59.9,58.82,58.88,139002
2020-07-29,58.73,59.42,58.29,59.19,146403
2020-07-30,58.78,59.03,58.31,58.48,172199
2020-07-31,58.05,58.28,57.49,58.01,146633
2020-08-03,57.79,58.03,57.37,57.8,196560
2020-08-04,57.49,58.42,57.49,58.22,138544
2020-08-05,58.24,58.48,57.74,58.13,214543
2020-08-06,57.61,58.28,57.61,58.25,203707
2020-08-07,57.97,58.53,57.61,58.52,135348
2020-08-10,58.45,59.23,58.4,59.2,93460
2020-08-11,59.93,60.33,59.23,59.48,61782
2020-08-12,59.8,60.44,59.77,60.16,240182
2020-08-13,59.59,59.59,58.79,58.98,96129
2020-08-14,58.5,59.11,58.47,58.7,89208
2020-08-17,58.71,59.28,58.51,59.13,50924
2020-08-18,59.25,59.94,59.13,59.78,167579
2020-08-19,59.85,60.23,59.39,59.43,172623
2020-08-20,59.14,59.48,58.93,59.06,64347
2020-08-21,59.19,59.19,58.45,58.91,33905
2020-08-24,59.08,60.29,59.05,60.1,70534
2020-08-25,60.34,60.45,59.87,60.13,87835
2020-08-26,59.36,60.46,59.12,60.4,55969
2020-08-27,60.5,61.32,60.1,60.42,83396
2020-08-28,60.15,60.99,59.79,60.97,36625
2020-08-31,60.82,60.82,60.27,60.27,54534
2020-09-01,59.84,60.02,59.38,59.68,63084
2020-09-02,59.61,60.7,59.59,60.41,123152
2020-09-03,60.75,61.57,59.46,59.9,95585
2020-09-04,60.47,60.63,59.24,59.76,60544
2020-09-08,59.86,59.97,58.85,59.67,101999
2020-09-09,60.26,61.51,60.23,60.73,107167
2020-09-10,60.58,61.32,60.32,60.72,99512
2020-09-11,60.9,61.53,60.73,61.35,44653
2020-09-14,61.64,62.36,61.42,61.93,58271
2020-09-15,62.19,62.26,61.45,61.45,62282
2020-09-16,61.7,62.08,60.83,60.84,195127
2020-09-17,60.49,60.91,59.79,60.02,248460
2020-09-18,59.98,60.03,58.92,58.95,116260
2020-09-21,58.96,59.09,57.67,58.76,114378
2020-09-22,58.87,59.45,58.08,58.11,142541
2020-09-23,58.72,59.23,57.76,57.91,175603
2020-09-24,58.04,59.12,57.52,58.56,75011
2020-09-25,57.96,58.27,57.64,57.86,93806
2020-09-28,58.49,59.54,58.48,58.49,88284
2020-09-29,58.14,58.38,57.0,57.02,109124
2020-09-30,57.11,57.72,57.06,57.55,114578
2020-10-01,57.32,57.5,56.4,56.88,347331
2020-10-02,56.42,57.58,56.39,57.13,96301
2020-10-05,57.34,58.34,57.17,58.23,275069
2020-10-06,58.41,58.85,57.77,57.91,204266
