date,open,high,low,close,volume
2020-07-27,85.36,85.85,84.62,85.35,62461
2020-07-28,85.29,85.91,85.12,85.29,93550
2020-07-29,85.2,88.9,84.66,88.73,189861
2020-07-30,86.48,86.65,84.94,86.5,78714
2020-07-31,86.11,86.82,84.81,86.82,84570
2020-08-03,86.72,87.52,85.83,86.23,68450
2020-08-04,85.98,86.15,85.33,85.63,86384
2020-08-05,86.29,86.83,85.75,86.71,102601
2020-08-06,85.95,87.29,85.95,87.09,63808
2020-08-07,86.48,89.5,86.37,89.29,145690
2020-08-10,89.61,90.75,88.99,89.16,68606
2020-08-11,91.6,93.77,91.08,91.53,210373
2020-08-12,93.08,93.16,89.83,91.06,70633
2020-08-13,89.45,90.9,89.45,90.32,79632
2020-08-14,89.44,91.47,89.34,90.92,101137
2020-08-17,90.04,90.17,89.16,89.77,62567
2020-08-18,89.38,89.63,86.91,87.09,58083
2020-08-19,86.9,88.42,86.4,86.57,81126
2020-08-20,85.57,86.55,85.0,86.33,90132
2020-08-21,85.98,87.0,85.97,86.64,148979
2020-08-24,86.99,89.3,86.81,89.27,90087
2020-08-25,90.84,91.05,89.18,90.08,300553
2020-08-26,89.32,90.5,89.21,89.73,157898
2020-08-27,89.44,92.22,89.39,91.61,152061
2020-08-28,91.93,92.0,90.71,91.47,32265
2020-08-31,90.95,91.31,90.41,90.61,88431
2020-09-01,89.38,91.35,89.19,90.73,71153
2020-09-02,90.15,91.93,89.99,91.47,91223
2020-09-03,92.39,94.91,90.29,90.86,100989
2020-09-04,92.59,93.99,90.58,92.04,74568
2020-09-08,90.25,90.47,88.59,89.8,93985
2020-09-09,90.39,90.39,89.32,89.38,36238
2020-09-10,90.1,90.71,88.02,88.07,41561
2020-09-11,88.65,90.51,88.33,90.12,96515
2020-09-14,90.75,93.59,90.72,92.87,72791
2020-09-15,92.7,92.72,90.08,90.52,75084
2020-09-16,90.5,93.61,90.22,92.34,120065
2020-09-17,90.92,92.39,90.32,91.04,117220
2020-09-18,90.79,91.34,90.12,90.86,54390
2020-09-21,88.82,89.88,87.47,88.62,60094
2020-09-22,88.18,88.51,84.74,85.73,119984
2020-09-23,85.98,87.29,83.36,83.4,112470
2020-09-24,83.41,85.72,82.98,84.07,94142
2020-09-25,83.18,85.45,83.07,85.42,66318
2020-09-28,87.46,88.77,86.7,87.8,78144
2020-09-29,87.22,87.64,85.55,86.97,70210
2020-09-30,88.01,89.67,88.01,89.41,103668
2020-10-01,89.32,90.16,88.24,88.99,98721
2020-10-02,87.85,91.92,87.83,91.29,103552
2020-10-05,92.26,93.52,91.54,93.4,127431
2020-10-06,94.29,95.28,91.65,92.08,127087
2020-10-07,92.95,95.2,92.94,93.56,179426
2020-10-08,94.02,95.18,93.74,94.78,281638
2020-10-09,95.27,95.28,93.43,93.94,152639
2020-10-12,93.97,95.03,93.79,94.62,92037
2020-10-13,94.01,94.54,91.05,91.52,122030
2020-10-14,92.01,93.06,89.14,89.33,196580
2020-10-15,89.07,90.02,88.44,90.02,184703
2020-10-16,90.1,91.67,89.6,91.64,113791
2020-10-19,91.95,92.24,90.37,90.37,86828
2020-10-20,91.37,93.57,91.37,92.19,145432
2020-10-21,91.95,92.59,90.83,91.04,67519
2020-10-22,91.18,94.82,91.04,94.8,132287
2020-10-23,95.19,95.8,93.47,94.41,116786
2020-10-26,93.23,93.23,90.51,91.8,154020
2020-10-27,91.03,91.27,89.61,89.81,117459
2020-10-28,88.94,90.45,88.55,89.29,209931
2020-10-29,88.83,90.95,87.86,90.38,127422
2020-10-30,90.44,92.08,89.38,92.06,115847
2020-11-02,93.21,95.44,92.64,94.05,185848
2020-11-03,96.08,98.66,96.08,98.16,204476
2020-11-04,95.17,95.75,92.25,92.86,135068
2020-11-05,92.99,96.51,92.99,96.38,113260
2020-11-06,96.53,96.76,93.87,94.24,233958
2020-11-09,103.95,106.43,102.81,105.14,295019
2020-11-10,105.69,105.85,103.59,104.07,367392
2020-11-11,104.43,104.51,101.14,103.04,212914
2020-11-12,100.11,100.52,97.68,99.49,125493
2020-11-13,100.2,101.73,100.06,100.98,97288
2020-11-16,103.44,104.39,102.37,103.81,375568
2020-11-17,102.71,104.44,101.35,104.29,193163
2020-11-18,104.6,107.92,104.3,105.92,291172
2020-11-19,104.78,107.17,103.89,107.11,204082
2020-11-20,105.51,107.04,105.41,106.12,146328
2020-11-23,108.45,110.26,107.44,109.92,219163
2020-11-24,112.2,115.23,112.11,115.19,163281
2020-11-25,114.32,116.5,113.34,115.68,220102
2020-11-27,115.63,115.65,114.11,114.91,94250
2020-11-30,113.53,114.64,113.27,113.7,265619
2020-12-01,115.76,116.25,115.05,115.73,203997
2020-12-02,115.09,116.43,114.89,116.22,75045
2020-12-03,115.46,116.85,115.03,116.13,110047
2020-12-04,117.17,117.77,116.28,117.15,98490
2020-12-07,116.18,116.7,114.72,116.64,107486
2020-12-08,115.09,117.0,114.98,116.35,67597
2020-12-09,117.19,118.16,116.4,118.0,101932
2020-12-10,116.65,118.46,116.65,118.41,73498
2020-12-11,116.81,118.16,116.49,118.09,76148
2020-12-14,119.29,119.29,115.95,116.56,109822
2020-12-15,116.44,118.08,116.09,117.68,104061
2020-12-16,118.06,119.59,117.48,119.4,64008
2020-12-17,119.61,119.61,118.11,119.22,92166
2020-12-18,119.35,119.52,117.77,119.2,186514
2020-12-21,119.85,120.9,117.32,118.91,148744
2020-12-22,119.09,119.34,117.21,118.13,76830
2020-12-23,118.82,121.38,118.72,120.62,55243
2020-12-24,120.6,120.6,118.98,120.24,30084
2020-12-28,120.71,121.97,120.19,120.54,65106
2020-12-29,120.2,120.31,118.95,119.15,42845
2020-12-30,120.12,121.14,119.76,120.7,48123
2020-12-31,120.76,122.68,120.12,122.58,69269
2021-01-04,122.91,122.99,120.14,122.68,105052
2021-01-05,122.71,123.79,121.14,121.98,150948
2021-01-06,125.93,130.11,125.43,128.56,179238
2021-01-07,130.88,133.76,130.72,130.75,88153
2021-01-08,130.25,130.8,128.34,130.11,56594
2021-01-11,128.88,131.49,128.59,130.97,73846
2021-01-12,132.31,133.7,131.31,132.84,66836
2021-01-13,131.59,132.52,130.14,130.94,113977
2021-01-14,131.76,133.24,131.68,133.0,79490
2021-01-15,130.04,131.26,127.84,128.14,166727
2021-01-19,128.86,129.59,127.69,129.34,114690
2021-01-20,129.29,129.52,128.08,129.42,83175
2021-01-21,128.97,129.18,126.72,127.41,179702
2021-01-22,125.31,126.73,125.31,126.48,71419
2021-01-25,124.26,124.93,121.75,124.6,100863
2021-01-26,125.24,125.53,122.45,122.61,112492
2021-01-27,119.91,120.66,117.29,119.65,195207
2021-01-28,121.34,123.16,120.59,122.4,75957
2021-01-29,122.2,122.32,118.45,118.78,119641
2021-02-01,119.86,121.12,119.04,120.8,51800
2021-02-02,122.52,126.58,122.32,124.53,105224
2021-02-03,124.26,126.28,124.26,126.13,80171
2021-02-04,127.14,129.81,127.14,129.8,97877
2021-02-05,130.84,131.25,129.12,129.95,57729
2021-02-08,130.11,131.51,129.75,131.49,61717
2021-02-09,131.03,131.36,129.73,130.92,69095
2021-02-10,131.31,133.26,130.88,132.52,126334
2021-02-11,132.3,133.43,130.59,131.97,95828
2021-02-12,132.12,134.53,132.12,134.53,63725
2021-02-16,135.25,141.59,135.25,140.83,149257
2021-02-17,140.05,140.73,138.11,138.71,64838
2021-02-18,137.74,138.52,136.22,138.18,48104
2021-02-19,138.34,141.71,138.34,141.08,64457
2021-02-22,140.68,142.42,140.55,141.25,123953
2021-02-23,143.24,144.05,140.91,143.53,107420
2021-02-24,144.0,148.49,144.0,147.89,130989
2021-02-25,149.39,149.53,143.45,143.45,93217
2021-02-26,142.27,142.93,139.4,139.46,95601
2021-03-01,142.07,144.41,140.53,143.29,90317
2021-03-02,143.01,144.56,142.34,143.19,61709
2021-03-03,144.49,146.45,143.29,143.3,84812
2021-03-04,143.82,144.78,140.2,142.98,119421
2021-03-05,145.46,146.44,140.59,146.16,130774
2021-03-08,147.18,150.17,146.67,147.96,108188
2021-03-09,146.23,146.5,142.66,143.78,110255
2021-03-10,144.25,147.62,144.22,147.23,69646
2021-03-11,146.2,147.61,145.17,146.53,58233
2021-03-12,148.72,150.29,148.17,150.23,116226
2021-03-15,149.58,149.58,146.24,147.88,61029
2021-03-16,145.65,146.42,143.94,146.32,66765
2021-03-17,148.08,149.71,146.25,147.77,63585
2021-03-18,149.82,152.59,148.22,148.94,121755
2021-03-19,146.71,147.37,144.28,145.66,154225
2021-03-22,143.66,143.66,140.46,141.88,71738
2021-03-23,140.45,142.55,139.51,140.25,54164
2021-03-24,142.23,143.33,141.01,141.16,69369
2021-03-25,141.85,146.65,140.48,146.56,93373
2021-03-26,148.64,149.13,146.76,148.9,82610
2021-03-29,146.27,147.04,143.48,144.35,71964
2021-03-30,145.83,148.22,145.65,147.01,72973
2021-03-31,146.33,146.96,144.68,145.2,73758
2021-04-01,144.54,146.95,144.42,146.95,45681
2021-04-05,148.9,149.23,147.29,148.03,53496
2021-04-06,147.4,147.93,145.76,146.9,72775
2021-04-07,147.62,148.64,146.25,147.56,108229
2021-04-08,146.23,147.75,144.54,147.56,36736
2021-04-09,148.92,149.26,147.65,149.25,48359
2021-04-12,149.44,150.1,148.86,149.74,64518
2021-04-13,148.88,148.88,146.66,147.06,28983
2021-04-14,146.52,149.55,146.46,148.57,81855
2021-04-15,147.77,147.77,143.51,145.55,138315
2021-04-16,147.82,150.18,147.66,148.94,98600
2021-04-20,146.44,146.49,142.49,143.2,132012
2021-04-21,142.71,146.02,141.94,145.97,107111
2021-04-22,145.62,146.12,144.34,144.89,151514
2021-04-23,145.04,149.28,145.04,148.37,77053
2021-04-26,149.49,151.43,149.49,150.19,39325
2021-04-27,150.18,153.16,150.08,152.96,73049
2021-04-28,153.36,155.07,153.36,154.44,89097
2021-04-29,156.39,157.81,156.26,157.66,72356
2021-04-30,156.72,157.48,155.68,155.68,63144
2021-05-03,157.7,157.7,155.61,156.68,59063
2021-05-04,156.12,161.39,155.11,161.13,163139
2021-05-05,161.26,163.7,159.55,162.18,96489
2021-05-06,162.82,165.23,161.01,165.23,78790
2021-05-07,161.95,166.0,161.95,165.71,53071
2021-05-10,168.66,169.86,165.4,165.5,128192
