date,open,high,low,close,volume
2020-07-27,39.36,39.9,39.36,39.85,53457
2020-07-28,39.7,39.81,39.15,39.2,59347
2020-07-29,39.62,40.63,39.62,40.53,43012
2020-07-30,39.88,39.9,39.45,39.66,42424
2020-07-31,39.24,39.73,39.02,39.73,48693
2020-08-03,39.99,40.57,39.99,40.36,50061
2020-08-04,40.2,40.2,39.76,39.95,32365
2020-08-05,40.27,40.62,40.24,40.49,19923
2020-08-06,40.39,40.49,40.11,40.22,15663
2020-08-07,40.23,40.83,40.22,40.82,52869
2020-08-10,41.11,41.31,40.83,41.31,44588
2020-08-11,42.1,42.43,41.58,41.62,58287
2020-08-12,41.92,42.0,41.52,41.96,42849
2020-08-13,41.65,42.1,41.65,41.95,38192
2020-08-14,41.67,42.2,41.67,41.83,12098
2020-08-17,41.85,42.11,41.85,42.03,14193
2020-08-18,42.1,42.42,42.1,42.26,28316
2020-08-19,42.13,42.67,42.12,42.2,31251
2020-08-20,41.82,42.75,41.82,42.65,47977
2020-08-21,42.81,42.95,42.47,42.7,22405
2020-08-24,42.86,43.24,42.74,43.1,8518
2020-08-25,43.28,43.28,42.42,42.74,33136
2020-08-26,42.66,42.84,42.41,42.65,19635
2020-08-27,42.85,42.87,42.12,42.34,37764
2020-08-28,42.1,42.55,41.89,42.55,25799
2020-08-31,42.27,42.27,41.72,41.91,38128
2020-09-01,41.87,42.56,41.87,42.29,25475
2020-09-02,42.24,42.93,41.9,42.88,23709
2020-09-03,42.75,42.75,41.33,41.69,23663
2020-09-04,42.15,42.18,41.4,41.63,26582
2020-09-08,41.16,41.37,40.46,40.5,31025
2020-09-09,41.12,41.83,41.12,41.61,19843
2020-09-10,41.33,41.33,40.12,40.32,84579
2020-09-11,40.6,41.18,40.35,40.55,39923
2020-09-14,41.36,41.82,40.93,41.58,41117
2020-09-15,42.04,42.34,41.65,41.89,51126
2020-09-16,42.42,42.87,41.97,42.58,42731
2020-09-17,41.98,43.26,41.73,43.12,38669
2020-09-18,43.23,43.69,42.94,43.2,83495
2020-09-21,42.44,42.45,40.91,41.41,39336
2020-09-22,41.39,42.31,41.18,42.12,47559
2020-09-23,42.22,42.98,41.67,41.67,56601
2020-09-24,41.52,42.09,40.95,41.41,18462
2020-09-25,41.01,41.97,40.94,41.73,21008
