date,open,high,low,close,volume
2020-07-27,284.47,288.86,284.47,287.65,16615
2020-07-28,286.6,288.03,283.7,284.5,19080
2020-07-29,287.4,291.61,287.4,290.61,8427
2020-07-30,288.83,293.65,288.71,291.56,23378
2020-07-31,293.02,293.34,289.71,293.34,19967
2020-08-03,296.28,300.6,296.28,298.93,14646
2020-08-04,297.29,302.5,297.29,301.02,17854
2020-08-05,299.86,304.04,299.04,303.92,6134
2020-08-06,302.76,304.73,301.43,304.67,6243
2020-08-07,304.18,306.39,302.38,304.47,12655
2020-08-10,302.29,303.69,298.69,301.36,8908
2020-08-11,298.65,298.81,292.08,293.18,42053
2020-08-12,294.77,302.75,293.71,300.7,16339
2020-08-13,298.65,300.85,297.49,297.78,7132
2020-08-14,297.2,299.33,295.23,296.57,6454
2020-08-17,299.4,306.1,298.81,302.88,11334
2020-08-18,303.42,308.61,302.67,304.51,9003
2020-08-19,304.64,304.64,301.59,301.78,12695
2020-08-20,302.57,304.83,302.18,302.29,3348
2020-08-21,302.64,309.83,301.85,309.75,13743
2020-08-24,312.48,312.68,309.49,310.69,19542
2020-08-25,310.43,312.39,309.41,311.83,9669
2020-08-26,312.1,313.38,311.13,311.7,7165
2020-08-27,313.08,317.64,312.33,312.98,12988
2020-08-28,314.49,314.49,305.99,307.53,13051
2020-08-31,310.61,310.61,304.01,304.13,9611
2020-09-01,306.31,307.54,305.45,306.42,28664
2020-09-02,306.82,306.82,302.16,306.52,24844
2020-09-03,298.01,300.41,286.4,287.94,18103
2020-09-04,290.98,291.16,270.71,273.32,38082
2020-09-08,267.75,276.63,266.28,272.51,28451
2020-09-09,275.82,282.53,275.82,280.99,14085
2020-09-10,281.91,283.43,277.38,278.73,19068
2020-09-11,282.67,282.67,278.12,279.05,6733
2020-09-14,281.21,287.67,281.21,286.71,11318
2020-09-15,291.28,291.28,285.47,286.67,17374
2020-09-16,285.28,285.28,278.91,279.54,10629
2020-09-17,275.15,282.61,273.05,282.61,15238
2020-09-18,284.03,284.03,276.7,279.91,37936
2020-09-21,276.0,279.41,273.67,279.41,21745
2020-09-22,280.89,287.64,280.89,286.13,36503
2020-09-23,285.31,287.84,283.66,285.28,34183
2020-09-24,284.0,291.27,284.0,288.29,18913
2020-09-25,288.85,293.97,285.73,293.05,19530
2020-09-28,298.11,302.75,293.47,302.11,42415
2020-09-29,303.1,306.7,302.0,305.4,24973
2020-09-30,306.36,314.72,306.36,310.79,40522
2020-10-01,314.29,314.29,302.86,305.17,37283
2020-10-02,297.93,304.07,297.93,300.07,70631
2020-10-05,301.3,305.86,298.63,303.84,61791
2020-10-06,303.47,308.06,298.92,304.85,59867
2020-10-07,305.74,310.13,304.71,308.73,66981
2020-10-08,309.39,318.48,309.39,316.67,47895
2020-10-09,322.32,325.16,319.21,322.16,43258
2020-10-12,323.79,328.31,323.03,327.93,35557
2020-10-13,328.4,329.93,324.26,327.28,35158
2020-10-14,328.17,337.47,327.49,334.79,51429
2020-10-15,328.75,337.38,328.75,334.61,41426
2020-10-16,334.85,338.17,331.68,334.26,35565
2020-10-19,334.85,335.87,326.72,328.51,34582
2020-10-20,328.56,334.7,328.21,330.64,31295
2020-10-21,333.06,334.47,329.13,330.87,56603
2020-10-22,338.06,344.64,322.44,325.76,65960
2020-10-23,328.9,337.14,327.98,336.68,36609
2020-10-26,332.15,336.84,331.69,336.84,47269
2020-10-27,340.97,343.79,336.31,341.1,36132
2020-10-28,334.71,340.12,333.35,337.42,37082
2020-10-29,336.31,340.94,334.24,335.0,35889
2020-10-30,330.62,332.26,320.29,325.25,32234
2020-11-02,326.9,334.85,326.74,331.69,24365
2020-11-03,333.29,341.63,333.29,338.85,16851
2020-11-04,343.4,353.97,339.99,350.82,22838
2020-11-05,353.24,363.07,353.24,356.91,22161
2020-11-06,358.72,363.32,355.4,355.76,24079
2020-11-09,348.55,349.8,298.33,299.07,120152
2020-11-10,300.16,316.58,300.16,316.48,41576
2020-11-11,317.71,325.26,312.76,322.01,52155
2020-11-12,325.81,325.98,313.93,316.26,11856
2020-11-13,317.29,320.59,315.45,317.31,17783
2020-11-16,313.68,317.38,310.45,317.38,31904
2020-11-17,320.4,320.56,304.72,305.27,31485
2020-11-18,306.68,307.93,299.43,299.68,32442
2020-11-19,304.74,316.71,304.36,315.32,44278
2020-11-20,312.44,317.56,308.06,316.46,37087
2020-11-23,318.42,319.64,310.47,311.1,42178
2020-11-24,309.2,313.62,303.06,305.48,32635
2020-11-25,307.6,313.48,307.6,309.96,21252
2020-11-27,315.53,320.37,315.53,319.06,32219
2020-11-30,319.56,322.68,314.73,322.68,63805
2020-12-01,324.92,329.1,319.36,328.47,53572
2020-12-02,325.08,325.08,312.8,315.96,44629
2020-12-03,314.56,316.82,305.95,307.34,27334
2020-12-04,304.59,305.19,297.24,301.66,34387
2020-12-07,306.05,311.42,301.96,309.8,55866
2020-12-08,311.46,315.81,307.79,315.81,12350
2020-12-09,314.6,318.11,311.17,311.47,28110
2020-12-10,310.62,311.3,307.74,308.43,30729
2020-12-11,308.86,315.87,308.86,314.05,24283
2020-12-14,315.16,323.42,315.16,322.59,35846
2020-12-15,323.65,328.2,323.65,324.41,14809
2020-12-16,324.75,330.74,324.75,328.6,22253
2020-12-17,328.94,332.34,326.09,331.69,24143
2020-12-18,333.41,340.41,333.07,339.03,21737
2020-12-21,338.45,338.82,329.54,337.02,11493
2020-12-22,337.91,345.0,336.93,344.37,14970
2020-12-23,345.4,345.4,338.12,340.51,11354
2020-12-24,340.61,341.47,336.18,339.36,8400
2020-12-28,339.58,340.4,336.2,337.6,8303
2020-12-29,341.37,341.37,333.71,338.43,14137
2020-12-30,338.37,343.31,338.37,341.91,12947
2020-12-31,342.41,347.24,339.86,346.95,11995
2021-01-04,348.2,350.85,329.98,332.79,20089
2021-01-05,332.18,334.51,330.17,332.49,12243
2021-01-06,327.99,344.86,327.39,344.34,29118
2021-01-07,348.82,362.34,347.01,359.2,26186
2021-01-08,360.95,371.81,360.95,363.86,23193
2021-01-11,363.31,364.01,357.89,358.06,25718
2021-01-12,359.15,360.46,356.29,358.38,17736
2021-01-13,358.73,359.17,347.54,347.82,29168
2021-01-14,348.48,348.48,340.51,341.09,18514
2021-01-15,339.73,339.99,332.42,334.29,18813
2021-01-19,335.32,339.44,331.25,335.41,34855
2021-01-20,336.0,342.66,333.41,340.84,32145
2021-01-21,337.87,345.96,337.87,341.73,19547
2021-01-22,336.44,345.61,336.44,344.41,11018
2021-01-25,347.92,347.92,340.91,342.78,11034
2021-01-26,344.35,344.35,338.39,338.39,14828
2021-01-27,333.78,333.78,325.16,330.0,29081
2021-01-28,328.35,339.47,328.35,337.82,25954
2021-01-29,335.23,338.58,329.27,329.27,14739
2021-02-01,330.76,335.46,330.01,334.84,15477
2021-02-02,335.03,335.89,332.76,332.77,22978
2021-02-03,335.85,335.85,328.45,330.06,25822
2021-02-04,330.31,337.95,330.14,334.12,22216
2021-02-05,334.35,336.63,332.35,334.17,16940
2021-02-08,337.23,337.48,334.18,334.46,26346
2021-02-09,335.18,337.07,333.83,335.27,38269
2021-02-10,336.75,337.54,325.2,326.02,47358
2021-02-11,331.86,334.0,306.1,306.84,61262
2021-02-12,310.7,320.94,310.36,314.47,110872
2021-02-16,319.68,320.27,307.44,310.11,51616
2021-02-17,307.15,312.53,304.46,307.46,38324
2021-02-18,305.46,307.84,305.42,307.36,29101
2021-02-19,308.19,309.11,303.05,303.76,36658
2021-02-22,299.47,300.41,290.02,292.6,60092
2021-02-23,286.07,297.71,285.48,296.66,52359
2021-02-24,296.59,306.76,293.11,306.08,60681
2021-02-25,302.54,305.38,298.54,300.35,31361
2021-02-26,304.19,315.16,304.19,311.8,28761
2021-03-01,313.9,316.77,310.23,310.45,38584
2021-03-02,310.32,310.32,305.68,307.8,36679
2021-03-03,308.66,311.79,306.21,308.21,18476
2021-03-04,307.21,310.35,297.32,301.16,31179
2021-03-05,302.92,307.36,292.18,307.36,30385
2021-03-08,305.48,311.46,304.37,305.56,23756
2021-03-09,311.43,317.12,309.85,313.3,29075
2021-03-10,318.74,321.12,316.7,320.31,30512
2021-03-11,317.83,324.89,317.83,323.85,11435
2021-03-12,320.11,320.82,316.09,318.9,12268
2021-03-15,318.36,324.34,317.71,324.13,24415
2021-03-16,324.65,327.56,319.5,320.74,17032
2021-03-17,320.25,320.35,314.02,316.5,16293
2021-03-18,314.06,317.7,309.9,313.88,20445
2021-03-19,316.34,324.62,315.1,317.41,34196
2021-03-22,315.76,316.12,309.72,313.45,19130
2021-03-23,311.9,319.27,311.45,318.07,31086
2021-03-24,317.65,321.29,313.24,317.12,19175
2021-03-25,315.17,315.17,310.19,312.77,26145
2021-03-26,312.37,318.97,311.15,318.97,57077
2021-03-29,323.21,325.59,316.09,319.79,22162
2021-03-30,316.09,320.5,313.24,318.38,28055
2021-03-31,321.41,325.28,321.41,322.06,11516
2021-04-01,322.13,328.32,322.13,327.92,14247
2021-04-05,330.06,334.85,328.39,332.85,26983
2021-04-06,333.43,336.47,330.09,333.36,35555
2021-04-07,335.0,335.0,330.89,332.24,17420
2021-04-08,334.31,336.27,330.72,336.25,20036
2021-04-09,340.52,345.21,340.49,344.45,13583
2021-04-12,345.71,346.15,343.19,345.95,9053
2021-04-13,347.37,348.4,345.38,345.59,12215
2021-04-14,346.37,346.7,342.11,342.59,6893
2021-04-15,345.43,351.4,345.43,348.93,29480
2021-04-16,351.04,357.94,348.61,356.42,26481
2021-04-19,356.9,359.13,355.64,356.75,12513
2021-04-20,358.8,362.02,357.41,360.24,18078
2021-04-21,359.94,365.31,359.34,359.71,22523
2021-04-22,385.24,396.4,381.92,382.98,78118
2021-04-23,384.18,395.57,384.1,391.07,28203
2021-04-26,386.94,386.96,381.5,385.1,18566
2021-04-27,386.64,396.19,385.89,393.17,25212
2021-04-28,389.97,394.08,385.92,387.09,25169
2021-04-29,390.11,393.81,388.43,393.0,17394
2021-04-30,393.05,394.31,390.93,393.71,14733
2021-05-03,398.13,401.96,396.04,399.99,17819
2021-05-04,396.69,401.95,395.92,401.95,22044
2021-05-05,408.65,412.66,404.47,411.29,24907
2021-05-06,411.2,411.92,399.97,404.86,15938
2021-05-07,407.77,414.84,407.77,414.56,9326
2021-05-10,413.14,419.04,413.14,414.6,11478
2021-05-11,409.64,410.56,404.72,408.64,14338
2021-05-12,406.51,407.68,391.14,391.91,22727
2021-05-13,395.16,407.69,395.16,406.01,15276
2021-05-14,407.43,409.78,405.15,409.1,9326
2021-05-17,408.06,410.98,403.22,407.2,23925
2021-05-18,413.31,413.31,399.37,399.37,23080
2021-05-19,400.48,400.49,393.52,399.64,22124
2021-05-20,397.28,403.12,397.28,401.7,18333
2021-05-21,405.18,408.23,400.38,401.04,12367
2021-05-24,404.68,404.68,401.29,402.54,10051
2021-05-25,402.97,402.97,399.34,401.19,14793
2021-05-26,403.84,403.84,399.99,401.09,14156
2021-05-27,401.82,404.29,399.19,402.95,22450
2021-05-28,404.23,409.66,403.81,407.77,23394
2021-06-01,411.0,412.06,406.85,409.86,17026
2021-06-02,410.6,413.71,409.9,411.73,26221
2021-06-03,409.15,412.53,408.15,409.69,19662
2021-06-04,413.55,414.99,402.77,409.36,12346
2021-06-07,411.17,411.69,403.19,406.82,14871
2021-06-08,407.91,411.34,402.72,411.24,17460
2021-06-09,410.09,411.46,403.91,404.82,15162
2021-06-10,404.65,407.19,399.95,400.61,15637
2021-06-11,399.8,403.34,398.24,402.85,14154
2021-06-14,402.23,402.85,399.25,402.6,17344
2021-06-15,401.21,405.82,398.97,405.28,15466
2021-06-16,406.18,407.46,402.16,404.68,22770
2021-06-17,403.77,409.13,400.05,407.59,22704
2021-06-18,403.8,413.57,402.07,412.87,20421
2021-06-21,413.38,431.52,413.38,423.22,28048
2021-06-22,425.98,432.2,421.34,429.68,20838
2021-06-23,430.98,431.91,424.44,424.77,13656
2021-06-24,427.23,429.13,423.92,428.76,16056
2021-06-25,431.64,431.64,425.03,425.82,16947
2021-06-28,426.19,428.34,425.11,426.32,13265
2021-06-29,428.24,439.13,426.66,434.67,25122
2021-06-30,435.7,436.73,423.14,428.69,24529
2021-07-01,430.12,431.73,427.04,431.73,15827
2021-07-02,433.72,437.13,433.0,436.09,10640
2021-07-06,436.15,436.15,425.61,433.91,12616
2021-07-07,436.08,440.77,435.57,439.08,14603
2021-07-08,433.92,442.16,433.92,437.86,21099
2021-07-09,441.62,444.85,441.0,444.61,21581
2021-07-12,443.95,446.97,441.26,444.53,23588
2021-07-13,440.94,445.01,438.92,439.48,24987
2021-07-14,441.06,441.62,434.97,438.09,15413
2021-07-15,434.78,437.15,427.97,429.17,18055
2021-07-16,430.02,433.93,428.09,428.38,9200
2021-07-19,420.14,426.13,415.56,423.31,29800
2021-07-20,422.02,427.46,421.94,422.17,23688
2021-07-21,423.07,426.9,423.04,426.9,16136
2021-07-22,420.15,425.58,415.25,420.38,50919
2021-07-23,423.74,432.08,419.02,431.36,24595
2021-07-26,434.77,443.97,432.5,436.36,17637
2021-07-27,436.39,441.59,431.76,441.12,27106
2021-07-28,440.83,441.35,434.66,437.3,11459
2021-07-29,441.09,446.67,437.75,446.15,10467
2021-07-30,441.07,452.15,441.07,446.31,18224
2021-08-02,448.43,448.43,441.23,444.99,12212
2021-08-03,448.86,453.17,448.15,448.66,16331
2021-08-04,449.59,456.78,448.81,454.77,15413
2021-08-05,456.67,461.99,452.84,454.98,11397
2021-08-06,453.82,453.82,448.72,448.72,16435
2021-08-09,447.59,454.09,447.59,453.42,10384
2021-08-10,452.1,457.9,451.61,452.26,10370
2021-08-11,454.32,454.32,448.52,452.25,9020
2021-08-12,451.5,455.28,451.25,453.48,12272
2021-08-13,452.9,455.16,451.78,453.79,6886
2021-08-16,451.99,461.98,449.06,461.98,15764
2021-08-17,455.68,457.08,447.62,449.19,39199
2021-08-18,447.17,452.74,444.42,445.73,13595
2021-08-19,445.63,455.13,445.33,452.3,19067
2021-08-20,453.31,460.04,453.06,455.13,18667
2021-08-23,454.22,454.89,444.38,444.46,11445
2021-08-24,444.71,447.03,442.65,446.84,24879
2021-08-25,447.59,455.03,447.59,453.83,8155
2021-08-26,452.62,452.62,445.92,446.69,11068
2021-08-27,445.46,451.02,444.25,450.32,10810
2021-08-30,451.01,461.06,451.01,459.83,9403
2021-08-31,457.16,463.34,457.06,462.58,27299
2021-09-01,460.81,460.81,450.3,460.02,10304
2021-09-02,460.24,466.52,460.24,464.55,15425
2021-09-03,464.1,466.1,457.86,464.99,14762
2021-09-07,458.59,462.12,458.57,459.37,9429
2021-09-08,457.22,468.23,457.22,465.37,15977
2021-09-09,462.81,462.81,454.59,460.21,20171
2021-09-10,462.56,466.34,459.69,461.85,15988
2021-09-13,463.32,463.32,445.98,448.26,22739
2021-09-14,447.95,452.46,441.13,444.33,11188
2021-09-15,442.47,449.68,441.03,446.43,10219
2021-09-16,446.56,446.56,434.45,440.08,12847
2021-09-17,438.96,440.33,432.82,433.75,12295
2021-09-20,427.57,435.01,426.93,433.33,9108
2021-09-21,434.33,435.84,427.61,429.95,20935
2021-09-22,428.67,435.11,425.74,426.61,23758
2021-09-23,427.44,438.56,426.47,436.53,17299
2021-09-24,433.76,436.56,433.47,435.69,9721
2021-09-27,431.46,431.65,418.49,427.08,19070
2021-09-28,420.27,421.8,411.21,415.42,22495
2021-09-29,419.16,420.52,416.36,417.99,8621
2021-09-30,418.91,418.91,405.92,405.96,16032
2021-10-01,408.41,411.76,398.86,409.29,20616
2021-10-04,406.38,408.02,399.79,408.02,14346
2021-10-05,409.41,416.72,409.39,411.98,13476
2021-10-06,412.73,415.47,408.37,412.36,19982
2021-10-07,423.94,426.68,421.91,423.39,10158
2021-10-08,426.28,426.28,416.6,417.77,9043
2021-10-11,420.3,421.05,416.63,416.63,4092
2021-10-12,416.36,419.07,411.37,412.38,7963
2021-10-13,417.26,417.44,411.14,412.46,26208
2021-10-14,413.79,424.0,411.71,423.82,38356
2021-10-15,428.93,430.02,423.47,423.91,9115
2021-10-18,423.22,431.08,423.22,431.04,11013
2021-10-19,430.83,437.0,430.83,434.42,8984
2021-10-20,437.36,438.03,431.42,433.82,14110
2021-10-21,432.43,467.75,432.35,467.65,32412
2021-10-22,467.23,481.72,465.48,470.14,21138
2021-10-25,471.18,483.46,471.18,475.91,18450
2021-10-26,476.25,476.25,467.86,471.06,17182
2021-10-27,474.44,476.06,467.18,467.75,9536
2021-10-28,475.88,478.52,470.68,474.04,9142
