date,open,high,low,close,volume
2020-07-27,97.96,98.99,97.32,97.85,57737
2020-07-28,97.6,98.08,96.16,96.43,35503
2020-07-29,96.96,98.11,96.23,97.93,45670
2020-07-30,96.13,96.4,95.51,96.01,33207
2020-07-31,95.68,95.68,94.02,95.6,20972
2020-08-03,95.61,96.47,95.02,95.28,41271
2020-08-04,95.09,96.17,94.93,95.63,31136
2020-08-05,97.14,99.87,97.06,99.08,110487
2020-08-06,99.03,99.78,98.02,98.89,44597
2020-08-07,98.62,101.39,98.48,101.32,73429
2020-08-10,101.31,103.35,101.31,103.19,35992
2020-08-11,107.55,110.05,106.79,107.8,185275
2020-08-12,109.11,109.13,106.31,108.06,75182
2020-08-13,106.92,107.56,105.83,105.95,34965
2020-08-14,105.34,106.93,105.24,106.18,27791
2020-08-17,106.68,107.13,105.77,106.0,59021
2020-08-18,106.48,106.48,105.55,105.88,31893
2020-08-19,106.07,106.74,105.43,105.83,53747
2020-08-20,104.87,105.72,104.74,105.45,43300
2020-08-21,105.06,105.7,104.67,105.4,16333
2020-08-24,106.19,107.99,106.02,107.99,26855
2020-08-25,108.33,108.48,106.38,106.91,25453
2020-08-26,106.57,107.79,106.45,106.96,20046
2020-08-27,107.73,108.33,107.14,107.73,24410
2020-08-28,107.57,109.05,107.14,108.91,37907
2020-08-31,108.62,108.62,107.16,107.52,30797
2020-09-01,106.86,110.55,106.86,110.55,71877
2020-09-02,110.62,112.59,110.15,112.35,40053
2020-09-03,111.92,112.03,108.18,109.49,47900
2020-09-04,110.61,111.19,108.81,109.31,69250
2020-09-08,108.04,108.74,106.55,107.84,62993
2020-09-09,109.49,112.42,109.49,111.73,67680
2020-09-10,112.47,113.61,112.05,112.19,60028
2020-09-11,112.17,113.73,111.63,113.37,29803
2020-09-14,113.92,116.87,113.92,116.17,76042
2020-09-15,116.6,116.84,114.97,115.91,65771
2020-09-16,115.93,116.82,115.05,115.05,41753
2020-09-17,113.59,115.85,113.59,115.12,45606
2020-09-18,115.06,115.26,111.8,112.13,131966
2020-09-21,110.48,110.48,105.98,107.05,49954
2020-09-22,107.15,108.05,106.46,107.7,55543
2020-09-23,107.28,108.01,105.04,105.44,62282
2020-09-24,105.16,107.08,104.51,106.1,67202
2020-09-25,105.38,107.63,105.31,107.33,43939
2020-09-28,109.69,110.24,108.47,108.53,87255
2020-09-29,108.84,109.38,107.43,107.47,34499
2020-09-30,107.72,110.14,107.72,108.89,66771
2020-10-01,108.88,110.41,108.08,108.57,104667
2020-10-02,107.1,110.45,107.1,109.92,80546
2020-10-05,111.13,112.75,110.9,112.3,78008
2020-10-06,113.06,115.03,110.93,111.02,48766
2020-10-07,112.76,115.64,112.76,115.08,92092
2020-10-08,117.92,121.71,117.09,120.46,230530
2020-10-09,120.86,122.16,119.01,121.16,93568
2020-10-12,121.55,122.19,119.95,121.31,95877
2020-10-13,120.58,121.17,118.71,119.04,82593
2020-10-14,119.42,120.91,119.42,119.94,73026
2020-10-15,118.19,122.43,118.19,121.95,65489
2020-10-16,122.17,123.19,121.44,122.37,76668
2020-10-19,122.91,123.42,119.87,120.07,85491
2020-10-20,121.98,122.78,119.15,120.2,163572
2020-10-21,119.99,122.56,119.47,119.47,75472
2020-10-22,119.67,120.49,118.43,119.24,108101
2020-10-23,120.19,121.01,119.43,119.73,58123
2020-10-26,118.03,118.03,115.54,117.13,64656
2020-10-27,117.12,117.13,113.57,113.62,71889
2020-10-28,111.26,113.54,111.17,111.57,78138
2020-10-29,111.37,115.32,110.59,114.28,90992
2020-10-30,113.79,115.88,113.19,115.81,122257
2020-11-02,117.5,121.14,116.71,120.55,139641
2020-11-03,121.71,122.97,120.07,122.05,156257
2020-11-04,120.57,121.29,117.07,118.37,103146
2020-11-05,120.83,124.48,120.83,123.22,128401
2020-11-06,123.3,124.36,122.22,123.67,99996
2020-11-09,131.66,133.41,125.32,127.11,107846
2020-11-10,127.71,128.83,126.19,127.82,88387
2020-11-11,127.7,128.13,126.49,127.64,59926
2020-11-12,125.95,127.33,123.99,125.23,44510
2020-11-13,126.01,128.21,126.01,127.87,52527
2020-11-16,129.62,130.35,127.93,129.19,74926
2020-11-17,127.09,128.59,125.91,128.29,48613
2020-11-18,128.75,129.68,127.74,127.89,72273
2020-11-19,127.45,128.67,126.23,128.18,37640
2020-11-20,128.06,128.79,126.59,127.97,37468
2020-11-23,128.91,130.26,128.52,129.61,48207
2020-11-24,131.19,132.55,130.64,132.47,72376
2020-11-25,131.33,132.18,130.88,131.36,47551
2020-11-27,131.9,132.33,131.11,132.21,13908
2020-11-30,130.45,131.45,129.23,131.45,63158
2020-12-01,133.27,134.1,132.37,133.52,74189
2020-12-02,132.79,133.52,131.54,131.77,46119
2020-12-03,131.54,132.52,130.02,130.18,50552
2020-12-04,130.96,132.21,130.77,131.56,64865
2020-12-07,131.44,131.48,129.58,129.72,23768
2020-12-08,129.08,130.5,129.08,129.71,47720
2020-12-09,130.03,130.5,128.56,130.14,54987
2020-12-10,129.26,130.08,127.67,128.51,56069
2020-12-11,127.45,128.42,126.66,128.02,86918
2020-12-14,128.63,128.87,126.58,127.01,49614
2020-12-15,128.02,129.46,127.54,129.0,62262
2020-12-16,129.52,130.12,127.43,127.99,36349
2020-12-17,128.84,129.4,127.69,129.24,51226
2020-12-18,129.41,130.56,127.62,130.29,67148
2020-12-21,128.5,131.36,127.44,130.88,43663
2020-12-22,130.72,130.72,128.83,129.48,37205
2020-12-23,129.53,130.71,128.8,128.8,31830
2020-12-24,128.5,130.07,128.21,129.99,15038
2020-12-28,130.65,131.55,128.24,128.24,43302
2020-12-29,128.91,128.91,126.59,127.96,28045
2020-12-30,128.37,129.18,127.96,128.11,62504
2020-12-31,127.3,129.31,127.3,129.18,44048
2021-01-04,129.73,129.79,126.14,126.53,88935
