date,open,high,low,close,volume
2020-07-27,20.16,20.16,19.82,19.93,91786
2020-07-28,19.93,20.56,19.93,20.46,127925
2020-07-29,20.61,20.68,20.19,20.67,94991
2020-07-30,20.37,20.94,20.26,20.92,80059
2020-07-31,20.77,21.03,20.57,21.03,106477
2020-08-03,20.97,21.11,20.8,20.92,48882
2020-08-04,20.87,21.33,20.87,21.2,50078
2020-08-05,21.31,21.33,20.9,21.01,62330
2020-08-06,20.75,20.95,20.73,20.9,155981
2020-08-07,21.03,21.54,21.03,21.4,174281
2020-08-10,21.78,22.9,21.78,22.61,390595
2020-08-11,23.0,23.06,22.28,22.43,210500
2020-08-12,22.4,22.93,22.29,22.76,77693
2020-08-13,22.62,23.03,22.51,22.98,199948
2020-08-14,22.87,23.05,22.8,22.92,46031
2020-08-17,22.86,23.18,22.65,22.72,107461
2020-08-18,22.67,22.67,22.25,22.34,62732
2020-08-19,22.13,22.47,22.03,22.35,54837
2020-08-20,22.28,22.42,22.1,22.1,50932
2020-08-21,22.15,22.32,22.0,22.11,107858
2020-08-24,22.1,22.41,21.94,22.36,77427
2020-08-25,22.4,22.41,21.95,22.04,54032
2020-08-26,21.7,21.98,21.66,21.83,53892
2020-08-27,21.98,22.1,21.73,21.81,60837
2020-08-28,21.88,21.88,21.52,21.87,70755
2020-08-31,21.86,21.98,21.68,21.8,141404
2020-09-01,21.74,21.74,21.48,21.64,47278
2020-09-02,21.63,22.57,21.56,22.47,99346
2020-09-03,22.6,22.73,22.06,22.32,382819
2020-09-04,22.41,22.41,21.81,22.32,90457
2020-09-08,22.37,22.56,21.98,22.26,78835
2020-09-09,22.37,22.92,22.18,22.19,122195
2020-09-10,22.12,22.12,21.76,21.86,176696
2020-09-11,21.97,22.18,21.87,22.06,91515
2020-09-14,22.2,22.5,22.15,22.37,75250
2020-09-15,22.52,22.65,22.09,22.22,120258
2020-09-16,22.16,22.63,22.16,22.42,89557
2020-09-17,22.09,22.42,21.91,22.02,74143
2020-09-18,21.97,21.99,21.36,21.46,209779
2020-09-21,21.18,21.3,20.79,21.0,97136
2020-09-22,21.0,21.16,20.87,21.03,108096
2020-09-23,21.0,21.15,20.74,20.74,48626
2020-09-24,20.51,20.96,20.41,20.87,48795
2020-09-25,20.73,21.29,20.73,21.2,82833
2020-09-28,21.42,21.58,21.28,21.36,93108
2020-09-29,21.44,21.91,21.41,21.54,89558
2020-09-30,21.7,21.97,21.63,21.79,133245
2020-10-01,21.88,22.15,21.81,22.06,220414
2020-10-02,21.8,22.76,21.72,22.59,209727
2020-10-05,22.67,22.9,22.56,22.76,137669
