date,open,high,low,close,volume
2020-07-27,47.54,47.77,46.74,47.61,124849
2020-07-28,47.68,48.07,47.19,47.51,50110
2020-07-29,47.53,48.74,47.28,48.46,50093
2020-07-30,47.16,47.33,45.84,47.18,72507
2020-07-31,46.95,47.18,46.18,46.96,60457
2020-08-03,47.03,48.15,46.99,47.75,59892
2020-08-04,47.38,47.83,46.82,46.92,84932
2020-08-05,48.1,49.89,48.09,49.84,82199
2020-08-06,49.26,49.26,47.72,47.9,72151
2020-08-07,47.69,50.37,47.56,50.36,73424
2020-08-10,50.53,51.69,50.49,51.52,57563
2020-08-11,52.99,53.72,52.34,52.41,48639
2020-08-12,53.74,53.74,50.95,51.85,51100
2020-08-13,51.15,51.94,51.15,51.54,48524
2020-08-14,51.3,52.63,51.25,52.31,29935
2020-08-17,52.27,52.3,51.29,51.51,66352
2020-08-18,51.68,51.97,50.78,50.84,45028
2020-08-19,50.66,51.7,50.66,51.21,72588
2020-08-20,50.54,50.9,50.36,50.53,23656
2020-08-21,50.54,50.75,49.82,50.02,40643
2020-08-24,50.55,52.05,50.38,52.01,34826
2020-08-25,52.67,52.96,51.71,52.04,38372
2020-08-26,51.86,52.11,51.4,51.5,18551
2020-08-27,51.63,52.72,51.63,52.3,14188
2020-08-28,52.73,52.83,51.94,52.48,29197
2020-08-31,52.28,52.28,50.89,51.14,32104
2020-09-01,50.65,51.79,50.47,51.22,37887
2020-09-02,51.12,52.19,51.09,52.03,59756
2020-09-03,52.34,53.61,50.88,51.18,68209
2020-09-04,52.45,52.97,51.23,52.5,31215
2020-09-08,52.09,52.09,50.7,51.1,50858
2020-09-09,51.68,51.96,51.03,51.44,38207
2020-09-10,51.74,52.37,50.64,50.64,64159
2020-09-11,50.74,51.56,50.46,51.34,47155
2020-09-14,51.76,52.91,51.59,52.6,29498
2020-09-15,52.6,52.68,51.5,51.55,63765
2020-09-16,51.57,53.22,51.57,52.18,109906
2020-09-17,51.27,52.49,50.83,51.67,124360
2020-09-18,51.63,52.03,51.31,51.36,82443
2020-09-21,50.16,50.39,48.2,48.78,94785
2020-09-22,48.62,49.36,47.23,47.96,175484
2020-09-23,48.45,48.87,46.68,46.68,67514
2020-09-24,46.66,47.16,45.34,46.26,55639
2020-09-25,45.91,46.9,45.91,46.8,78885
2020-09-28,47.86,48.88,47.72,48.23,39290
2020-09-29,48.16,48.31,47.06,47.54,34820
2020-09-30,47.93,48.3,47.33,47.92,65252
2020-10-01,48.13,48.71,47.34,47.89,149832
2020-10-02,46.96,48.44,46.83,48.13,96445
2020-10-05,48.86,49.88,48.86,49.55,80891
2020-10-06,49.91,51.27,49.07,49.28,156360
2020-10-07,50.02,51.23,50.02,51.11,103677
2020-10-08,51.47,51.99,51.1,51.41,67156
2020-10-09,51.89,51.9,50.57,51.16,50532
2020-10-12,51.32,52.27,51.15,52.11,52365
2020-10-13,51.28,51.5,49.92,50.04,98084
2020-10-14,50.07,50.74,49.95,49.95,65942
2020-10-15,49.32,50.23,48.88,50.13,123085
2020-10-16,50.33,50.72,49.73,49.94,67123
2020-10-19,50.25,50.66,49.39,49.46,43989
2020-10-20,50.16,50.69,49.82,49.88,47161
2020-10-21,49.9,50.3,49.6,49.89,67124
2020-10-22,49.66,51.35,49.48,51.17,58235
2020-10-23,51.77,52.01,51.31,51.79,80085
2020-10-26,51.02,51.02,49.31,50.04,71532
2020-10-27,49.7,49.7,47.82,47.82,80378
2020-10-28,46.82,47.53,46.14,46.41,117715
2020-10-29,46.08,47.88,45.56,47.53,77070
2020-10-30,47.27,48.28,46.85,48.28,152085
2020-11-02,49.06,49.96,48.37,49.73,155327
2020-11-03,50.64,51.83,50.64,51.14,178149
2020-11-04,50.14,51.3,47.55,47.55,255573
2020-11-05,48.04,50.1,47.99,49.26,163760
2020-11-06,49.56,49.91,47.52,47.89,122485
2020-11-09,52.19,56.23,52.16,55.32,324961
2020-11-10,55.56,57.37,55.52,56.83,243916
2020-11-11,57.02,57.02,54.32,55.05,160257
2020-11-12,53.98,54.35,52.7,53.47,212855
2020-11-13,54.06,55.4,54.06,55.16,134179
2020-11-16,57.07,57.21,56.14,56.94,99541
2020-11-17,56.36,57.13,55.67,56.84,71769
2020-11-18,57.04,58.44,56.91,57.13,130177
2020-11-19,56.33,57.36,55.57,57.1,74861
2020-11-20,56.97,57.38,56.3,57.0,100915
2020-11-23,57.68,59.04,57.53,58.82,100335
2020-11-24,59.94,61.18,59.46,61.07,131923
2020-11-25,60.09,60.24,59.63,60.19,67225
2020-11-27,60.19,60.26,59.43,59.64,27669
2020-11-30,59.09,59.52,57.61,57.88,118864
2020-12-01,59.2,59.64,58.8,58.96,73153
2020-12-02,58.6,60.33,58.55,60.13,88055
2020-12-03,60.0,60.88,59.87,60.26,102149
