date,open,high,low,close,volume
2020-07-27,144.63,146.4,144.09,145.49,13133
2020-07-28,146.19,151.96,146.19,151.96,36526
2020-07-29,152.47,154.82,151.12,154.37,58089
2020-07-30,152.86,155.49,152.35,154.9,44679
2020-07-31,153.0,156.82,152.01,156.74,84757
2020-08-03,153.71,155.32,153.36,153.61,41676
2020-08-04,153.99,158.31,153.85,157.93,60312
2020-08-05,158.2,158.24,153.62,154.4,47839
2020-08-06,149.67,154.03,146.05,153.84,67523
2020-08-07,155.01,158.3,155.01,156.18,27985
2020-08-10,157.61,159.82,157.03,158.78,13299
2020-08-11,159.96,159.96,155.15,156.05,25497
2020-08-12,156.13,156.13,153.16,155.51,19030
2020-08-13,155.65,156.27,154.06,154.8,19588
2020-08-14,155.74,159.03,155.74,157.22,29118
2020-08-17,156.64,156.89,155.21,156.89,6590
2020-08-18,156.82,158.58,155.68,157.52,27227
2020-08-19,156.59,156.71,154.31,154.68,21007
2020-08-20,156.48,159.43,155.78,159.43,12012
2020-08-21,160.38,162.07,159.24,161.98,15808
2020-08-24,160.88,161.93,159.59,161.93,18702
2020-08-25,161.85,161.95,160.44,161.91,16401
2020-08-26,160.48,163.54,160.48,163.52,12350
2020-08-27,164.9,166.38,164.73,165.71,13393
2020-08-28,164.85,167.5,164.12,167.38,18451
2020-08-31,166.87,167.86,165.94,166.9,9423
2020-09-01,164.53,167.48,163.4,167.37,25923
2020-09-02,165.91,168.05,165.08,167.98,41493
2020-09-03,169.61,170.77,166.19,167.04,36489
2020-09-04,167.36,169.25,164.49,166.38,15374
2020-09-08,164.89,168.64,164.49,167.76,25338
2020-09-09,170.59,173.95,169.86,170.04,27202
2020-09-10,169.39,172.06,167.98,171.16,28568
2020-09-11,171.82,174.32,171.27,173.0,25420
2020-09-14,173.73,178.38,173.73,177.94,12671
2020-09-15,178.0,179.21,174.85,174.93,19348
2020-09-16,176.0,178.88,175.99,177.73,14041
2020-09-17,176.8,178.73,174.66,175.88,14573
2020-09-18,174.94,175.61,173.53,174.92,16035
2020-09-21,173.0,174.65,169.91,171.0,19691
2020-09-22,172.96,174.16,171.78,173.62,18001
2020-09-23,171.8,172.83,168.29,168.52,12457
2020-09-24,169.05,172.16,169.05,169.72,20097
2020-09-25,168.83,172.97,168.83,172.97,22134
2020-09-28,175.79,176.42,174.15,174.89,13779
2020-09-29,174.45,175.98,173.0,174.88,18831
2020-09-30,174.59,176.8,174.02,176.2,21776
2020-10-01,176.71,179.05,175.74,179.05,51522
2020-10-02,177.13,183.39,177.12,182.63,41803
2020-10-05,181.38,184.08,179.33,183.69,33377
2020-10-06,181.25,182.37,179.45,180.66,63360
2020-10-07,181.53,183.12,181.02,182.21,36387
2020-10-08,182.44,184.32,182.43,183.34,20695
2020-10-09,183.88,185.39,182.76,185.24,21573
2020-10-12,185.08,186.86,184.34,185.96,38280
2020-10-13,185.8,186.86,183.79,186.3,28727
2020-10-14,185.06,187.18,184.16,184.79,25009
2020-10-15,184.38,187.73,184.38,185.55,36076
2020-10-16,184.9,186.28,183.74,184.41,60863
2020-10-19,184.41,185.27,182.91,182.91,33656
2020-10-20,183.39,185.99,183.39,184.62,20934
2020-10-21,185.01,186.02,183.88,184.57,32436
2020-10-22,184.14,186.54,183.56,186.21,18790
2020-10-23,186.84,187.27,185.16,186.55,33245
2020-10-26,185.11,187.38,184.8,187.01,21704
2020-10-27,187.85,189.46,185.76,185.76,33589
2020-10-28,184.75,185.09,181.37,182.89,15235
2020-10-29,182.97,185.21,182.76,182.82,32102
2020-10-30,181.95,183.69,180.01,181.17,35187
2020-11-02,182.62,185.67,182.19,184.19,33336
2020-11-03,184.49,186.86,183.84,186.42,34948
2020-11-04,186.84,190.44,186.15,186.15,31374
2020-11-05,185.09,186.89,181.21,182.63,84934
2020-11-06,183.95,187.9,181.87,182.9,66469
2020-11-09,189.16,190.01,174.89,175.51,50147
2020-11-10,176.4,185.26,175.53,184.93,73898
2020-11-11,184.41,187.44,184.12,186.67,32579
2020-11-12,184.65,186.26,181.13,183.37,16397
2020-11-13,184.87,185.7,183.28,185.14,28288
2020-11-16,185.76,185.83,181.34,184.87,16691
2020-11-17,184.01,186.93,184.01,185.82,18263
2020-11-18,185.36,187.19,181.94,181.94,50639
2020-11-19,181.5,182.36,180.01,181.11,23614
2020-11-20,180.81,180.95,176.64,176.92,44135
2020-11-23,178.64,179.18,172.81,173.31,32616
2020-11-24,173.52,176.21,172.08,175.63,30353
2020-11-25,176.33,177.71,175.76,176.83,15791
2020-11-27,175.59,175.76,173.75,174.11,10734
2020-11-30,174.37,178.49,174.12,177.52,26302
2020-12-01,178.42,178.77,176.18,178.65,13850
2020-12-02,178.09,180.66,176.97,177.44,14463
2020-12-03,178.37,179.35,177.71,178.94,12728
2020-12-04,179.25,179.82,176.58,177.64,24280
2020-12-07,178.52,178.96,177.54,177.91,30283
2020-12-08,177.61,177.94,175.51,175.61,32516
2020-12-09,176.1,176.1,172.31,173.98,57608
2020-12-10,174.53,174.9,171.21,171.44,61879
2020-12-11,172.23,174.77,172.23,174.13,220870
2020-12-14,180.99,182.9,177.67,178.91,186218
2020-12-15,179.28,179.64,175.64,179.64,240060
2020-12-16,180.44,181.98,179.18,180.47,27672
2020-12-17,182.35,186.23,181.51,185.87,52658
2020-12-18,185.43,185.6,181.91,183.17,26994
2020-12-21,182.36,183.72,180.88,182.84,25619
2020-12-22,183.07,185.57,182.74,185.57,29601
2020-12-23,185.24,185.81,181.16,181.42,28896
2020-12-24,182.1,182.78,181.98,182.65,7144
2020-12-28,183.61,183.74,181.53,182.86,18701
2020-12-29,183.92,184.67,180.86,181.83,32414
2020-12-30,182.74,184.4,182.15,182.76,23589
2020-12-31,181.39,184.44,180.91,184.32,19110
2021-01-04,184.6,184.6,175.7,175.74,68075
2021-01-05,175.44,176.9,172.64,173.52,53237
2021-01-06,172.92,174.03,169.52,170.77,144781
2021-01-07,171.52,174.47,170.52,173.78,68462
2021-01-08,175.44,178.39,175.12,177.86,36477
2021-01-11,177.87,177.87,174.23,176.74,43552
2021-01-12,175.22,177.96,175.22,177.55,37608
2021-01-13,178.1,180.07,178.1,179.55,66835
2021-01-14,178.49,179.07,176.43,176.8,58914
2021-01-15,176.66,179.97,176.55,179.16,48381
2021-01-19,179.3,179.3,175.08,176.16,37000
2021-01-20,175.82,180.31,175.7,179.76,46433
2021-01-21,178.56,179.58,176.91,177.24,41428
2021-01-22,178.08,178.62,177.12,178.02,48459
2021-01-25,177.94,180.84,177.33,180.2,40074
2021-01-26,180.36,182.58,180.36,181.55,38614
