date,open,high,low,close,volume
2025-08-07,11.56,11.96,10.45,11.66,2206034
2025-08-08,11.32,11.72,10.26,10.41,2763271
2025-08-11,10.22,10.53,9.84,10.0,2483162
2025-08-12,10.11,11.15,10.02,10.86,1374908
2025-08-13,11.07,17.33,11.04,14.83,4713779
2025-08-14,14.69,14.69,13.52,14.2,1241944
2025-08-15,14.21,14.42,13.51,13.51,874854
2025-08-18,13.46,13.73,13.08,13.32,526957
2025-08-19,13.27,13.34,12.81,13.33,657287
2025-08-20,13.4,13.87,13.18,13.81,482171
2025-08-21,13.82,16.11,13.82,15.85,1678012
2025-08-22,15.36,16.45,15.13,15.82,506819
2025-08-25,15.74,16.2,15.6,15.78,295583
2025-08-26,15.61,15.72,14.97,15.64,306640
2025-08-27,15.49,15.49,14.46,14.65,386243
2025-08-28,14.63,14.83,14.25,14.51,229306
2025-08-29,14.49,14.6,14.22,14.52,147352
2025-09-02,14.38,14.49,14.04,14.28,201381
2025-09-03,14.28,15.13,14.22,14.9,247319
2025-09-04,14.53,14.67,14.25,14.57,167893
2025-09-05,14.52,14.99,14.33,14.82,335748
2025-09-08,14.9,15.05,14.58,15.02,270783
2025-09-09,14.83,15.29,14.59,15.03,303073
2025-09-10,15.18,15.61,14.66,14.94,196212
2025-09-11,14.85,17.38,13.83,17.29,1403358
2025-09-12,17.3,18.65,16.7,18.57,1090277
2025-09-15,18.69,18.85,18.09,18.39,264398
2025-09-16,18.23,18.4,17.3,17.35,391799
2025-09-17,17.43,18.14,17.43,17.76,172318
2025-09-18,17.83,17.97,17.51,17.74,175784
2025-09-19,17.79,19.05,17.55,18.73,488699
2025-09-22,18.71,19.12,18.32,18.41,217758
2025-09-23,18.45,20.67,18.13,19.55,722169
2025-09-24,19.41,19.86,18.85,18.93,240004
2025-09-25,18.64,19.17,18.58,18.75,222338
2025-09-26,18.66,18.97,18.52,18.75,213645
2025-09-29,18.93,19.51,18.17,19.33,260559
2025-09-30,19.27,19.9,18.71,18.74,286114
2025-10-01,18.68,18.95,18.45,18.72,214789
2025-10-02,18.78,18.95,18.44,18.46,131211
2025-10-03,18.53,19.28,18.53,18.93,165475
2025-10-06,18.99,19.03,18.52,18.95,109153
2025-10-07,18.9,19.05,18.08,18.31,424520
2025-10-08,18.24,18.7,17.99,18.35,224690
2025-10-09,18.28,18.28,17.74,17.8,179957
2025-10-10,17.9,17.92,16.75,16.85,173153
2025-10-13,17.08,17.38,16.89,16.94,136439
2025-10-14,16.78,17.28,16.49,17.14,113587
2025-10-15,17.25,17.51,16.94,17.29,131085
2025-10-16,17.17,17.21,16.61,16.74,215686
2025-10-17,16.67,16.84,16.36,16.64,173901
2025-10-20,16.71,16.92,16.5,16.83,114225
2025-10-21,16.87,16.88,16.3,16.37,252914
2025-10-22,16.32,16.57,16.14,16.43,182562
2025-10-23,16.5,16.71,16.31,16.32,166423
2025-10-24,16.45,16.74,16.45,16.56,136289
2025-10-27,16.7,16.78,16.22,16.41,213197
2025-10-28,16.25,16.32,15.97,16.06,211776
2025-10-29,16.07,16.12,15.68,15.74,283602
2025-10-30,15.52,15.67,15.24,15.32,312879
2025-10-31,15.28,15.5,15.16,15.24,255744
2025-11-03,15.22,15.33,14.75,15.29,380836
2025-11-04,15.06,15.3,14.66,14.69,314895
2025-11-05,14.74,15.19,14.7,14.96,301346
2025-11-06,15.01,15.25,14.6,14.68,459466
2025-11-07,14.59,15.14,14.59,14.99,504632
2025-11-10,14.99,15.18,14.84,15.14,573558
2025-11-11,15.99,17.0,15.93,16.61,708423
2025-11-12,16.43,16.43,15.14,15.45,950423
2025-11-13,15.28,15.64,15.15,15.22,390344
2025-11-14,15.13,15.62,14.92,15.56,442823
2025-11-17,15.59,15.78,15.46,15.6,440959
2025-11-18,15.5,16.16,15.12,15.96,724077
2025-11-19,15.88,16.0,15.32,15.34,629791
2025-11-20,15.44,16.13,15.44,15.53,598761
2025-11-21,15.57,15.89,15.32,15.75,321351
2025-11-24,15.74,15.74,14.87,14.92,398269
2025-11-25,15.07,15.53,15.05,15.51,260386
2025-11-26,15.53,15.71,15.31,15.66,354270
2025-11-28,15.69,15.88,15.37,15.86,151859
2025-12-01,15.63,15.75,15.36,15.57,340681
2025-12-02,15.52,15.9,15.36,15.69,352777
2025-12-03,15.68,15.68,14.51,14.54,412401
2025-12-04,14.47,14.77,14.14,14.7,321509
2025-12-05,14.18,14.18,13.09,13.25,1096848
2025-12-08,13.95,14.62,13.41,14.44,1625012
2025-12-09,14.12,14.67,13.85,14.5,394095
2025-12-10,14.53,15.15,14.45,14.58,695863
2025-12-11,14.73,14.88,13.92,13.99,599990
2025-12-12,13.99,14.1,13.59,13.61,367065
2025-12-15,13.66,13.87,13.35,13.86,264135
2025-12-16,13.71,13.86,13.4,13.71,452001
2025-12-17,13.4,13.4,12.95,12.98,567310
2025-12-18,13.07,13.17,12.88,12.94,352355
2025-12-19,12.89,13.06,12.81,12.97,454228
2025-12-22,13.41,14.03,13.4,13.54,434802
2025-12-23,13.45,13.56,13.37,13.46,211299
2025-12-24,13.39,13.67,13.3,13.65,144282
2025-12-26,13.6,13.61,13.4,13.52,130578
2025-12-29,13.41,13.49,13.35,13.44,222056
2025-12-30,13.36,13.6,13.36,13.44,128164
2025-12-31,13.37,13.44,13.28,13.32,168308
2026-01-02,13.3,13.34,13.07,13.1,249276
