date,open,high,low,close,volume
2018-01-02,73.24,73.24,73.24,73.24,100
2020-07-27,50.73,51.11,50.05,50.79,95620
2020-07-28,50.56,51.08,49.86,49.98,161562
2020-07-29,50.22,51.55,50.22,51.55,73487
2020-07-30,50.44,50.44,48.21,49.59,149622
2020-07-31,48.39,49.61,47.7,48.87,188675
2020-08-03,48.2,48.55,47.21,48.05,135323
2020-08-04,47.73,48.96,47.31,48.6,150019
2020-08-05,49.54,49.54,47.62,48.71,163639
2020-08-06,48.2,49.47,47.72,47.93,90124
2020-08-07,47.53,49.53,47.33,49.46,83391
2020-08-10,49.93,51.01,49.48,51.01,108375
2020-08-11,52.11,53.03,50.13,50.41,137737
2020-08-12,51.08,51.42,50.17,50.65,105070
2020-08-13,49.91,50.55,49.24,49.24,64255
2020-08-14,49.37,50.13,49.26,50.06,83034
2020-08-17,50.05,50.29,49.6,49.74,82563
2020-08-18,49.56,49.82,48.73,48.91,146536
2020-08-19,48.99,49.48,48.17,48.98,166748
2020-08-20,48.53,49.11,48.39,48.68,48168
2020-08-21,48.66,49.26,48.33,48.63,60394
2020-08-24,49.11,50.78,48.47,50.72,76430
2020-08-25,50.9,50.9,48.99,49.16,58254
2020-08-26,49.0,49.18,47.88,47.88,126054
2020-08-27,48.02,48.19,47.12,48.08,91905
2020-08-28,48.16,49.5,48.16,49.29,80224
2020-08-31,48.84,48.84,46.63,46.63,62470
2020-09-01,46.5,47.37,46.16,46.91,76241
2020-09-02,46.62,48.15,46.12,47.91,146296
2020-09-03,48.12,49.16,47.24,47.54,56014
2020-09-04,47.97,48.31,46.76,47.04,118502
2020-09-08,46.48,47.5,46.16,46.26,97930
2020-09-09,46.0,46.72,45.76,46.19,77794
2020-09-10,46.29,46.41,44.14,44.14,89128
2020-09-11,44.33,45.77,43.93,45.48,59988
2020-09-14,45.84,46.97,45.84,46.59,58156
2020-09-15,47.07,47.43,46.05,46.32,56060
2020-09-16,46.82,49.23,46.49,48.24,159444
2020-09-17,46.99,48.17,46.88,48.17,113417
2020-09-18,47.44,48.39,47.04,47.72,110970
2020-09-21,46.12,46.43,44.33,44.59,192561
2020-09-22,44.89,45.28,43.77,44.14,94595
2020-09-23,44.24,44.42,41.93,41.98,136707
2020-09-24,41.23,42.88,40.83,42.17,74852
2020-09-25,41.41,42.49,41.3,42.2,145576
2020-09-28,43.04,43.57,42.67,43.01,55485
2020-09-29,42.79,42.89,41.3,41.62,51009
2020-09-30,41.78,42.2,41.15,41.39,85497
2020-10-01,40.86,41.1,39.69,40.13,219712
2020-10-02,39.04,41.26,39.04,40.71,138481
2020-10-05,41.33,42.36,41.33,41.9,132687
2020-10-06,42.53,42.59,40.62,40.69,162064
2020-10-07,41.03,41.58,40.4,41.39,100271
2020-10-08,41.62,42.78,41.55,42.77,104462
2020-10-09,43.12,43.46,41.93,42.29,129525
2020-10-12,41.95,43.35,41.48,42.65,107773
2020-10-13,42.27,42.64,40.77,40.92,153091
2020-10-14,41.3,42.5,41.3,41.48,80687
2020-10-15,40.8,42.06,40.24,41.93,110996
2020-10-16,41.87,41.87,40.26,40.36,98636
2020-10-19,40.6,40.6,39.01,39.02,182261
2020-10-20,39.31,39.91,39.15,39.55,180937
2020-10-21,39.02,39.69,38.83,38.9,273320
2020-10-22,38.86,40.03,37.93,39.89,132376
2020-10-23,40.21,41.02,39.45,40.28,168879
2020-10-26,39.46,39.46,38.22,38.39,188179
2020-10-27,38.32,38.57,37.51,37.56,199436
2020-10-28,36.58,36.97,35.2,35.2,244676
2020-10-29,34.77,36.83,34.55,36.69,186372
2020-10-30,36.19,37.26,35.86,37.25,247968
2020-11-02,37.78,38.63,37.13,38.27,225951
2020-11-03,38.75,39.1,37.37,37.94,187684
2020-11-04,37.95,39.26,37.39,38.21,282923
2020-11-05,37.88,39.0,37.83,38.43,137815
2020-11-06,38.36,38.97,36.85,37.21,164375
2020-11-09,41.97,46.4,41.72,45.44,390423
2020-11-10,46.75,46.87,44.45,46.37,257716
2020-11-11,46.77,47.0,46.02,46.96,216520
2020-11-12,46.05,46.67,43.55,43.73,211284
2020-11-13,44.3,47.45,44.3,46.9,238003
2020-11-16,49.55,51.12,47.92,50.74,233541
2020-11-17,49.66,52.19,48.82,52.11,196636
2020-11-18,52.49,52.51,49.21,49.21,199200
2020-11-19,48.56,50.04,48.31,49.8,137993
2020-11-20,49.42,50.52,49.42,49.87,127079
2020-11-23,50.83,53.38,50.8,53.34,163564
2020-11-24,55.24,55.65,54.03,54.72,155267
2020-11-25,54.21,54.42,53.34,53.64,224594
2020-11-27,53.05,53.55,52.42,52.87,68232
2020-11-30,52.05,52.24,48.84,49.06,266841
2020-12-01,50.82,51.98,49.84,50.1,155590
2020-12-02,49.73,52.86,49.55,52.16,163351
2020-12-03,52.4,54.18,51.9,52.71,136986
2020-12-04,54.03,56.62,54.03,56.15,209826
2020-12-07,54.96,55.72,53.82,54.31,155782
2020-12-08,53.59,55.88,53.59,54.63,124038
2020-12-09,55.54,56.74,54.46,55.75,88909
2020-12-10,55.48,58.06,55.48,57.41,108337
2020-12-11,56.83,56.85,55.55,56.32,124516
2020-12-14,56.7,56.99,54.17,54.49,73715
2020-12-15,54.39,55.6,53.68,55.27,65613
2020-12-16,55.48,55.48,54.24,54.51,148457
2020-12-17,54.68,54.82,53.81,54.41,80541
2020-12-18,54.15,54.63,53.54,54.18,117711
2020-12-21,52.06,54.48,51.72,53.82,144606
2020-12-22,53.86,55.2,53.63,54.69,138040
2020-12-23,55.09,56.66,55.09,56.17,103723
2020-12-24,55.99,56.11,55.17,55.69,31840
2020-12-28,56.16,57.4,55.94,56.21,89065
2020-12-29,56.29,56.29,54.92,55.34,107152
2020-12-30,55.54,57.42,55.47,57.21,83266
2020-12-31,57.03,57.26,56.55,56.65,71390
2021-01-04,57.37,57.65,55.64,56.61,67667
2021-01-05,56.88,59.75,56.88,58.11,94585
2021-01-06,58.97,59.21,56.98,57.7,221128
2021-01-07,57.81,59.35,57.36,58.24,76239
2021-01-08,58.74,58.78,56.99,57.25,163433
2021-01-11,55.89,58.96,55.7,58.54,172983
2021-01-12,58.99,59.99,58.03,59.74,79199
2021-01-13,59.65,59.68,57.94,58.17,106593
2021-01-14,58.41,60.68,58.41,59.99,109994
2021-01-15,59.11,59.5,57.49,58.07,91138
2021-01-19,58.78,60.84,58.5,60.52,85569
2021-01-20,61.03,61.48,59.89,61.08,75158
2021-01-21,60.59,61.06,58.86,59.23,156929
2021-01-22,58.07,59.12,57.77,58.88,135789
2021-01-25,58.19,59.28,57.58,58.41,107535
2021-01-26,59.15,59.89,57.73,57.8,74821
2021-01-27,57.05,59.25,56.5,57.62,191246
2021-01-28,58.14,58.63,57.18,57.93,171752
2021-01-29,56.32,57.81,54.59,54.83,244446
2021-02-01,55.39,55.44,52.99,54.58,112714
2021-02-02,56.06,56.79,54.81,55.64,103190
2021-02-03,55.75,57.79,55.75,57.77,98167
2021-02-04,58.04,58.75,57.32,58.29,138677
2021-02-05,59.14,59.53,57.81,58.37,106821
2021-02-08,58.8,61.65,58.8,61.43,89324
2021-02-09,60.99,61.15,59.98,60.32,105156
2021-02-10,60.49,62.18,60.37,62.16,123344
2021-02-11,61.96,62.58,60.65,62.57,129634
2021-02-12,62.28,63.0,61.77,62.57,85965
2021-02-16,63.91,65.25,63.31,64.36,99707
2021-02-17,64.95,65.52,63.38,65.27,81250
2021-02-18,64.7,65.27,63.93,64.83,72426
2021-02-19,65.25,67.94,65.14,67.46,195274
2021-02-22,66.72,69.92,66.65,68.76,143065
2021-02-23,69.83,70.42,67.52,70.03,95187
2021-02-24,70.28,72.03,70.28,71.43,134607
2021-02-25,72.03,72.03,69.03,69.48,129975
2021-02-26,68.75,68.91,65.74,68.14,118740
