date,open,high,low,close,volume
2019-02-05,89.47,89.47,89.47,89.47,700
2020-07-27,82.475,83.43,82.475,83.07,22521
2020-07-28,83.745,83.745,82.09,82.19,43749
2020-07-29,83.62,84.5,83.545,83.825,20416
2020-07-30,85.35,86.705,82.125,85.53,49405
2020-07-31,86.8,86.8,83.845,85.52,55538
2020-08-03,86.135,86.98,85.815,86.3,28220
2020-08-04,86.65,86.895,85.41,86.61,23719
2020-08-05,87.92,88.8,87.48,87.93,28470
2020-08-06,88.2,88.71,87.34,88.59,24773
2020-08-07,88.05,88.56,86.12,86.93,20599
2020-08-10,86.62,86.62,85.03,85.94,15750
2020-08-11,86.15,86.68,84.71,84.79,29114
2020-08-12,85.6,86.8,85.34,85.99,26374
2020-08-13,86.05,88.92,86.05,88.07,40517
2020-08-14,87.62,87.92,87.085,87.49,13003
2020-08-17,87.99,88.82,87.99,88.21,19121
2020-08-18,88.95,90.53,88.95,89.91,43401
2020-08-19,89.87,90.36,88.53,88.54,26191
2020-08-20,87.82,88.425,87.79,88.05,13907
2020-08-21,86.955,87.67,86.955,87.37,13366
2020-08-24,87.7,87.91,86.465,87.24,14248
2020-08-25,87.055,88.17,87.055,88.15,26529
2020-08-26,89.54,90.47,87.835,89.82,23050
2020-08-27,89.36,89.84,88.32,89.41,18564
2020-08-28,90.03,91.22,90.03,91.2,14840
2020-08-31,91.05,91.68,90.62,91.43,19208
2020-09-01,91.67,95.54,91.67,95.52,42672
2020-09-02,95.26,97.66,94.96,97.55,57536
2020-09-03,96.19,96.3,92.0,92.53,64655
2020-09-04,91.52,91.71,86.915,87.73,34553
2020-09-08,84.68,88.51,84.36,86.69,36385
2020-09-09,87.7,89.29,87.35,88.61,16663
2020-09-10,88.765,91.235,83.655,83.71,65508
2020-09-11,83.95,83.95,81.005,82.25,61022
2020-09-14,83.225,85.73,83.0,85.33,33725
2020-09-15,86.315,88.47,86.315,88.32,37505
2020-09-16,89.17,89.6,87.7,87.83,37963
2020-09-17,85.32,86.6,85.14,86.475,68057
2020-09-18,86.33,87.935,84.59,86.25,71051
2020-09-21,84.3,85.32,83.0,85.29,80734
2020-09-22,85.315,85.99,84.79,85.85,99300
2020-09-23,85.005,85.64,81.54,81.65,54704
2020-09-24,81.43,81.59,79.775,80.29,110769
2020-09-25,80.28,82.275,79.55,81.74,177649
2020-09-28,83.11,83.21,82.33,82.84,84588
2020-09-29,83.885,84.425,82.34,82.41,18909
2020-09-30,82.17,83.39,81.79,82.73,67828
2020-10-01,83.51,84.49,83.28,84.08,67904
2020-10-02,82.56,83.31,81.24,82.2,32782
2020-10-05,82.94,83.645,82.09,82.71,62102
2020-10-06,82.72,84.405,81.04,81.245,67543
2020-10-07,83.0,83.325,81.14,83.31,62148
2020-10-08,84.255,85.2,83.15,84.02,32742
2020-10-09,85.01,86.52,84.64,85.95,26931
2020-10-12,86.85,87.77,86.06,87.5,24616
2020-10-13,87.75,89.32,87.22,87.45,72454
2020-10-14,88.5,88.5,85.67,85.77,80549
2020-10-15,84.21,87.86,84.21,87.8,81740
2020-10-16,88.22,88.865,87.55,87.55,73428
2020-10-19,88.385,88.99,85.98,86.49,67911
2020-10-20,87.08,87.845,86.52,87.29,79514
2020-10-21,87.19,88.195,86.78,87.1,32953
2020-10-22,87.43,87.68,85.865,86.82,35707
2020-10-23,87.32,89.37,86.645,89.23,81010
2020-10-26,88.23,88.515,82.44,83.68,101533
2020-10-27,84.59,85.97,83.78,84.28,82294
2020-10-28,81.75,87.11,79.505,82.59,118830
2020-10-29,80.0,87.55,79.5,85.91,161996
2020-10-30,84.09,84.34,82.155,84.03,84908
2020-11-02,84.47,87.16,84.09,86.94,66324
2020-11-03,86.49,92.71,86.49,92.18,86490
2020-11-04,91.61,93.12,89.79,92.51,72413
2020-11-05,93.215,94.575,93.215,94.085,51598
2020-11-06,93.535,95.54,92.83,94.93,17913
2020-11-09,96.465,97.27,92.85,92.89,57745
2020-11-10,92.28,94.42,89.99,94.36,50390
2020-11-11,94.815,96.65,94.815,95.46,44710
2020-11-12,95.46,96.9,94.165,94.69,28743
2020-11-13,94.72,97.57,94.715,97.12,33494
2020-11-16,95.85,99.22,95.85,98.39,40826
2020-11-17,97.315,99.83,97.315,99.02,68051
2020-11-18,98.39,99.94,98.25,98.39,30154
2020-11-19,97.8,100.34,97.8,100.235,39026
2020-11-20,99.64,102.0,99.64,101.14,30609
2020-11-23,101.68,103.64,101.13,103.255,33966
2020-11-24,103.5,104.09,102.33,104.09,69323
2020-11-25,104.17,106.205,104.17,106.04,43484
2020-11-27,106.175,108.735,106.175,108.595,22229
2020-11-30,109.14,110.365,107.58,107.75,36939
2020-12-01,107.805,108.86,106.96,108.52,30035
2020-12-02,107.3,107.58,106.42,107.19,30753
2020-12-03,107.29,109.21,107.29,108.0,31433
2020-12-04,108.93,110.09,108.93,109.57,39035
2020-12-07,110.5,111.44,110.02,111.065,40591
2020-12-08,111.64,112.03,111.01,111.29,22122
2020-12-09,112.67,114.03,110.79,111.63,38884
2020-12-10,110.71,113.02,110.71,112.82,24398
2020-12-11,112.155,113.68,112.155,113.0,40105
2020-12-14,113.83,116.1,113.11,113.89,39630
2020-12-15,114.45,115.405,113.04,114.08,50701
2020-12-16,114.91,116.36,114.43,115.03,50161
2020-12-17,116.5,118.45,115.915,118.45,39176
2020-12-18,119.35,119.45,118.13,118.54,27134
2020-12-21,117.25,120.35,116.02,120.245,17011
2020-12-22,120.06,121.51,119.64,120.035,21266
2020-12-23,120.515,120.8,118.9,119.1,20256
2020-12-24,119.28,120.12,119.09,119.85,15514
2020-12-28,120.58,120.58,118.61,118.79,20956
2020-12-29,118.8,118.92,117.17,117.8,18312
2020-12-30,119.24,120.13,118.76,119.37,22444
2020-12-31,118.87,120.26,118.87,119.66,14353
2021-01-04,120.1,120.39,116.13,118.26,43711
2021-01-05,117.365,119.87,117.365,118.6,24840
2021-01-06,118.02,121.125,117.475,119.095,60050
2021-01-07,121.0,125.45,121.0,125.41,50633
2021-01-08,126.57,128.9,125.98,127.9,41556
2021-01-11,127.045,129.84,126.31,129.18,118260
2021-01-12,130.69,130.69,128.165,128.61,55066
2021-01-13,128.75,128.75,124.51,124.51,61349
2021-01-14,124.72,124.73,123.59,124.47,40684
2021-01-15,124.895,124.895,122.91,124.11,22269
2021-01-19,125.425,126.635,124.12,125.58,66640
2021-01-20,126.335,130.51,126.28,130.51,41884
2021-01-21,131.335,132.33,128.48,129.66,55351
2021-01-22,129.35,131.25,128.205,131.09,32666
2021-01-25,132.78,132.83,128.17,130.825,51641
2021-01-26,130.88,130.88,128.53,129.46,63568
2021-01-27,126.6,127.485,121.16,121.16,129300
2021-01-28,131.79,141.33,131.79,138.335,625529
2021-01-29,137.14,137.47,132.31,132.86,71184
2021-02-01,133.69,138.85,133.125,136.965,45410
2021-02-02,138.79,140.31,137.06,137.82,61589
2021-02-03,138.39,139.86,137.405,138.135,35090
2021-02-04,140.19,140.41,138.18,139.34,35429
2021-02-05,140.98,142.9,140.21,142.69,57314
2021-02-08,144.455,144.75,141.89,142.76,61907
2021-02-09,143.595,144.83,142.995,144.09,33819
2021-02-10,144.815,146.47,144.27,144.76,35927
2021-02-11,144.99,145.3,142.94,143.6,38722
2021-02-12,142.67,143.57,142.08,142.6,41792
2021-02-16,144.08,146.415,143.41,146.13,41303
2021-02-17,144.44,144.645,142.47,144.14,27539
2021-02-18,140.97,144.5,139.4,143.07,46878
2021-02-19,143.995,147.665,143.995,146.775,37362
2021-02-22,143.61,145.67,142.64,142.98,27961
2021-02-23,138.985,140.53,134.755,140.44,56439
2021-02-24,139.335,142.995,137.59,142.33,69929
2021-02-25,141.02,141.55,133.705,134.43,34114
2021-02-26,135.885,138.3,134.19,136.87,61616
2021-03-01,139.56,142.54,139.435,142.11,86531
2021-03-02,141.51,141.68,136.44,136.49,31200
2021-03-03,136.19,137.28,131.66,132.335,23649
2021-03-04,130.93,132.76,124.87,126.46,83969
2021-03-05,126.85,126.9,118.08,125.42,70194
2021-03-08,124.7,126.55,119.005,119.02,47069
2021-03-09,122.9,128.745,122.9,127.69,34046
2021-03-10,128.94,131.88,128.94,130.895,67784
2021-03-11,135.05,137.67,134.045,135.685,69471
2021-03-12,133.85,133.85,131.27,132.18,23133
2021-03-15,132.61,137.14,132.55,137.03,32000
2021-03-16,138.45,138.47,134.795,135.55,19901
2021-03-17,134.025,135.38,129.97,132.14,38353
2021-03-18,128.825,131.06,125.78,127.06,48883
2021-03-19,128.0,130.425,126.825,129.68,29178
2021-03-22,130.47,132.32,130.09,130.32,26236
2021-03-23,130.59,133.37,129.3,129.68,82294
2021-03-24,129.5,129.74,126.77,126.95,49876
2021-03-25,125.365,128.415,123.18,128.025,34410
2021-03-26,129.55,135.34,129.1,135.23,49702
2021-03-29,134.78,135.68,131.435,131.65,64777
2021-03-30,130.295,133.63,130.21,131.81,25301
2021-03-31,134.28,139.79,134.065,137.76,36526
2021-04-01,140.4,144.84,140.4,143.785,55390
2021-04-05,144.87,146.5,143.41,145.73,53330
2021-04-06,144.6,146.815,144.2,144.41,52095
2021-04-07,144.5,144.91,142.71,143.03,15634
2021-04-08,145.54,149.26,145.54,146.7,50925
2021-04-09,146.47,146.47,144.79,146.06,27740
2021-04-12,144.84,147.19,144.62,146.6,14136
2021-04-13,146.69,148.02,145.16,147.35,16294
2021-04-14,146.93,149.06,146.2,146.47,25422
2021-04-15,148.31,148.58,146.26,147.52,31153
2021-04-16,147.6,148.38,144.68,145.995,80339
2021-04-19,144.645,146.66,137.95,140.01,137626
2021-04-20,139.4,142.35,138.955,142.14,86185
2021-04-21,141.75,144.0,141.24,143.985,28212
2021-04-22,143.785,146.81,143.48,145.22,31861
2021-04-23,146.73,148.045,146.37,147.41,22944
2021-04-26,148.385,149.08,148.06,148.75,25367
2021-04-27,149.09,149.49,146.06,147.98,68595
2021-04-28,146.73,148.42,146.73,148.26,37841
2021-04-29,141.73,144.5,133.1,133.42,181350
2021-04-30,133.15,133.85,130.52,130.9,89651
2021-05-03,131.66,131.91,129.16,130.25,79346
2021-05-04,129.475,130.07,127.18,130.07,59068
2021-05-05,130.73,132.72,129.42,131.0,43327
2021-05-06,130.235,130.235,126.98,130.13,50333
2021-05-07,132.96,133.29,130.61,131.15,67985
2021-05-10,130.46,131.57,129.15,129.15,38369
2021-05-11,125.55,130.73,125.55,130.18,34296
2021-05-12,128.24,128.52,124.985,125.38,44177
2021-05-13,127.39,127.4,123.16,125.435,34353
2021-05-14,127.265,129.83,125.87,128.995,35305
2021-05-17,128.275,128.505,126.2,127.67,50011
2021-05-18,127.35,130.045,127.17,127.81,56517
2021-05-19,125.84,127.2,124.64,127.06,48595
2021-05-20,128.57,131.43,128.57,130.7,75730
2021-05-21,131.69,132.99,130.35,130.725,30811
2021-05-24,132.03,133.46,132.03,132.91,20196
2021-05-25,134.505,135.22,132.84,132.95,23956
2021-05-26,134.13,134.13,132.22,132.89,37839
2021-05-27,133.3,133.435,130.645,133.29,21017
2021-05-28,134.08,135.45,133.72,134.17,25672
2021-06-01,134.12,135.02,131.85,131.85,32619
2021-06-02,131.625,131.625,129.52,130.82,32490
2021-06-03,130.94,130.99,128.43,129.63,21619
2021-06-04,131.15,132.73,131.1,132.7,19389
2021-06-07,134.505,134.505,131.965,132.54,42605
2021-06-08,133.98,135.69,133.53,134.96,26577
2021-06-09,135.96,135.97,134.56,134.85,40310
2021-06-10,134.76,136.42,134.65,136.3,20558
2021-06-11,136.75,137.07,135.41,136.58,18839
2021-06-14,137.535,137.97,136.99,137.56,15959
2021-06-15,137.925,138.3,136.14,136.385,12823
2021-06-16,135.37,136.0,132.39,134.61,45798
2021-06-17,134.53,135.42,134.0,134.29,29960
2021-06-18,134.16,134.16,130.65,131.7,53698
2021-06-21,131.71,134.76,130.435,134.68,31551
2021-06-22,134.52,135.4,133.71,135.33,19548
2021-06-23,135.59,136.52,134.85,135.71,19382
2021-06-24,137.525,138.39,136.94,137.67,46035
2021-06-25,137.88,138.99,137.17,138.61,15518
2021-06-28,139.98,140.91,139.47,140.09,38405
2021-06-29,139.34,142.115,139.34,141.8,39614
2021-06-30,141.2,142.36,140.69,141.39,28941
2021-07-01,140.74,143.23,140.5,142.81,58293
2021-07-02,143.675,144.2,142.52,144.0,31456
2021-07-06,144.41,145.69,143.7,145.6,39705
2021-07-07,146.36,147.035,143.66,144.17,53327
2021-07-08,141.24,143.79,139.49,142.72,19771
2021-07-09,142.86,145.4,142.86,145.145,36074
2021-07-12,145.325,145.56,142.57,142.97,29751
2021-07-13,143.035,143.725,141.46,143.1,19916
2021-07-14,143.65,143.93,142.0,142.56,19280
2021-07-15,142.225,142.225,139.94,141.31,17392
2021-07-16,142.49,142.49,139.76,140.18,71600
2021-07-19,138.02,138.3,135.46,136.42,54240
2021-07-20,137.69,143.52,136.89,142.93,38720
2021-07-21,144.135,146.59,143.57,146.53,34478
2021-07-22,147.31,148.8,146.98,148.17,29982
2021-07-23,148.93,153.69,148.73,152.715,43249
2021-07-26,150.66,151.8,149.08,151.295,46046
2021-07-27,148.365,148.38,142.53,143.56,45302
2021-07-28,144.525,146.21,142.97,145.245,48419
2021-07-29,136.51,136.51,130.375,133.07,148536
2021-07-30,133.35,135.485,131.19,135.45,72739
2021-08-02,135.63,135.68,130.82,131.01,56655
2021-08-03,131.52,133.27,130.755,132.38,62371
2021-08-04,133.005,135.63,131.93,135.43,42157
2021-08-05,135.565,137.03,135.17,135.57,87398
2021-08-06,136.15,136.15,134.45,135.32,38879
2021-08-09,135.445,136.08,134.81,135.13,16201
2021-08-10,136.605,137.46,135.29,135.745,33529
2021-08-11,135.9,136.46,133.91,134.5,22628
2021-08-12,134.08,134.285,133.13,133.71,42071
2021-08-13,133.26,133.26,131.7,131.93,49002
2021-08-16,131.155,131.155,129.43,130.11,67817
2021-08-17,128.745,129.005,125.95,127.94,66232
2021-08-18,126.92,128.0,126.51,126.51,31066
2021-08-19,125.45,126.45,124.25,126.27,39642
2021-08-20,126.11,128.47,126.11,128.47,39735
2021-08-23,129.01,130.1,129.0,129.95,46204
2021-08-24,130.59,131.93,130.59,131.27,30089
2021-08-25,131.69,132.39,130.74,131.74,11053
2021-08-26,131.66,131.705,129.38,130.23,52977
2021-08-27,130.51,132.865,130.51,132.05,60555
2021-08-30,132.3,132.94,132.01,132.47,15490
2021-08-31,132.47,132.49,131.13,131.66,24567
2021-09-01,132.66,134.42,132.66,133.11,14359
2021-09-02,133.5,133.65,131.49,131.78,17811
2021-09-03,132.05,133.4,131.8,133.04,18341
2021-09-07,133.12,133.12,129.695,129.695,33108
2021-09-08,129.2,130.565,127.74,129.715,46915
2021-09-09,129.645,130.47,127.36,127.39,110945
2021-09-10,128.265,128.77,125.57,125.585,107237
2021-09-13,126.02,126.02,122.06,122.85,128362
2021-09-14,124.085,125.01,121.89,122.46,75865
2021-09-15,122.46,125.35,121.78,125.05,64647
