date,open,high,low,close,volume
2020-07-27,173.3,177.47,171.62,177.03,201105
2020-07-28,175.58,178.61,175.1,175.28,181929
2020-07-29,177.43,184.4,177.35,183.59,314688
2020-07-30,190.69,197.53,188.22,191.56,475277
2020-07-31,192.11,195.26,190.67,195.12,221601
2020-08-03,197.11,198.29,194.42,195.89,465652
2020-08-04,195.84,197.76,194.51,196.26,124140
2020-08-05,197.61,203.11,197.59,201.79,197571
2020-08-06,201.6,203.04,197.94,202.98,152974
2020-08-07,202.29,202.63,195.7,197.68,155703
2020-08-10,197.91,198.5,190.76,192.17,278550
2020-08-11,190.99,192.51,185.94,187.86,294932
2020-08-12,189.23,191.45,188.5,190.3,151151
2020-08-13,191.51,194.05,190.51,191.96,859836
2020-08-14,193.79,193.95,189.56,190.32,222235
2020-08-17,192.61,196.37,192.22,195.19,136781
2020-08-18,196.57,197.45,192.98,193.54,166907
2020-08-19,194.45,195.46,190.98,191.39,131315
2020-08-20,191.05,197.61,190.7,197.08,248455
2020-08-21,196.8,197.94,195.19,195.72,110344
2020-08-24,198.57,199.95,195.6,198.16,173713
2020-08-25,197.49,200.79,195.27,200.61,80124
2020-08-26,201.38,204.13,199.29,202.41,103420
2020-08-27,205.74,205.74,201.37,203.29,124759
2020-08-28,203.71,203.89,201.43,203.37,90390
2020-08-31,202.52,204.13,201.34,203.36,131310
2020-09-01,204.2,208.7,204.2,207.84,128003
2020-09-02,210.21,211.14,203.77,209.75,161471
2020-09-03,204.92,205.47,193.96,204.38,468033
2020-09-04,199.41,200.69,182.05,190.8,635935
2020-09-08,184.43,190.64,184.02,184.75,292223
2020-09-09,189.77,194.65,186.51,193.67,177765
2020-09-10,194.61,197.11,186.88,188.98,143909
2020-09-11,190.53,190.74,180.08,183.03,232075
2020-09-14,185.31,187.55,183.52,185.98,157799
2020-09-15,189.18,189.19,183.22,185.02,255766
2020-09-16,186.3,188.29,179.71,179.93,297199
2020-09-17,175.47,177.72,172.88,174.84,400356
2020-09-18,175.43,177.19,170.89,175.25,368821
2020-09-21,173.78,182.41,173.66,182.36,372954
2020-09-22,185.39,187.02,181.31,186.87,287065
2020-09-23,187.47,187.47,180.19,180.71,224853
2020-09-24,179.16,183.87,178.74,181.19,429917
2020-09-25,181.26,186.83,179.26,186.3,215346
2020-09-28,189.62,191.43,187.19,190.82,286111
2020-09-29,191.38,194.71,190.09,193.43,273165
2020-09-30,193.4,197.59,192.54,196.07,234302
2020-10-01,198.2,199.99,195.19,196.01,389500
2020-10-02,191.87,195.09,188.29,190.85,301648
2020-10-05,192.66,195.83,191.14,195.68,279859
2020-10-06,195.06,196.26,189.93,190.67,296251
2020-10-07,193.22,194.66,192.41,193.68,186346
2020-10-08,195.8,195.8,191.7,192.0,394945
2020-10-09,192.88,196.29,191.69,196.29,449603
2020-10-12,198.75,202.98,195.61,200.46,522765
2020-10-13,201.28,207.82,199.12,206.61,412192
2020-10-14,207.04,207.78,199.44,202.6,377868
2020-10-15,198.72,202.25,197.11,201.95,284785
2020-10-16,203.7,206.33,201.16,203.49,552972
2020-10-19,204.56,206.11,198.06,198.88,400566
2020-10-20,200.03,204.31,199.28,200.99,273820
2020-10-21,206.92,214.6,205.02,211.72,894927
2020-10-22,210.88,210.96,201.12,202.8,583677
2020-10-23,204.84,204.84,200.15,201.94,323418
2020-10-26,199.67,202.76,194.03,196.13,364956
2020-10-27,197.47,200.21,196.71,199.35,212277
2020-10-28,195.76,197.33,190.52,191.19,349950
2020-10-29,193.0,196.52,191.41,194.11,406020
2020-10-30,192.26,194.05,181.96,185.13,672222
2020-11-02,188.18,191.66,184.09,186.9,575558
2020-11-03,176.91,187.75,173.9,178.94,1652345
2020-11-04,185.71,193.96,183.28,193.24,850468
2020-11-05,200.76,203.77,198.35,203.57,720994
2020-11-06,203.7,203.79,197.56,201.83,401795
2020-11-09,194.56,194.98,183.48,183.51,1341612
2020-11-10,183.79,185.64,177.72,182.51,734598
2020-11-11,186.38,191.95,185.41,191.51,407725
2020-11-12,192.71,193.77,187.52,188.03,347768
2020-11-13,190.42,190.7,185.9,187.71,313764
2020-11-16,184.48,191.33,182.58,191.0,659754
2020-11-17,191.14,193.58,189.65,191.27,342307
2020-11-18,191.59,191.72,188.6,189.16,268274
2020-11-19,189.63,191.62,188.62,190.08,787053
2020-11-20,191.71,193.66,189.95,191.63,1211632
2020-11-23,193.4,201.05,192.94,199.79,527136
2020-11-24,202.72,205.88,197.87,204.9,899341
2020-11-25,205.26,214.91,205.26,213.57,510242
2020-11-27,212.1,212.66,207.63,210.15,211410
2020-11-30,211.2,214.67,206.1,213.05,315621
2020-12-01,216.48,219.37,213.44,215.26,428228
2020-12-02,214.57,214.6,209.47,211.43,284628
2020-12-03,212.07,215.71,212.07,213.43,546162
2020-12-04,213.55,217.35,212.01,216.63,276868
