date,open,high,low,close,volume
2020-07-27,79.39,81.99,78.99,81.99,198987
2020-07-28,81.49,81.8,80.06,80.88,171090
2020-07-29,81.49,82.72,81.1,82.3,236337
2020-07-30,90.37,95.12,89.01,94.67,1211132
2020-07-31,93.34,95.17,92.39,93.22,529479
2020-08-03,94.88,99.85,94.67,96.83,351220
2020-08-04,96.9,98.08,96.04,98.0,180041
2020-08-05,98.24,99.3,97.42,98.4,267299
2020-08-06,98.18,98.39,97.17,98.12,132001
2020-08-07,97.45,98.12,93.67,95.65,150554
2020-08-10,95.96,96.29,93.44,93.94,139084
2020-08-11,93.6,98.96,92.59,96.16,498209
2020-08-12,97.51,102.7,96.9,102.29,381893
2020-08-13,102.32,102.42,99.71,100.26,215875
2020-08-14,100.11,101.16,99.51,100.46,176995
2020-08-17,100.19,101.12,97.89,99.1,439850
2020-08-18,99.77,100.04,98.61,98.95,200405
2020-08-19,99.24,100.11,97.9,98.08,167394
2020-08-20,96.93,98.05,96.91,97.81,169344
2020-08-21,97.41,99.95,97.34,99.95,143636
2020-08-24,101.27,102.41,100.13,102.41,226502
2020-08-25,102.67,103.41,101.23,102.43,126849
2020-08-26,102.3,102.95,101.8,102.51,124498
2020-08-27,103.03,104.37,101.94,102.51,358471
2020-08-28,103.05,104.49,102.69,104.47,193554
2020-08-31,104.64,106.92,104.38,105.39,233366
2020-09-01,107.03,108.29,105.73,107.79,267100
2020-09-02,109.33,109.99,108.4,109.5,311589
2020-09-03,107.83,107.89,102.72,103.54,403961
2020-09-04,102.7,104.65,100.03,103.01,240495
2020-09-08,99.34,101.09,97.4,97.49,164040
2020-09-09,100.94,102.83,99.84,101.32,146920
2020-09-10,102.18,102.83,99.18,100.02,88085
2020-09-11,100.54,101.98,99.89,100.82,114113
2020-09-14,102.54,102.54,100.23,100.7,72837
2020-09-15,102.06,104.64,102.06,103.52,186525
2020-09-16,104.81,104.81,101.76,101.79,343551
2020-09-17,99.16,102.76,98.62,102.01,301368
2020-09-18,102.11,102.11,97.61,98.45,394643
2020-09-21,97.2,99.57,96.22,99.45,268802
2020-09-22,99.92,101.47,98.1,101.09,227807
2020-09-23,101.07,101.2,97.89,98.11,184421
2020-09-24,97.19,100.63,97.1,99.65,102618
2020-09-25,100.85,102.82,99.36,101.73,338479
2020-09-28,102.98,105.43,102.16,105.12,256618
2020-09-29,105.06,105.88,104.14,104.25,161709
2020-09-30,104.15,105.89,103.89,104.64,141664
2020-10-01,106.46,106.74,104.6,106.18,326549
2020-10-02,103.74,105.38,102.56,102.56,258189
2020-10-05,103.73,107.16,103.73,107.09,295962
2020-10-06,106.93,108.84,105.82,106.32,345014
2020-10-07,107.7,109.58,107.31,109.35,355353
2020-10-08,110.15,110.27,108.23,108.71,286947
2020-10-09,110.05,111.77,109.19,110.91,447896
2020-10-12,113.13,113.31,111.04,112.6,451366
2020-10-13,113.24,113.85,111.4,113.14,424807
2020-10-14,114.76,117.62,114.54,115.4,795843
2020-10-15,113.1,114.71,112.52,114.09,402368
2020-10-16,115.52,115.57,113.49,114.6,404238
2020-10-19,115.7,117.2,113.48,113.97,324731
2020-10-20,114.66,114.87,113.29,114.0,306237
2020-10-21,113.82,115.8,112.29,114.24,241694
2020-10-22,114.92,115.07,112.74,114.03,209385
2020-10-23,114.32,114.66,112.91,114.42,178259
2020-10-26,113.26,114.27,110.53,112.05,264998
2020-10-27,112.38,112.77,111.24,111.97,330153
2020-10-28,109.56,109.98,107.54,107.86,500068
2020-10-29,108.28,113.41,108.28,112.31,343411
2020-10-30,110.25,111.24,108.09,109.66,442121
2020-11-02,110.75,112.04,108.75,110.03,267930
2020-11-03,111.29,112.74,110.77,111.46,279240
2020-11-04,114.61,114.83,112.02,114.6,423627
2020-11-05,129.44,132.09,126.03,129.25,1122388
2020-11-06,129.27,129.83,127.92,128.82,319383
2020-11-09,132.42,132.62,126.58,126.58,435452
2020-11-10,124.64,127.17,123.16,124.46,562608
2020-11-11,128.04,131.54,127.95,131.29,392005
2020-11-12,130.81,131.81,127.17,127.69,293392
2020-11-13,129.22,129.83,127.26,128.08,405402
2020-11-16,129.34,132.52,128.44,132.52,609670
2020-11-17,132.11,133.07,130.77,132.08,330287
2020-11-18,132.59,136.2,130.56,130.63,451876
2020-11-19,130.15,132.56,129.25,131.12,274687
2020-11-20,131.71,132.38,129.65,129.65,229920
2020-11-23,126.46,130.53,126.07,127.77,704506
2020-11-24,127.65,129.96,125.37,129.68,535409
2020-11-25,129.71,130.99,127.96,127.99,219343
2020-11-27,129.24,129.96,127.67,127.75,103384
2020-11-30,128.51,130.79,127.99,130.71,321527
2020-12-01,132.18,135.36,131.34,134.4,489258
2020-12-02,134.28,135.1,133.55,133.67,218444
2020-12-03,134.83,136.28,133.51,133.63,146151
2020-12-04,134.2,140.99,133.83,140.63,385312
2020-12-07,141.5,141.8,139.91,140.96,209228
2020-12-08,140.68,142.03,139.12,141.85,181290
2020-12-09,141.41,143.69,138.8,139.27,345841
2020-12-10,137.97,140.77,136.29,138.88,190719
2020-12-11,132.87,134.06,126.63,128.67,872623
2020-12-14,129.73,131.81,127.96,130.49,272113
2020-12-15,133.2,133.73,131.25,132.37,251668
2020-12-16,133.06,134.18,130.98,133.5,264694
2020-12-17,134.72,134.9,132.45,133.34,248181
2020-12-18,134.16,134.2,130.53,131.55,187645
2020-12-21,129.41,131.47,128.93,131.11,176334
2020-12-22,130.97,130.97,129.14,130.54,178902
2020-12-23,131.92,133.47,131.07,131.07,142724
2020-12-24,131.86,132.7,131.36,132.7,67346
2020-12-28,134.44,134.74,131.55,131.84,169690
2020-12-29,132.67,132.91,131.23,132.37,102827
2020-12-30,133.18,135.23,132.96,133.77,158696
2020-12-31,134.12,136.09,134.01,136.06,102700
2021-01-04,136.47,138.38,131.28,132.5,317242
2021-01-05,132.88,136.16,132.52,136.02,346915
2021-01-06,135.2,137.2,133.42,134.9,194632
2021-01-07,136.0,139.45,135.85,138.79,181407
2021-01-08,140.18,140.46,137.91,139.79,251786
2021-01-11,139.18,141.05,138.29,139.12,146405
2021-01-12,139.75,139.88,137.37,137.83,159151
2021-01-13,138.62,140.89,137.19,140.55,161442
2021-01-14,142.08,145.58,141.52,143.67,373189
2021-01-15,143.43,143.43,140.02,140.09,352333
2021-01-19,141.73,146.36,141.72,146.17,197576
2021-01-20,147.04,149.83,146.73,146.86,341766
2021-01-21,147.93,148.43,145.73,146.94,193916
2021-01-22,146.36,146.53,144.16,145.08,191065
2021-01-25,146.55,149.03,144.37,146.76,182007
2021-01-26,146.63,146.79,143.6,145.13,244016
2021-01-27,142.07,143.01,136.25,137.09,366787
2021-01-28,139.14,141.79,136.64,138.71,301899
2021-01-29,142.01,143.31,138.15,139.29,360180
2021-02-01,140.78,144.82,139.69,144.17,354279
2021-02-02,146.87,147.55,143.91,147.11,297565
2021-02-03,149.35,149.35,144.38,144.8,330820
2021-02-04,134.17,135.23,129.54,132.03,1637135
2021-02-05,132.78,132.78,129.04,130.1,750822
2021-02-08,131.23,131.64,129.66,131.54,358563
2021-02-09,131.76,132.45,130.2,130.26,292939
2021-02-10,131.7,131.73,128.83,129.64,357027
2021-02-11,130.15,130.69,128.06,129.94,367226
2021-02-12,129.89,132.01,129.28,132.01,250957
2021-02-16,132.92,133.59,130.34,131.31,336451
2021-02-17,130.1,131.03,128.0,128.94,380499
2021-02-18,128.04,129.1,127.57,128.35,236991
2021-02-19,129.27,130.04,128.03,129.31,246437
2021-02-22,126.86,128.55,124.11,124.4,460914
2021-02-23,121.42,123.54,119.99,122.24,685351
2021-02-24,121.6,125.95,120.54,125.9,409135
2021-02-25,124.51,125.55,120.48,120.73,332292
2021-02-26,122.01,123.17,120.34,121.58,344797
2021-03-01,122.63,124.55,121.78,124.51,250799
2021-03-02,124.93,124.95,122.06,122.07,223497
2021-03-03,121.64,121.95,117.92,117.92,448171
2021-03-04,118.51,120.29,113.48,114.46,589149
2021-03-05,117.48,117.48,112.45,116.37,457014
2021-03-08,115.65,116.3,110.27,110.38,560393
2021-03-09,114.19,116.45,113.28,115.75,397362
2021-03-10,117.33,117.48,114.43,114.45,442108
2021-03-11,117.23,119.41,116.79,118.04,434494
2021-03-12,116.32,116.81,114.42,116.48,358934
2021-03-15,116.6,118.11,115.84,118.0,275548
2021-03-16,119.17,121.38,118.6,119.76,397143
2021-03-17,117.7,121.48,116.26,120.06,430591
2021-03-18,118.74,119.76,116.27,116.27,339695
2021-03-19,116.59,118.75,115.89,117.6,299843
2021-03-22,119.11,121.5,118.9,120.19,300697
2021-03-23,120.25,120.41,117.83,118.64,255969
2021-03-24,119.21,119.21,114.01,114.07,566977
2021-03-25,113.2,114.38,111.56,114.05,330659
2021-03-26,114.01,119.47,113.92,119.39,372487
2021-03-29,118.85,119.47,116.39,117.66,394191
2021-03-30,116.69,117.45,115.7,116.62,569960
2021-03-31,117.53,119.67,117.11,118.95,253722
2021-04-01,120.59,124.06,119.77,123.54,378051
2021-04-05,124.69,125.95,123.93,125.9,260494
2021-04-06,125.49,125.5,123.41,123.8,322620
2021-04-07,123.97,125.44,123.17,124.94,185174
2021-04-08,125.49,125.82,124.43,125.82,183773
2021-04-09,125.43,126.07,124.53,126.02,142186
2021-04-12,124.47,125.34,121.97,123.25,293847
2021-04-13,124.08,124.38,121.72,123.1,177970
2021-04-14,122.77,123.55,120.09,120.75,297371
2021-04-15,121.98,123.69,121.54,123.6,266074
2021-04-16,123.6,124.61,122.53,123.86,223493
2021-04-19,122.59,122.8,120.22,121.16,282348
2021-04-20,120.61,120.8,119.04,119.5,258949
2021-04-21,119.23,122.22,118.78,122.22,184252
2021-04-22,121.59,121.83,118.76,119.22,247529
2021-04-23,119.85,121.99,119.76,121.41,218326
2021-04-26,121.25,125.22,121.19,124.59,352257
2021-04-27,124.34,124.82,122.8,123.72,348637
2021-04-28,123.86,123.89,121.81,122.78,388512
2021-04-29,129.86,130.15,126.11,127.89,665662
2021-04-30,126.45,127.3,123.97,124.37,421251
2021-05-03,125.2,125.2,122.69,123.1,195067
2021-05-04,121.73,121.73,118.75,120.33,407602
2021-05-05,121.98,122.3,120.23,120.65,218626
2021-05-06,120.56,122.36,119.32,122.01,287022
2021-05-07,122.93,124.31,122.24,123.63,291779
2021-05-10,122.48,122.48,115.48,115.54,575279
2021-05-11,111.95,115.23,111.92,115.16,458630
2021-05-12,112.97,113.9,110.89,111.73,537954
2021-05-13,113.92,115.16,112.9,113.89,401382
2021-05-14,115.31,117.79,114.59,116.69,304555
2021-05-17,115.85,116.36,114.55,116.31,176916
2021-05-18,116.98,117.63,115.47,115.51,278879
2021-05-19,113.88,117.26,113.41,117.19,300522
2021-05-20,118.02,119.41,117.95,118.89,308167
2021-05-21,118.42,118.93,116.97,117.73,395228
2021-05-24,118.22,120.12,118.18,119.14,235707
2021-05-25,119.76,120.37,119.08,119.9,193751
2021-05-26,120.01,120.54,118.53,119.3,278362
2021-05-27,119.13,120.69,118.98,119.93,242090
2021-05-28,120.28,121.56,120.09,120.6,251836
2021-06-01,121.1,121.97,119.72,120.01,249222
2021-06-02,120.1,121.35,119.39,120.56,227386
2021-06-03,119.46,120.17,118.44,118.67,248169
2021-06-04,119.4,121.67,119.17,121.05,260892
2021-06-07,120.46,120.46,119.52,120.15,167821
2021-06-08,120.74,121.97,119.83,120.9,276269
2021-06-09,121.54,121.92,119.65,119.68,284903
2021-06-10,120.02,121.68,119.6,120.87,217312
2021-06-11,120.42,121.27,120.42,121.26,179917
2021-06-14,121.81,123.71,121.45,123.69,317035
2021-06-15,123.5,123.76,121.85,122.16,268736
2021-06-16,122.73,123.48,120.44,121.58,569602
2021-06-17,121.01,123.08,120.83,121.95,220372
2021-06-18,121.05,121.22,119.17,119.85,221005
2021-06-21,119.87,121.7,119.57,120.78,153674
2021-06-22,120.77,121.9,120.09,121.72,184465
2021-06-23,121.5,122.73,121.46,122.09,176378
2021-06-24,123.24,124.8,122.94,124.23,197324
2021-06-25,124.81,125.62,123.74,124.04,177878
2021-06-28,124.55,126.26,124.34,125.9,157454
2021-06-29,125.85,128.8,125.48,128.42,378927
2021-06-30,128.26,129.27,127.83,128.82,193615
2021-07-01,128.82,128.82,126.47,126.9,195683
2021-07-02,127.82,128.54,127.34,128.4,155811
2021-07-06,128.84,128.91,125.86,127.22,151084
2021-07-07,128.13,128.19,125.34,126.13,163170
2021-07-08,123.87,125.09,122.23,124.67,307587
2021-07-09,124.49,127.69,124.2,127.34,226791
2021-07-12,127.36,128.83,127.26,128.42,387239
2021-07-13,128.34,128.43,126.54,127.23,196478
2021-07-14,129.3,131.84,128.45,129.44,330591
2021-07-15,129.65,129.75,126.79,127.46,211764
2021-07-16,127.89,128.32,125.72,125.9,165890
2021-07-19,124.69,125.12,123.29,125.07,222454
2021-07-20,125.2,126.5,123.63,125.71,188887
2021-07-21,126.02,128.14,125.89,128.08,233264
2021-07-22,127.94,128.65,127.55,128.36,119334
2021-07-23,129.03,130.63,128.03,130.52,236819
2021-07-26,129.79,130.04,128.18,129.3,152656
2021-07-27,128.73,128.81,124.54,127.03,226738
2021-07-28,127.48,128.73,126.28,128.27,292357
2021-07-29,132.1,136.51,132.1,135.97,890834
2021-07-30,134.6,135.49,133.75,134.98,314128
2021-08-02,135.34,137.19,133.61,134.1,319134
2021-08-03,134.11,134.75,132.1,133.33,148806
2021-08-04,133.35,134.37,132.87,133.65,158676
2021-08-05,132.66,132.87,130.29,132.33,241999
2021-08-06,131.7,133.55,131.49,131.82,161683
2021-08-09,132.26,133.06,131.34,132.4,225376
2021-08-10,132.71,132.88,130.55,131.39,180622
2021-08-11,131.6,132.21,130.13,132.11,188520
2021-08-12,132.78,133.35,131.93,132.55,259365
2021-08-13,132.46,134.51,132.42,133.93,242323
2021-08-16,133.71,134.3,132.21,133.48,148243
2021-08-17,132.44,132.44,129.37,130.17,220932
2021-08-18,129.56,130.32,127.94,127.98,246599
2021-08-19,126.64,127.43,125.28,126.79,311851
2021-08-20,126.87,128.17,126.55,128.09,102812
2021-08-23,128.57,130.29,128.29,129.84,171013
2021-08-24,130.21,131.16,129.63,130.14,158985
2021-08-25,130.33,131.03,129.26,129.68,134471
2021-08-26,129.05,129.45,127.63,128.29,206291
2021-08-27,128.33,130.59,127.97,130.55,176795
2021-08-30,131.14,133.22,131.14,131.46,180271
2021-08-31,132.14,132.92,130.27,132.15,297300
2021-09-01,132.89,134.06,132.37,132.59,358087
2021-09-02,132.74,132.85,130.82,131.34,186150
2021-09-03,131.18,132.0,130.6,130.94,156538
2021-09-07,130.96,130.99,129.58,130.1,160546
2021-09-08,129.93,129.93,128.08,129.02,242396
2021-09-09,128.98,129.93,128.04,128.08,125495
2021-09-10,129.54,132.14,129.03,129.16,138392
2021-09-13,130.54,130.95,128.6,129.81,121413
