date,open,high,low,close,volume
2020-07-27,31.09,31.56,30.45,31.51,55749
2020-07-28,31.56,33.37,31.35,32.96,29936
2020-07-29,33.52,33.52,32.45,33.2,41661
2020-07-30,32.13,33.17,31.91,32.99,48962
2020-07-31,32.62,32.77,31.67,32.35,60808
2020-08-03,31.93,32.27,31.43,32.06,55987
2020-08-04,31.64,32.55,31.36,32.39,28062
2020-08-05,32.62,32.77,32.22,32.36,26175
2020-08-06,32.14,32.55,31.98,32.28,30881
2020-08-07,31.97,32.88,31.87,32.82,22816
2020-08-10,33.15,34.5,32.82,33.8,42154
2020-08-11,34.93,35.35,34.19,34.34,41217
2020-08-12,34.84,34.84,33.8,34.48,24138
2020-08-13,33.77,34.54,33.77,34.0,25334
2020-08-14,34.45,34.76,33.64,34.3,24352
2020-08-17,33.85,34.37,33.81,34.15,17927
2020-08-18,33.58,33.61,33.07,33.38,14181
2020-08-19,33.18,33.25,32.14,32.18,14668
2020-08-20,32.5,33.15,32.43,32.89,45275
2020-08-21,32.93,32.95,32.11,32.39,14190
2020-08-24,32.29,32.9,31.99,32.81,24666
2020-08-25,33.23,33.23,32.21,32.77,35588
2020-08-26,32.59,32.83,31.93,32.11,22022
2020-08-27,32.61,33.0,32.49,32.53,41736
2020-08-28,32.37,32.37,31.75,32.35,26273
2020-08-31,32.31,32.31,31.51,31.79,16801
2020-09-01,31.36,31.69,31.28,31.53,79462
2020-09-02,31.29,32.87,31.29,32.83,28861
2020-09-03,33.03,33.72,32.59,33.02,23774
2020-09-04,33.11,33.75,33.03,33.23,52538
2020-09-08,33.11,33.18,32.47,32.79,59221
2020-09-09,32.99,33.24,32.37,32.68,48604
2020-09-10,32.19,32.51,31.43,31.49,164470
2020-09-11,31.55,31.55,30.35,30.89,45284
2020-09-14,31.13,32.15,31.13,32.03,52210
2020-09-15,32.25,33.22,32.25,32.99,42348
2020-09-16,32.89,33.51,32.71,33.3,45431
2020-09-17,32.63,33.18,32.5,33.02,62193
2020-09-18,32.76,32.87,31.98,32.05,39860
2020-09-21,31.17,31.17,29.48,29.77,30777
2020-09-22,29.99,30.49,29.75,29.79,52408
2020-09-23,29.79,29.97,28.95,29.19,36596
2020-09-24,29.0,29.93,28.79,29.4,26685
2020-09-25,29.44,30.05,29.37,29.95,27417
2020-09-28,31.2,31.2,30.59,30.83,70685
2020-09-29,30.6,30.8,29.61,30.25,57516
2020-09-30,30.76,31.03,30.09,30.4,61868
2020-10-01,30.67,31.51,30.52,31.51,61804
2020-10-02,30.74,32.27,30.66,32.18,60544
2020-10-05,32.47,32.47,31.59,32.08,59856
2020-10-06,32.2,32.68,31.84,31.97,39020
2020-10-07,32.19,32.19,31.35,31.56,33569
2020-10-08,31.87,32.38,31.67,32.35,86065
2020-10-09,32.38,32.38,31.61,31.69,32723
2020-10-12,31.26,31.99,31.26,31.81,29016
2020-10-13,31.39,31.5,30.37,30.61,56686
2020-10-14,30.63,30.97,29.95,30.13,28363
2020-10-15,29.9,30.95,29.83,30.83,41819
2020-10-16,30.55,30.55,29.78,30.04,25688
2020-10-19,30.21,30.21,29.55,29.59,38930
2020-10-20,29.89,30.25,29.83,30.03,39985
2020-10-21,29.77,29.91,29.45,29.72,24440
2020-10-22,29.7,30.6,29.68,30.56,18861
2020-10-23,30.65,31.1,30.26,30.67,69058
2020-10-26,30.51,30.63,29.72,30.05,41562
2020-10-27,29.87,30.08,28.99,28.99,34246
2020-10-28,28.41,28.64,28.05,28.27,41091
2020-10-29,28.05,28.76,27.66,28.38,66130
2020-10-30,28.55,28.62,27.71,28.46,36524
2020-11-02,28.7,28.99,28.17,28.96,43691
2020-11-03,29.44,30.17,29.11,29.96,87968
2020-11-04,29.89,29.89,28.68,28.71,92002
2020-11-05,29.03,29.41,28.61,28.93,90695
2020-11-06,29.09,29.16,26.65,27.28,239483
2020-11-09,30.35,37.73,30.32,36.78,343452
2020-11-10,36.6,38.5,36.6,37.4,234031
2020-11-11,37.26,37.26,35.26,36.85,134445
2020-11-12,37.53,37.53,34.4,35.16,163323
2020-11-13,35.14,36.77,35.14,36.57,53688
2020-11-16,39.62,39.62,37.32,39.21,69692
2020-11-17,38.19,38.81,37.91,38.64,43680
2020-11-18,38.52,39.85,37.65,37.69,134133
2020-11-19,37.04,38.34,36.28,38.2,46710
2020-11-20,37.7,38.2,37.52,37.84,42162
2020-11-23,37.93,39.67,37.82,38.7,79884
2020-11-24,39.58,40.47,38.96,39.02,80046
2020-11-25,37.98,38.32,37.68,38.08,52214
2020-11-27,38.1,38.21,37.37,37.51,17815
2020-11-30,37.24,37.38,36.28,36.44,85188
2020-12-01,37.32,38.01,36.83,37.22,123011
2020-12-02,36.58,38.26,36.58,38.04,61106
2020-12-03,38.27,39.24,38.27,38.65,99903
2020-12-04,39.31,39.43,38.99,39.25,23443
2020-12-07,39.3,39.41,38.28,38.43,31671
2020-12-08,38.09,38.88,38.09,38.21,47049
2020-12-09,38.44,38.46,37.88,38.13,55233
2020-12-10,38.0,38.39,37.79,38.12,44208
2020-12-11,38.01,38.01,37.34,37.68,38403
2020-12-14,38.18,38.58,37.29,37.51,46648
2020-12-15,37.65,38.85,37.38,38.76,61735
2020-12-16,38.65,38.78,37.74,38.35,127365
2020-12-17,38.42,38.58,37.89,38.48,72498
2020-12-18,38.3,38.51,36.94,37.31,47797
2020-12-21,36.56,36.87,36.04,36.61,36242
2020-12-22,36.48,36.77,36.22,36.66,52523
2020-12-23,37.09,37.38,36.49,36.65,20029
2020-12-24,36.88,36.88,36.47,36.8,14582
2020-12-28,37.0,37.55,36.79,37.09,40688
2020-12-29,37.41,37.78,36.41,36.74,41964
2020-12-30,36.92,37.58,36.77,36.96,60749
2020-12-31,36.95,36.97,36.34,36.97,48903
2021-01-04,37.07,37.31,35.57,35.86,95747
2021-01-05,36.34,36.61,35.77,35.9,76389
2021-01-06,36.64,37.41,36.43,36.92,71319
2021-01-07,36.51,36.95,36.38,36.48,49684
2021-01-08,36.55,36.87,36.29,36.85,32549
2021-01-11,36.3,36.51,35.24,35.7,87265
2021-01-12,35.75,36.29,35.67,36.28,32036
2021-01-13,36.34,37.69,36.34,37.6,78908
2021-01-14,37.79,38.48,37.52,38.14,70773
2021-01-15,37.69,38.24,37.36,38.14,57622
2021-01-19,38.25,38.25,37.19,38.02,25313
2021-01-20,38.09,39.44,38.09,39.03,77424
2021-01-21,38.52,38.76,37.63,37.97,36946
2021-01-22,37.6,38.12,37.45,38.0,47874
2021-01-25,38.05,39.4,37.71,38.66,106554
2021-01-26,39.16,39.4,38.24,38.84,102173
2021-01-27,38.53,39.33,37.99,38.14,107302
2021-01-28,38.27,39.63,38.27,38.65,109765
2021-01-29,38.16,39.13,37.56,38.27,99596
2021-02-01,38.38,38.39,36.95,38.06,57228
2021-02-02,37.94,38.34,37.61,38.0,39742
2021-02-03,37.37,38.76,37.37,38.6,87602
2021-02-04,38.58,40.07,38.58,39.83,110022
