date,open,high,low,close,volume
2020-07-27,8.437,8.465,8.292,8.323,291440
2020-07-28,8.284,8.359,8.237,8.264,265915
2020-07-29,8.257,8.661,8.198,8.661,187432
2020-07-30,8.382,8.441,8.217,8.441,83856
2020-07-31,8.343,8.512,8.3,8.512,220908
2020-08-03,8.539,8.582,8.394,8.437,173745
2020-08-04,8.433,8.492,8.37,8.398,181818
2020-08-05,8.527,8.614,8.484,8.582,249576
2020-08-06,8.488,8.598,8.433,8.504,147216
2020-08-07,8.406,8.845,8.386,8.833,294031
2020-08-10,8.912,9.155,8.857,9.026,126530
2020-08-11,9.324,9.657,9.312,9.367,188538
2020-08-12,9.575,9.657,9.03,9.367,273557
2020-08-13,9.179,9.206,9.061,9.12,183952
2020-08-14,9.081,9.336,9.006,9.242,86767
2020-08-17,9.159,9.226,9.034,9.163,188507
2020-08-18,9.12,9.151,8.896,8.928,161763
2020-08-19,8.873,9.081,8.857,8.959,137857
2020-08-20,8.822,8.857,8.692,8.716,247284
2020-08-21,8.641,8.747,8.559,8.614,106327
2020-08-24,8.696,9.053,8.637,9.053,119389
2020-08-25,9.222,9.328,9.041,9.167,262369
2020-08-26,9.136,9.167,8.92,8.931,138366
2020-08-27,8.963,9.218,8.963,9.183,110081
2020-08-28,9.238,9.242,9.132,9.19,64452
2020-08-31,9.167,9.167,9.061,9.077,147863
2020-09-01,8.99,9.194,8.931,9.136,231212
2020-09-02,9.073,9.293,9.03,9.253,319633
2020-09-03,9.388,9.619,9.126,9.182,241298
2020-09-04,9.4,9.52,9.166,9.385,84743
2020-09-08,9.206,9.249,8.975,9.047,237804
2020-09-09,9.118,9.182,9.015,9.126,118231
2020-09-10,9.229,9.377,8.947,8.951,152637
2020-09-11,8.951,9.198,8.911,9.166,208978
2020-09-14,9.237,9.599,9.237,9.587,71831
2020-09-15,9.643,9.643,9.353,9.524,181095
2020-09-16,9.532,9.794,9.476,9.619,238297
2020-09-17,9.448,9.635,9.432,9.563,228793
2020-09-18,9.575,9.575,9.392,9.476,274006
2020-09-21,9.237,9.329,8.895,9.003,146634
2020-09-22,8.975,9.11,8.736,8.776,129305
2020-09-23,8.848,9.027,8.549,8.549,137602
2020-09-24,8.589,8.764,8.442,8.553,117146
2020-09-25,8.482,8.784,8.434,8.752,79735
2020-09-28,8.963,9.166,8.943,9.158,114800
2020-09-29,9.058,9.194,8.903,9.047,295459
2020-09-30,9.106,9.309,9.062,9.17,234341
2020-10-01,9.178,9.265,9.05,9.162,238421
2020-10-02,8.987,9.563,8.987,9.492,226316
2020-10-05,9.623,9.993,9.623,9.989,191996
2020-10-06,10.1,10.33,9.798,9.858,317392
2020-10-07,10.05,10.28,9.977,10.1,275520
2020-10-08,10.21,10.37,10.09,10.36,217328
2020-10-09,10.4,10.44,10.1,10.18,193494
2020-10-12,10.15,10.32,10.12,10.3,134523
2020-10-13,10.24,10.25,9.909,9.945,93249
2020-10-14,9.953,10.0,9.742,9.742,255133
2020-10-15,9.639,10.02,9.631,9.973,210470
2020-10-16,9.973,10.03,9.762,9.921,189290
2020-10-19,9.981,10.05,9.806,9.818,331044
2020-10-20,10.1,10.62,10.08,10.29,656402
2020-10-21,10.3,10.43,10.13,10.18,242591
2020-10-22,10.18,10.98,10.13,10.98,341898
2020-10-23,11.12,11.16,10.82,10.96,246536
2020-10-26,10.83,10.83,10.55,10.62,279969
