date,open,high,low,close,volume
2020-07-27,44.16,44.16,43.14,43.68,49623
2020-07-28,43.5,43.5,42.78,42.94,66043
2020-07-29,43.34,43.84,42.82,43.79,67792
2020-07-30,42.84,42.87,41.75,42.35,106477
2020-07-31,42.39,42.89,41.83,42.5,43425
2020-08-03,42.69,44.3,42.68,43.81,32202
2020-08-04,43.65,43.65,42.82,43.45,25716
2020-08-05,43.78,44.39,43.78,44.29,29761
2020-08-06,44.22,44.28,43.77,44.15,29974
2020-08-07,43.92,45.92,43.92,45.82,52003
2020-08-10,46.16,46.84,45.77,46.53,29583
2020-08-11,47.56,48.0,46.47,46.52,41167
2020-08-12,47.46,47.46,46.06,46.76,33709
2020-08-13,46.13,46.53,45.95,46.09,13039
2020-08-14,45.99,46.93,45.99,46.62,11359
2020-08-17,46.55,46.59,45.95,46.16,10036
2020-08-18,45.88,46.22,45.64,45.94,20725
2020-08-19,46.16,46.85,45.74,45.89,20554
2020-08-20,45.18,45.57,44.82,45.3,32707
2020-08-21,45.21,45.58,45.03,45.18,10050
2020-08-24,45.41,46.87,45.4,46.87,27355
2020-08-25,47.33,47.33,46.79,47.19,42060
2020-08-26,46.87,47.13,46.08,46.1,31920
2020-08-27,46.34,47.43,46.34,47.08,8089
2020-08-28,47.28,47.28,46.45,47.04,24510
2020-08-31,46.57,46.88,46.37,46.45,29025
2020-09-01,46.08,46.66,45.75,46.27,50640
2020-09-02,46.26,47.36,46.1,47.23,36844
2020-09-03,47.85,48.24,46.32,46.73,25977
2020-09-04,47.76,48.11,46.45,46.98,25056
2020-09-08,46.49,46.49,44.9,44.9,36348
2020-09-09,45.29,45.41,44.72,45.13,49264
2020-09-10,45.25,45.37,44.66,44.72,47625
2020-09-11,45.13,45.66,44.99,45.18,99756
2020-09-14,45.7,47.0,45.68,46.65,24727
2020-09-15,45.94,45.94,45.08,45.56,32737
2020-09-16,45.6,46.89,45.6,45.78,52252
2020-09-17,44.9,45.46,44.82,45.21,41985
2020-09-18,45.05,45.38,44.76,44.77,41823
2020-09-21,43.96,44.0,42.7,43.16,26442
2020-09-22,43.17,43.66,42.54,43.02,31348
2020-09-23,43.5,43.66,42.35,42.39,25087
2020-09-24,42.38,43.21,41.49,42.63,27733
2020-09-25,42.55,43.56,42.51,43.4,23596
2020-09-28,44.25,45.07,44.13,44.47,47301
2020-09-29,44.26,44.69,44.04,44.4,30547
2020-09-30,44.54,45.34,44.38,44.9,62982
2020-10-01,45.14,45.57,44.16,44.79,67402
2020-10-02,44.03,46.3,44.03,45.92,76566
2020-10-05,46.47,47.13,46.47,46.96,58288
2020-10-06,47.27,47.49,46.05,46.3,33688
2020-10-07,47.15,47.63,46.77,47.27,41370
2020-10-08,47.61,48.3,47.61,48.24,29151
2020-10-09,48.56,48.74,47.82,48.26,40449
2020-10-12,48.39,49.46,48.28,49.31,53635
2020-10-13,49.05,49.39,47.92,47.93,35557
2020-10-14,48.12,48.93,47.88,47.99,46911
2020-10-15,47.22,48.96,47.22,48.9,34201
2020-10-16,49.03,49.48,48.71,49.14,36360
2020-10-19,49.22,49.45,48.35,48.39,34923
2020-10-20,48.95,49.6,48.58,48.63,49068
2020-10-21,48.63,49.16,48.33,48.47,19876
2020-10-22,48.21,49.65,48.17,49.57,45849
2020-10-23,49.8,50.12,49.49,50.01,35055
2020-10-26,49.11,49.22,48.6,49.22,68445
2020-10-27,49.06,49.27,48.22,48.24,57862
2020-10-28,47.31,47.31,45.94,46.34,80160
2020-10-29,46.52,47.07,45.19,46.55,103159
2020-10-30,46.62,47.32,46.22,47.04,53269
2020-11-02,48.12,48.55,47.39,48.26,40336
2020-11-03,49.48,49.77,49.09,49.32,31852
2020-11-04,47.78,48.65,47.05,47.54,54738
2020-11-05,48.06,49.63,48.05,49.09,36172
2020-11-06,49.09,49.09,47.57,47.84,25525
2020-11-09,52.88,53.78,51.77,52.74,66633
2020-11-10,53.0,53.11,52.66,52.89,35184
2020-11-11,53.31,53.31,52.14,52.3,29253
2020-11-12,51.63,51.79,50.53,51.0,44352
2020-11-13,51.59,52.91,51.59,52.58,29457
2020-11-16,53.22,54.06,52.95,54.06,33757
2020-11-17,53.98,55.39,53.58,55.15,50812
2020-11-18,55.26,56.17,54.91,54.91,68751
2020-11-19,54.76,55.25,53.81,54.99,38242
2020-11-20,54.88,54.88,54.27,54.57,26142
2020-11-23,55.24,55.9,55.07,55.76,26283
2020-11-24,56.52,57.95,56.52,57.93,19663
2020-11-25,56.88,57.72,56.88,57.62,30414
2020-11-27,57.69,57.69,57.09,57.2,18831
2020-11-30,57.06,57.09,55.85,56.07,38556
2020-12-01,56.78,57.73,56.72,57.33,27867
2020-12-02,56.87,58.34,56.87,58.34,40347
2020-12-03,57.95,58.63,57.95,58.12,34666
2020-12-04,58.83,59.67,58.83,59.07,26911
2020-12-07,58.33,58.55,57.84,58.26,26922
2020-12-08,57.9,58.06,56.92,57.27,77799
2020-12-09,57.15,57.41,56.62,57.09,57673
2020-12-10,56.76,57.23,56.38,57.15,71058
2020-12-11,56.45,57.13,56.15,56.88,59511
2020-12-14,57.99,58.14,56.31,56.39,91671
2020-12-15,56.92,57.77,56.15,57.6,55809
2020-12-16,57.68,57.88,57.29,57.58,29241
2020-12-17,57.53,58.44,57.06,58.44,67225
2020-12-18,58.31,58.32,57.37,57.85,55849
2020-12-21,57.99,58.07,56.77,57.91,60075
2020-12-22,57.71,58.08,57.58,57.75,27412
2020-12-23,58.03,58.91,57.88,57.98,63369
2020-12-24,57.92,57.92,57.06,57.33,18853
2020-12-28,57.92,58.86,57.9,58.44,30258
2020-12-29,58.73,58.73,57.77,57.92,27442
2020-12-30,58.29,58.59,58.06,58.07,22573
2020-12-31,58.23,59.04,58.04,58.99,23019
2021-01-04,58.91,59.14,57.62,58.14,29293
2021-01-05,59.11,59.21,58.06,58.32,49246
2021-01-06,60.25,62.38,59.79,61.85,81691
2021-01-07,62.59,63.67,62.45,62.93,65635
2021-01-08,62.94,63.42,62.25,63.14,56745
2021-01-11,62.36,64.32,62.36,63.99,62242
2021-01-12,64.33,65.05,64.09,64.09,49492
2021-01-13,63.55,63.85,62.43,63.01,60862
2021-01-14,63.36,63.84,63.17,63.52,40674
2021-01-15,63.2,64.13,62.87,63.67,43012
2021-01-19,63.8,64.58,63.8,64.29,32223
2021-01-20,64.12,64.4,63.69,64.1,36091
2021-01-21,64.35,64.45,63.43,63.49,32409
2021-01-22,62.84,63.26,62.67,63.22,40960
2021-01-25,62.36,63.27,61.69,61.96,115938
2021-01-26,62.35,62.42,61.02,61.04,41521
2021-01-27,59.77,60.25,58.5,58.73,72411
2021-01-28,59.74,62.46,59.74,61.55,136671
2021-01-29,61.86,63.13,61.03,61.82,146631
2021-02-01,62.53,63.73,62.22,63.39,62329
2021-02-02,64.31,65.16,64.31,64.96,65257
2021-02-03,64.68,65.55,64.64,65.35,77920
2021-02-04,65.59,67.12,65.59,66.82,57652
2021-02-05,67.12,67.83,66.74,67.74,30979
2021-02-08,68.18,68.54,68.05,68.18,31236
2021-02-09,67.75,69.2,67.52,68.64,54936
2021-02-10,68.7,70.27,68.62,69.77,52312
2021-02-11,69.73,70.13,68.56,70.13,36541
2021-02-12,70.24,71.68,70.02,70.6,45954
2021-02-16,71.38,73.0,71.06,72.71,77083
2021-02-17,72.55,72.83,71.53,72.37,63526
2021-02-18,71.6,72.69,71.08,71.85,82773
2021-02-19,72.16,73.41,71.98,73.2,77377
2021-02-22,72.87,74.03,72.78,74.03,43155
2021-02-23,74.29,74.29,73.23,73.62,112968
2021-02-24,73.89,75.94,73.53,75.92,62562
2021-02-25,76.24,76.64,74.08,74.58,89374
2021-02-26,74.12,74.52,72.21,72.21,63381
2021-03-01,73.81,75.7,73.81,74.89,48316
2021-03-02,74.36,74.71,73.19,73.2,121735
2021-03-03,73.6,74.67,73.22,73.47,98697
2021-03-04,73.58,73.75,70.79,72.12,55396
2021-03-05,73.73,73.73,70.47,72.76,123501
2021-03-08,73.26,74.08,72.7,72.7,88545
2021-03-09,72.16,73.05,71.1,71.99,70848
2021-03-10,72.39,72.99,72.03,72.68,115993
2021-03-11,72.35,73.51,71.8,72.84,49504
2021-03-12,74.16,74.17,72.92,74.11,42741
2021-03-15,73.89,74.48,73.23,74.4,82933
2021-03-16,73.75,74.07,73.25,73.57,51994
2021-03-17,74.02,75.11,73.76,74.55,30798
2021-03-18,74.96,76.12,74.29,74.47,146887
2021-03-19,73.65,74.39,72.89,74.15,82827
2021-03-22,73.31,74.61,73.31,74.02,42720
2021-03-23,73.57,74.29,72.26,73.02,75253
