date,open,high,low,close,volume
2020-07-27,63.43,64.67,63.1,64.62,28592
2020-07-28,64.9,65.3,64.12,64.35,32070
2020-07-29,64.21,65.66,64.21,65.59,16399
2020-07-30,63.5,64.45,62.6,64.09,21531
2020-07-31,64.24,64.39,62.92,64.3,48632
2020-08-03,63.78,63.78,61.96,62.81,56480
2020-08-04,58.69,60.37,57.6,60.06,157462
2020-08-05,60.7,62.68,60.31,61.75,46777
2020-08-06,61.79,61.79,58.33,58.46,280603
2020-08-07,58.53,59.81,57.77,59.42,106144
2020-08-10,60.06,62.43,60.06,61.9,100859
2020-08-11,63.78,65.09,63.16,63.25,110720
2020-08-12,63.83,63.83,61.22,62.93,38545
2020-08-13,62.47,63.42,62.28,63.18,59106
2020-08-14,62.31,64.22,61.37,63.66,41819
2020-08-17,63.78,63.95,61.76,63.94,28175
2020-08-18,63.16,63.56,61.7,61.78,24060
2020-08-19,61.29,62.52,60.78,60.93,39131
2020-08-20,60.39,61.04,60.16,60.63,36200
2020-08-21,60.83,61.06,59.78,60.38,23617
2020-08-24,61.45,63.43,61.42,63.33,21834
2020-08-25,63.79,63.79,62.02,62.35,17490
2020-08-26,62.42,62.42,60.94,60.94,41659
2020-08-27,61.38,62.74,61.1,61.48,39535
2020-08-28,61.79,64.23,61.79,64.22,31132
2020-08-31,62.94,63.05,61.74,62.03,34238
2020-09-01,61.08,62.45,61.08,62.36,47598
2020-09-02,62.83,64.66,62.83,64.5,95411
2020-09-03,65.42,67.13,64.89,66.86,99769
2020-09-04,67.25,67.55,65.93,66.71,88595
2020-09-08,65.8,68.54,65.46,67.64,39047
2020-09-09,67.01,67.06,65.58,66.21,116205
2020-09-10,66.99,68.9,66.85,68.12,39545
2020-09-11,67.93,68.71,67.5,68.68,37507
2020-09-14,69.4,72.88,69.14,72.67,73802
2020-09-15,72.74,73.5,71.51,72.83,47580
2020-09-16,73.25,74.6,73.25,73.25,49179
2020-09-17,72.08,73.0,70.23,70.92,50911
2020-09-18,70.77,70.88,66.82,68.33,97234
2020-09-21,66.28,66.64,63.93,64.17,68766
2020-09-22,65.03,67.71,63.77,67.71,101416
2020-09-23,68.71,69.51,64.8,64.86,57376
2020-09-24,64.81,65.24,62.78,64.54,111797
2020-09-25,64.48,64.71,63.6,64.03,115340
2020-09-28,65.44,65.49,63.4,63.47,47312
2020-09-29,62.56,62.81,60.66,60.67,50289
2020-09-30,60.77,61.86,60.49,61.28,93524
2020-10-01,61.63,62.81,61.11,62.25,89456
2020-10-02,60.47,63.22,60.26,63.04,102733
2020-10-05,64.38,65.35,63.92,64.73,85937
2020-10-06,65.14,65.76,62.33,62.48,99058
2020-10-07,63.09,64.99,63.09,64.76,104140
2020-10-08,65.15,67.03,65.15,66.98,95677
2020-10-09,67.69,67.69,64.47,66.68,111127
2020-10-12,65.98,67.77,65.69,66.38,55989
2020-10-13,66.11,66.78,64.3,65.15,58264
2020-10-14,65.13,66.53,64.98,65.8,96363
2020-10-15,65.16,68.27,64.16,68.27,99167
2020-10-16,68.62,68.62,67.41,67.49,139906
2020-10-19,67.46,68.38,66.81,67.01,68422
2020-10-20,67.64,68.53,66.13,66.31,90375
2020-10-21,66.24,67.76,65.57,67.59,65871
2020-10-22,67.88,69.77,67.87,69.45,85949
2020-10-23,69.5,70.3,69.13,69.8,124400
2020-10-26,69.44,69.61,67.66,69.14,90982
2020-10-27,68.9,69.65,66.79,67.15,94179
2020-10-28,65.57,67.59,65.08,66.99,163572
2020-10-29,64.63,65.58,60.84,63.61,539060
2020-10-30,63.02,63.37,58.78,60.27,215302
2020-11-02,60.54,62.47,60.28,60.79,91893
2020-11-03,61.79,63.25,61.38,62.33,115390
2020-11-04,63.12,64.38,61.29,61.97,98858
2020-11-05,62.64,63.28,61.73,63.03,93204
2020-11-06,62.93,63.8,60.77,61.47,110711
2020-11-09,71.6,75.06,68.97,73.61,341209
2020-11-10,73.28,75.11,72.66,73.34,166110
2020-11-11,73.15,73.15,68.08,68.72,171991
2020-11-12,67.95,68.48,65.97,66.92,93742
2020-11-13,67.91,70.12,67.33,70.02,155058
2020-11-16,72.62,72.62,69.87,71.51,116955
2020-11-17,70.57,76.03,70.5,75.79,179549
2020-11-18,76.01,76.72,73.68,73.68,123077
2020-11-19,72.66,74.16,72.17,72.62,95250
2020-11-20,72.49,72.49,70.33,70.52,89513
2020-11-23,71.06,75.26,70.7,75.16,135595
2020-11-24,77.31,81.02,77.31,80.33,226166
2020-11-25,78.79,79.81,76.94,79.44,195667
2020-11-27,78.92,79.74,78.04,79.45,112040
2020-11-30,78.86,78.99,76.83,77.31,566625
2020-12-01,79.06,80.82,78.56,79.9,204637
2020-12-02,78.59,80.19,77.6,80.15,183613
2020-12-03,80.52,88.53,80.51,87.14,327978
2020-12-04,88.22,88.22,85.9,86.75,141983
2020-12-07,86.11,86.45,84.76,86.07,88259
2020-12-08,85.78,88.04,85.18,87.62,84998
2020-12-09,88.95,91.8,88.46,90.89,147757
2020-12-10,92.78,95.2,91.75,93.67,153214
2020-12-11,95.15,95.39,90.86,91.42,130798
2020-12-14,93.13,94.38,88.99,89.13,88302
2020-12-15,89.78,90.8,88.22,90.65,76167
2020-12-16,90.65,91.87,89.47,89.74,91487
2020-12-17,90.24,91.96,89.22,91.0,59271
2020-12-18,91.25,92.02,90.05,91.21,97398
2020-12-21,89.1,91.68,88.77,91.4,41509
2020-12-22,91.65,91.65,88.97,89.13,35473
2020-12-23,90.38,92.19,90.38,91.92,28826
2020-12-24,92.77,92.77,90.64,91.05,21803
2020-12-28,91.64,93.9,91.33,93.19,57683
2020-12-29,93.42,93.79,90.87,91.51,51120
2020-12-30,92.21,94.24,92.21,93.69,47347
2020-12-31,92.71,94.32,92.71,93.48,25829
2021-01-04,93.63,93.69,89.81,91.26,123076
2021-01-05,91.07,94.58,91.07,93.73,37565
2021-01-06,95.06,99.68,94.0,98.68,86955
2021-01-07,99.59,102.07,99.43,101.1,135949
2021-01-08,101.43,101.44,97.25,98.81,70515
2021-01-11,98.07,100.13,97.93,99.63,95645
2021-01-12,100.7,105.44,100.04,103.31,62135
2021-01-13,102.83,104.76,100.66,101.84,70134
2021-01-14,102.19,103.71,99.99,100.53,69225
2021-01-15,99.72,101.12,98.94,99.4,55736
2021-01-19,99.47,99.69,95.76,96.69,66541
2021-01-20,96.96,98.4,95.88,96.15,57611
2021-01-21,96.11,97.68,94.97,97.25,74344
2021-01-22,96.25,101.61,95.05,97.83,68655
2021-01-25,97.33,99.38,95.41,98.6,92810
2021-01-26,99.09,99.64,95.73,96.46,71947
2021-01-27,94.88,95.53,90.39,90.7,102461
2021-01-28,92.0,94.51,92.0,93.3,101255
2021-01-29,93.3,93.62,90.07,91.09,63312
2021-02-01,93.61,93.61,90.69,92.37,93818
2021-02-02,93.86,94.61,92.01,93.23,68072
2021-02-03,93.96,95.98,93.96,94.86,114298
2021-02-04,94.12,98.51,90.71,97.29,198824
2021-02-05,98.06,98.29,94.72,97.78,133251
2021-02-08,98.31,100.27,97.96,99.34,61934
