date,open,high,low,close,volume
2020-07-27,193.22,196.57,193.22,195.09,12729
2020-07-28,194.51,194.87,191.91,192.01,15398
2020-07-29,193.2,194.88,193.2,193.65,18635
2020-07-30,192.42,194.38,191.78,194.01,18983
2020-07-31,194.53,195.24,190.72,192.28,25675
2020-08-03,191.03,193.02,190.39,191.88,25120
2020-08-04,192.81,193.09,190.66,192.32,45852
2020-08-05,193.65,194.87,192.4,192.69,35594
2020-08-06,177.8,179.9,164.57,166.61,141744
2020-08-07,168.36,169.11,164.03,164.68,50677
2020-08-10,166.19,167.6,164.6,166.24,45176
2020-08-11,166.19,166.19,163.12,164.33,20183
2020-08-12,165.8,168.37,165.32,167.04,34473
2020-08-13,166.56,168.92,165.46,168.49,10295
2020-08-14,168.22,169.04,167.69,167.82,21814
2020-08-17,169.63,173.91,169.63,173.9,20671
2020-08-18,174.06,174.11,170.87,173.91,24368
2020-08-19,174.65,176.08,173.63,174.52,21053
2020-08-20,173.9,174.44,171.91,172.21,10327
2020-08-21,170.65,171.93,169.08,170.71,14959
2020-08-24,172.22,172.31,166.2,167.71,24955
2020-08-25,169.18,170.43,168.7,170.42,12568
2020-08-26,169.51,171.39,168.06,171.18,7150
2020-08-27,171.65,172.33,169.71,171.93,12497
2020-08-28,171.28,171.7,169.77,171.7,7868
2020-08-31,170.62,172.36,168.81,172.3,13084
2020-09-01,172.44,172.83,168.65,170.24,11384
2020-09-02,171.35,175.17,170.82,174.11,16380
2020-09-03,174.3,174.3,166.85,169.31,12865
2020-09-04,168.2,168.21,161.59,165.11,19868
2020-09-08,162.07,165.15,160.81,163.25,17312
2020-09-09,166.44,168.16,166.1,166.11,13767
2020-09-10,165.76,167.11,163.25,163.9,23683
2020-09-11,166.01,166.01,162.56,163.65,18244
2020-09-14,165.23,166.89,164.64,166.0,7613
2020-09-15,168.29,168.63,166.6,167.03,10132
2020-09-16,168.74,169.04,164.78,165.29,18373
2020-09-17,163.48,165.04,163.31,164.43,22335
2020-09-18,163.86,164.76,159.87,161.72,19251
2020-09-21,158.4,163.23,157.73,163.13,60180
2020-09-22,163.07,164.22,161.66,163.85,16275
2020-09-23,162.62,163.53,160.3,160.5,14825
2020-09-24,159.62,161.37,158.94,160.05,12103
2020-09-25,159.57,161.09,157.95,160.74,12782
2020-09-28,162.44,165.65,162.21,163.62,15064
2020-09-29,163.79,165.18,163.7,164.35,10405
2020-09-30,164.12,166.21,162.41,163.12,28184
2020-10-01,164.48,165.71,160.48,161.28,33123
2020-10-02,158.92,161.15,157.9,159.45,73539
2020-10-05,160.61,162.78,160.02,162.54,35215
2020-10-06,163.02,163.18,159.19,159.7,15508
2020-10-07,160.79,163.14,160.79,162.56,21801
2020-10-08,164.45,165.23,162.82,164.36,29601
2020-10-09,165.46,168.1,165.35,167.66,28967
2020-10-12,168.98,169.33,167.92,168.81,31747
2020-10-13,168.72,170.95,167.71,169.04,39991
2020-10-14,169.91,172.15,168.83,169.17,28679
2020-10-15,166.5,170.86,166.5,170.86,26780
2020-10-16,171.19,173.5,170.36,172.1,28101
2020-10-19,172.69,174.18,170.17,170.62,31983
2020-10-20,171.07,172.7,170.15,170.79,27111
2020-10-21,171.62,172.24,169.47,170.55,17585
2020-10-22,170.53,174.58,170.53,173.99,28515
2020-10-23,173.99,174.74,172.36,174.12,25494
2020-10-26,173.32,173.32,170.55,171.65,27026
2020-10-27,172.83,178.24,172.83,175.83,56165
2020-10-28,173.32,174.07,171.73,171.87,53065
2020-10-29,170.96,172.77,169.24,170.71,48970
2020-10-30,184.1,188.0,179.95,182.53,74399
2020-11-02,186.43,187.8,183.88,186.89,68127
2020-11-03,187.58,193.67,187.58,192.76,40104
2020-11-04,194.12,201.85,194.12,199.27,45173
2020-11-05,202.32,204.87,200.8,202.48,27130
2020-11-06,201.91,205.53,201.48,203.7,38062
2020-11-09,210.23,213.35,208.31,210.21,55616
2020-11-10,208.52,208.61,201.13,201.85,64263
2020-11-11,204.2,207.83,204.2,205.81,35070
2020-11-12,204.85,204.85,200.88,202.66,28270
2020-11-13,203.03,204.84,202.21,204.61,14793
2020-11-16,205.82,206.25,203.8,205.52,23101
2020-11-17,203.59,205.08,201.83,204.21,19282
2020-11-18,203.88,204.78,201.32,201.48,18588
2020-11-19,200.99,202.72,200.6,201.8,14743
2020-11-20,201.8,202.06,200.47,201.12,23974
2020-11-23,201.66,202.53,198.7,199.84,28311
2020-11-24,200.08,200.61,195.29,196.86,32621
2020-11-25,196.6,197.17,195.25,196.44,15749
2020-11-27,197.8,200.05,197.8,199.71,18846
2020-11-30,199.15,200.81,198.32,199.76,20561
2020-12-01,201.01,202.29,199.98,201.85,19148
2020-12-02,199.7,200.31,198.92,199.41,23756
2020-12-03,198.11,199.3,197.25,197.45,15897
2020-12-04,197.38,200.03,197.37,199.99,11988
2020-12-07,199.37,201.53,198.87,199.35,18962
2020-12-08,198.08,202.39,198.08,202.28,23559
2020-12-09,201.99,202.76,200.59,202.17,19582
2020-12-10,201.68,202.86,198.34,198.96,19304
2020-12-11,197.63,197.65,194.17,194.85,26884
2020-12-14,196.09,199.91,196.09,196.78,22925
2020-12-15,197.84,199.3,196.84,198.92,19952
2020-12-16,199.42,201.76,198.36,200.59,21251
2020-12-17,200.65,203.83,200.65,203.62,18969
2020-12-18,203.74,208.84,202.56,208.02,24247
2020-12-21,204.0,204.73,198.58,203.45,16664
2020-12-22,202.72,203.76,201.1,201.64,15471
2020-12-23,202.18,202.68,200.42,200.62,12104
2020-12-24,200.37,202.85,199.88,202.54,4894
2020-12-28,205.21,205.21,201.04,201.74,14677
2020-12-29,203.15,203.15,200.33,201.35,10111
2020-12-30,202.26,202.26,199.57,199.89,12712
2020-12-31,199.25,202.99,198.76,202.83,10688
2021-01-04,203.43,204.45,198.55,202.09,21852
2021-01-05,203.09,205.26,202.36,204.55,18456
2021-01-06,202.56,205.5,202.41,203.1,37514
2021-01-07,201.38,205.88,199.17,205.4,25813
2021-01-08,204.92,208.83,204.82,208.73,27363
2021-01-11,208.27,210.75,208.19,210.04,18911
2021-01-12,209.83,209.83,205.68,206.99,16179
2021-01-13,206.49,207.23,205.16,206.35,20133
2021-01-14,206.47,207.52,203.1,203.31,23177
2021-01-15,202.77,203.3,200.56,201.71,21712
2021-01-19,203.3,206.44,202.61,205.06,18523
2021-01-20,205.72,208.44,203.76,208.11,21437
2021-01-21,208.25,208.32,204.13,207.22,18513
2021-01-22,207.07,207.07,204.57,205.55,18813
2021-01-25,206.25,213.2,205.62,211.09,37968
2021-01-26,210.35,213.59,209.16,212.1,39211
2021-01-27,210.4,210.4,203.13,204.02,41006
2021-01-28,205.05,209.67,204.63,206.13,29913
2021-01-29,200.62,201.59,189.6,192.22,70320
2021-02-01,193.92,193.92,189.81,193.22,40098
2021-02-02,194.65,198.91,194.65,196.92,39129
2021-02-03,194.75,195.18,193.65,193.75,45619
2021-02-04,193.44,196.42,192.52,194.47,45456
2021-02-05,195.04,196.7,191.35,192.6,86946
2021-02-08,192.88,194.28,191.4,192.05,38629
2021-02-09,192.18,193.78,190.23,190.68,161868
2021-02-10,191.33,192.37,190.26,191.23,116372
2021-02-11,191.41,192.5,190.82,191.48,139452
2021-02-12,189.93,191.91,189.93,191.41,221909
2021-02-16,191.05,191.24,184.53,185.14,71801
2021-02-17,184.29,192.51,183.01,190.63,52635
2021-02-18,189.09,192.22,187.86,190.69,27124
2021-02-19,191.07,193.72,191.07,192.07,33843
2021-02-22,191.24,192.07,189.55,191.06,25128
2021-02-23,189.98,192.45,189.95,191.01,40926
2021-02-24,191.24,193.76,190.18,192.0,20801
2021-02-25,190.91,191.52,185.31,186.31,37196
2021-02-26,186.28,186.28,182.35,184.48,33558
2021-03-01,186.84,187.75,186.49,186.86,25215
2021-03-02,187.03,187.39,183.88,184.43,23410
2021-03-03,182.76,182.76,180.08,181.87,18335
2021-03-04,180.32,181.28,173.28,174.82,51385
2021-03-05,176.27,177.05,173.47,176.66,36987
2021-03-08,176.17,177.3,171.33,171.68,34952
2021-03-09,173.62,176.73,173.56,173.98,60484
2021-03-10,175.71,178.09,175.43,177.11,33874
2021-03-11,179.46,179.76,177.95,178.22,41642
2021-03-12,177.16,178.14,176.74,176.78,22087
2021-03-15,177.34,179.13,177.29,178.5,33241
2021-03-16,183.62,184.59,182.15,183.45,36945
2021-03-17,182.74,183.39,181.38,182.72,20270
2021-03-18,181.81,182.29,176.62,176.76,35726
2021-03-19,177.66,177.96,176.41,177.31,31702
2021-03-22,176.42,181.27,176.42,181.16,30181
2021-03-23,183.34,183.34,180.5,181.87,30151
2021-03-24,184.83,186.63,182.78,183.58,50679
2021-03-25,183.27,183.27,177.9,179.1,53325
2021-03-26,178.11,182.15,177.46,182.15,16316
2021-03-29,182.04,183.61,181.27,182.51,37753
2021-03-30,182.58,182.58,178.81,180.85,29005
2021-03-31,182.99,186.86,182.99,185.68,43860
2021-04-01,184.94,186.19,184.3,185.59,16037
2021-04-05,186.02,187.67,185.35,186.33,60521
2021-04-06,186.67,188.33,186.26,187.38,30517
2021-04-07,188.25,189.71,187.18,188.27,23963
2021-04-08,189.47,189.47,187.72,188.33,34470
2021-04-09,189.13,190.16,188.72,190.16,24226
2021-04-12,190.36,192.75,190.36,192.71,20657
2021-04-13,194.18,196.7,193.73,196.27,31913
2021-04-14,196.76,199.5,196.76,198.26,66874
2021-04-15,198.64,198.91,194.74,194.97,35985
2021-04-16,195.9,198.46,195.78,198.12,24206
