date,open,high,low,close,volume
2020-07-27,30.38,30.58,30.32,30.52,37882
2020-07-28,30.48,30.52,30.24,30.26,36061
2020-07-29,30.53,32.12,30.53,31.75,77887
2020-07-30,31.73,31.99,31.37,31.97,30001
2020-07-31,32.21,32.46,31.88,32.43,70813
2020-08-03,32.72,33.22,32.69,32.77,94941
2020-08-04,32.86,33.21,32.78,33.13,54484
2020-08-05,33.23,33.56,33.07,33.36,32466
2020-08-06,33.31,33.32,32.95,33.21,94711
2020-08-07,33.32,34.0,33.27,34.0,83367
2020-08-10,33.87,34.17,33.47,33.95,63085
2020-08-11,33.98,34.18,33.57,33.6,59266
2020-08-12,33.73,34.03,33.67,33.82,42757
2020-08-13,33.74,34.36,33.74,34.09,32865
2020-08-14,33.94,34.11,33.77,33.93,14490
2020-08-17,34.04,34.34,33.94,34.04,65172
2020-08-18,33.9,34.1,33.72,33.78,31429
2020-08-19,33.81,33.98,33.59,33.7,19924
2020-08-20,33.67,34.07,33.67,34.02,16294
2020-08-21,33.91,34.19,33.91,34.06,15667
2020-08-24,34.34,34.34,34.07,34.27,21742
2020-08-25,34.13,34.13,33.83,33.96,21549
2020-08-26,33.85,34.81,33.85,34.68,34285
2020-08-27,34.77,35.02,34.22,34.22,45766
2020-08-28,34.37,34.37,34.03,34.12,82303
2020-08-31,34.23,34.35,34.08,34.19,95619
2020-09-01,34.17,34.73,34.08,34.62,128727
2020-09-02,34.66,35.43,34.46,35.35,102606
2020-09-03,35.14,35.14,33.61,33.8,32056
2020-09-04,33.73,34.13,33.41,33.86,71706
2020-09-08,33.54,33.78,33.25,33.41,115782
2020-09-09,33.85,34.51,33.85,34.43,56503
2020-09-10,34.41,34.63,33.53,33.54,90661
2020-09-11,33.78,33.91,33.39,33.58,69321
2020-09-14,33.77,33.96,33.52,33.68,86875
2020-09-15,33.74,34.27,33.74,33.96,147366
2020-09-16,34.05,34.08,33.17,33.22,39561
2020-09-17,32.72,33.36,32.72,33.26,44454
2020-09-18,33.32,33.52,32.43,32.5,80088
2020-09-21,32.36,32.54,32.01,32.44,47346
2020-09-22,32.49,32.9,32.4,32.79,23926
2020-09-23,32.73,33.12,32.34,32.45,53631
2020-09-24,32.43,33.04,32.35,32.82,56695
2020-09-25,32.75,33.36,32.75,33.25,42447
