date,open,high,low,close,volume
2020-07-27,401.53,410.29,400.91,407.04,20733
2020-07-28,410.97,425.53,408.89,408.89,54418
2020-07-29,409.96,423.73,409.92,423.21,28282
2020-07-30,418.23,418.72,410.12,418.09,15933
2020-07-31,417.17,418.46,411.78,417.43,17508
2020-08-03,417.75,426.15,417.62,420.35,13364
2020-08-04,420.48,420.48,416.64,419.11,13191
2020-08-05,420.49,423.47,419.68,420.61,15470
2020-08-06,420.94,422.74,417.14,421.58,19704
2020-08-07,422.46,426.34,420.93,425.99,14639
2020-08-10,426.3,428.29,424.12,426.36,25931
2020-08-11,428.83,429.76,419.41,419.49,24396
2020-08-12,422.36,434.41,422.1,431.94,22891
2020-08-13,434.34,438.6,431.34,437.74,43354
2020-08-14,436.4,437.07,428.86,429.89,25053
2020-08-17,431.27,431.35,425.24,426.62,20595
2020-08-18,427.92,427.92,422.69,424.48,21903
2020-08-19,425.62,425.62,419.64,419.64,29791
2020-08-20,418.7,422.2,417.46,420.01,28668
2020-08-21,419.34,419.34,414.75,417.21,35148
2020-08-24,419.88,421.7,414.95,417.78,13844
2020-08-25,419.39,421.34,416.78,416.8,15277
2020-08-26,414.65,417.73,413.48,417.58,17538
2020-08-27,418.64,418.64,413.24,413.76,20777
2020-08-28,413.54,415.41,411.53,415.31,24303
2020-08-31,414.87,414.87,411.12,413.1,14759
2020-09-01,414.3,422.74,414.3,421.66,17210
2020-09-02,421.79,430.46,421.19,428.83,17271
2020-09-03,429.41,429.41,412.76,415.9,29590
2020-09-04,415.69,416.53,403.21,408.66,14438
2020-09-08,389.74,389.74,377.27,380.43,84751
2020-09-09,385.65,390.36,381.74,386.37,31542
2020-09-10,387.65,392.29,381.59,382.42,31499
2020-09-11,385.95,390.01,380.5,386.57,43582
2020-09-14,387.6,391.47,382.47,382.47,22842
2020-09-15,384.47,393.84,384.47,390.47,40824
2020-09-16,393.31,395.7,385.37,387.15,33550
2020-09-17,381.55,386.05,379.71,385.19,41138
2020-09-18,384.86,384.86,377.04,377.49,32641
2020-09-21,372.36,379.38,371.18,378.65,41496
2020-09-22,377.88,381.47,374.65,380.05,32428
2020-09-23,385.26,385.26,372.29,372.67,22721
2020-09-24,368.25,379.96,368.25,378.33,12724
2020-09-25,376.65,388.09,375.11,384.65,24556
2020-09-28,388.05,390.33,386.23,386.8,28103
2020-09-29,388.51,390.37,385.44,387.46,11068
