date,open,high,low,close,volume
2020-07-27,79.08,79.12,78.38,78.67,15225
2020-07-28,78.9,79.5,78.86,79.02,20392
2020-07-29,79.55,80.58,79.41,80.34,15522
2020-07-30,80.08,80.77,79.34,80.54,16588
2020-07-31,80.39,80.76,79.59,80.76,11460
2020-08-03,81.16,81.17,80.51,80.92,33773
2020-08-04,80.72,80.91,79.68,80.12,19112
2020-08-05,80.58,80.8,79.74,80.07,33560
2020-08-06,79.9,81.25,79.9,81.25,26091
2020-08-07,82.86,86.24,82.78,83.89,93292
2020-08-10,83.71,84.65,83.71,84.16,34477
2020-08-11,84.71,84.83,83.8,84.14,82195
2020-08-12,84.51,85.22,84.38,84.52,32398
2020-08-13,84.3,84.32,83.39,83.91,33249
2020-08-14,83.54,84.29,83.31,83.61,14494
2020-08-17,83.55,84.01,83.03,83.16,24917
2020-08-18,82.96,83.16,82.36,82.53,46755
2020-08-19,82.47,83.03,82.24,82.51,29575
2020-08-20,82.35,82.59,82.18,82.39,17745
2020-08-21,82.31,83.17,82.31,83.15,9449
2020-08-24,83.33,84.26,83.22,84.26,26295
2020-08-25,84.48,84.75,84.26,84.75,26475
2020-08-26,84.39,85.44,84.39,85.17,12731
2020-08-27,85.43,86.38,85.41,85.77,13837
2020-08-28,85.77,86.02,85.22,86.01,21955
2020-08-31,86.06,86.38,85.55,85.88,38198
2020-09-01,85.61,86.42,85.54,86.41,21137
2020-09-02,86.58,88.12,86.44,87.72,39739
2020-09-03,87.97,88.36,85.88,86.55,102583
2020-09-04,87.02,87.38,85.92,86.56,45638
2020-09-08,86.16,87.43,85.95,86.36,74413
2020-09-09,86.8,88.73,86.8,88.13,44445
2020-09-10,88.14,88.39,87.62,87.91,85596
2020-09-11,88.17,88.93,87.94,88.63,42349
2020-09-14,89.1,90.06,89.1,89.63,42369
2020-09-15,89.95,90.52,89.6,89.63,59028
2020-09-16,89.94,90.81,89.13,89.25,44643
2020-09-17,88.47,89.77,88.47,89.28,25313
2020-09-18,89.43,89.75,88.65,88.69,25812
2020-09-21,87.96,87.97,86.3,87.04,46552
2020-09-22,86.81,88.15,86.81,88.01,23016
2020-09-23,85.84,87.41,85.28,85.31,36013
2020-09-24,85.12,86.07,84.39,85.55,98865
2020-09-25,85.78,87.3,85.66,87.13,19095
2020-09-28,87.92,88.48,87.25,87.38,50075
2020-09-29,87.54,87.87,86.82,86.96,29640
2020-09-30,86.83,87.47,86.36,86.9,42613
2020-10-01,87.02,87.02,85.74,86.36,60812
2020-10-02,85.35,87.27,85.35,86.8,96563
2020-10-05,87.29,87.82,86.66,87.01,49451
2020-10-06,87.55,87.55,85.86,86.07,40807
2020-10-07,86.73,86.82,86.04,86.48,51539
2020-10-08,86.97,87.4,86.4,86.93,58608
2020-10-09,87.04,87.35,86.61,86.61,27354
2020-10-12,86.9,88.17,86.85,87.89,59334
2020-10-13,87.87,88.4,86.87,87.08,34618
2020-10-14,87.18,87.87,86.69,86.88,43290
2020-10-15,86.56,87.15,86.4,86.89,31111
