date,open,high,low,close,volume
2020-07-27,66.31,66.98,66.01,66.81,173238
2020-07-28,66.61,66.68,65.17,65.23,233102
2020-07-29,67.86,68.57,67.2,67.74,399050
2020-07-30,66.93,67.24,65.88,66.94,190368
2020-07-31,66.64,66.86,65.97,66.86,128588
2020-08-03,66.83,66.83,65.97,65.97,156527
2020-08-04,65.8,65.93,65.33,65.61,317655
2020-08-05,65.85,66.39,65.83,66.22,523746
2020-08-06,66.04,66.66,65.91,66.47,148464
2020-08-07,66.27,66.69,66.08,66.58,323551
2020-08-10,66.67,68.21,66.64,68.06,118828
2020-08-11,68.76,70.26,68.76,69.32,192827
2020-08-12,69.89,69.93,69.11,69.68,119180
2020-08-13,69.33,69.94,69.28,69.38,84844
2020-08-14,69.2,69.28,68.61,68.82,86439
2020-08-17,69.06,69.32,68.65,69.32,127446
2020-08-18,69.46,69.71,68.85,69.36,133851
2020-08-19,69.42,69.72,68.03,68.21,208481
2020-08-20,67.6,68.21,67.18,67.84,135847
2020-08-21,67.63,67.86,67.38,67.71,129458
2020-08-24,68.26,69.49,67.87,69.05,148331
2020-08-25,70.2,72.97,70.11,72.67,413319
2020-08-26,72.42,72.65,71.96,72.33,185281
2020-08-27,72.7,73.46,72.55,73.33,229402
2020-08-28,73.45,74.92,73.29,74.66,226620
2020-08-31,74.72,74.94,73.84,74.36,116734
2020-09-01,74.44,75.61,74.02,75.61,168277
2020-09-02,76.0,77.96,75.88,77.65,222863
2020-09-03,78.03,78.14,75.3,76.01,183632
2020-09-04,76.4,77.11,74.99,75.82,286375
2020-09-08,74.97,76.94,74.5,75.01,394000
2020-09-09,75.46,76.26,74.22,75.45,129737
2020-09-10,75.4,76.48,74.28,74.61,171547
2020-09-11,74.6,75.41,73.94,74.97,136167
2020-09-14,75.32,76.46,75.31,76.15,101075
2020-09-15,76.87,77.48,76.65,77.11,247366
2020-09-16,77.35,78.54,77.16,77.61,127362
2020-09-17,76.34,76.69,75.04,76.15,158790
2020-09-18,76.17,76.6,74.34,74.6,159323
2020-09-21,72.77,73.74,71.83,73.74,153944
2020-09-22,73.72,74.13,73.07,73.74,115835
2020-09-23,74.18,74.57,72.75,72.89,195323
2020-09-24,72.68,73.88,72.02,72.92,88439
2020-09-25,72.58,74.4,72.25,74.08,185688
2020-09-28,75.0,75.72,74.66,75.63,134324
2020-09-29,75.62,75.62,74.35,74.58,120181
2020-09-30,75.82,76.55,75.14,75.5,171006
2020-10-01,76.36,76.8,75.72,76.23,443910
2020-10-02,74.8,76.53,74.78,76.09,202670
2020-10-05,76.69,77.9,76.66,77.68,314124
2020-10-06,77.95,78.43,76.26,76.51,382282
2020-10-07,77.08,78.17,76.82,77.76,236825
2020-10-08,77.88,78.72,77.71,78.66,203631
2020-10-09,78.93,79.34,78.69,79.11,251705
2020-10-12,79.4,80.02,79.02,79.79,242843
2020-10-13,79.62,79.81,78.87,79.24,278322
2020-10-14,79.24,79.57,77.84,78.46,214557
2020-10-15,77.34,78.06,77.03,78.06,190498
2020-10-16,78.47,78.73,77.69,77.76,243052
2020-10-19,77.96,78.67,76.75,76.95,275920
2020-10-20,77.67,78.81,77.36,77.8,280205
2020-10-21,77.67,78.32,77.47,77.53,199787
2020-10-22,77.33,78.51,77.04,78.51,205056
2020-10-23,78.85,79.85,78.6,79.72,471477
2020-10-26,79.11,80.04,77.9,78.76,360156
2020-10-27,78.64,79.36,78.36,79.11,563700
2020-10-28,77.82,78.11,76.11,76.56,729682
2020-10-29,76.25,78.25,76.12,77.68,370159
2020-10-30,76.8,77.63,75.26,76.45,587832
2020-11-02,76.96,77.1,75.07,75.49,533264
2020-11-03,76.15,78.22,75.72,77.59,357889
2020-11-04,78.1,80.18,78.05,78.89,397149
2020-11-05,79.62,80.06,78.98,79.63,218201
2020-11-06,79.28,80.11,78.88,79.62,263111
2020-11-09,85.49,85.76,84.06,84.25,592654
2020-11-10,82.74,84.07,82.22,82.87,368849
2020-11-11,83.03,84.55,83.03,83.87,333936
2020-11-12,83.57,83.59,81.83,82.57,289651
2020-11-13,83.15,84.35,82.7,84.33,222564
2020-11-16,85.45,86.31,84.91,86.31,318605
2020-11-17,85.89,87.18,85.45,87.03,334270
2020-11-18,87.1,87.65,86.43,86.49,261857
2020-11-19,85.73,86.4,85.55,86.29,195808
2020-11-20,85.84,86.05,85.59,85.62,154199
2020-11-23,86.06,86.31,85.15,85.54,215125
2020-11-24,86.01,87.12,86.0,86.76,257204
2020-11-25,86.8,86.96,86.46,86.69,136806
2020-11-27,86.94,87.29,86.77,87.16,47948
2020-11-30,86.7,86.7,85.61,86.54,132337
2020-12-01,87.27,87.6,86.72,87.21,326604
2020-12-02,86.91,87.39,86.76,87.28,153254
2020-12-03,87.41,89.13,87.39,88.37,160641
2020-12-04,89.37,90.84,89.21,90.19,266972
2020-12-07,89.97,90.2,88.88,89.5,133581
2020-12-08,88.38,89.62,88.31,89.43,113999
2020-12-09,89.92,90.16,88.36,88.68,249851
2020-12-10,91.31,93.6,90.76,93.06,353891
2020-12-11,92.19,92.44,90.33,90.9,233768
2020-12-14,91.64,92.4,91.24,91.24,124076
2020-12-15,91.99,92.53,91.6,91.9,181684
2020-12-16,91.85,92.45,90.67,91.14,144566
2020-12-17,91.45,91.76,90.58,91.08,92117
2020-12-18,91.28,91.89,90.9,91.13,125347
2020-12-21,89.4,91.0,88.29,90.83,257859
2020-12-22,90.22,91.03,89.95,90.41,107275
2020-12-23,90.29,90.62,90.04,90.04,117532
2020-12-24,90.11,90.29,89.75,90.02,71171
2020-12-28,90.74,92.1,90.32,92.07,162973
2020-12-29,92.44,93.34,92.21,93.25,131070
2020-12-30,93.46,94.09,93.46,93.49,103991
2020-12-31,93.63,94.55,93.29,94.48,115354
2021-01-04,95.0,95.05,90.19,90.99,395821
2021-01-05,90.86,92.02,90.81,91.27,402463
2021-01-06,90.85,92.82,90.85,91.98,230002
2021-01-07,92.2,92.35,90.88,91.23,187813
2021-01-08,91.69,93.33,91.31,93.31,238099
2021-01-11,92.78,93.19,92.05,92.33,101455
2021-01-12,91.94,92.07,90.31,90.85,126072
2021-01-13,90.28,91.24,89.58,90.85,165783
2021-01-14,91.59,91.95,89.79,89.85,103127
2021-01-15,89.46,90.62,89.36,90.34,142983
2021-01-19,90.68,91.41,89.51,90.55,188237
2021-01-20,90.38,93.41,90.21,93.09,177881
2021-01-21,93.08,93.1,92.22,92.37,168208
2021-01-22,91.89,92.19,90.98,91.73,162933
2021-01-25,91.63,91.75,90.3,91.24,185129
2021-01-26,91.27,92.84,91.18,92.43,318033
2021-01-27,89.54,89.78,85.38,86.43,665512
2021-01-28,87.32,88.72,86.62,86.62,272205
2021-01-29,85.89,86.22,84.7,85.43,186007
2021-02-01,85.6,87.92,85.56,87.0,442964
2021-02-02,87.5,90.44,87.25,89.7,264490
2021-02-03,89.32,90.58,88.99,89.21,154565
2021-02-04,89.4,91.99,89.26,91.46,285808
2021-02-05,92.62,94.91,92.52,93.99,365658
2021-02-08,93.97,93.97,92.98,93.79,109154
2021-02-09,93.56,94.27,92.92,93.72,116893
2021-02-10,94.17,94.35,92.65,93.38,183873
2021-02-11,93.66,93.72,92.74,93.5,84276
2021-02-12,93.41,93.47,92.43,92.97,154846
2021-02-16,92.61,94.06,92.47,93.7,152543
2021-02-17,93.26,93.45,92.32,92.58,98699
2021-02-18,92.0,93.34,91.74,92.94,133309
2021-02-19,92.78,93.0,91.5,91.6,128945
2021-02-22,91.25,91.26,90.2,90.24,211127
2021-02-23,91.44,91.49,88.61,89.82,443085
2021-02-24,89.78,92.63,89.2,92.63,256606
2021-02-25,92.13,93.75,91.4,91.77,434003
2021-02-26,92.28,97.02,92.0,95.85,455923
2021-03-01,96.25,97.88,94.44,94.71,228518
2021-03-02,95.16,95.94,93.84,94.97,143087
2021-03-03,94.76,95.67,94.08,94.13,214120
2021-03-04,94.3,94.92,92.16,92.91,287215
2021-03-05,93.93,93.93,91.11,93.21,189480
2021-03-08,92.89,94.73,92.43,93.05,232423
2021-03-09,94.16,95.68,93.93,94.51,233666
2021-03-10,94.94,96.67,94.87,95.5,268526
2021-03-11,96.14,96.21,95.09,95.11,184529
2021-03-12,95.18,95.7,94.52,95.59,122968
2021-03-15,95.76,96.53,94.91,96.53,942559
2021-03-16,97.99,99.51,97.46,98.69,927167
2021-03-17,98.74,98.76,96.6,97.92,1735944
2021-03-18,97.17,97.69,95.3,95.4,938777
2021-03-19,96.04,96.35,93.8,94.05,1585710
2021-03-22,94.38,96.09,93.96,95.37,865983
2021-03-23,95.46,95.63,93.69,94.15,850108
2021-03-24,94.46,95.09,93.07,93.11,996478
2021-03-25,93.07,95.45,92.32,95.16,1519144
2021-03-26,95.16,97.5,95.11,97.47,273003
2021-03-29,96.7,97.71,95.86,96.69,194417
2021-03-30,96.26,97.86,96.26,97.62,180491
2021-03-31,97.81,98.87,96.79,96.81,183061
2021-04-01,97.03,97.52,95.93,96.97,221249
2021-04-05,97.41,98.7,97.39,98.4,336949
2021-04-06,98.64,100.88,98.6,100.29,269935
2021-04-07,100.04,100.79,99.87,100.35,160303
2021-04-08,100.61,101.0,99.88,100.16,149081
2021-04-09,100.09,100.39,99.26,100.34,120717
2021-04-12,100.2,100.94,99.96,100.88,160659
2021-04-13,100.81,102.46,100.77,102.31,93447
2021-04-14,102.11,103.03,101.69,102.05,164294
2021-04-15,102.12,103.59,101.76,103.38,204028
2021-04-16,104.33,104.98,103.65,104.88,266465
2021-04-19,104.76,105.46,103.83,104.25,251156
2021-04-20,103.65,103.9,102.27,103.0,305268
2021-04-21,102.96,103.94,102.77,103.39,234949
2021-04-22,103.53,103.54,102.15,102.78,243977
2021-04-23,102.92,104.56,102.74,104.18,191993
2021-04-26,103.78,103.8,102.0,102.75,172321
2021-04-27,102.53,103.16,102.19,102.98,263302
2021-04-28,100.35,101.13,99.02,99.64,587958
2021-04-29,100.31,102.06,99.95,101.6,418487
2021-04-30,101.05,101.84,100.59,101.49,238275
2021-05-03,102.22,103.45,102.08,102.62,182582
2021-05-04,102.0,102.26,100.65,101.14,231528
2021-05-05,101.22,101.81,100.32,100.54,176082
2021-05-06,100.74,101.75,100.28,101.68,156170
2021-05-07,102.02,102.6,101.3,101.33,164552
2021-05-10,101.32,102.89,101.32,101.37,200667
2021-05-11,100.56,100.76,99.44,100.69,229214
2021-05-12,99.65,99.98,97.56,97.71,230629
2021-05-13,98.03,98.9,97.14,98.33,336158
2021-05-14,98.81,99.3,98.14,98.96,191520
2021-05-17,98.97,98.97,97.75,98.75,161980
2021-05-18,99.09,99.83,98.82,98.89,213920
2021-05-19,97.84,97.84,96.91,97.59,376168
2021-05-20,97.87,99.38,97.85,99.17,239306
2021-05-21,99.37,99.84,98.41,98.64,210226
2021-05-24,99.48,100.58,99.29,100.1,152076
2021-05-25,100.47,100.69,99.86,100.23,143294
2021-05-26,100.81,101.31,100.24,100.45,175509
2021-05-27,100.87,101.53,100.34,101.02,227793
2021-05-28,101.67,101.71,100.62,101.31,148941
2021-06-01,101.91,101.91,100.66,100.86,135070
2021-06-02,100.95,101.03,100.34,100.57,194133
2021-06-03,99.77,99.8,98.03,98.89,221218
2021-06-04,99.28,99.7,98.83,99.66,130235
2021-06-07,99.61,99.73,98.78,99.09,144907
2021-06-08,99.13,99.65,98.65,99.24,161209
2021-06-09,99.37,99.8,99.11,99.13,212605
2021-06-10,99.34,100.02,99.23,99.88,106434
2021-06-11,99.91,100.41,99.85,100.16,119372
2021-06-14,100.3,100.67,99.23,100.07,111968
2021-06-15,100.02,100.07,99.33,99.57,125326
2021-06-16,100.07,100.13,98.09,99.07,134707
2021-06-17,98.89,99.6,98.56,99.12,170914
2021-06-18,98.45,98.45,97.24,97.6,134102
2021-06-21,97.88,99.11,97.65,98.76,256475
2021-06-22,98.84,99.89,98.46,99.53,88724
2021-06-23,99.3,99.62,98.91,99.3,114828
2021-06-24,99.57,100.47,99.52,99.66,105354
2021-06-25,100.26,100.58,99.88,100.58,97856
2021-06-28,100.45,100.58,99.19,99.91,209042
2021-06-29,99.74,100.28,99.29,99.9,101889
2021-06-30,100.04,100.04,99.03,99.55,168644
2021-07-01,99.62,100.99,99.57,100.9,170127
2021-07-02,101.44,102.58,101.29,102.32,110873
2021-07-06,102.48,103.08,101.75,103.01,166129
2021-07-07,103.12,104.79,103.01,104.29,153859
2021-07-08,102.69,103.88,102.63,103.22,153830
2021-07-09,103.45,104.77,103.45,104.51,109216
2021-07-12,104.61,105.68,104.52,105.37,101581
2021-07-13,105.54,106.78,105.43,106.39,133311
2021-07-14,106.77,107.52,106.51,106.56,153895
2021-07-15,106.17,106.39,105.19,105.91,172534
2021-07-16,106.6,107.18,105.46,105.62,141692
2021-07-19,104.47,104.61,101.76,102.59,255537
2021-07-20,102.92,105.04,102.65,104.5,103699
2021-07-21,104.56,106.44,104.56,106.12,163642
2021-07-22,106.28,109.35,105.97,109.12,215267
2021-07-23,110.89,112.39,110.33,112.11,233292
2021-07-26,111.89,112.21,110.58,112.18,208200
2021-07-27,112.27,112.27,111.09,112.15,172528
2021-07-28,108.42,109.73,108.06,108.96,339339
2021-07-29,109.09,109.86,108.7,108.91,341992
2021-07-30,108.8,109.43,107.77,108.03,217436
2021-08-02,108.71,109.4,106.86,107.05,235384
2021-08-03,107.29,107.29,104.59,106.0,273782
2021-08-04,106.08,106.08,104.63,105.23,241514
2021-08-05,105.59,105.93,105.11,105.92,150227
2021-08-06,105.81,106.07,105.1,105.94,138309
2021-08-09,105.87,105.87,104.79,104.95,280847
2021-08-10,105.39,105.43,103.23,103.58,335386
2021-08-11,103.82,104.76,103.58,103.98,329614
2021-08-12,104.17,104.17,103.2,103.36,334446
2021-08-13,103.6,104.37,103.14,104.28,216767
2021-08-16,104.08,105.06,104.02,105.0,163403
2021-08-17,104.25,104.36,103.29,104.14,122020
2021-08-18,103.94,104.28,103.27,103.31,176985
2021-08-19,102.02,102.79,101.5,102.15,199913
2021-08-20,101.92,102.73,101.67,102.4,78248
2021-08-23,102.66,103.14,102.51,102.87,77835
2021-08-24,103.07,103.49,102.69,102.81,129386
2021-08-25,103.26,103.55,102.74,103.24,123892
2021-08-26,103.29,103.29,101.73,102.15,124473
2021-08-27,102.32,103.08,102.01,102.86,230640
2021-08-30,103.31,103.43,102.41,103.27,106444
2021-08-31,103.59,105.05,103.37,105.0,122394
2021-09-01,105.18,105.67,104.78,104.92,138459
2021-09-02,105.33,105.7,104.43,104.85,90963
2021-09-03,104.39,105.03,103.95,104.7,64276
2021-09-07,104.48,104.58,103.16,103.47,98639
2021-09-08,103.66,105.57,103.37,105.46,138073
2021-09-09,105.27,107.24,105.27,106.09,122078
2021-09-10,106.51,107.87,106.25,106.56,165757
2021-09-13,107.08,107.17,105.92,106.44,150732
2021-09-14,107.0,107.06,105.83,106.17,93349
2021-09-15,104.34,104.5,101.08,102.45,347505
2021-09-16,102.66,102.96,101.14,102.45,295640
2021-09-17,102.44,102.44,101.08,101.35,106578
2021-09-20,99.39,100.26,98.63,99.91,200612
2021-09-21,99.99,101.44,99.89,100.24,218523
2021-09-22,100.96,101.87,100.39,100.98,96441
2021-09-23,101.35,102.47,101.07,101.99,112267
2021-09-24,102.01,102.57,101.65,101.92,154132
2021-09-27,101.34,102.41,100.95,101.55,96712
2021-09-28,100.78,100.78,99.27,99.81,235240
2021-09-29,100.17,100.5,99.67,100.21,158843
2021-09-30,99.64,100.11,98.56,98.56,102263
2021-10-01,99.13,101.34,98.79,100.81,237667
2021-10-04,100.38,100.98,99.21,99.58,100308
2021-10-05,99.15,99.59,98.3,99.03,200759
2021-10-06,98.52,99.78,97.82,99.76,95445
2021-10-07,100.47,100.93,100.12,100.26,152325
2021-10-08,100.64,100.64,99.29,99.36,162216
2021-10-11,100.76,101.4,99.11,99.11,161577
2021-10-12,99.72,99.94,98.86,99.22,90220
2021-10-13,99.41,99.41,97.76,99.0,287101
2021-10-14,99.29,100.59,99.23,99.92,129339
2021-10-15,100.51,100.85,99.13,99.55,210873
2021-10-18,99.47,101.45,99.32,101.3,104750
2021-10-19,101.37,102.28,100.74,101.4,132512
2021-10-20,101.09,102.82,100.74,101.77,234051
2021-10-21,101.82,102.34,101.51,102.24,147257
2021-10-22,102.23,102.72,101.94,102.34,88734
2021-10-25,102.48,102.63,101.31,102.49,154423
2021-10-26,102.6,102.95,102.07,102.72,155802
2021-10-27,103.13,103.13,101.03,101.4,222781
2021-10-28,101.59,102.36,100.49,101.12,220367
2021-10-29,96.26,96.26,92.96,94.81,956039
2021-11-01,95.78,98.4,95.78,98.07,363520
2021-11-02,98.49,99.89,98.1,99.57,433761
2021-11-03,99.37,100.87,98.43,100.63,293151
2021-11-04,99.8,100.39,99.1,100.23,388021
