date,open,high,low,close,volume
2020-07-27,31.94,31.94,31.02,31.18,347451
2020-07-28,31.02,31.36,30.95,31.02,240808
2020-07-29,30.96,31.44,30.84,31.42,232833
2020-07-30,30.92,31.09,30.34,30.96,236010
2020-07-31,30.66,30.81,30.11,30.56,413526
2020-08-03,30.59,30.99,30.23,30.73,268309
2020-08-04,30.61,31.29,30.59,31.29,280454
2020-08-05,31.55,31.67,31.24,31.52,386842
2020-08-06,31.29,31.46,30.6,30.69,199379
2020-08-07,30.66,31.56,30.46,31.51,158000
2020-08-10,31.55,31.74,31.1,31.33,95983
2020-08-11,31.98,32.94,31.91,32.4,270993
2020-08-12,32.93,33.34,32.22,32.31,472279
2020-08-13,31.83,32.36,31.62,32.07,544199
2020-08-14,31.86,32.85,31.81,32.49,477555
2020-08-17,32.37,32.69,31.98,32.09,183803
2020-08-18,32.06,32.43,31.74,32.37,413274
2020-08-19,32.5,33.26,32.47,33.09,248421
2020-08-20,32.62,32.75,31.95,32.02,288664
2020-08-21,31.93,32.33,31.73,31.93,268530
2020-08-24,31.96,32.9,31.93,32.54,248659
2020-08-25,32.89,33.23,32.67,32.94,179633
2020-08-26,32.69,33.09,32.58,32.81,144367
2020-08-27,32.77,33.7,32.56,33.43,218213
2020-08-28,33.55,33.79,33.23,33.6,177038
2020-08-31,33.32,33.34,32.86,32.97,381512
2020-09-01,32.51,33.59,32.43,33.18,208288
2020-09-02,33.16,33.46,32.88,33.35,256330
2020-09-03,33.7,34.16,32.63,32.81,532816
2020-09-04,33.47,34.18,33.02,33.55,305284
2020-09-08,32.87,33.07,32.1,32.1,349078
2020-09-09,32.28,32.68,32.06,32.47,122039
2020-09-10,32.56,32.77,32.02,32.1,119015
2020-09-11,32.21,32.95,32.18,32.67,109009
2020-09-14,32.91,33.51,32.77,33.18,185016
2020-09-15,32.18,32.53,31.33,32.22,1051678
2020-09-16,32.35,33.43,32.29,33.15,258672
2020-09-17,32.53,33.4,32.53,33.17,275159
2020-09-18,33.21,33.85,33.2,33.39,149051
2020-09-21,32.62,33.27,31.97,32.69,345195
2020-09-22,32.61,33.17,31.93,32.41,476282
2020-09-23,32.55,33.17,32.23,32.26,605935
2020-09-24,32.3,32.3,31.6,31.84,301454
2020-09-25,31.58,32.49,31.57,32.39,170411
2020-09-28,32.9,33.64,32.9,33.51,219802
2020-09-29,33.32,33.55,32.94,33.19,163549
2020-09-30,33.4,33.97,33.34,33.62,215318
2020-10-01,34.09,34.99,33.92,34.97,1051256
2020-10-02,34.5,35.66,34.43,34.9,1419146
2020-10-05,35.32,35.86,34.09,34.2,1558272
2020-10-06,34.42,34.71,33.45,34.08,679759
2020-10-07,34.6,35.35,34.58,35.0,546105
2020-10-08,35.17,35.17,34.7,34.98,355280
2020-10-09,35.22,35.64,34.81,35.42,531320
2020-10-12,35.45,35.69,35.15,35.65,263933
2020-10-13,35.48,35.69,34.67,34.85,468037
2020-10-14,34.59,35.15,34.3,34.4,442707
2020-10-15,34.59,36.15,34.51,36.15,833663
2020-10-16,36.45,36.86,35.74,36.43,628064
2020-10-19,36.53,36.65,35.91,36.03,431307
2020-10-20,36.27,37.17,36.25,36.25,442538
2020-10-21,36.25,36.52,35.91,36.11,301474
2020-10-22,36.07,37.31,35.88,37.19,422156
2020-10-23,37.64,37.93,37.0,37.4,297044
2020-10-26,36.84,37.0,35.84,36.28,264289
2020-10-27,36.19,36.35,35.5,35.66,299609
2020-10-28,35.04,35.71,34.57,35.32,627468
2020-10-29,35.06,37.8,34.59,37.35,933646
2020-10-30,37.24,38.12,37.16,38.12,549411
2020-11-02,38.34,39.52,37.91,38.23,934997
2020-11-03,39.1,40.56,39.09,39.52,1062000
2020-11-04,37.24,38.89,36.61,37.81,1245903
2020-11-05,37.85,39.1,37.82,38.4,466703
