date,open,high,low,close,volume
2020-07-27,171.54,172.01,168.45,171.305,84503
2020-07-28,172.8,174.205,171.18,171.18,57352
2020-07-29,172.88,173.27,168.37,168.5,71323
2020-07-30,167.91,172.64,167.91,171.275,65457
2020-07-31,169.09,169.09,157.75,166.07,123854
2020-08-03,165.905,169.08,164.485,169.0,63076
2020-08-04,168.375,168.375,163.18,164.81,30395
2020-08-05,164.18,165.585,162.19,162.47,65749
2020-08-06,163.13,163.445,159.37,161.76,27989
2020-08-07,161.045,161.82,159.035,160.66,28457
2020-08-10,157.825,158.0,154.34,157.64,27596
2020-08-11,156.3,157.37,153.46,153.47,19919
2020-08-12,154.0,158.89,154.0,158.83,25336
2020-08-13,159.725,160.8,158.065,160.24,40223
2020-08-14,159.95,159.95,156.91,157.26,9248
2020-08-17,157.75,162.0,157.75,161.58,21048
2020-08-18,160.72,160.72,157.09,157.68,27739
2020-08-19,156.775,159.59,156.775,157.9,9599
2020-08-20,157.3,159.07,156.29,158.535,9310
2020-08-21,157.66,158.34,155.705,157.64,19260
2020-08-24,158.21,158.85,154.35,154.92,14472
2020-08-25,154.32,155.75,153.7,154.87,14184
2020-08-26,152.9,154.865,152.665,154.465,17361
2020-08-27,154.81,155.97,153.33,154.07,16745
2020-08-28,154.145,154.145,151.61,153.78,20560
2020-08-31,153.525,159.035,153.22,158.3,36615
2020-09-01,159.32,159.36,153.01,153.74,19526
2020-09-02,153.56,156.18,152.79,156.0,19690
2020-09-03,155.0,155.0,148.16,149.85,23451
2020-09-04,148.325,149.79,143.78,149.32,27946
2020-09-08,146.23,148.79,145.03,146.475,33696
2020-09-09,147.78,149.29,146.225,148.46,32157
2020-09-10,147.03,149.07,145.0,145.99,37100
2020-09-11,147.97,150.37,147.75,150.1,42108
2020-09-14,165.04,173.32,160.18,171.915,191221
2020-09-15,172.75,174.97,170.895,174.88,45781
2020-09-16,175.005,178.16,175.005,176.66,49433
2020-09-17,173.22,176.28,173.22,175.885,51823
2020-09-18,178.125,181.34,172.245,181.0,92987
2020-09-21,180.0,180.8,177.575,178.855,25525
2020-09-22,180.03,182.29,177.47,181.76,21824
2020-09-23,180.43,181.13,178.525,179.19,46825
2020-09-24,177.17,179.81,174.635,179.36,46647
2020-09-25,180.0,186.21,178.96,185.08,35790
2020-09-28,186.285,190.65,186.02,190.44,29954
2020-09-29,189.56,192.28,187.18,191.0,37266
2020-09-30,192.2,197.96,191.44,195.97,65298
2020-10-01,197.44,200.19,196.97,197.835,45827
2020-10-02,194.12,198.82,192.75,193.16,20214
2020-10-05,194.34,204.27,194.34,202.46,32547
2020-10-06,201.56,203.375,199.54,199.7,31278
2020-10-07,200.9,202.705,200.9,200.97,13160
2020-10-08,200.72,201.7,197.35,198.46,20100
2020-10-09,199.57,201.205,198.42,200.855,10248
2020-10-12,203.44,207.745,202.14,206.395,36303
2020-10-13,206.99,213.73,206.55,212.26,64600
2020-10-14,210.875,211.2,207.37,209.01,23435
2020-10-15,207.66,207.66,203.48,204.735,16379
2020-10-16,204.445,206.54,200.82,200.925,21253
2020-10-19,201.2,201.93,194.685,198.19,23299
2020-10-20,198.18,200.6,198.095,198.095,11252
2020-10-21,199.675,201.39,197.53,197.6,24561
2020-10-22,198.865,202.16,197.03,200.54,22533
2020-10-23,201.47,201.555,196.29,197.1,30725
2020-10-26,197.33,201.24,194.23,195.94,27998
2020-10-27,197.84,198.2,196.16,197.05,12669
2020-10-28,192.38,197.37,192.38,194.97,21235
2020-10-29,194.32,194.895,189.29,192.33,36918
2020-10-30,179.0,179.72,164.64,166.47,240019
2020-11-02,166.385,169.09,163.86,168.29,115523
2020-11-03,169.79,173.155,166.05,168.38,146890
2020-11-04,175.79,185.73,175.08,179.77,144294
2020-11-05,179.83,182.03,176.11,181.72,70978
2020-11-06,180.845,181.125,171.82,173.59,85633
2020-11-09,176.82,176.82,168.03,168.43,74939
2020-11-10,166.005,174.11,165.39,171.87,68249
2020-11-11,174.38,175.105,167.91,170.69,52235
2020-11-12,171.305,173.48,166.83,168.78,60547
2020-11-13,170.505,176.78,170.49,175.84,39590
2020-11-16,174.31,177.465,174.27,177.08,48399
2020-11-17,173.605,174.695,172.72,172.98,34349
2020-11-18,172.87,176.45,171.71,174.02,48723
2020-11-19,173.185,174.645,171.775,174.36,43313
2020-11-20,173.305,176.665,172.75,173.33,36107
2020-11-23,174.33,174.33,167.0,168.12,50450
2020-11-24,168.31,168.31,164.5,164.69,39129
2020-11-25,165.97,167.66,165.26,165.49,25780
2020-11-27,167.685,169.63,166.65,169.01,31110
2020-11-30,169.35,170.44,167.56,170.44,40102
2020-12-01,172.57,179.555,172.57,177.39,29917
2020-12-02,176.06,177.43,174.135,176.93,45053
2020-12-03,176.75,180.89,175.58,180.06,32975
2020-12-04,179.35,181.88,178.635,179.11,34491
2020-12-07,180.32,183.27,178.015,179.22,32223
2020-12-08,180.1,185.275,177.855,184.41,43072
2020-12-09,183.73,185.73,179.43,181.38,37492
2020-12-10,182.72,187.625,180.77,186.53,39211
2020-12-11,187.17,192.04,185.3,191.115,74432
2020-12-14,192.515,198.305,192.515,193.805,80431
2020-12-15,193.9,197.39,193.565,196.02,133314
2020-12-16,196.56,198.9,196.07,197.65,56639
2020-12-17,197.41,198.07,193.5,198.07,59360
2020-12-18,199.99,201.97,198.61,201.43,51684
2020-12-21,199.21,201.28,195.02,197.82,56361
2020-12-22,196.23,197.875,195.69,196.92,39897
2020-12-23,196.695,196.695,188.87,191.34,56492
2020-12-24,191.32,191.95,190.02,190.735,20327
2020-12-28,191.065,192.58,185.395,185.89,54589
2020-12-29,187.63,187.85,184.29,186.1,26635
2020-12-30,184.98,184.98,178.925,183.54,65456
2020-12-31,182.2,183.22,173.31,175.22,152381
2021-01-04,174.7,174.7,166.91,168.56,108864
2021-01-05,169.91,171.94,167.43,169.07,68949
2021-01-06,167.48,169.43,166.01,166.64,60356
2021-01-07,167.575,176.87,167.23,176.34,54239
2021-01-08,176.14,180.39,174.915,177.86,55102
2021-01-11,177.98,181.14,177.89,178.9,24392
2021-01-12,180.16,182.565,178.47,180.5,32942
2021-01-13,180.02,180.125,176.22,176.61,21873
2021-01-14,175.705,177.02,174.375,175.96,31612
2021-01-15,179.575,186.6,177.16,185.75,105737
2021-01-19,188.32,190.51,186.87,188.86,30411
2021-01-20,188.97,193.345,188.545,190.87,42882
2021-01-21,190.76,190.76,184.34,185.69,49005
2021-01-22,185.54,186.18,181.83,182.75,64164
2021-01-25,183.8,185.825,178.22,180.01,119553
2021-01-26,178.775,179.54,171.27,172.295,141672
2021-01-27,169.79,169.79,162.61,162.66,97809
2021-01-28,163.86,166.72,161.68,162.67,140641
2021-01-29,160.505,165.5,160.505,164.26,145027
2021-02-01,163.605,163.975,159.325,162.81,59540
2021-02-02,165.65,168.99,164.23,166.34,54516
2021-02-03,165.185,166.31,162.62,163.18,35392
2021-02-04,164.435,167.49,162.77,165.18,65310
2021-02-05,166.5,198.28,163.83,190.59,165850
2021-02-08,179.71,184.48,176.0,177.09,154717
2021-02-09,176.84,177.93,174.47,175.75,69504
2021-02-10,176.78,176.78,169.17,169.45,90240
2021-02-11,172.77,173.67,168.52,172.1,65901
2021-02-12,162.01,169.35,160.21,165.86,175386
2021-02-16,166.0,168.12,157.46,159.32,107068
2021-02-17,158.49,161.05,156.085,158.96,41941
2021-02-18,158.48,159.965,156.24,158.7,48504
2021-02-19,159.75,161.51,155.95,157.74,97883
2021-02-22,155.3,159.07,153.84,157.77,60557
2021-02-23,155.42,158.57,154.21,156.94,94907
2021-02-24,155.5,157.275,152.94,155.2,76598
2021-02-25,155.55,155.62,148.59,150.16,68253
2021-02-26,151.41,152.02,148.475,151.18,70197
2021-03-01,152.17,153.52,150.665,152.61,70602
2021-03-02,152.775,154.63,151.665,153.68,97115
2021-03-03,152.22,153.17,147.11,147.76,71239
2021-03-04,146.89,148.46,144.21,145.14,82901
2021-03-05,145.01,150.2,141.685,149.405,107615
2021-03-08,147.35,150.78,147.35,148.645,104437
2021-03-09,149.49,154.35,149.17,150.55,131831
2021-03-10,152.33,155.89,148.56,149.54,104719
2021-03-11,149.55,154.4,149.55,153.05,65118
2021-03-12,150.34,150.91,146.85,150.65,48755
2021-03-15,150.28,151.57,148.245,151.57,31255
2021-03-16,152.72,152.72,146.995,147.43,72430
2021-03-17,145.57,151.2,143.65,149.82,94517
2021-03-18,146.59,148.57,144.97,145.06,69613
2021-03-19,146.3,147.1,144.36,146.63,81202
2021-03-22,147.64,149.7,147.44,148.04,68594
2021-03-23,148.42,148.42,143.03,143.68,67507
2021-03-24,142.62,142.62,139.0,140.03,92195
2021-03-25,140.45,140.45,134.61,139.12,142638
2021-03-26,136.95,139.87,136.78,139.61,90081
2021-03-29,139.5,141.31,137.77,139.92,73461
2021-03-30,139.11,140.64,136.43,137.37,50874
2021-03-31,137.88,140.96,137.04,138.93,124516
2021-04-01,140.36,145.35,139.75,143.47,81605
2021-04-05,142.66,144.315,142.66,143.73,57471
2021-04-06,143.09,148.155,143.09,145.38,60804
2021-04-07,146.17,147.32,144.23,144.6,49029
2021-04-08,146.58,147.0,143.81,144.455,33260
2021-04-09,142.44,143.99,140.93,142.835,31178
2021-04-12,141.71,142.22,139.52,140.62,41274
2021-04-13,141.55,142.115,139.14,140.74,21742
2021-04-14,141.11,147.495,141.11,144.27,75877
2021-04-15,145.63,151.905,145.63,149.58,72219
2021-04-16,147.625,147.625,143.58,145.44,52816
2021-04-19,146.08,146.435,143.43,144.22,34390
2021-04-20,145.25,146.725,144.07,144.79,60778
2021-04-21,144.44,147.49,144.0,147.44,87157
2021-04-22,146.59,146.94,143.02,143.87,56253
2021-04-23,143.745,147.86,143.62,147.1,31421
2021-04-26,147.31,148.465,145.77,147.29,22066
2021-04-27,147.34,147.34,143.5,144.31,40756
2021-04-28,143.68,145.17,141.385,144.535,166867
2021-04-29,144.52,144.52,138.22,139.36,77378
2021-04-30,136.46,146.085,134.16,143.71,84542
2021-05-03,144.0,146.7,141.38,142.28,39136
2021-05-04,140.54,140.54,133.21,136.08,157626
2021-05-05,136.9,137.585,134.11,135.14,54543
2021-05-06,134.43,136.055,133.92,135.97,51499
2021-05-07,139.31,141.44,138.62,139.725,42279
2021-05-10,138.79,138.79,134.97,136.08,67073
2021-05-11,133.87,139.85,133.68,139.225,79415
2021-05-12,137.95,147.4,137.65,144.93,131977
2021-05-13,145.72,146.975,142.16,144.985,70155
2021-05-14,144.795,148.75,143.03,147.52,59713
2021-05-17,147.04,150.66,145.61,147.89,93620
2021-05-18,147.5,152.235,146.99,148.4,65468
2021-05-19,146.27,148.88,145.91,148.78,42256
2021-05-20,149.44,156.3,149.17,155.35,75987
2021-05-21,156.32,156.32,153.0,153.35,47337
2021-05-24,153.91,155.67,152.78,153.75,76645
2021-05-25,152.72,153.2,150.3,150.58,53200
2021-05-26,150.69,153.075,150.25,151.05,52678
2021-05-27,151.65,152.35,149.16,151.295,30860
2021-05-28,152.63,155.69,152.33,155.34,48745
2021-06-01,155.34,156.93,152.91,153.92,52225
2021-06-02,154.17,154.54,146.77,148.03,103715
2021-06-03,148.12,148.12,141.46,147.03,71511
2021-06-04,147.845,149.32,146.86,148.22,32016
2021-06-07,147.98,155.85,147.68,153.91,63129
2021-06-08,154.49,155.68,152.82,154.67,36629
2021-06-09,156.2,159.29,155.27,155.57,44001
2021-06-10,155.76,159.26,155.37,158.59,37642
2021-06-11,156.935,157.84,155.45,156.425,49238
2021-06-14,157.12,157.77,155.4,156.235,55658
2021-06-15,154.93,154.93,152.72,153.37,36823
2021-06-16,153.13,154.14,148.24,151.26,28416
