date,open,high,low,close,volume
2020-07-27,197.57,199.59,197.25,198.08,133791
2020-07-28,205.83,207.87,198.18,200.37,156195
2020-07-29,201.33,205.61,201.24,204.59,76056
2020-07-30,202.59,205.36,202.06,204.49,63828
2020-07-31,204.2,205.03,202.4,204.5,74577
2020-08-03,204.81,206.22,202.8,202.8,65868
2020-08-04,202.98,207.46,202.98,205.84,43206
2020-08-05,207.53,208.21,205.86,205.91,76437
2020-08-06,205.7,208.12,205.7,207.0,65850
2020-08-07,206.62,207.79,206.27,207.59,77307
2020-08-10,208.08,208.08,205.31,205.81,32280
2020-08-11,207.26,208.85,205.59,206.0,28707
2020-08-12,208.81,213.58,208.18,212.47,71457
2020-08-13,211.18,213.0,210.81,211.32,25074
2020-08-14,212.27,212.42,209.76,210.44,30060
2020-08-17,212.75,212.96,210.61,212.04,25467
2020-08-18,212.9,213.6,211.47,211.56,23532
2020-08-19,212.03,212.46,209.95,210.33,44808
2020-08-20,210.29,212.13,210.29,211.49,36498
2020-08-21,211.41,214.67,210.9,213.96,33897
2020-08-24,213.59,213.88,211.78,212.61,21504
2020-08-25,213.16,214.8,211.2,212.25,35100
2020-08-26,211.43,214.82,211.29,214.09,25719
2020-08-27,213.93,214.5,212.65,212.65,24297
2020-08-28,213.45,214.22,212.1,214.22,23826
2020-08-31,213.19,213.24,212.17,212.6,39426
2020-09-01,212.36,217.01,211.6,217.01,61185
2020-09-02,216.64,221.46,216.64,221.16,29517
2020-09-03,219.18,219.18,212.82,214.64,45654
2020-09-04,215.11,216.38,209.79,215.3,69501
2020-09-08,211.7,213.14,210.29,212.02,67686
2020-09-09,217.55,220.81,217.39,219.9,63879
2020-09-10,220.33,224.49,220.25,222.4,108300
2020-09-11,224.34,225.81,222.16,224.53,72771
2020-09-14,225.82,228.31,225.67,227.52,58122
2020-09-15,229.13,229.65,226.19,226.65,42810
2020-09-16,226.62,228.23,226.04,226.59,40581
2020-09-17,224.01,225.92,223.25,225.59,94980
2020-09-18,225.31,225.71,219.19,220.75,60867
2020-09-21,217.56,218.25,213.56,216.46,36381
2020-09-22,217.62,221.14,216.68,220.75,79698
2020-09-23,218.71,218.71,214.13,214.51,64551
2020-09-24,216.17,218.63,215.57,217.27,42843
2020-09-25,217.79,221.08,217.58,220.93,55557
2020-09-28,224.1,225.46,222.66,223.88,79023
