date,open,high,low,close,volume
2020-07-27,88.39,89.03,87.85,88.98,15212
2020-07-28,89.05,89.79,88.89,89.29,21644
2020-07-29,89.52,90.42,89.18,90.3,29475
2020-07-30,89.39,90.08,88.71,89.34,27107
2020-07-31,89.21,89.5,88.18,89.32,25832
2020-08-03,89.67,90.97,89.37,90.64,21740
2020-08-04,90.47,93.1,90.29,92.56,19375
2020-08-05,91.97,91.97,90.58,90.82,44441
2020-08-06,90.82,91.4,90.03,90.17,23293
2020-08-07,90.12,91.07,89.73,90.74,22889
2020-08-10,91.17,92.44,91.17,92.21,23041
2020-08-11,92.63,93.21,91.74,92.07,22631
2020-08-12,92.63,94.53,92.62,93.94,12904
2020-08-13,93.92,94.79,93.67,94.46,20204
2020-08-14,94.34,94.94,93.69,93.84,8687
2020-08-17,93.9,94.16,93.5,93.57,30987
2020-08-18,93.16,94.54,92.8,93.86,31151
2020-08-19,91.96,92.23,91.04,91.76,53411
2020-08-20,91.76,92.7,91.76,92.19,26898
2020-08-21,92.11,92.66,91.25,92.38,35119
2020-08-24,92.26,93.58,91.34,93.12,27126
2020-08-25,98.61,101.57,96.99,99.47,239140
2020-08-26,100.54,101.26,99.24,100.21,45415
2020-08-27,100.41,101.43,99.6,99.69,15387
2020-08-28,99.14,99.49,97.71,98.67,31144
2020-08-31,98.1,99.42,98.1,98.94,27484
2020-09-01,98.35,98.35,96.8,97.18,43584
2020-09-02,97.6,99.88,97.5,99.66,60328
2020-09-03,100.08,100.31,96.53,97.39,36851
2020-09-04,97.95,98.4,96.5,96.76,33128
2020-09-08,96.34,96.34,93.66,94.0,33509
2020-09-09,94.51,96.36,94.4,95.35,29896
2020-09-10,94.53,94.53,92.9,93.21,27069
2020-09-11,93.37,93.78,92.23,93.28,16954
2020-09-14,93.67,93.96,93.28,93.45,27331
2020-09-15,93.77,93.77,92.52,92.52,31953
2020-09-16,92.72,92.73,90.94,91.27,44087
2020-09-17,90.48,91.53,89.73,90.62,50314
2020-09-18,90.45,91.35,89.87,90.12,23181
2020-09-21,89.68,91.57,89.1,90.4,58147
2020-09-22,90.35,92.07,90.35,90.44,28785
2020-09-23,91.22,91.22,89.16,89.22,71347
2020-09-24,89.28,91.69,89.17,91.32,48248
2020-09-25,91.42,92.59,91.42,92.39,37065
2020-09-28,92.89,94.09,92.89,93.19,28372
2020-09-29,93.04,93.44,92.59,93.12,25771
2020-09-30,93.42,95.66,93.38,95.22,44910
2020-10-01,95.06,95.63,93.82,95.59,39327
2020-10-02,96.0,96.89,95.67,95.98,28429
2020-10-05,95.94,96.89,95.25,96.68,40701
2020-10-06,96.58,97.81,96.31,96.85,37703
2020-10-07,97.12,97.35,95.83,96.81,46041
2020-10-08,96.92,97.37,95.97,96.49,47624
2020-10-09,96.56,97.81,96.51,97.79,48204
2020-10-12,98.3,99.34,98.3,98.82,56094
2020-10-13,98.78,99.62,98.24,98.96,53818
2020-10-14,98.61,99.18,97.91,97.99,37697
2020-10-15,97.64,98.26,97.22,98.01,37640
2020-10-16,98.18,98.18,97.09,97.09,37846
2020-10-19,97.15,97.15,94.82,94.9,76815
2020-10-20,95.3,95.72,93.98,94.02,55210
2020-10-21,93.49,94.68,92.95,94.28,65952
2020-10-22,94.13,95.58,93.89,95.3,39909
2020-10-23,95.97,96.04,94.66,95.3,35257
2020-10-26,94.6,95.15,94.09,94.83,44324
2020-10-27,94.96,95.49,93.14,93.16,59146
2020-10-28,92.42,93.27,91.58,91.6,62347
2020-10-29,91.85,92.98,90.54,91.69,75868
2020-10-30,91.73,93.16,91.31,92.38,80671
2020-11-02,93.68,96.42,92.94,96.06,107202
2020-11-03,96.72,97.85,95.99,96.31,58050
2020-11-04,96.74,97.62,94.38,94.39,72355
2020-11-05,95.73,97.51,95.15,95.41,67869
2020-11-06,95.74,96.95,95.36,95.95,30727
2020-11-09,96.96,96.96,93.05,93.28,86490
2020-11-10,93.2,96.93,92.58,96.93,80320
2020-11-11,97.34,98.77,96.37,98.69,43718
2020-11-12,98.16,98.16,96.75,97.83,74970
2020-11-13,98.5,99.1,97.66,98.83,16721
2020-11-16,99.0,99.75,97.95,99.7,34716
2020-11-17,99.13,99.4,98.14,98.31,28990
2020-11-18,98.42,98.42,96.08,96.09,35408
2020-11-19,95.97,97.35,95.15,97.14,41350
2020-11-20,96.96,97.22,94.86,96.43,74012
