date,open,high,low,close,volume
2020-07-27,17.23,17.38,16.88,17.35,284860
2020-07-28,17.16,17.28,16.75,16.9,310738
2020-07-29,16.86,17.17,16.71,17.13,152212
2020-07-30,16.81,16.88,16.05,16.27,270527
2020-07-31,16.0,16.36,15.81,16.01,497222
2020-08-03,15.96,16.73,15.78,16.52,145293
2020-08-04,16.41,17.06,16.41,16.95,192713
2020-08-05,17.34,17.59,17.09,17.19,262363
2020-08-06,17.1,17.36,16.95,17.04,103172
2020-08-07,16.88,17.32,16.78,17.3,199610
2020-08-10,17.23,17.97,17.19,17.83,235565
2020-08-11,18.36,18.73,17.8,17.91,357318
2020-08-12,18.3,18.3,17.47,17.95,326263
2020-08-13,17.74,17.8,17.41,17.51,152154
2020-08-14,17.35,17.76,17.31,17.69,141333
2020-08-17,17.62,17.84,17.52,17.63,138608
2020-08-18,17.54,17.76,17.35,17.43,132647
2020-08-19,17.42,17.74,17.31,17.38,150908
2020-08-20,17.01,17.09,16.58,16.58,240305
2020-08-21,16.35,16.47,16.2,16.38,174851
2020-08-24,16.57,17.38,16.48,17.24,161834
2020-08-25,17.55,17.61,16.86,16.98,193385
2020-08-26,16.9,16.94,16.44,16.44,104413
2020-08-27,16.52,16.64,16.26,16.49,189338
2020-08-28,16.63,17.16,16.55,17.14,215624
2020-08-31,17.2,17.2,16.71,16.77,230248
2020-09-01,16.53,16.79,16.39,16.53,259594
2020-09-02,16.47,16.67,16.29,16.67,229781
2020-09-03,16.67,17.34,16.67,16.99,233319
2020-09-04,17.16,17.47,16.78,17.13,287748
2020-09-08,16.75,16.86,15.93,16.33,329832
2020-09-09,16.4,16.62,16.31,16.52,227064
2020-09-10,16.53,16.53,15.67,15.74,433437
2020-09-11,15.7,15.95,15.56,15.86,190715
2020-09-14,15.84,16.16,15.66,16.01,221282
2020-09-15,16.05,16.37,15.96,16.16,275554
2020-09-16,16.35,17.21,16.17,17.01,316859
2020-09-17,16.67,16.97,16.39,16.95,334510
2020-09-18,16.76,17.15,16.45,16.63,183840
2020-09-21,16.08,16.11,15.18,15.33,337977
2020-09-22,15.4,15.73,15.25,15.37,233755
2020-09-23,15.33,15.63,14.73,14.74,170855
2020-09-24,14.53,15.16,14.15,14.74,554382
2020-09-25,14.47,14.57,14.05,14.12,920184
2020-09-28,14.53,14.94,14.46,14.55,229990
2020-09-29,14.45,14.52,13.74,13.85,317768
2020-09-30,14.03,14.21,13.7,13.82,475630
2020-10-01,13.61,13.75,13.22,13.34,455687
2020-10-02,12.93,13.96,12.9,13.81,473239
2020-10-05,13.92,14.31,13.88,14.27,386113
2020-10-06,14.59,14.7,13.88,13.93,544835
2020-10-07,13.99,14.22,13.85,14.17,192155
2020-10-08,14.28,14.59,14.16,14.59,231808
2020-10-09,14.72,14.72,14.26,14.41,446547
2020-10-12,14.28,14.38,13.99,14.3,241940
2020-10-13,14.15,14.32,13.78,13.97,565464
2020-10-14,14.03,14.66,13.97,14.15,321877
2020-10-15,13.9,14.59,13.81,14.57,442787
2020-10-16,14.11,14.22,13.23,13.29,1221245
2020-10-19,13.47,13.7,13.24,13.31,692747
2020-10-20,13.49,13.89,13.49,13.75,545635
2020-10-21,13.64,13.83,13.3,13.31,789349
2020-10-22,13.37,13.69,13.24,13.58,708198
2020-10-23,13.71,14.0,13.47,13.67,395820
2020-10-26,13.42,13.54,13.2,13.45,559213
2020-10-27,13.41,13.51,13.09,13.4,383620
2020-10-28,12.92,13.09,12.56,12.59,551113
2020-10-29,12.34,12.86,12.16,12.83,641360
2020-10-30,12.8,13.28,12.71,13.26,438625
2020-11-02,13.42,14.02,13.12,13.81,656832
2020-11-03,14.12,14.22,13.81,14.01,300449
2020-11-04,13.97,14.38,13.4,14.18,494417
2020-11-05,14.13,14.32,13.76,13.78,509574
2020-11-06,13.78,14.05,13.44,13.51,285168
2020-11-09,15.13,16.65,15.08,16.2,1281201
2020-11-10,16.56,16.78,15.98,16.26,1058464
2020-11-11,16.42,16.42,15.45,15.73,389035
2020-11-12,15.4,15.87,15.25,15.36,401548
2020-11-13,15.48,16.07,15.48,15.97,251669
2020-11-16,16.76,17.79,16.48,17.78,1038653
2020-11-17,17.26,17.84,17.13,17.83,591157
2020-11-18,17.96,18.25,17.68,17.75,395222
2020-11-19,17.48,18.2,17.35,18.17,433072
2020-11-20,18.06,18.19,17.74,17.93,229985
2020-11-23,18.29,19.21,18.27,19.16,419488
2020-11-24,19.89,19.97,19.46,19.73,772006
2020-11-25,19.37,19.79,19.24,19.59,316250
