date,open,high,low,close,volume
2019-06-20,128.58,128.58,128.58,128.58,110
2020-07-27,195.84,197.56,194.38,196.895,22672
2020-07-28,196.18,197.7,194.365,194.83,14083
2020-07-29,196.985,199.83,196.59,198.15,43266
2020-07-30,195.4,200.06,194.325,199.27,12436
2020-07-31,200.21,200.21,194.93,199.01,30841
2020-08-03,200.865,204.07,200.865,203.02,17222
2020-08-04,201.66,201.88,199.72,201.63,23214
2020-08-05,202.19,203.65,200.8,201.68,21463
2020-08-06,201.555,202.49,198.895,202.49,28708
2020-08-07,201.56,202.09,196.3,198.9,26737
2020-08-10,195.84,198.075,194.615,195.67,22129
2020-08-11,195.315,195.315,190.86,191.03,51540
2020-08-12,191.12,195.07,191.12,194.36,53495
2020-08-13,194.98,198.46,194.76,196.27,27204
2020-08-14,196.73,198.065,195.76,196.19,20793
2020-08-17,197.82,200.37,197.635,200.15,17048
2020-08-18,201.55,201.55,199.4,200.12,64244
2020-08-19,200.485,201.65,197.47,198.26,41526
2020-08-20,205.805,216.145,202.71,214.89,123180
2020-08-21,213.5,213.82,207.41,213.04,91556
2020-08-24,215.38,215.64,210.99,213.36,27012
2020-08-25,211.885,216.16,211.885,215.94,22119
2020-08-26,217.69,220.86,217.04,219.84,15079
2020-08-27,216.51,219.18,215.4,217.27,45288
2020-08-28,217.995,219.76,217.965,219.41,20409
2020-08-31,219.48,221.955,218.78,221.64,23687
2020-09-01,221.045,225.85,221.0,224.88,23639
2020-09-02,226.38,230.12,224.435,229.53,25082
2020-09-03,226.25,226.56,213.01,214.8,41664
2020-09-04,214.82,214.82,203.09,208.99,44653
2020-09-08,202.8,205.98,198.47,198.79,71906
2020-09-09,203.45,206.525,199.33,205.47,29352
2020-09-10,208.1,209.11,202.13,203.43,42626
2020-09-11,204.58,205.965,198.69,200.36,39302
2020-09-14,202.16,206.55,201.8,205.35,14348
2020-09-15,207.845,211.79,207.785,210.85,22117
2020-09-16,212.895,212.895,206.715,206.89,15847
2020-09-17,201.0,203.805,198.33,201.72,25552
2020-09-18,201.69,202.465,194.31,198.14,32511
2020-09-21,196.5,202.03,193.57,202.03,21683
2020-09-22,203.77,204.92,199.16,204.795,26924
2020-09-23,202.63,203.75,196.87,197.56,21146
2020-09-24,197.335,202.83,197.04,201.52,45246
2020-09-25,201.51,209.24,200.48,208.53,29062
2020-09-28,210.47,212.78,209.33,212.49,35854
2020-09-29,213.12,215.22,211.86,212.52,31844
2020-09-30,211.05,216.86,211.05,214.19,18178
2020-10-01,216.025,219.445,216.025,217.18,43422
2020-10-02,212.92,215.895,210.655,212.08,65275
2020-10-05,213.65,216.6,213.165,216.6,37320
2020-10-06,215.75,218.47,213.235,214.73,35714
2020-10-07,215.585,220.33,215.585,219.6,18841
2020-10-08,220.48,221.59,218.49,219.16,13931
2020-10-09,222.355,224.14,222.19,222.79,14857
2020-10-12,225.5,231.32,223.66,228.43,32311
2020-10-13,230.375,230.375,228.04,228.145,15330
2020-10-14,227.69,229.46,224.69,226.82,46998
2020-10-15,223.375,228.15,223.03,228.085,24491
2020-10-16,228.755,230.445,226.43,226.43,11619
2020-10-19,226.965,229.535,223.72,224.415,31561
2020-10-20,225.545,228.24,223.93,226.4,22242
2020-10-21,226.815,229.37,226.285,227.505,35484
2020-10-22,227.97,227.97,222.27,225.11,43340
2020-10-23,224.905,226.8,222.98,226.765,25961
2020-10-26,223.75,225.85,217.9,220.475,18901
2020-10-27,223.16,224.75,221.73,222.98,19224
2020-10-28,220.23,220.23,216.28,217.79,38666
2020-10-29,218.66,221.8,217.775,219.36,18887
2020-10-30,217.285,219.39,212.28,213.175,29303
2020-11-02,214.095,218.48,212.61,215.7,58853
2020-11-03,217.93,222.95,217.93,221.9,26291
2020-11-04,228.54,234.67,228.525,233.31,47712
2020-11-05,239.53,240.89,237.24,240.89,34782
2020-11-06,238.185,243.54,238.185,241.945,24827
2020-11-09,243.53,246.69,234.32,234.32,57088
2020-11-10,228.915,228.94,218.94,219.13,56674
2020-11-11,223.56,227.52,222.07,224.52,40247
2020-11-12,226.71,228.62,222.81,223.72,22968
2020-11-13,227.13,227.13,223.935,226.66,15335
2020-11-16,225.345,225.75,220.85,222.05,29241
