date,open,high,low,close,volume
2024-04-01,69.0,72.4,65.23,69.115,873106
2024-04-02,67.67,68.5,64.495,66.55,429597
2024-04-03,65.765,67.7,63.88,63.925,383585
2024-04-04,62.78,68.05,62.33,66.98,241164
2024-04-05,65.97,70.135,65.25,70.12,159714
2024-04-08,70.035,71.535,66.355,67.01,204040
2024-04-09,65.69,67.965,65.105,65.51,173707
2024-04-10,64.42,64.89,63.6,63.895,105622
2024-04-11,63.5,64.19,62.32,63.165,109320
2024-04-12,62.405,63.21,61.89,62.735,133771
2024-04-15,62.115,63.75,61.575,61.7,162561
2024-04-16,62.15,62.99,61.665,61.93,75926
2024-04-17,61.845,62.67,61.525,61.73,111152
2024-04-18,61.76,64.09,61.485,64.04,133498
2024-04-19,63.995,63.995,61.99,62.18,65569
2024-04-22,61.93,62.725,61.865,61.98,47411
2024-04-23,62.295,64.155,62.295,63.52,122692
2024-04-24,62.84,64.115,62.84,63.585,87373
2024-04-25,62.58,62.86,60.77,61.95,147488
2024-04-26,61.81,64.69,61.79,64.41,64353
2024-04-29,63.755,66.62,63.09,65.91,161561
2024-04-30,65.06,65.805,63.87,65.09,114174
2024-05-01,64.885,66.825,64.38,65.115,71631
2024-05-02,65.035,66.21,64.98,65.1,85956
2024-05-03,65.185,65.29,63.84,64.64,156953
2024-05-06,64.615,65.1,64.3,64.68,95041
2024-05-07,64.9,65.875,64.84,65.57,206367
2024-05-08,65.53,66.965,65.27,66.46,142439
2024-05-09,66.02,67.47,63.605,64.86,218611
2024-05-10,64.0,64.775,63.055,63.78,126585
2024-05-13,63.885,64.39,63.12,63.23,135020
2024-05-14,63.62,65.35,63.555,65.1,100850
2024-05-15,64.93,64.93,62.26,62.43,158356
2024-05-16,61.94,61.95,60.615,61.59,220118
2024-05-17,61.53,62.405,61.135,62.38,182924
2024-05-20,62.5,62.73,61.855,62.03,98393
2024-05-21,61.87,62.21,61.175,61.19,109086
2024-05-22,61.06,62.21,61.06,61.945,74338
2024-05-23,61.3,61.3,59.885,59.93,119418
2024-05-24,59.97,60.765,59.13,60.52,42972
2024-05-28,60.25,60.25,59.37,59.88,83352
2024-05-29,59.335,60.085,59.335,59.71,60970
2024-05-30,58.97,58.97,56.86,58.365,184311
2024-05-31,57.995,59.39,57.24,59.325,129805
2024-06-03,59.48,59.835,56.835,57.04,122033
2024-06-04,56.86,57.22,55.525,55.54,117559
