date,open,high,low,close,volume
2020-07-27,43.59,44.89,42.77,44.89,67211
2020-07-28,44.52,47.13,44.52,46.45,87306
2020-07-29,46.71,47.54,45.42,47.48,76238
2020-07-30,45.89,46.77,45.5,46.05,51901
2020-07-31,45.81,46.24,44.56,45.16,89649
2020-08-03,44.15,44.74,43.47,44.23,64804
2020-08-04,44.33,46.04,44.26,45.67,65900
2020-08-05,46.63,46.63,45.15,45.31,95351
2020-08-06,45.32,45.41,44.34,44.34,178946
2020-08-07,44.22,45.29,43.86,44.99,261397
2020-08-10,47.25,50.03,46.28,47.35,383865
2020-08-11,49.47,51.42,48.44,48.68,367994
2020-08-12,49.12,49.92,47.55,49.15,253468
2020-08-13,48.52,49.4,47.62,47.84,131605
2020-08-14,47.48,49.59,47.25,49.39,174136
2020-08-17,49.35,49.47,48.02,49.39,59261
2020-08-18,48.77,48.81,46.72,47.18,71032
2020-08-19,47.19,47.52,46.19,46.23,77531
2020-08-20,45.76,47.4,45.63,46.97,54397
2020-08-21,46.92,47.43,46.37,46.76,31971
2020-08-24,47.13,49.64,46.34,49.61,153285
2020-08-25,50.21,50.59,48.24,49.73,120168
2020-08-26,49.2,49.56,47.64,48.01,59569
2020-08-27,48.32,50.01,48.32,48.94,117221
2020-08-28,49.33,50.62,48.59,50.61,63499
2020-08-31,50.47,50.47,48.87,49.17,97084
2020-09-01,47.98,49.12,47.78,48.7,86615
2020-09-02,48.13,49.26,47.85,49.14,60601
2020-09-03,49.64,51.37,48.55,49.27,135443
2020-09-04,50.53,52.46,49.89,50.88,99895
2020-09-08,50.43,51.23,49.86,50.78,63973
2020-09-09,50.59,50.78,49.28,49.89,70221
2020-09-10,49.69,50.49,47.83,47.95,209330
2020-09-11,48.02,48.13,45.92,46.47,115098
2020-09-14,47.01,49.18,46.93,49.15,68626
2020-09-15,49.23,52.02,49.17,51.5,87700
2020-09-16,51.4,54.47,50.78,53.66,172152
2020-09-17,51.78,53.73,51.36,52.07,78410
2020-09-18,52.09,52.09,50.46,50.57,107078
2020-09-21,48.56,48.63,46.69,46.95,114505
2020-09-22,47.14,48.55,46.92,47.17,157139
2020-09-23,47.47,48.28,45.46,45.54,97111
2020-09-24,45.02,46.45,43.21,45.5,99217
2020-09-25,45.14,46.3,45.14,46.06,73544
2020-09-28,47.78,48.11,47.01,47.62,70484
2020-09-29,47.29,47.29,45.59,46.36,93408
2020-09-30,46.55,47.88,46.21,46.87,102540
2020-10-01,47.03,48.22,46.56,48.22,177688
2020-10-02,46.44,49.63,46.44,49.42,180219
2020-10-05,49.71,50.2,48.86,49.86,201830
2020-10-06,50.48,52.57,50.07,50.63,286661
2020-10-07,51.24,52.27,50.86,51.47,148068
2020-10-08,52.31,52.56,51.21,51.68,146257
2020-10-09,51.66,51.84,49.85,49.97,172109
2020-10-12,49.82,50.25,49.23,50.25,114466
2020-10-13,49.28,49.6,48.33,48.57,134733
2020-10-14,48.52,49.07,48.16,48.49,149565
2020-10-15,47.67,49.04,47.67,48.06,179642
2020-10-16,48.37,48.42,47.36,47.82,219739
2020-10-19,47.92,48.21,47.13,47.13,127468
2020-10-20,47.81,48.76,47.57,47.61,121729
2020-10-21,47.31,47.97,46.76,47.4,125558
2020-10-22,47.24,49.09,47.24,48.96,114275
2020-10-23,49.19,50.0,48.65,49.33,157307
2020-10-26,48.74,48.74,47.14,47.75,130495
2020-10-27,47.31,47.61,45.73,45.74,146690
2020-10-28,44.48,45.45,43.8,44.79,435010
2020-10-29,44.79,47.3,44.43,46.82,251200
2020-10-30,46.6,46.91,44.91,46.31,153624
2020-11-02,46.62,47.88,46.26,47.73,145878
2020-11-03,48.4,48.71,47.52,47.91,121365
2020-11-04,47.55,47.86,45.85,45.95,131439
2020-11-05,46.41,47.27,46.12,46.83,126103
2020-11-06,46.93,47.81,45.5,45.64,296863
2020-11-09,55.31,60.88,54.01,58.59,1524461
2020-11-10,56.68,62.35,55.6,58.13,915049
2020-11-11,57.56,57.72,53.53,54.19,297544
2020-11-12,52.99,53.58,50.19,51.02,354085
2020-11-13,52.71,55.4,52.28,55.13,314120
2020-11-16,59.04,60.82,58.19,58.26,690548
2020-11-17,57.2,60.02,56.81,58.28,218014
2020-11-18,57.46,59.77,56.54,56.58,333965
2020-11-19,56.06,60.01,55.76,59.51,1050844
2020-11-20,59.36,60.33,58.52,59.87,294017
2020-11-23,62.54,63.66,60.76,63.05,560635
2020-11-24,66.08,67.38,65.36,65.57,693410
2020-11-25,65.03,65.53,63.69,64.38,181342
2020-11-27,64.94,65.36,63.13,63.19,73669
2020-11-30,62.99,64.12,60.82,60.96,250993
2020-12-01,62.42,63.66,61.99,62.73,170327
2020-12-02,61.77,64.93,61.07,64.39,184907
2020-12-03,64.86,67.67,64.51,66.17,215469
2020-12-04,67.63,69.6,66.98,69.35,234747
2020-12-07,69.15,69.17,65.69,66.0,181832
2020-12-08,66.07,67.75,65.46,66.54,124891
2020-12-09,66.97,67.93,65.85,67.04,310030
2020-12-10,65.87,67.09,65.87,66.75,76444
2020-12-11,65.83,66.22,63.73,64.87,188151
2020-12-14,66.45,66.49,64.03,64.42,243046
