date,open,high,low,close,volume
2020-07-27,333.57,337.98,332.72,334.58,52193
2020-07-28,338.51,338.51,327.15,330.53,55203
2020-07-29,331.84,342.42,331.84,342.41,72746
2020-07-30,336.89,339.06,331.74,334.93,53262
2020-07-31,336.53,337.14,327.96,333.2,47897
2020-08-03,336.3,337.93,332.85,333.31,25735
2020-08-04,332.18,332.2,325.5,328.75,57823
2020-08-05,329.65,332.69,328.82,330.14,20468
2020-08-06,331.03,335.43,329.69,335.43,24347
2020-08-07,334.09,334.09,325.58,330.49,24665
2020-08-10,327.45,328.44,323.88,326.96,17296
2020-08-11,328.62,332.47,325.57,326.91,23104
2020-08-12,331.56,335.45,331.56,332.26,23872
2020-08-13,331.72,339.04,331.72,338.99,22311
2020-08-14,339.55,339.55,333.81,335.16,14114
2020-08-17,336.81,342.07,336.81,339.54,27936
2020-08-18,342.02,344.43,339.4,342.54,34830
2020-08-19,344.46,345.33,340.36,340.51,33349
2020-08-20,338.94,343.81,338.61,343.67,60962
2020-08-21,341.28,345.29,341.28,344.23,13881
2020-08-24,347.09,347.09,340.82,341.8,36520
2020-08-25,341.43,343.83,340.69,341.47,20851
2020-08-26,342.18,349.78,340.9,347.33,20733
2020-08-27,346.49,350.04,343.57,346.52,30867
2020-08-28,348.04,349.66,346.32,349.66,20017
2020-08-31,351.27,351.27,347.23,349.7,15958
2020-09-01,349.6,352.23,347.69,350.6,32892
2020-09-02,352.34,361.91,352.34,361.08,25517
2020-09-03,358.25,358.25,335.22,337.13,135107
2020-09-04,337.73,337.73,322.38,328.98,37231
2020-09-08,323.01,328.53,319.97,324.19,45280
2020-09-09,331.28,339.03,330.16,335.32,14705
2020-09-10,334.53,337.71,326.67,328.85,29678
2020-09-11,331.42,334.2,329.59,332.38,30220
2020-09-14,335.65,339.47,335.53,336.34,21852
2020-09-15,340.59,343.57,338.08,340.49,38847
2020-09-16,340.32,343.08,339.24,341.16,26574
2020-09-17,335.76,341.33,333.56,335.1,18616
2020-09-18,335.68,337.6,332.6,334.96,11498
2020-09-21,329.3,334.68,326.48,334.43,38960
2020-09-22,335.44,336.05,328.53,333.66,30280
2020-09-23,333.74,335.11,326.8,327.33,11376
2020-09-24,326.77,331.71,326.64,329.57,21948
2020-09-25,330.39,337.78,328.55,336.12,20212
2020-09-28,340.06,342.2,338.54,338.59,22518
2020-09-29,338.73,343.23,338.14,340.63,18594
2020-09-30,339.27,346.6,339.27,343.98,26148
2020-10-01,348.2,350.27,344.5,346.87,46984
2020-10-02,341.73,348.29,341.73,346.18,34388
2020-10-05,346.98,348.7,345.02,347.47,41764
2020-10-06,349.79,349.79,337.55,337.67,34770
2020-10-07,340.65,341.54,335.41,338.4,57624
2020-10-08,340.3,343.64,338.91,340.49,31859
2020-10-09,341.28,342.04,339.53,339.93,45819
2020-10-12,344.42,346.63,341.33,343.4,44196
2020-10-13,339.72,342.27,335.99,337.43,45939
2020-10-14,339.65,339.65,333.92,334.87,45993
2020-10-15,332.7,334.76,329.09,331.21,65466
2020-10-16,331.88,335.29,331.48,331.84,33479
2020-10-19,333.59,335.38,324.51,324.82,26819
2020-10-20,325.45,327.51,323.44,324.28,39522
2020-10-21,325.44,328.5,321.51,322.08,21975
2020-10-22,323.33,323.75,319.0,321.05,36092
2020-10-23,322.35,323.11,320.11,321.31,32836
2020-10-26,317.93,320.3,315.12,317.89,31923
2020-10-27,316.16,320.22,313.38,315.35,137424
2020-10-28,310.07,313.71,307.13,311.28,94703
2020-10-29,311.08,313.51,304.77,310.43,42671
2020-10-30,309.71,314.16,304.03,307.43,104052
2020-11-02,312.25,319.56,310.48,312.44,92066
2020-11-03,315.55,321.98,314.16,318.8,84789
2020-11-04,324.31,340.86,324.31,334.5,95303
2020-11-05,339.73,343.78,337.48,339.22,84860
2020-11-06,335.96,340.0,332.16,337.46,91480
2020-11-09,349.0,350.86,329.42,330.08,115528
2020-11-10,329.92,329.92,318.04,319.28,125141
2020-11-11,322.96,331.45,321.14,327.82,54084
2020-11-12,328.35,328.5,322.66,325.78,53514
2020-11-13,326.24,328.13,321.69,325.95,50845
2020-11-16,324.73,329.11,322.35,323.48,85150
2020-11-17,321.53,325.14,320.44,320.7,69115
2020-11-18,319.5,323.4,319.5,320.41,75328
2020-11-19,321.87,323.63,319.07,322.83,72526
2020-11-20,323.64,325.93,321.21,322.18,40368
2020-11-23,321.78,325.47,318.05,321.29,60399
2020-11-24,321.79,323.52,318.87,319.04,91594
2020-11-25,320.49,322.65,318.9,322.65,46719
2020-11-27,324.74,328.48,324.05,325.71,20381
2020-11-30,328.46,336.96,327.69,335.94,229303
2020-12-01,336.11,336.12,317.96,319.04,160437
2020-12-02,321.37,323.0,315.85,318.04,99047
2020-12-03,315.44,319.24,310.99,311.68,137156
2020-12-04,314.5,324.15,314.18,324.15,231914
2020-12-07,321.96,324.59,318.04,321.03,115288
2020-12-08,320.02,321.72,318.28,318.56,115128
2020-12-09,319.51,319.72,309.31,312.64,204445
2020-12-10,312.53,314.12,309.34,311.16,142382
2020-12-11,310.82,314.18,308.73,310.07,76277
2020-12-14,311.97,313.91,308.72,309.19,133273
2020-12-15,310.12,311.9,308.73,309.25,65844
2020-12-16,310.53,310.53,305.35,306.36,93457
2020-12-17,306.85,307.65,302.18,306.58,166260
2020-12-18,307.03,308.82,304.89,308.34,129131
2020-12-21,304.31,305.38,297.7,305.19,90608
2020-12-22,304.0,305.24,300.72,304.35,103856
2020-12-23,306.5,306.99,299.49,299.6,75821
2020-12-24,299.74,302.62,299.14,302.57,45117
2020-12-28,303.43,304.27,300.37,303.89,60652
2020-12-29,306.0,308.31,305.38,306.98,70127
2020-12-30,307.65,309.65,306.37,309.19,106514
2020-12-31,308.71,313.88,308.71,313.66,51657
2021-01-04,317.43,321.52,315.58,318.24,240087
2021-01-05,318.91,319.4,310.43,313.81,135326
2021-01-06,311.83,315.5,309.59,314.08,92567
