date,open,high,low,close,volume
2020-07-27,200.84,204.4,200.22,203.185,17581
2020-07-28,204.575,208.5,204.09,205.295,26665
2020-07-29,208.65,210.42,206.84,208.29,18074
2020-07-30,206.79,210.005,204.485,209.65,35196
2020-07-31,211.26,211.26,205.06,209.44,23893
2020-08-03,211.94,214.82,210.805,214.42,37912
2020-08-04,214.99,214.99,208.065,210.77,47368
2020-08-05,212.92,217.31,211.67,217.245,42229
2020-08-06,216.25,216.25,211.265,213.47,21911
2020-08-07,212.755,212.755,198.205,200.35,149337
2020-08-10,200.26,200.69,194.09,197.6,91751
2020-08-11,198.35,200.0,193.03,195.51,86847
2020-08-12,197.16,197.66,189.29,190.44,103657
2020-08-13,191.49,196.375,191.49,193.06,79094
2020-08-14,194.095,194.465,190.83,192.44,98117
2020-08-17,194.35,195.56,193.36,194.91,34046
2020-08-18,196.48,198.48,194.98,197.74,28506
2020-08-19,198.76,199.575,195.04,195.595,47206
2020-08-20,195.115,201.8,195.115,200.07,37910
2020-08-21,202.66,204.54,201.29,202.3,32155
2020-08-24,204.82,207.215,201.37,202.14,36482
2020-08-25,202.53,204.35,200.83,203.54,47447
2020-08-26,210.41,220.485,209.775,216.735,195005
2020-08-27,213.385,217.94,204.67,215.795,181704
2020-08-28,217.475,223.215,217.475,220.29,96436
2020-08-31,219.595,220.08,215.96,219.48,61411
2020-09-01,220.78,224.87,219.0,223.58,63720
2020-09-02,225.0,225.63,217.4,221.77,36947
2020-09-03,215.61,215.61,205.65,206.68,84080
2020-09-04,205.1,205.65,191.395,200.255,74582
2020-09-08,191.83,198.33,191.605,191.82,55243
2020-09-09,196.12,197.8,191.89,196.565,31804
2020-09-10,198.45,200.84,191.405,193.0,39026
2020-09-11,195.95,195.95,182.89,186.835,93897
2020-09-14,188.165,189.57,182.94,183.64,74273
2020-09-15,185.64,187.48,183.995,185.38,72194
2020-09-16,186.25,186.39,181.255,182.545,43488
2020-09-17,176.07,178.97,173.105,177.545,88306
2020-09-18,178.75,180.14,171.53,174.97,54773
2020-09-21,171.605,177.84,171.41,177.84,61961
2020-09-22,180.82,185.32,178.37,184.965,67807
2020-09-23,184.795,185.35,176.83,177.42,46654
2020-09-24,175.57,178.95,173.28,175.88,36669
2020-09-25,180.125,185.05,179.76,184.775,73399
2020-09-28,187.65,188.12,184.71,188.03,41822
2020-09-29,189.26,189.595,185.57,187.29,56975
2020-09-30,187.06,189.84,184.88,188.27,64972
2020-10-01,190.46,194.66,189.68,192.7,108243
2020-10-02,191.66,197.15,190.67,194.95,141244
2020-10-05,195.49,195.94,193.22,194.26,89485
2020-10-06,195.38,202.285,194.82,198.33,65949
2020-10-07,199.585,206.45,199.275,206.09,118543
2020-10-08,206.73,210.57,206.73,208.99,130308
2020-10-09,209.945,212.895,208.73,212.68,86175
2020-10-12,214.59,217.97,212.61,215.29,104588
2020-10-13,214.67,219.4,214.67,215.68,85564
2020-10-14,205.38,210.4,204.6,208.96,200081
2020-10-15,203.65,205.93,200.875,205.25,101061
2020-10-16,207.445,210.65,206.86,207.18,58945
2020-10-19,208.845,210.835,205.72,207.19,84870
2020-10-20,209.035,213.67,209.035,211.68,110160
2020-10-21,210.0,222.0,203.14,211.73,252907
2020-10-22,214.02,221.95,212.1,219.69,206518
2020-10-23,217.855,218.0,212.04,216.54,95700
2020-10-26,213.48,215.79,207.35,209.65,98895
2020-10-27,211.16,213.02,208.755,208.89,68512
2020-10-28,205.0,208.095,203.0,205.96,72339
2020-10-29,206.93,208.33,205.51,205.94,45937
2020-10-30,203.57,204.395,196.86,198.11,70008
2020-11-02,199.105,200.57,189.18,191.37,98541
2020-11-03,192.91,197.19,190.49,194.69,60382
2020-11-04,204.45,209.26,199.99,206.91,83459
2020-11-05,213.38,213.735,207.17,208.77,65126
2020-11-06,207.08,207.95,200.79,201.02,94351
2020-11-09,201.72,206.61,196.2,196.2,68979
2020-11-10,192.57,195.11,184.37,187.65,126833
2020-11-11,190.44,195.75,190.155,194.045,114996
2020-11-12,194.92,195.49,190.055,191.77,50886
2020-11-13,192.44,194.27,190.27,193.3,58607
2020-11-16,191.575,193.79,189.96,193.22,46463
2020-11-17,194.15,198.42,192.93,198.04,75137
2020-11-18,198.58,198.89,193.18,193.195,58075
2020-11-19,193.77,201.05,193.77,199.56,74619
2020-11-20,199.72,202.4,198.145,198.96,45787
2020-11-23,199.995,200.62,195.31,197.97,49042
2020-11-24,198.53,198.9,195.38,198.415,47423
2020-11-25,200.295,202.87,198.03,198.97,63625
2020-11-27,201.76,204.775,200.57,204.02,54926
2020-11-30,206.585,207.0,197.855,204.09,63450
2020-12-01,205.0,207.405,202.575,206.415,79195
2020-12-02,203.86,206.95,201.12,205.81,115779
2020-12-03,158.42,169.0,152.615,157.96,1415073
2020-12-04,160.3,163.8,159.4,161.03,444517
2020-12-07,161.33,162.27,153.36,155.615,309617
2020-12-08,155.99,161.23,154.46,161.0,121887
2020-12-09,162.805,162.975,153.38,155.7,149595
