date,open,high,low,close,volume
2018-11-01,242.17,242.17,242.17,242.17,200
2020-07-27,296.94,298.56,296.19,298.44,647693
2020-07-28,297.81,298.79,296.22,296.58,521475
2020-07-29,297.39,300.7,297.39,300.2,600377
2020-07-30,297.01,299.48,295.1,299.09,612074
2020-07-31,300.88,301.53,296.67,301.47,1135945
2020-08-03,303.14,304.31,302.59,303.52,576077
2020-08-04,302.96,304.67,302.78,304.67,658108
2020-08-05,305.99,306.86,305.77,306.59,505770
2020-08-06,306.02,308.79,305.75,308.62,637928
2020-08-07,307.68,309.0,306.8,308.91,646217
2020-08-10,309.33,309.99,307.43,309.76,503468
2020-08-11,311.08,311.62,306.56,307.36,765407
2020-08-12,309.7,312.29,309.7,311.52,751172
2020-08-13,310.82,312.24,310.12,311.02,495840
2020-08-14,310.63,311.49,309.97,311.0,397381
2020-08-17,312.0,312.36,311.61,311.92,379669
2020-08-18,312.38,313.05,310.83,312.63,624322
2020-08-19,313.02,313.54,310.82,311.39,957875
2020-08-20,309.64,312.77,309.49,312.26,557824
2020-08-21,311.98,313.64,311.66,313.38,560454
2020-08-24,315.87,316.64,314.92,316.64,551451
2020-08-25,317.17,317.76,316.03,317.7,597403
2020-08-26,318.28,321.14,317.75,320.93,538806
2020-08-27,321.78,323.0,319.97,321.58,828795
2020-08-28,322.62,323.79,321.5,323.63,538160
2020-08-31,323.46,324.31,322.32,322.52,745582
2020-09-01,323.32,325.59,322.46,325.52,839295
2020-09-02,327.44,331.15,326.33,330.25,896884
2020-09-03,328.57,329.01,316.31,318.9,2064568
2020-09-04,319.25,321.06,309.19,316.31,1242878
2020-09-08,310.83,312.05,307.34,307.68,969669
2020-09-09,311.69,316.15,310.83,313.81,716556
2020-09-10,315.59,316.19,307.34,308.36,869568
2020-09-11,310.02,311.02,305.6,308.38,874751
2020-09-14,311.65,314.18,311.12,312.44,536100
2020-09-15,315.08,315.74,312.99,314.04,483504
2020-09-16,315.38,316.72,312.59,312.8,782760
2020-09-17,307.96,311.73,307.44,310.09,937446
2020-09-18,310.87,310.98,304.01,306.4,1218861
2020-09-21,301.88,303.19,298.24,303.11,1175907
2020-09-22,304.54,306.72,302.14,306.14,548236
2020-09-23,306.73,306.97,298.58,299.09,773794
2020-09-24,297.74,302.89,296.45,299.89,999033
2020-09-25,299.11,305.47,298.18,304.71,744169
2020-09-28,308.88,310.47,307.89,309.74,677013
2020-09-29,309.57,310.28,307.46,308.16,558608
2020-09-30,308.89,313.54,308.62,310.43,1383055
2020-10-01,312.98,313.99,310.56,312.45,733040
2020-10-02,307.35,311.34,307.01,309.43,956452
2020-10-05,311.51,315.11,311.51,314.9,423785
2020-10-06,315.07,317.15,309.98,310.45,866491
2020-10-07,313.41,316.67,313.4,315.82,400362
2020-10-08,317.84,318.71,316.88,318.62,378697
2020-10-09,320.3,321.96,319.7,321.5,444378
2020-10-12,324.05,328.14,323.67,326.62,494638
2020-10-13,326.6,326.6,323.59,324.59,554532
2020-10-14,325.11,326.2,321.77,322.46,386331
2020-10-15,318.6,322.55,318.08,322.07,467653
2020-10-16,323.53,325.05,321.82,321.94,650101
2020-10-19,323.3,323.77,316.18,316.97,679620
2020-10-20,318.33,321.52,317.68,318.29,615695
2020-10-21,318.24,320.36,317.39,317.68,639536
2020-10-22,317.91,319.98,315.78,319.45,520791
2020-10-23,320.63,320.69,318.13,320.39,436313
2020-10-26,317.12,317.92,311.13,314.65,1011587
2020-10-27,314.93,315.22,313.33,313.54,614706
2020-10-28,307.83,308.51,302.31,302.83,1448249
2020-10-29,303.02,308.99,301.35,305.84,1101572
2020-10-30,304.26,305.55,299.06,302.9,1296720
2020-11-02,306.07,308.02,303.34,306.09,799081
2020-11-03,309.31,313.52,308.9,311.42,916626
2020-11-04,315.95,322.48,314.8,318.36,1941569
2020-11-05,323.75,326.44,323.41,324.73,1143648
2020-11-06,324.35,325.77,322.33,324.57,603084
2020-11-09,337.37,337.69,328.21,328.64,940070
2020-11-10,327.69,329.13,324.98,328.23,698359
2020-11-11,330.35,331.41,329.14,330.63,567428
2020-11-12,329.59,330.31,325.62,327.41,794840
2020-11-13,329.31,332.66,328.82,331.79,744824
2020-11-16,334.71,335.98,333.35,335.95,783943
2020-11-17,333.68,335.43,332.19,334.32,827448
2020-11-18,334.6,335.09,330.22,330.22,1026905
2020-11-19,329.53,331.99,328.44,331.7,965976
2020-11-20,331.36,331.54,329.32,329.41,844641
2020-11-23,331.16,332.48,328.97,331.39,732916
2020-11-24,333.94,337.18,333.06,336.66,1316995
2020-11-25,336.6,336.62,335.09,336.13,637659
2020-11-27,337.37,337.56,336.1,337.12,309433
2020-11-30,336.29,336.44,332.95,335.85,1019085
2020-12-01,338.85,340.78,338.31,339.22,846449
2020-12-02,338.16,340.11,337.62,339.91,435413
2020-12-03,339.9,341.26,338.8,339.91,588550
2020-12-04,340.47,342.8,340.39,342.8,535394
2020-12-07,342.07,342.6,340.86,342.07,713275
2020-12-08,340.82,343.67,340.81,343.08,701698
2020-12-09,343.79,343.91,339.22,340.18,1124314
2020-12-10,338.68,340.93,337.82,339.88,943872
2020-12-11,338.29,339.79,336.74,339.47,633441
2020-12-14,341.68,342.74,337.88,338.03,840050
2020-12-15,340.59,342.57,339.18,342.57,853271
2020-12-16,342.82,344.02,341.96,343.06,586993
2020-12-17,344.77,345.22,343.94,344.98,812657
2020-12-18,345.35,345.49,341.68,343.6,1382373
2020-12-21,339.74,343.24,337.07,342.43,779901
2020-12-22,342.75,342.87,340.81,341.73,969603
2020-12-23,342.82,344.05,342.02,342.17,500024
2020-12-24,342.65,343.49,342.07,343.48,170257
2020-12-28,346.07,346.82,345.46,346.41,298759
2020-12-29,347.94,348.14,345.24,345.79,720211
2020-12-30,346.6,347.29,345.92,346.28,410703
2020-12-31,346.1,348.75,345.59,348.01,1056576
2021-01-04,349.36,349.48,339.65,343.37,1303127
2021-01-05,342.82,346.69,342.8,345.69,662135
2021-01-06,343.98,350.91,343.67,347.81,1592371
2021-01-07,350.13,353.61,349.94,352.77,911285
2021-01-08,354.28,355.09,351.04,354.89,591705
2021-01-11,351.75,354.24,351.62,352.65,577420
2021-01-12,352.71,353.59,350.38,352.56,577676
2021-01-13,352.53,354.53,351.75,353.54,526284
2021-01-14,354.37,354.78,351.97,352.36,483295
2021-01-15,350.68,351.47,347.95,349.7,872509
2021-01-19,352.2,353.01,350.8,352.43,569045
2021-01-20,354.76,358.19,354.42,357.31,609604
2021-01-21,357.91,358.33,356.76,357.62,411993
2021-01-22,355.83,357.51,355.49,356.35,642368
2021-01-25,357.15,358.17,352.3,357.84,744617
2021-01-26,358.77,359.14,357.05,357.21,602355
2021-01-27,353.95,353.97,346.33,348.52,2605623
2021-01-28,350.34,355.51,350.12,351.4,1816987
2021-01-29,349.64,350.56,342.92,344.44,2590391
2021-02-01,347.97,351.26,345.8,350.19,988296
2021-02-02,353.4,356.68,353.39,355.03,1071995
2021-02-03,356.05,357.16,354.2,355.47,848653
2021-02-04,356.55,359.52,356.33,359.47,820106
2021-02-05,361.37,361.61,359.77,360.86,728912
2021-02-08,362.46,363.55,361.52,363.5,696140
2021-02-09,362.7,363.87,362.32,363.29,734096
2021-02-10,365.01,365.13,360.73,363.13,889354
2021-02-11,364.27,364.62,361.29,363.7,639771
2021-02-12,362.9,365.73,362.86,365.46,704724
2021-02-16,366.72,366.91,364.51,365.18,724095
2021-02-17,363.43,365.49,362.47,365.28,586564
2021-02-18,362.63,364.43,360.95,363.74,811480
2021-02-19,365.05,365.24,362.64,363.09,1035965
2021-02-22,360.32,362.67,360.06,360.38,979219
2021-02-23,358.07,362.04,353.96,360.59,1834098
2021-02-24,359.6,365.1,358.65,364.68,1338847
2021-02-25,363.47,364.76,354.47,355.89,2548620
2021-02-26,357.79,358.89,352.12,354.02,1722012
2021-03-01,359.0,363.88,358.98,362.58,1443159
2021-03-02,362.87,363.05,359.32,359.79,954034
2021-03-03,359.11,360.09,354.96,355.07,1492972
2021-03-04,354.86,357.43,346.2,350.7,2838147
2021-03-05,354.16,358.15,346.89,357.1,1970423
2021-03-08,358.12,360.88,355.08,355.22,954155
2021-03-09,359.17,362.95,358.72,360.22,1247029
2021-03-10,362.78,364.28,361.37,362.59,967881
2021-03-11,365.19,368.28,364.67,366.35,911711
2021-03-12,364.97,366.95,364.17,366.77,864792
2021-03-15,367.08,369.26,364.95,369.08,825333
2021-03-16,369.7,370.33,367.78,368.61,876269
2021-03-17,367.26,370.59,366.19,369.82,919078
2021-03-18,367.21,369.27,363.9,364.43,1025836
2021-03-19,364.13,365.68,361.58,363.75,1015729
2021-03-22,364.35,368.02,364.3,366.64,596841
2021-03-23,366.01,367.42,363.0,363.86,929124
2021-03-24,365.17,366.79,361.9,361.9,941797
2021-03-25,360.41,364.72,358.57,363.88,1147872
2021-03-26,365.11,370.17,364.52,369.72,994962
2021-03-29,368.38,370.53,366.88,369.6,947371
2021-03-30,368.36,369.31,367.1,368.78,865981
2021-03-31,369.23,371.7,369.21,369.94,1290126
2021-04-01,372.05,374.19,371.92,374.08,1012758
2021-04-05,376.89,380.05,376.77,379.47,859965
2021-04-06,378.95,380.31,378.62,379.25,679087
2021-04-07,379.12,380.06,378.72,379.74,603106
2021-04-08,380.97,381.58,380.05,381.55,802416
2021-04-09,381.41,384.46,381.31,384.26,980710
2021-04-12,383.73,384.7,383.14,384.38,811368
2021-04-13,384.33,386.2,383.98,385.46,511643
2021-04-14,385.55,386.59,383.73,384.07,749857
2021-04-15,386.39,388.66,386.37,388.23,813779
2021-04-16,389.66,390.29,388.27,389.73,810912
2021-04-19,388.74,389.19,386.5,387.88,709059
2021-04-20,386.56,387.27,383.49,384.96,908224
2021-04-21,384.31,388.75,384.19,388.58,734383
2021-04-22,388.4,389.22,383.99,385.1,1072524
2021-04-23,385.57,390.6,385.53,389.2,1237723
2021-04-26,389.84,390.59,389.44,389.92,814495
2021-04-27,390.3,390.51,388.9,389.79,580474
2021-04-28,390.21,391.32,389.39,389.79,657403
2021-04-29,392.61,392.91,389.02,392.29,775821
2021-04-30,390.03,390.88,388.87,389.76,848706
2021-05-03,391.73,392.09,390.07,390.53,569791
2021-05-04,388.57,389.07,384.49,388.11,1053011
2021-05-05,389.75,390.03,387.58,388.25,588115
2021-05-06,388.33,391.51,386.35,391.31,875105
2021-05-07,392.18,394.88,391.5,394.17,807382
2021-05-10,394.71,394.71,390.21,390.35,771752
