date,open,high,low,close,volume
2020-07-27,52.19,52.19,51.11,51.18,92294
2020-07-28,50.94,52.37,50.87,51.9,103122
2020-07-29,51.83,52.16,51.73,52.0,125946
2020-07-30,51.4,51.57,51.1,51.49,112762
2020-07-31,51.28,51.85,50.99,51.81,98572
2020-08-03,51.57,51.92,51.18,51.61,117194
2020-08-04,51.51,52.21,51.51,52.02,125976
2020-08-05,52.75,53.94,52.51,52.83,198814
2020-08-06,53.2,53.82,53.08,53.36,158702
2020-08-07,53.47,54.28,53.37,54.08,64158
2020-08-10,53.94,55.71,53.94,55.61,173350
2020-08-11,56.0,56.0,54.36,54.58,89322
2020-08-12,55.0,56.03,54.88,55.87,161584
2020-08-13,55.75,56.19,55.6,56.03,64054
2020-08-14,55.61,55.74,54.6,54.88,89074
2020-08-17,54.19,54.41,53.65,53.95,115372
2020-08-18,53.96,54.31,53.66,53.77,84492
2020-08-19,53.78,54.22,53.16,53.34,189482
2020-08-20,53.09,53.3,52.42,52.54,110518
2020-08-21,52.55,52.6,51.97,52.17,154912
2020-08-24,52.14,53.02,51.99,53.02,66286
2020-08-25,53.25,53.25,52.07,52.24,193856
2020-08-26,51.64,51.91,50.89,50.89,95490
2020-08-27,51.26,52.04,51.24,51.5,46720
2020-08-28,51.22,51.35,50.77,50.92,106190
2020-08-31,51.13,51.52,51.05,51.49,62874
2020-09-01,51.19,51.37,50.57,50.87,117850
2020-09-02,50.76,52.09,50.71,51.82,103032
2020-09-03,52.22,52.36,50.6,51.11,82032
2020-09-04,51.27,51.27,49.45,50.32,120006
2020-09-08,50.15,50.15,48.88,49.58,91094
2020-09-09,49.76,50.88,49.76,50.34,205742
2020-09-10,50.12,50.18,49.12,49.18,117984
2020-09-11,48.99,49.17,48.56,49.02,121722
2020-09-14,49.4,49.67,48.93,49.61,260008
2020-09-15,49.95,50.36,48.74,48.94,68924
2020-09-16,48.86,50.52,48.86,50.28,82088
2020-09-17,49.73,50.37,49.4,50.37,236772
2020-09-18,50.23,50.49,49.45,49.94,282384
2020-09-21,49.23,49.41,48.49,48.52,200262
2020-09-22,48.77,49.83,48.72,49.52,154704
2020-09-23,49.51,49.6,47.62,47.65,197254
2020-09-24,47.6,49.09,47.25,48.59,102902
2020-09-25,48.34,49.46,48.27,49.41,69894
2020-09-28,49.74,49.85,48.97,49.02,71834
2020-09-29,49.25,49.5,48.58,48.83,101084
2020-09-30,49.09,49.91,49.0,49.71,57368
2020-10-01,50.06,50.46,49.69,50.03,145264
2020-10-02,49.57,50.91,49.45,50.6,143662
2020-10-05,50.94,51.17,50.26,51.17,107142
2020-10-06,51.24,52.4,50.93,51.31,132362
2020-10-07,51.55,51.8,50.88,51.57,119338
2020-10-08,51.75,53.41,51.75,53.18,194784
2020-10-09,53.52,53.52,52.41,52.95,128834
2020-10-12,52.73,53.58,52.55,53.27,97866
2020-10-13,52.86,53.45,52.83,53.11,217916
2020-10-14,53.28,53.74,52.96,53.38,115854
2020-10-15,52.88,54.34,52.76,54.02,279826
2020-10-16,53.98,54.53,53.61,53.87,273510
2020-10-19,54.08,54.49,53.33,53.71,172208
2020-10-20,54.18,54.69,53.88,54.52,170954
2020-10-21,54.31,54.8,54.12,54.33,121370
2020-10-22,54.23,55.64,53.96,55.59,162328
2020-10-23,55.86,56.25,55.3,56.23,150968
2020-10-26,55.75,55.78,54.74,55.15,133288
2020-10-27,55.11,55.59,54.71,54.71,117262
2020-10-28,54.06,54.6,52.8,52.95,163568
2020-10-29,52.67,54.27,52.45,53.46,174350
2020-10-30,53.48,53.48,52.07,52.64,152762
2020-11-02,53.09,53.77,52.85,53.59,142416
2020-11-03,54.64,54.64,54.05,54.23,108014
2020-11-04,54.21,55.39,53.93,53.93,83146
2020-11-05,53.58,54.94,53.3,53.36,305800
2020-11-06,53.5,53.87,52.36,52.44,192558
2020-11-09,55.6,55.92,54.64,54.73,284088
2020-11-10,54.95,57.44,54.95,57.05,520256
2020-11-11,57.31,57.38,55.79,56.17,439702
2020-11-12,55.89,55.89,54.74,55.57,247596
2020-11-13,55.95,56.81,55.5,56.58,272534
2020-11-16,57.56,57.68,56.43,56.84,264564
2020-11-17,56.32,56.85,56.18,56.28,226600
2020-11-18,56.75,57.25,55.87,55.89,153854
2020-11-19,55.66,55.85,54.37,54.7,225722
2020-11-20,54.89,55.35,54.67,54.74,138622
2020-11-23,54.69,55.41,54.53,55.0,175136
2020-11-24,55.55,55.94,55.31,55.55,116442
2020-11-25,55.47,55.59,54.85,55.4,180564
2020-11-27,55.42,55.42,54.64,54.79,63204
2020-11-30,54.56,54.73,53.46,53.51,155536
2020-12-01,53.9,54.58,53.61,53.67,121444
2020-12-02,53.88,55.25,53.64,55.21,369212
2020-12-03,54.81,55.74,54.68,55.44,195650
2020-12-04,55.24,55.53,53.51,53.84,385490
2020-12-07,53.65,54.18,53.44,53.85,226770
2020-12-08,53.61,54.59,53.61,54.28,192368
2020-12-09,54.43,54.43,53.95,54.15,170884
2020-12-10,54.31,54.31,53.81,54.06,166760
2020-12-11,53.71,54.14,53.48,53.76,129006
2020-12-14,54.05,54.59,53.77,53.81,201090
2020-12-15,53.89,55.22,53.89,54.98,210114
2020-12-16,55.2,55.42,54.22,54.22,172380
2020-12-17,54.57,56.18,54.48,55.78,404078
2020-12-18,55.88,56.2,55.04,55.3,190812
2020-12-21,54.62,54.75,53.57,53.63,197740
2020-12-22,53.7,53.91,53.22,53.46,110658
2020-12-23,53.95,54.09,53.31,53.34,95084
2020-12-24,53.24,53.35,52.82,53.33,50786
2020-12-28,53.55,54.14,53.4,53.55,102298
2020-12-29,53.65,53.85,53.43,53.51,74322
2020-12-30,53.4,53.76,53.06,53.26,137202
2020-12-31,53.28,54.01,53.21,54.01,76326
2021-01-04,53.84,53.87,52.21,52.41,155076
2021-01-05,52.5,52.61,51.58,52.24,141754
2021-01-06,52.59,52.87,51.88,52.45,184204
2021-01-07,52.51,52.51,50.58,50.76,234444
2021-01-08,50.69,51.02,50.57,50.72,255888
2021-01-11,50.63,50.82,49.65,50.15,299182
2021-01-12,49.96,50.04,48.62,49.97,178532
2021-01-13,49.94,51.49,49.94,51.32,244938
2021-01-14,51.66,52.84,51.51,51.87,236538
2021-01-15,51.77,52.64,51.47,51.7,181652
2021-01-19,51.93,51.97,51.26,51.43,179138
2021-01-20,51.14,52.13,51.14,52.02,159192
2021-01-21,51.94,52.21,51.66,51.82,208666
2021-01-22,51.66,51.75,51.08,51.44,114630
2021-01-25,51.15,53.41,51.14,53.34,294548
2021-01-26,53.31,53.71,52.76,52.76,127440
2021-01-27,52.45,52.54,50.38,50.8,265764
2021-01-28,51.13,52.98,51.08,52.78,223176
2021-01-29,52.27,53.56,52.11,52.4,232766
2021-02-01,52.63,53.12,51.85,52.99,204114
2021-02-02,52.74,53.95,52.63,52.73,251406
2021-02-03,52.4,52.87,52.04,52.21,94958
2021-02-04,52.08,53.44,52.08,53.37,111386
2021-02-05,53.26,53.78,53.14,53.49,66298
2021-02-08,53.52,53.59,52.75,52.82,164502
2021-02-09,53.1,53.3,52.49,53.09,96398
2021-02-10,53.31,53.97,53.22,53.65,93996
2021-02-11,53.5,53.61,53.14,53.27,177640
2021-02-12,53.23,53.23,52.25,52.7,132678
2021-02-16,52.66,53.14,52.34,52.81,150664
2021-02-17,52.89,52.92,52.19,52.74,130576
2021-02-18,52.72,52.87,52.33,52.61,132078
2021-02-19,52.8,53.16,52.65,52.76,149448
2021-02-22,52.69,52.82,51.14,51.93,241480
2021-02-23,52.15,52.69,51.9,52.3,231156
2021-02-24,51.94,52.45,51.59,51.93,310558
2021-02-25,51.89,52.37,50.26,50.37,244722
2021-02-26,50.43,50.53,49.13,49.14,206292
2021-03-01,49.65,50.74,49.63,49.97,135896
2021-03-02,50.0,50.0,49.46,49.58,323596
2021-03-03,49.29,49.72,48.59,49.52,219372
2021-03-04,49.82,50.74,49.37,49.48,173090
2021-03-05,49.75,50.76,49.43,50.44,193328
2021-03-08,50.65,52.4,50.65,52.04,203936
2021-03-09,52.05,52.79,52.0,52.27,184770
2021-03-10,52.4,53.76,52.3,53.52,598358
2021-03-11,53.19,54.46,53.19,53.78,364856
2021-03-12,53.9,54.61,53.62,54.51,195850
2021-03-15,54.56,56.09,54.56,55.87,384528
2021-03-16,55.47,55.91,55.14,55.55,147328
2021-03-17,55.18,55.6,54.59,54.83,211882
2021-03-18,54.67,55.08,54.43,54.86,220486
2021-03-19,54.95,55.23,54.24,54.52,248198
2021-03-22,54.2,54.45,53.75,54.22,165928
2021-03-23,54.2,55.06,54.07,54.87,150374
2021-03-24,54.58,55.44,54.48,55.13,119250
2021-03-25,55.04,56.12,54.97,55.95,163674
2021-03-26,56.06,56.53,55.63,56.44,133186
2021-03-29,56.57,56.92,56.14,56.42,159364
2021-03-30,56.12,56.37,55.8,56.15,70346
2021-03-31,56.15,56.75,56.03,56.7,102478
2021-04-01,56.67,56.67,55.87,56.29,94330
2021-04-05,56.84,57.76,56.74,57.12,140540
2021-04-06,56.84,57.53,56.76,57.33,139246
2021-04-07,57.29,57.46,56.63,57.01,217652
2021-04-08,57.18,57.7,56.84,56.88,160076
2021-04-09,57.17,57.44,57.0,57.33,100148
2021-04-12,57.35,57.96,56.67,56.92,181382
2021-04-13,56.53,57.75,56.21,57.67,120042
2021-04-14,57.64,57.97,57.44,57.82,81942
2021-04-15,57.84,58.83,57.84,58.77,188508
2021-04-16,59.11,59.27,58.76,59.0,136624
2021-04-20,59.08,59.82,58.93,59.71,89586
2021-04-21,59.76,59.91,58.92,59.21,137164
2021-04-22,58.94,59.29,58.62,58.68,161388
2021-04-23,58.64,58.7,58.35,58.57,71386
2021-04-26,58.38,58.41,57.86,58.27,108582
2021-04-27,58.19,58.29,57.43,57.63,101416
2021-04-28,57.81,57.83,57.21,57.58,92894
2021-04-29,57.71,58.16,57.64,58.13,103226
2021-04-30,58.23,58.75,57.84,58.71,119384
2021-05-03,58.61,59.5,58.61,58.95,69040
2021-05-04,59.08,59.14,58.63,58.93,145566
2021-05-05,59.13,59.25,57.31,57.87,176964
2021-05-06,57.86,58.39,57.65,58.37,209972
2021-05-07,58.38,59.28,58.19,58.86,97766
2021-05-10,59.08,59.95,59.08,59.36,74524
2021-05-11,59.43,59.43,58.53,59.17,157568
2021-05-12,59.13,59.13,57.63,57.72,133902
2021-05-13,57.64,59.11,57.57,58.82,78216
2021-05-14,59.27,59.56,58.73,58.98,106768
2021-05-17,58.92,59.12,58.4,58.7,68480
2021-05-18,58.61,58.78,58.45,58.63,75978
2021-05-19,58.46,58.46,57.45,58.01,175512
2021-05-20,58.02,58.35,57.76,57.97,299566
2021-05-21,58.12,58.64,58.12,58.5,79034
2021-05-24,58.95,59.23,58.78,58.82,59766
2021-05-25,58.92,58.92,57.7,57.86,86728
2021-05-26,57.89,58.86,57.89,58.51,141928
2021-05-27,58.71,58.71,57.63,57.82,202880
2021-05-28,58.07,58.41,57.53,57.89,210428
2021-06-01,58.13,58.26,57.78,58.06,111850
2021-06-02,58.04,58.23,57.63,58.01,231654
2021-06-03,57.82,58.67,57.61,58.52,120186
2021-06-04,58.67,58.73,58.04,58.26,175712
2021-06-07,58.49,58.49,58.07,58.1,90820
