date,open,high,low,close,volume
2020-07-27,25.26,25.74,24.88,25.74,67751
2020-07-28,25.55,25.55,24.75,24.79,40230
2020-07-29,24.92,25.4,24.85,25.38,12481
2020-07-30,24.88,25.13,24.56,25.0,50553
2020-07-31,24.83,24.86,24.31,24.86,75818
2020-08-03,24.97,25.63,24.89,25.54,55626
2020-08-04,25.55,25.59,25.18,25.26,32468
2020-08-05,25.93,26.12,25.48,25.55,64740
2020-08-06,25.48,25.58,25.31,25.35,15483
2020-08-07,25.18,25.85,24.87,25.8,49126
2020-08-10,26.14,27.39,26.14,27.38,60250
2020-08-11,28.03,28.14,27.4,27.48,48596
2020-08-12,27.99,27.99,27.51,27.84,48029
2020-08-13,27.48,27.85,27.34,27.73,31909
2020-08-14,27.73,28.2,27.69,28.08,25845
2020-08-17,28.44,28.52,27.98,28.0,53730
2020-08-18,28.1,28.12,27.46,27.56,63878
2020-08-19,27.52,27.89,27.3,27.34,32103
2020-08-20,27.12,27.48,26.96,27.38,71117
2020-08-21,26.93,27.09,26.69,26.83,16196
2020-08-24,27.16,27.47,27.09,27.46,19453
2020-08-25,27.42,27.42,26.77,27.02,77841
2020-08-26,26.96,27.25,26.7,26.96,31299
2020-08-27,27.12,27.42,26.8,27.02,25447
2020-08-28,27.23,27.55,27.17,27.35,31738
2020-08-31,27.47,27.56,26.73,26.78,61114
2020-09-01,26.71,27.29,26.5,27.29,141918
2020-09-02,27.17,27.98,27.11,27.93,35408
2020-09-03,27.93,28.23,27.31,27.48,59256
2020-09-04,27.7,28.12,27.43,27.81,34873
2020-09-08,27.25,27.25,26.41,26.67,70751
2020-09-09,26.92,26.92,26.01,26.61,104656
2020-09-10,26.55,26.6,26.13,26.36,38652
2020-09-11,26.41,27.05,26.34,26.59,28003
2020-09-14,26.72,27.37,26.62,27.29,94861
2020-09-15,27.5,27.78,27.29,27.54,45874
2020-09-16,27.65,27.89,27.29,27.6,70403
2020-09-17,27.23,28.57,27.1,28.34,45667
2020-09-18,28.61,29.49,28.61,29.04,81819
2020-09-21,28.29,28.29,26.13,26.58,45836
2020-09-22,26.74,26.99,26.44,26.66,94817
2020-09-23,26.79,27.28,26.27,26.3,37950
2020-09-24,26.11,26.71,25.79,26.15,56983
2020-09-25,26.07,26.29,25.81,26.16,32536
2020-09-28,26.94,27.52,26.71,27.13,79420
2020-09-29,26.92,27.15,26.1,26.22,76909
2020-09-30,26.47,26.62,25.94,26.2,52171
2020-10-01,26.36,26.8,26.24,26.59,88855
2020-10-02,26.11,27.42,26.03,27.16,97191
2020-10-05,27.54,28.48,27.54,28.34,61817
2020-10-06,28.49,28.97,28.0,28.23,178838
2020-10-07,28.65,29.39,28.65,29.26,74580
2020-10-08,29.25,30.12,29.21,30.0,125623
2020-10-09,30.35,30.35,29.33,29.78,147934
2020-10-12,29.7,30.51,29.7,30.36,108948
2020-10-13,30.15,30.29,29.82,29.92,325329
2020-10-14,29.99,30.56,29.96,30.41,209058
2020-10-15,29.87,30.53,29.52,30.53,127228
2020-10-16,30.54,30.85,30.34,30.53,81889
2020-10-19,30.76,31.37,30.27,30.27,80180
2020-10-20,29.44,30.74,28.86,29.14,250591
2020-10-21,29.39,29.47,28.51,28.51,126924
2020-10-22,28.7,29.55,28.7,29.36,79186
2020-10-23,29.6,29.87,29.31,29.76,94390
2020-10-26,29.34,29.38,28.51,28.65,91438
2020-10-27,28.63,28.95,28.53,28.72,59262
2020-10-28,28.15,28.25,27.68,27.95,111744
2020-10-29,27.79,29.24,27.77,28.91,132679
2020-10-30,28.45,29.04,28.41,28.77,109331
2020-11-02,29.34,29.37,28.8,29.15,88118
2020-11-03,29.59,29.77,29.19,29.56,124483
2020-11-04,29.2,29.24,27.98,28.11,176366
2020-11-05,28.51,30.0,28.51,29.49,117353
2020-11-06,29.89,30.1,29.25,29.28,105189
2020-11-09,30.99,31.92,30.35,30.5,100972
2020-11-10,30.75,31.64,30.5,30.99,178328
2020-11-11,30.89,31.07,30.58,30.92,68808
2020-11-12,30.56,30.82,29.83,30.28,59976
2020-11-13,30.76,31.81,30.76,31.67,118400
2020-11-16,32.38,34.13,32.38,33.72,176824
2020-11-17,33.15,33.87,32.9,33.42,160238
2020-11-18,33.65,33.82,32.59,32.59,148747
2020-11-19,32.44,33.0,32.34,32.75,69257
2020-11-20,32.62,32.86,32.17,32.24,89052
2020-11-23,32.91,33.34,32.51,33.15,66760
2020-11-24,33.48,35.31,33.48,35.31,132853
2020-11-25,34.99,35.11,34.1,34.62,81890
2020-11-27,34.51,34.68,34.09,34.4,35396
2020-11-30,34.22,34.22,33.05,33.11,144859
2020-12-01,33.98,34.51,33.85,34.15,65386
2020-12-02,34.11,34.33,33.78,34.0,69020
2020-12-03,34.03,34.5,33.59,34.39,59409
2020-12-04,34.65,35.71,34.38,35.54,80808
2020-12-07,35.19,35.51,34.86,35.16,47584
2020-12-08,34.94,35.73,34.83,35.11,53202
2020-12-09,36.14,36.17,35.14,35.48,62315
2020-12-10,35.15,36.76,35.11,36.21,124485
2020-12-11,36.64,36.64,35.18,35.75,80195
2020-12-14,36.44,36.47,34.68,34.71,64300
2020-12-15,35.17,35.46,34.42,35.29,46809
2020-12-16,35.64,35.64,34.54,35.05,52520
2020-12-17,35.21,35.21,34.05,34.37,100520
2020-12-18,34.43,34.47,32.93,33.08,96701
2020-12-21,32.52,33.82,32.52,33.8,76045
2020-12-22,33.73,33.74,32.9,33.23,38434
2020-12-23,33.44,33.73,33.1,33.28,58311
2020-12-24,33.33,33.33,32.87,33.28,19818
2020-12-28,33.46,33.66,32.86,32.9,46409
2020-12-29,33.08,33.78,32.94,33.26,66027
2020-12-30,33.37,34.0,33.37,33.69,38216
2020-12-31,33.46,34.18,33.29,33.94,23735
2021-01-04,34.69,34.98,33.62,33.68,47131
2021-01-05,33.87,35.39,33.76,34.94,56356
2021-01-06,35.89,38.1,35.85,37.42,131702
2021-01-07,38.04,38.26,36.6,36.69,100677
