date,open,high,low,close,volume
2020-07-27,51.08,52.45,50.72,52.41,67434
2020-07-28,52.09,52.87,52.06,52.65,57413
2020-07-29,52.53,53.75,52.0,53.66,73731
2020-07-30,52.46,52.96,51.84,52.96,43364
2020-07-31,52.78,53.27,52.5,53.2,61472
2020-08-03,53.52,53.94,52.67,53.65,98125
2020-08-04,53.91,54.14,53.5,54.12,62333
2020-08-05,54.49,55.75,54.45,55.75,183574
2020-08-06,55.65,55.9,54.93,55.48,80232
2020-08-07,55.39,58.02,55.35,58.0,92723
2020-08-10,58.08,58.41,57.43,58.29,49524
2020-08-11,59.36,59.99,58.51,58.69,104848
2020-08-12,59.66,59.87,58.25,59.37,50909
2020-08-13,58.49,59.29,58.44,58.64,66009
2020-08-14,58.37,59.21,58.37,58.83,42697
2020-08-17,58.56,58.66,57.43,57.7,85947
2020-08-18,57.34,58.13,57.26,58.12,41038
2020-08-19,58.14,58.9,58.03,58.72,87640
2020-08-20,57.74,57.74,56.49,56.65,58536
2020-08-21,56.31,56.81,56.1,56.32,100014
2020-08-24,56.67,57.62,56.45,57.48,59968
2020-08-25,57.9,58.31,57.47,57.59,55254
2020-08-26,57.22,57.55,56.64,56.71,38393
2020-08-27,56.9,58.13,56.85,57.76,36975
2020-08-28,58.05,58.56,57.55,58.53,38757
2020-08-31,57.81,57.9,56.83,56.83,44876
2020-09-01,56.47,57.55,56.2,57.15,55364
2020-09-02,57.23,58.52,57.11,58.3,60943
2020-09-03,58.73,59.28,55.74,56.16,188483
2020-09-04,57.42,58.13,55.9,57.01,163609
2020-09-08,56.13,56.13,54.54,54.63,93966
2020-09-09,55.16,55.42,54.85,54.88,64189
2020-09-10,55.03,55.19,53.44,53.59,64579
2020-09-11,53.54,55.17,53.49,54.14,109037
2020-09-14,54.72,55.68,53.29,53.77,101930
2020-09-15,53.84,53.84,52.15,52.74,73838
2020-09-16,52.65,53.93,52.62,52.78,120728
2020-09-17,51.96,52.62,51.83,51.97,87057
2020-09-18,51.81,52.94,51.52,51.7,66588
2020-09-21,50.51,51.15,49.02,49.92,59895
2020-09-22,49.46,49.95,48.27,49.1,100022
2020-09-23,49.25,49.79,48.09,48.18,80821
2020-09-24,48.24,48.74,47.33,48.11,48864
2020-09-25,47.45,48.86,47.45,48.81,125030
2020-09-28,50.11,51.03,49.67,50.28,111888
2020-09-29,49.84,50.5,49.43,49.95,48196
2020-09-30,50.18,50.75,49.44,49.96,92065
2020-10-01,49.98,50.45,48.87,49.41,181875
2020-10-02,48.64,50.37,48.45,50.21,94174
2020-10-05,50.62,51.85,50.62,51.64,75224
2020-10-06,52.3,52.95,51.12,51.29,93073
2020-10-07,51.77,53.59,51.77,53.36,135003
2020-10-08,53.54,54.7,53.44,54.67,234789
2020-10-09,55.35,56.62,55.23,55.88,213509
2020-10-12,55.81,56.89,55.37,56.55,147600
2020-10-13,56.52,56.6,55.33,55.59,333798
2020-10-14,56.05,56.59,55.49,55.5,115931
2020-10-15,54.9,56.38,54.76,56.34,155563
2020-10-16,56.7,56.95,54.53,55.98,273371
2020-10-19,56.17,56.17,54.0,54.09,133787
2020-10-20,54.57,55.48,54.22,54.33,137775
2020-10-21,54.28,54.68,53.81,53.95,102894
2020-10-22,54.13,55.19,53.72,55.17,130692
2020-10-23,55.55,55.95,54.7,54.88,78705
2020-10-26,54.14,54.14,52.57,53.4,123906
2020-10-27,53.28,53.28,51.88,51.9,110524
2020-10-28,50.98,51.33,49.07,49.16,162402
2020-10-29,48.98,50.09,48.08,49.46,191095
2020-10-30,49.32,49.59,48.36,49.53,157124
2020-11-02,50.36,50.72,49.62,50.16,155200
2020-11-03,51.31,52.86,51.25,52.49,104345
2020-11-04,51.31,52.33,50.13,50.8,85348
2020-11-05,51.42,53.69,51.42,52.88,110009
2020-11-06,52.94,52.94,52.21,52.35,59193
2020-11-09,56.7,59.85,56.7,58.93,195111
2020-11-10,59.24,59.36,58.28,58.93,180403
2020-11-11,59.48,60.08,57.06,57.62,153657
2020-11-12,56.76,57.88,55.58,56.26,104118
2020-11-13,57.14,58.01,56.75,57.61,52060
2020-11-16,59.1,59.16,57.88,58.71,87299
2020-11-17,57.65,59.35,57.5,59.3,82233
2020-11-18,59.37,60.22,58.18,58.19,87564
2020-11-19,58.0,58.87,57.62,58.24,56334
2020-11-20,57.74,58.01,57.04,57.11,85949
2020-11-23,57.7,59.47,57.68,59.37,67416
2020-11-24,60.44,62.66,60.35,61.76,80010
2020-11-25,61.1,61.1,60.06,60.75,44014
2020-11-27,60.68,61.06,60.17,60.25,29687
2020-11-30,60.73,60.99,59.04,59.23,77425
2020-12-01,60.46,61.36,59.98,60.82,93906
2020-12-02,61.14,62.34,60.61,62.3,171908
2020-12-03,62.57,62.82,61.98,62.13,102393
2020-12-04,62.75,64.25,62.69,64.23,157899
2020-12-07,63.8,64.2,63.16,63.93,186327
2020-12-08,63.46,64.57,63.45,63.78,130421
2020-12-09,64.31,65.03,60.82,61.22,232932
2020-12-10,60.69,60.69,58.99,60.36,332292
2020-12-11,59.22,63.17,58.38,61.2,274993
2020-12-14,62.03,62.03,59.42,59.56,106756
2020-12-15,60.41,60.96,59.38,60.4,64083
2020-12-16,60.37,60.49,59.64,59.9,150485
2020-12-17,60.04,60.15,59.3,59.47,70819
2020-12-18,59.37,59.9,58.95,59.43,58218
2020-12-21,59.61,60.76,57.97,59.21,109000
2020-12-22,59.27,59.64,58.8,59.05,86165
2020-12-23,59.65,60.95,59.65,60.25,69836
2020-12-24,60.23,60.36,59.59,60.36,23535
2020-12-28,60.62,61.31,60.1,60.65,53263
2020-12-29,61.25,61.25,60.37,60.52,59687
2020-12-30,60.37,61.32,60.37,60.88,43461
2020-12-31,60.87,61.72,60.61,61.68,57052
2021-01-04,62.06,62.24,60.2,61.2,55527
2021-01-05,59.72,61.76,59.72,61.46,89630
2021-01-06,63.44,66.57,63.44,65.75,152151
2021-01-07,66.46,67.14,65.78,65.87,82909
2021-01-08,65.73,66.32,64.5,65.31,76497
2021-01-11,64.33,66.38,64.25,66.2,75228
2021-01-12,66.65,68.36,66.56,68.21,142255
2021-01-13,67.79,68.7,66.57,66.63,75860
2021-01-14,67.27,67.73,66.79,67.32,80438
2021-01-15,66.43,66.7,64.77,65.46,131794
2021-01-19,63.9,67.22,62.85,66.43,265240
2021-01-20,66.57,66.72,64.52,64.93,176832
2021-01-21,65.1,65.23,63.15,63.25,132445
2021-01-22,62.21,63.2,62.21,62.85,147234
2021-01-25,61.96,62.22,61.23,61.49,168251
2021-01-26,61.99,62.29,61.26,61.53,114859
2021-01-27,60.13,60.57,59.23,59.38,113552
2021-01-28,60.44,61.36,59.87,60.71,118516
2021-01-29,60.51,60.97,58.5,59.31,85446
2021-02-01,59.76,60.08,59.19,59.49,108230
2021-02-02,60.27,60.69,59.95,60.02,135713
2021-02-03,60.11,61.47,59.91,60.66,208563
2021-02-04,61.14,62.6,61.14,62.56,74595
2021-02-05,63.24,63.71,62.85,63.34,98086
2021-02-08,63.89,64.49,63.4,64.48,42550
2021-02-09,64.44,64.66,63.86,64.2,97791
2021-02-10,64.41,64.67,62.7,62.72,143790
2021-02-11,62.71,63.05,61.12,61.71,302904
2021-02-12,61.58,62.42,61.35,62.28,219108
2021-02-16,62.68,64.69,62.68,63.93,478411
2021-02-17,63.98,64.36,63.13,63.66,153133
2021-02-18,63.26,63.53,62.47,63.24,63601
2021-02-19,63.73,64.39,60.81,60.94,309221
2021-02-22,60.75,63.29,60.51,62.33,162572
2021-02-23,62.8,64.02,62.53,62.73,241995
2021-02-24,62.99,65.6,62.99,65.13,374613
2021-02-25,65.55,66.24,62.74,62.99,289397
2021-02-26,62.05,62.51,61.18,61.69,119925
2021-03-01,63.05,65.68,63.02,65.05,125745
2021-03-02,65.04,66.05,64.73,65.28,121440
2021-03-03,65.78,68.65,65.68,67.15,149705
2021-03-04,67.65,67.84,65.7,66.25,408290
2021-03-05,67.48,68.35,66.04,67.26,182535
2021-03-08,68.11,69.29,67.6,68.14,111367
2021-03-09,67.54,71.12,66.68,69.39,248877
2021-03-10,70.15,71.12,69.94,70.52,135104
2021-03-11,70.15,71.69,69.7,70.87,169704
