date,open,high,low,close,volume
2020-07-27,161.8,161.96,160.07,161.16,21293
2020-07-28,160.77,164.09,160.6,161.69,28200
2020-07-29,162.61,164.27,161.99,163.64,19038
2020-07-30,161.81,163.87,161.35,162.98,18427
2020-07-31,162.53,162.77,158.5,160.57,43704
2020-08-03,160.56,160.56,155.8,156.25,50449
2020-08-04,155.6,157.2,154.67,154.68,41900
2020-08-05,155.33,156.44,155.26,156.4,56150
2020-08-06,154.04,155.94,153.77,154.21,91983
2020-08-07,153.86,155.87,153.6,155.21,184881
2020-08-10,155.5,156.47,154.76,155.24,27519
2020-08-11,157.36,157.93,155.68,156.54,38324
2020-08-12,157.9,160.14,157.43,158.86,30886
2020-08-13,157.87,160.32,157.87,159.93,16654
2020-08-14,159.59,161.03,159.28,159.35,16356
2020-08-17,159.78,160.38,157.01,157.16,28364
2020-08-18,157.79,161.67,157.3,161.39,41702
2020-08-19,161.45,163.31,161.08,163.0,44279
2020-08-20,161.65,162.6,160.93,161.48,66253
2020-08-21,161.85,162.54,160.4,162.5,28408
2020-08-24,162.05,164.32,161.3,164.3,40446
2020-08-25,164.33,164.33,162.33,163.11,32385
2020-08-26,162.88,164.56,162.16,164.16,33877
2020-08-27,164.64,166.46,164.61,165.07,27664
2020-08-28,165.39,168.12,164.26,167.86,39148
2020-08-31,168.04,168.04,166.06,167.02,20083
2020-09-01,166.02,168.45,166.02,168.31,43321
2020-09-02,169.09,171.52,168.38,170.16,66064
2020-09-03,171.7,173.02,170.05,172.65,73771
2020-09-04,173.27,174.11,169.93,173.44,42495
2020-09-08,171.8,172.8,167.97,170.01,61602
2020-09-09,171.27,173.16,168.45,171.93,60009
2020-09-10,171.66,172.65,170.31,170.88,56489
2020-09-11,170.98,172.23,168.81,170.92,42697
2020-09-14,171.96,177.73,171.6,176.78,43753
2020-09-15,177.85,179.22,176.78,178.04,59134
2020-09-16,178.15,178.15,174.58,174.83,37243
2020-09-17,173.82,176.32,172.92,173.96,50484
2020-09-18,173.8,174.36,167.54,170.17,44913
