date,open,high,low,close,volume
2020-07-27,25.72,25.93,25.36,25.88,28906
2020-07-28,25.87,25.9,25.17,25.22,51642
2020-07-29,25.32,25.89,25.19,25.89,34546
2020-07-30,25.32,25.34,23.95,24.17,91334
2020-07-31,24.03,24.03,22.73,22.97,173350
2020-08-03,23.14,24.05,23.09,23.86,115870
2020-08-04,23.53,25.38,23.37,25.04,133740
2020-08-05,25.48,25.91,25.41,25.56,37751
2020-08-06,25.58,25.84,25.21,25.24,41322
2020-08-07,23.71,24.86,23.71,24.86,95443
2020-08-10,25.06,26.24,25.06,26.23,61728
2020-08-11,26.8,27.35,26.41,26.43,97261
2020-08-12,26.99,27.0,25.77,25.96,23984
2020-08-13,25.4,25.85,25.4,25.57,27527
2020-08-14,25.4,26.46,25.4,26.08,114891
2020-08-17,26.12,26.23,25.57,25.63,29906
2020-08-18,25.56,25.56,25.0,25.06,43903
2020-08-19,25.3,25.71,25.12,25.16,33509
2020-08-20,24.8,25.0,24.6,24.84,16397
2020-08-21,24.66,24.84,24.29,24.5,33400
2020-08-24,25.0,26.98,25.0,26.94,73327
2020-08-25,27.19,27.26,25.99,26.36,42787
2020-08-26,26.34,26.34,25.89,26.3,34650
2020-08-27,26.48,26.85,26.43,26.55,36967
2020-08-28,26.64,26.86,26.43,26.74,15972
2020-08-31,26.63,26.63,26.13,26.13,37007
2020-09-01,26.04,27.6,25.9,27.6,55688
2020-09-02,27.58,28.22,27.19,28.13,37840
2020-09-03,28.15,28.37,27.08,27.48,35048
2020-09-04,28.04,28.34,27.35,28.01,94301
2020-09-08,27.86,28.11,27.3,27.51,55597
2020-09-09,27.87,28.41,27.87,27.88,84536
2020-09-10,27.87,28.18,27.3,27.49,73484
2020-09-11,27.44,28.07,27.33,28.01,36620
2020-09-14,28.26,29.71,28.23,29.58,74484
2020-09-15,29.74,30.97,29.73,30.97,129727
2020-09-16,31.05,31.93,30.48,31.33,102554
2020-09-17,30.62,33.15,30.25,32.48,125321
2020-09-18,32.1,33.79,30.92,31.22,186797
2020-09-21,30.3,30.71,29.81,30.31,96543
2020-09-22,30.14,30.45,29.04,29.59,46865
2020-09-23,29.69,29.77,28.26,28.29,94150
2020-09-24,28.21,29.12,27.56,28.46,112274
2020-09-25,28.1,31.23,28.1,30.82,207712
2020-09-28,31.14,31.26,29.56,30.09,135670
2020-09-29,30.11,30.11,29.17,29.5,82954
2020-09-30,29.84,30.49,29.5,29.93,96078
2020-10-01,30.04,30.44,29.11,29.32,139627
2020-10-02,28.79,30.43,28.79,30.15,118195
2020-10-05,30.55,31.85,30.55,31.67,240183
2020-10-06,31.69,31.91,30.98,31.1,262797
2020-10-07,31.82,32.61,31.62,32.03,136805
2020-10-08,32.19,32.62,31.79,32.54,76905
2020-10-09,32.85,33.18,32.25,32.54,157862
2020-10-12,33.53,34.67,33.37,33.56,216326
2020-10-13,33.18,33.45,32.47,32.65,106679
2020-10-14,32.98,33.19,32.68,32.82,114236
2020-10-15,32.26,34.19,32.26,34.11,219340
2020-10-16,34.69,35.94,34.34,35.29,325416
2020-10-19,35.37,36.2,35.14,35.38,169165
2020-10-20,35.59,35.85,34.15,34.56,185681
2020-10-21,34.55,35.51,34.4,34.75,215084
2020-10-22,34.6,35.02,34.5,34.79,102327
2020-10-23,35.16,35.17,34.55,34.65,78819
2020-10-26,33.14,33.95,32.91,33.3,112954
2020-10-27,33.29,33.51,32.97,32.97,129070
2020-10-28,32.29,32.66,31.59,31.64,103026
2020-10-29,31.53,32.51,31.53,32.23,122021
2020-10-30,31.97,32.51,31.74,32.36,97806
2020-11-02,32.79,33.94,32.74,33.65,161919
2020-11-03,34.15,34.88,34.07,34.25,132124
2020-11-04,33.65,34.23,32.41,33.11,184255
2020-11-05,33.37,34.64,31.95,33.79,145967
2020-11-06,34.03,34.06,33.28,33.61,120871
2020-11-09,35.7,36.07,33.34,34.76,197720
2020-11-10,34.56,36.01,34.45,35.95,177258
2020-11-11,36.02,36.46,35.26,35.53,155848
2020-11-12,34.88,34.88,33.3,33.71,146205
2020-11-13,34.13,35.24,34.13,35.01,134149
2020-11-16,36.05,37.4,36.05,36.81,152392
2020-11-17,36.56,38.08,36.38,37.77,225463
2020-11-18,37.57,38.64,37.18,37.88,183562
2020-11-19,37.32,37.61,36.3,36.88,128706
2020-11-20,36.82,36.93,36.14,36.54,96397
2020-11-23,37.33,37.95,36.88,37.31,120106
2020-11-24,37.89,39.43,37.69,39.33,99262
2020-11-25,38.57,38.72,37.7,38.16,49646
2020-11-27,37.93,38.23,37.74,38.17,17506
2020-11-30,37.81,37.81,36.47,36.61,81471
2020-12-01,37.21,37.73,36.88,37.29,69157
2020-12-02,36.92,37.64,36.66,37.64,47450
2020-12-03,37.78,38.17,36.94,37.06,170878
2020-12-04,37.8,38.74,37.68,38.47,107734
2020-12-07,38.08,38.72,37.64,38.54,69488
2020-12-08,38.21,39.12,38.21,39.03,63250
2020-12-09,39.23,39.43,38.55,38.85,58301
2020-12-10,38.23,38.57,37.92,38.01,77221
2020-12-11,37.58,37.87,37.22,37.7,85672
2020-12-14,38.54,38.54,37.23,37.29,69809
2020-12-15,37.76,38.48,37.44,38.48,70530
2020-12-16,38.66,38.99,38.28,38.28,75109
2020-12-17,38.41,39.02,37.74,38.93,73955
2020-12-18,38.78,38.84,38.02,38.59,135605
2020-12-21,37.7,38.25,37.28,38.09,55474
2020-12-22,38.34,38.42,37.79,37.92,29862
2020-12-23,38.34,39.05,38.28,38.48,40212
2020-12-24,38.61,38.61,38.16,38.5,15984
2020-12-28,38.76,38.76,37.96,38.02,47323
2020-12-29,37.78,37.82,37.07,37.27,41675
2020-12-30,37.41,37.72,37.4,37.63,45577
2020-12-31,37.17,37.79,37.0,37.7,38393
2021-01-04,37.55,38.0,36.35,36.74,57916
2021-01-05,37.16,37.89,36.89,37.63,66701
2021-01-06,38.66,40.57,38.54,39.97,139622
2021-01-07,40.19,40.59,39.56,39.7,70739
2021-01-08,39.8,39.85,38.46,39.14,83655
2021-01-11,39.01,40.51,38.81,40.19,56961
2021-01-12,40.5,41.27,40.0,40.91,47771
2021-01-13,41.05,41.32,40.03,40.62,136665
2021-01-14,40.55,41.11,40.0,40.59,55186
2021-01-15,39.89,40.13,39.4,39.54,71394
2021-01-19,39.61,39.61,38.58,38.63,93731
2021-01-20,39.12,39.53,38.6,39.37,58905
2021-01-21,39.62,40.75,39.6,40.34,96002
2021-01-22,39.7,40.56,39.53,40.42,26581
2021-01-25,39.5,39.63,37.83,38.18,95092
2021-01-26,38.6,39.0,37.9,37.96,99157
2021-01-27,37.27,37.27,35.9,36.14,99612
2021-01-28,36.91,37.32,35.2,35.28,187681
2021-01-29,34.98,36.44,34.83,35.84,194423
2021-02-01,36.45,36.61,34.78,35.83,112149
2021-02-02,36.08,36.76,35.68,36.25,86529
2021-02-03,36.09,37.07,36.01,36.8,76283
2021-02-04,36.71,36.71,35.61,35.87,97812
2021-02-05,36.53,37.38,36.53,37.26,82751
2021-02-08,37.63,37.73,36.75,36.98,88209
2021-02-09,37.17,37.91,37.17,37.86,113728
2021-02-10,38.21,38.23,37.31,37.97,150789
2021-02-11,37.83,38.1,37.02,37.46,104188
2021-02-12,37.69,38.5,37.68,38.46,82223
2021-02-16,38.65,38.76,37.93,38.05,70085
2021-02-17,37.72,38.3,37.36,38.25,61692
2021-02-18,38.01,38.32,37.32,37.33,130842
2021-02-19,37.43,38.21,37.43,38.21,94864
2021-02-22,37.91,38.64,37.66,38.11,73557
2021-02-23,38.49,39.32,38.1,39.24,112691
2021-02-24,39.21,39.42,38.77,39.03,85029
2021-02-25,39.1,39.62,38.23,38.43,95506
2021-02-26,38.03,38.43,37.51,37.92,94419
2021-03-01,38.66,40.16,38.57,40.14,156596
2021-03-02,40.01,41.43,39.99,40.65,193752
2021-03-03,40.78,42.49,40.6,41.64,100483
2021-03-04,41.59,42.14,40.84,42.08,220033
2021-03-05,42.36,44.27,42.36,44.07,181049
2021-03-08,44.66,46.92,44.66,46.22,172541
2021-03-09,45.77,46.44,45.07,46.09,313151
2021-03-10,46.21,46.43,45.72,45.83,148030
2021-03-11,45.64,45.64,44.25,44.68,208487
2021-03-12,44.96,45.53,44.56,44.82,120352
2021-03-15,44.55,44.59,43.38,44.38,189474
2021-03-16,43.73,44.14,43.2,43.95,64472
2021-03-17,43.82,45.25,43.82,45.25,178108
2021-03-18,45.39,46.09,44.93,45.43,65092
2021-03-19,45.14,45.67,44.43,45.12,88042
2021-03-22,43.83,43.95,42.52,43.7,127928
2021-03-23,43.47,44.06,41.88,42.02,159924
2021-03-24,42.42,43.91,42.42,43.02,152673
2021-03-25,43.23,45.11,43.05,45.1,103392
2021-03-26,45.73,46.63,45.34,46.63,104246
2021-03-29,46.0,47.28,45.81,46.01,71289
2021-03-30,46.19,46.38,45.68,46.25,45397
2021-03-31,46.09,46.54,45.23,45.23,44275
2021-04-01,45.36,45.53,44.8,45.33,53033
2021-04-05,46.02,46.19,45.53,45.98,49160
2021-04-06,45.93,46.65,45.87,46.63,91343
2021-04-07,46.91,46.96,45.77,45.91,42924
2021-04-08,45.45,46.13,45.1,45.85,121263
2021-04-09,46.05,46.25,45.53,45.89,108734
2021-04-12,46.5,47.23,46.19,47.2,118064
2021-04-13,47.08,47.1,45.4,45.61,27422
2021-04-14,45.54,46.29,45.43,46.29,57629
