date,open,high,low,close,volume
2020-07-27,125.71,130.2,125.18,129.72,41033
2020-07-28,128.52,128.62,125.39,125.76,42884
2020-07-29,126.85,128.59,126.52,128.45,40942
2020-07-30,126.57,129.2,124.27,127.11,52507
2020-07-31,126.35,126.39,122.57,126.19,44159
2020-08-03,126.05,128.27,126.05,127.06,30771
2020-08-04,126.63,128.31,126.52,127.09,44690
2020-08-05,128.5,129.94,128.5,129.57,40258
2020-08-06,129.43,129.54,127.49,127.6,19573
2020-08-07,127.83,129.48,127.2,129.48,46631
2020-08-10,130.06,132.32,130.06,131.69,57977
2020-08-11,133.47,134.82,132.35,132.85,62242
2020-08-12,133.77,133.77,131.44,132.18,10578
2020-08-13,131.26,131.87,130.32,130.41,46481
2020-08-14,129.96,131.55,129.82,130.69,14087
2020-08-17,130.85,131.73,130.56,131.53,17073
2020-08-18,131.6,133.3,131.41,131.62,62456
2020-08-19,131.6,132.32,130.5,130.87,21531
2020-08-20,128.77,130.5,128.66,130.25,30466
2020-08-21,129.93,131.51,129.93,130.98,16983
2020-08-24,131.54,132.44,131.37,131.95,24830
2020-08-25,132.07,132.26,130.65,131.45,10858
2020-08-26,131.04,131.92,130.83,131.44,11738
2020-08-27,132.38,132.87,131.24,131.28,10963
2020-08-28,132.89,136.27,132.79,136.27,39586
2020-08-31,134.8,134.8,133.34,133.41,27914
2020-09-01,132.84,137.08,132.84,136.85,46646
2020-09-02,137.5,138.78,136.5,137.5,34420
2020-09-03,137.72,137.73,131.58,132.74,31325
2020-09-04,134.53,134.65,130.69,132.36,19573
2020-09-08,130.52,131.34,128.17,128.66,29607
2020-09-09,130.34,131.95,129.98,130.29,22151
2020-09-10,131.46,132.83,129.74,130.01,35493
2020-09-11,130.1,132.62,130.1,131.48,12899
2020-09-14,133.41,135.27,133.29,134.3,29458
2020-09-15,135.48,135.97,134.08,134.69,18356
2020-09-16,135.44,138.28,134.68,136.9,42624
2020-09-17,134.56,138.08,134.12,135.82,69345
2020-09-18,135.8,136.05,132.14,132.61,30336
2020-09-21,129.67,129.67,125.84,127.69,59497
2020-09-22,127.77,130.24,127.57,130.07,31028
2020-09-23,131.1,132.3,129.33,129.49,56709
2020-09-24,129.18,132.03,128.46,129.99,39548
2020-09-25,129.2,133.13,129.2,132.24,32745
2020-09-28,134.35,136.66,133.92,135.49,52024
2020-09-29,135.42,135.92,133.13,133.5,45346
2020-09-30,134.28,136.3,133.12,134.13,24275
2020-10-01,135.57,136.67,133.26,134.5,47814
2020-10-02,131.67,138.4,131.67,136.18,42115
2020-10-05,138.49,140.32,138.45,139.88,45532
2020-10-06,140.05,141.09,137.89,137.93,65114
2020-10-07,140.66,142.38,139.88,142.26,60587
2020-10-08,143.01,144.26,142.14,143.38,40985
2020-10-09,144.41,148.29,144.28,146.06,147429
2020-10-12,146.41,148.37,146.33,147.15,67312
2020-10-13,146.69,148.05,144.44,147.1,103372
2020-10-14,147.82,148.97,146.39,146.67,36019
2020-10-15,144.69,146.36,143.8,145.97,65816
2020-10-16,147.17,147.76,145.72,145.9,60351
2020-10-19,146.05,146.05,142.71,143.47,55822
2020-10-20,145.0,147.16,143.85,145.33,62032
2020-10-21,144.92,146.84,144.12,144.12,49696
2020-10-22,146.45,147.37,145.26,147.15,108660
2020-10-23,148.29,149.38,145.65,147.12,58283
2020-10-26,144.96,144.96,141.76,143.03,86075
2020-10-27,137.99,141.21,135.63,137.55,308982
2020-10-28,135.33,138.03,134.3,134.41,137584
2020-10-29,134.31,137.6,133.91,136.67,80909
2020-10-30,136.07,137.72,134.37,137.44,86706
2020-11-02,140.47,141.61,137.95,139.32,47640
2020-11-03,142.3,144.51,141.79,143.59,36135
2020-11-04,142.47,146.76,140.3,145.21,70222
2020-11-05,147.19,149.39,146.83,146.96,29861
2020-11-06,147.09,148.69,145.38,148.15,46252
2020-11-09,156.98,157.42,146.43,146.47,84296
2020-11-10,147.23,148.95,145.73,147.79,37953
2020-11-11,147.77,149.63,145.98,149.52,70166
2020-11-12,148.98,149.9,145.53,146.97,28581
2020-11-13,149.34,150.53,148.71,149.99,50190
2020-11-16,152.02,153.81,151.16,153.81,25703
2020-11-17,151.4,153.32,149.59,152.6,52595
2020-11-18,153.37,154.33,152.34,152.34,47912
2020-11-19,151.77,154.3,151.13,154.24,25787
2020-11-20,154.3,154.67,152.99,153.68,27307
2020-11-23,155.82,158.25,155.32,157.91,80141
2020-11-24,159.21,160.93,157.23,157.72,82033
2020-11-25,156.83,157.09,153.84,154.03,70192
2020-11-27,154.65,155.81,154.64,154.92,17563
2020-11-30,154.82,154.82,151.94,152.87,24746
2020-12-01,155.35,156.33,151.05,151.12,37562
2020-12-02,149.61,149.84,147.7,148.1,39103
2020-12-03,148.57,151.15,148.09,148.5,73306
2020-12-04,149.76,150.43,148.04,150.04,35519
2020-12-07,149.05,149.05,146.53,148.04,88539
2020-12-08,147.02,147.13,145.53,147.03,60396
2020-12-09,148.21,148.67,146.96,148.09,40266
2020-12-10,147.01,148.11,144.73,147.41,159748
2020-12-11,145.96,146.38,144.18,145.34,29483
2020-12-14,145.73,145.74,141.35,141.37,72790
2020-12-15,142.92,146.49,142.67,146.21,56452
2020-12-16,150.32,153.63,148.63,148.77,160613
2020-12-17,150.61,152.55,149.46,151.11,103056
2020-12-18,151.61,152.12,148.69,150.55,47413
2020-12-21,147.36,150.87,147.16,150.32,36917
2020-12-22,149.75,149.77,148.09,148.5,39629
2020-12-23,148.94,149.11,147.04,147.58,35977
2020-12-24,148.52,149.48,147.35,149.37,13709
2020-12-28,150.52,150.52,146.68,147.21,39125
2020-12-29,146.98,147.27,144.69,146.24,86815
2020-12-30,146.32,148.39,146.32,148.11,37902
2020-12-31,146.91,148.52,146.91,148.37,73431
2021-01-04,140.22,145.14,139.14,140.49,154772
2021-01-05,141.32,142.33,140.18,141.2,99174
2021-01-06,142.09,148.02,142.09,146.07,95583
2021-01-07,147.3,147.85,144.94,147.32,63563
2021-01-08,147.63,148.0,144.29,146.68,48006
2021-01-11,145.0,146.69,144.63,146.27,45792
2021-01-12,146.85,148.95,145.73,146.47,49918
2021-01-13,146.91,146.91,143.19,143.82,80396
2021-01-14,145.13,145.79,142.52,143.76,53112
2021-01-15,142.34,144.27,140.2,143.04,65884
2021-01-19,144.4,147.52,144.19,146.46,105278
2021-01-20,147.01,147.57,144.89,146.24,62431
2021-01-21,145.66,147.9,145.65,146.87,62747
2021-01-22,145.96,147.12,144.68,145.41,84159
2021-01-25,145.2,147.0,144.08,145.04,63064
2021-01-26,146.7,147.64,144.75,146.6,62541
2021-01-27,144.86,145.46,140.73,144.08,106378
2021-01-28,147.89,151.94,146.18,149.36,208780
2021-01-29,148.55,148.55,143.69,144.03,75459
2021-02-01,146.09,146.46,141.42,144.57,89913
2021-02-02,145.63,147.6,145.44,147.02,53717
2021-02-03,146.59,146.77,144.02,144.75,76919
2021-02-04,145.61,147.28,144.92,145.76,70238
2021-02-05,147.63,148.57,146.06,146.63,58127
2021-02-08,147.32,147.93,144.92,145.7,76551
2021-02-09,145.64,146.3,143.68,145.68,30029
2021-02-10,145.75,147.78,145.08,147.09,50045
2021-02-11,147.84,148.0,143.41,144.99,66803
2021-02-12,144.85,146.17,144.73,145.72,36140
2021-02-16,146.0,146.21,142.16,142.44,90580
2021-02-17,140.95,142.51,140.73,141.44,85431
2021-02-18,140.86,143.77,140.79,142.63,52406
2021-02-19,143.78,146.04,143.78,145.29,40387
2021-02-22,143.38,144.98,142.97,144.09,63364
2021-02-23,143.77,144.29,140.88,143.52,46657
2021-02-24,142.78,147.26,142.49,145.19,130282
2021-02-25,145.61,146.41,144.05,145.03,112418
2021-02-26,144.19,146.56,143.93,145.19,76648
2021-03-01,146.99,150.86,146.99,149.85,73025
2021-03-02,150.19,154.49,149.64,153.89,105504
2021-03-03,153.41,155.06,152.71,153.38,108616
2021-03-04,152.88,153.46,147.84,150.44,60928
2021-03-05,151.36,154.96,149.06,153.73,115955
2021-03-08,154.69,157.24,153.3,155.43,64318
2021-03-09,156.13,158.24,156.02,156.66,49188
2021-03-10,157.36,160.61,156.69,159.25,58937
2021-03-11,159.89,161.87,158.57,159.93,37683
2021-03-12,161.05,161.05,157.82,158.53,65344
2021-03-15,158.89,161.47,157.87,160.86,32717
2021-03-16,160.59,160.9,157.68,158.48,65750
2021-03-17,159.19,162.45,158.36,162.45,61932
2021-03-18,162.23,165.75,162.23,164.34,137897
2021-03-19,164.68,165.98,162.87,163.88,73715
2021-03-22,163.84,163.84,160.64,163.25,61672
2021-03-23,163.23,163.76,159.48,160.53,44996
2021-03-24,162.21,164.51,161.92,161.92,58608
2021-03-25,160.92,164.0,159.03,162.99,66304
2021-03-26,163.25,168.49,162.73,168.4,38482
2021-03-29,168.12,169.24,166.05,166.28,39041
2021-03-30,166.66,167.82,166.14,166.91,34230
2021-03-31,167.1,168.1,165.43,166.4,72433
2021-04-01,167.56,167.56,164.71,167.14,46205
2021-04-05,168.97,169.58,167.84,168.51,39040
2021-04-06,169.28,170.4,168.3,169.91,43792
2021-04-07,170.19,170.19,166.31,166.85,44862
2021-04-08,166.39,166.42,164.41,166.18,80831
2021-04-09,167.75,168.3,166.09,168.23,50809
2021-04-12,168.91,170.35,168.4,170.03,53330
2021-04-13,168.76,168.91,167.57,168.58,27594
2021-04-14,168.53,169.39,167.4,167.73,27479
2021-04-15,168.31,169.69,167.65,168.83,51575
2021-04-16,170.09,172.1,169.75,171.11,111159
2021-04-20,171.33,171.58,168.14,169.05,48965
2021-04-21,169.79,172.76,169.79,171.86,30723
2021-04-22,172.88,174.38,171.83,172.55,55203
2021-04-23,172.87,174.95,172.86,174.23,57425
2021-04-26,175.38,175.94,171.67,171.89,54058
2021-04-27,171.98,173.35,170.99,173.16,63284
2021-04-28,172.56,175.63,171.21,172.08,95851
2021-04-29,174.36,175.19,173.16,174.42,69677
2021-04-30,172.79,172.79,171.28,172.21,93948
2021-05-03,173.98,176.33,172.83,175.4,81965
2021-05-04,175.77,177.84,174.45,175.47,110801
2021-05-05,175.64,178.5,175.64,177.47,71483
2021-05-06,178.36,181.24,178.35,181.04,77329
2021-05-07,181.01,183.52,180.16,182.92,102294
2021-05-10,184.24,187.36,183.7,183.85,83747
2021-05-11,182.12,183.05,178.52,181.32,63223
2021-05-12,180.68,180.68,174.7,174.73,84562
2021-05-13,176.11,180.45,175.63,179.91,118193
2021-05-14,181.36,181.98,179.7,179.95,55868
2021-05-17,179.94,180.13,178.18,178.94,33326
2021-05-18,178.99,179.31,176.25,176.35,29426
2021-05-19,173.93,174.43,171.8,173.57,39459
2021-05-20,174.44,175.4,173.23,174.3,74965
2021-05-21,175.7,177.1,174.88,174.88,30429
2021-05-24,176.82,177.11,175.0,176.24,64883
2021-05-25,177.17,178.27,176.71,176.84,29482
2021-05-26,176.74,177.94,176.59,177.03,40493
2021-05-27,178.66,178.98,177.86,178.72,38268
2021-05-28,179.74,180.89,178.71,180.51,26023
2021-06-01,182.11,182.57,179.02,179.81,23270
2021-06-02,180.29,180.29,177.15,177.34,34742
2021-06-03,177.42,177.42,175.01,176.77,31640
2021-06-04,177.53,177.53,176.12,177.18,23701
2021-06-07,177.1,177.1,174.11,174.69,42798
2021-06-08,174.51,174.57,172.17,174.56,44208
2021-06-09,172.74,173.69,172.1,172.72,21228
2021-06-10,173.57,173.57,170.17,170.41,22257
2021-06-11,171.28,171.72,169.02,169.93,52955
2021-06-14,169.88,169.88,167.89,169.56,72626
2021-06-15,169.67,170.0,168.41,168.98,64541
2021-06-16,168.15,168.15,164.38,164.41,77503
2021-06-17,165.48,165.79,162.65,163.29,71270
2021-06-18,161.36,164.28,160.63,162.8,106019
2021-06-21,164.39,167.36,164.39,166.03,62415
2021-06-22,165.32,166.31,164.77,165.82,21716
2021-06-23,165.31,166.94,164.98,166.0,39766
2021-06-24,167.46,169.78,166.5,169.36,69511
2021-06-25,170.11,172.3,169.98,171.27,90991
2021-06-28,170.51,171.66,169.47,171.14,48421
2021-06-29,172.33,172.33,170.62,170.81,28706
2021-06-30,170.78,171.45,170.11,171.33,19387
2021-07-01,172.85,172.85,171.68,172.54,25795
2021-07-02,172.86,174.41,171.95,173.79,30923
2021-07-06,173.82,173.82,170.59,172.11,33854
2021-07-07,171.87,174.62,171.87,174.42,54358
2021-07-08,171.98,172.73,170.32,171.57,32296
2021-07-09,174.63,175.31,173.77,174.15,84602
2021-07-12,174.62,175.36,173.86,174.95,27519
2021-07-13,175.03,176.05,172.44,173.02,77386
2021-07-14,173.21,173.28,170.91,172.11,32748
2021-07-15,171.37,173.84,171.13,172.89,30184
2021-07-16,172.87,173.13,169.31,169.65,35038
2021-07-19,167.66,167.85,164.95,167.3,39007
2021-07-20,167.55,170.92,167.55,170.46,50322
2021-07-21,171.45,172.9,170.31,170.74,30096
2021-07-22,170.76,170.81,168.65,169.01,42713
